number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.2568507858182504,-0.2571470659310222,-1000000000.0,0.2571470659310222,-0.2568507858182504,-0.2571470659310222,1167.0,mean_reversion,1,"{""adx_thresh"": 8.600677515412533, ""atr_max_pct"": 0.14133110648219196, ""atr_min_pct"": 0.0016926434446049743, ""bb_std_mult"": 1.440786971813683, ""edge_cap"": 0.3932711219348186, ""edge_k"": 0.541146933295154, ""ema1"": 23, ""ema2"": 40, ""p_adx"": 13, ""p_atr"": 15, ""p_sma"": 11, ""p_std"": 34, ""rsi_ob"": 56, ""rsi_os"": 34, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.18305063054407403, ""slip_spread_k"": 0.3524353225848985, ""spread_hl_frac"": 0.005509073682686267, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 2.8477104547165686, ""tsl_mult"": 0.7527968771478253, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14846918003232698}"
1,-0.16587085199260054,-0.16570961537150314,-1000000000.0,0.16570961537150314,-0.16587085199260054,-0.16570961537150314,1316.0,mean_reversion,1,"{""adx_thresh"": 19.82298230867869, ""atr_max_pct"": 0.021762683759878294, ""atr_min_pct"": 0.012168245310444742, ""bb_std_mult"": 0.647834524592726, ""edge_cap"": 0.7812462707795637, ""edge_k"": 0.4575395452779003, ""ema1"": 14, ""ema2"": 55, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 35, ""p_std"": 56, ""rsi_ob"": 52, ""rsi_os"": 25, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.04624829091828131, ""slip_spread_k"": 0.4986008482751343, ""spread_hl_frac"": 0.03718624477737035, ""strategy"": ""mean_reversion"", ""time_stop"": 267, ""tp_mult"": 1.2210887649587372, ""tsl_mult"": 0.06050359384275927, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1345775197735465}"
2,-0.3060129686495998,-0.3063491193826093,-1000000000.0,0.3063491193826093,-0.3060129686495998,-0.3063491193826093,1206.0,breakout,1,"{""adx_thresh"": 6.902487568050983, ""atr_max_pct"": 0.09956214853321328, ""atr_min_pct"": 0.014960779872828825, ""bb_std_mult"": 1.6418146847694126, ""edge_cap"": 0.7761747105964343, ""edge_k"": 1.2438665194280378, ""ema1"": 12, ""ema2"": 53, ""p_adx"": 11, ""p_atr"": 27, ""p_sma"": 37, ""p_std"": 36, ""rsi_ob"": 62, ""rsi_os"": 48, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.23738583992097823, ""slip_spread_k"": 0.0774041870319786, ""spread_hl_frac"": 0.030698198178517086, ""strategy"": ""breakout"", ""time_stop"": 165, ""tp_mult"": 1.9183146307487369, ""tsl_mult"": 0.977967400282011, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.09452106863484203}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.229756407135078, ""atr_max_pct"": 0.1430460476015322, ""atr_min_pct"": 0.02787617138859053, ""bb_std_mult"": 1.344455876929159, ""edge_cap"": 0.5648479218591977, ""edge_k"": 1.315939078372788, ""ema1"": 7, ""ema2"": 59, ""p_adx"": 18, ""p_atr"": 22, ""p_sma"": 21, ""p_std"": 44, ""rsi_ob"": 50, ""rsi_os"": 10, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.18464372951966634, ""slip_spread_k"": 0.009906828965777659, ""spread_hl_frac"": 0.02970043756489262, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 1.3515960764655275, ""tsl_mult"": 0.27468754358690306, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28136898437661456}"
4,-0.22790893071850016,-0.22790917877182437,-1000000000.0,0.22790917877182437,-0.22790893071850016,-0.22790917877182437,1395.0,mean_reversion,1,"{""adx_thresh"": 22.673954477471746, ""atr_max_pct"": 0.07841613737011728, ""atr_min_pct"": 0.012538150086873118, ""bb_std_mult"": 0.9144599874596965, ""edge_cap"": 0.7935888298373784, ""edge_k"": 0.12815011060503623, ""ema1"": 23, ""ema2"": 31, ""p_adx"": 29, ""p_atr"": 15, ""p_sma"": 24, ""p_std"": 7, ""rsi_ob"": 71, ""rsi_os"": 31, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.07032519963735487, ""slip_spread_k"": 0.45142702021282366, ""spread_hl_frac"": 0.024222304194050054, ""strategy"": ""mean_reversion"", ""time_stop"": 246, ""tp_mult"": 2.299891621654661, ""tsl_mult"": 0.7559212575897788, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.08297882685639636}"
5,-0.14816766450165064,-0.15482527472176585,-1000000000.0,0.15482527472176585,-0.14816766450165064,-0.15482527472176585,1228.0,breakout,1,"{""adx_thresh"": 6.265198646287566, ""atr_max_pct"": 0.12458778645553725, ""atr_min_pct"": 0.017899728024773045, ""bb_std_mult"": 2.0291168003445326, ""edge_cap"": 0.5224040103195118, ""edge_k"": 0.33734366340892774, ""ema1"": 13, ""ema2"": 13, ""p_adx"": 12, ""p_atr"": 17, ""p_sma"": 16, ""p_std"": 54, ""rsi_ob"": 74, ""rsi_os"": 46, ""rsi_period"": 63, ""rsi_required"": false, ""slip_atr_k"": 0.06418815178936532, ""slip_spread_k"": 0.5313113505876566, ""spread_hl_frac"": 0.004242962274207208, ""strategy"": ""breakout"", ""time_stop"": 151, ""tp_mult"": 2.1072176476469062, ""tsl_mult"": 0.16896120720485175, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.03679306709566682}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.227877969829912, ""atr_max_pct"": 0.13058008669928267, ""atr_min_pct"": 0.0011900303180254223, ""bb_std_mult"": 1.546451500874723, ""edge_cap"": 0.1769139187115879, ""edge_k"": 0.4388807946547604, ""ema1"": 8, ""ema2"": 26, ""p_adx"": 14, ""p_atr"": 15, ""p_sma"": 27, ""p_std"": 33, ""rsi_ob"": 66, ""rsi_os"": 55, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.0958545379737287, ""slip_spread_k"": 0.5639923501774159, ""spread_hl_frac"": 0.032211915354115814, ""strategy"": ""mean_reversion"", ""time_stop"": 119, ""tp_mult"": 2.129641875530139, ""tsl_mult"": 0.4307914405593888, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14115034095354367}"
7,-0.2383199866586999,-0.23853351507598067,-1000000000.0,0.23853351507598067,-0.2383199866586999,-0.23853351507598067,1261.0,mean_reversion,1,"{""adx_thresh"": 17.78432221549993, ""atr_max_pct"": 0.09633183959713122, ""atr_min_pct"": 0.017864635089681943, ""bb_std_mult"": 0.9495717982234766, ""edge_cap"": 0.6244967571649264, ""edge_k"": 1.8725112787833815, ""ema1"": 17, ""ema2"": 35, ""p_adx"": 28, ""p_atr"": 16, ""p_sma"": 27, ""p_std"": 44, ""rsi_ob"": 55, ""rsi_os"": 9, ""rsi_period"": 66, ""rsi_required"": true, ""slip_atr_k"": 0.12475716939940149, ""slip_spread_k"": 0.05787840635089836, ""spread_hl_frac"": 0.01972329721755317, ""strategy"": ""mean_reversion"", ""time_stop"": 218, ""tp_mult"": 1.506618697459015, ""tsl_mult"": 0.018064009931180625, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17551407685194867}"
8,-0.2807850545801014,-0.28154269002834614,-1000000000.0,0.28154269002834614,-0.2807850545801014,-0.28154269002834614,1287.0,mean_reversion,1,"{""adx_thresh"": 6.277387163745606, ""atr_max_pct"": 0.07373760843417515, ""atr_min_pct"": 0.01735603837432812, ""bb_std_mult"": 1.6470387729688538, ""edge_cap"": 0.7777511849974016, ""edge_k"": 0.7206124863765515, ""ema1"": 18, ""ema2"": 28, ""p_adx"": 16, ""p_atr"": 21, ""p_sma"": 17, ""p_std"": 20, ""rsi_ob"": 95, ""rsi_os"": 37, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.15019417872005897, ""slip_spread_k"": 0.6018900044031136, ""spread_hl_frac"": 0.02225134381953553, ""strategy"": ""mean_reversion"", ""time_stop"": 123, ""tp_mult"": 2.9283915576245576, ""tsl_mult"": 0.016217281403417605, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.043674417801653154}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 16.05390841387399, ""atr_max_pct"": 0.13461542538528123, ""atr_min_pct"": 0.025670902964042955, ""bb_std_mult"": 2.536582031640372, ""edge_cap"": 0.5220554082825536, ""edge_k"": 0.01980506771382662, ""ema1"": 9, ""ema2"": 55, ""p_adx"": 8, ""p_atr"": 30, ""p_sma"": 15, ""p_std"": 9, ""rsi_ob"": 48, ""rsi_os"": 15, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.2086724598342925, ""slip_spread_k"": 0.7685243542200275, ""spread_hl_frac"": 0.006826777361795189, ""strategy"": ""mean_reversion"", ""time_stop"": 282, ""tp_mult"": 1.4660977392988828, ""tsl_mult"": 0.48959667109149796, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28364139386688325}"
