number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.09253559812894996,-0.09233385215681754,-1000000000.0,0.09233385215681754,-0.09253559812894996,-0.09233385215681754,433.0,breakout,1,"{""adx_thresh"": 23.505881754271087, ""atr_max_pct"": 0.1321205992830445, ""atr_min_pct"": 0.006721472137410657, ""bb_std_mult"": 1.6077798656433357, ""edge_cap"": 0.22961105464403767, ""edge_k"": 1.7000943563434447, ""ema1"": 12, ""ema2"": 50, ""p_adx"": 24, ""p_atr"": 17, ""p_sma"": 48, ""p_std"": 60, ""rsi_ob"": 95, ""rsi_os"": 29, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.19056758011148742, ""slip_spread_k"": 0.5504895082215295, ""spread_hl_frac"": 0.01935825063987255, ""strategy"": ""breakout"", ""time_stop"": 297, ""tp_mult"": 1.7828235684055684, ""tsl_mult"": 0.6273078658942681, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1962192645690634}"
1,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 7.043732518167625, ""atr_max_pct"": 0.013251144279589148, ""atr_min_pct"": 0.02210382378785666, ""bb_std_mult"": 1.7836297751691765, ""edge_cap"": 0.2668426472892843, ""edge_k"": 0.9350573063992254, ""ema1"": 26, ""ema2"": 47, ""p_adx"": 23, ""p_atr"": 26, ""p_sma"": 8, ""p_std"": 30, ""rsi_ob"": 91, ""rsi_os"": 32, ""rsi_period"": 81, ""rsi_required"": true, ""slip_atr_k"": 0.054083155872260424, ""slip_spread_k"": 0.9375706880299142, ""spread_hl_frac"": 0.008281709649825292, ""strategy"": ""breakout"", ""time_stop"": 218, ""tp_mult"": 2.535081363812429, ""tsl_mult"": 0.37185160480579726, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.15416982991448028}"
2,-0.10928078530715013,-0.11053522925479774,-1000000000.0,0.11053522925479774,-0.10928078530715013,-0.11053522925479774,491.0,breakout,1,"{""adx_thresh"": 7.462274645001696, ""atr_max_pct"": 0.055745252866839186, ""atr_min_pct"": 0.02566928199909228, ""bb_std_mult"": 0.6400396355890857, ""edge_cap"": 0.4686660317053748, ""edge_k"": 1.3256096711917815, ""ema1"": 26, ""ema2"": 10, ""p_adx"": 29, ""p_atr"": 28, ""p_sma"": 28, ""p_std"": 32, ""rsi_ob"": 62, ""rsi_os"": 45, ""rsi_period"": 69, ""rsi_required"": false, ""slip_atr_k"": 0.1479876956360347, ""slip_spread_k"": 0.8853880227968167, ""spread_hl_frac"": 0.038419757047108954, ""strategy"": ""breakout"", ""time_stop"": 144, ""tp_mult"": 1.248911000344252, ""tsl_mult"": 0.2664423705270512, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13181135469577962}"
3,-0.06305322692045012,-0.06595916497732614,-1000000000.0,0.06595916497732614,-0.06305322692045012,-0.06595916497732614,510.0,breakout,1,"{""adx_thresh"": 16.067533884683364, ""atr_max_pct"": 0.140508999823151, ""atr_min_pct"": 0.015520116563191019, ""bb_std_mult"": 2.1976261268204698, ""edge_cap"": 0.3196363147553256, ""edge_k"": 1.1455103024737894, ""ema1"": 18, ""ema2"": 56, ""p_adx"": 13, ""p_atr"": 18, ""p_sma"": 30, ""p_std"": 35, ""rsi_ob"": 46, ""rsi_os"": 53, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.07949723127410019, ""slip_spread_k"": 0.5793568426101394, ""spread_hl_frac"": 0.017297627918022834, ""strategy"": ""breakout"", ""time_stop"": 155, ""tp_mult"": 2.9256532164770004, ""tsl_mult"": 0.14777028464533837, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08216218949550427}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.661678094286128, ""atr_max_pct"": 0.09365652345961754, ""atr_min_pct"": 0.000259593836208305, ""bb_std_mult"": 3.168755973150608, ""edge_cap"": 0.7784613519322385, ""edge_k"": 0.5965735654283966, ""ema1"": 28, ""ema2"": 21, ""p_adx"": 29, ""p_atr"": 8, ""p_sma"": 58, ""p_std"": 7, ""rsi_ob"": 49, ""rsi_os"": 10, ""rsi_period"": 76, ""rsi_required"": false, ""slip_atr_k"": 0.041378547633894175, ""slip_spread_k"": 0.16732345182235442, ""spread_hl_frac"": 0.00016850910343541026, ""strategy"": ""mean_reversion"", ""time_stop"": 116, ""tp_mult"": 1.311083063484072, ""tsl_mult"": 0.4854112221655573, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1120596751263479}"
5,-0.07165699697664973,-0.07136897372051715,-1000000000.0,0.07136897372051715,-0.07165699697664973,-0.07136897372051715,252.0,breakout,1,"{""adx_thresh"": 19.391170424880023, ""atr_max_pct"": 0.14618873095855, ""atr_min_pct"": 0.008168350266861768, ""bb_std_mult"": 2.892253840194761, ""edge_cap"": 0.4336236402715695, ""edge_k"": 0.793776033866352, ""ema1"": 26, ""ema2"": 57, ""p_adx"": 10, ""p_atr"": 8, ""p_sma"": 5, ""p_std"": 43, ""rsi_ob"": 74, ""rsi_os"": 29, ""rsi_period"": 15, ""rsi_required"": true, ""slip_atr_k"": 0.23676119849111182, ""slip_spread_k"": 0.4029088794476059, ""spread_hl_frac"": 0.0359527355112966, ""strategy"": ""breakout"", ""time_stop"": 293, ""tp_mult"": 2.198720193409795, ""tsl_mult"": 0.0063508040942333865, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21661554071054387}"
6,-0.018061256564750328,-0.030114693980756533,-1000000000.0,0.030114693980756533,-0.018061256564750328,-0.030114693980756533,348.0,mean_reversion,1,"{""adx_thresh"": 34.293640462262026, ""atr_max_pct"": 0.05824142442466143, ""atr_min_pct"": 0.02286811047770291, ""bb_std_mult"": 1.4758641777889818, ""edge_cap"": 0.7087643912797957, ""edge_k"": 1.1505720772869106, ""ema1"": 10, ""ema2"": 41, ""p_adx"": 8, ""p_atr"": 27, ""p_sma"": 10, ""p_std"": 55, ""rsi_ob"": 68, ""rsi_os"": 27, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.05265953425812092, ""slip_spread_k"": 0.10563434712523734, ""spread_hl_frac"": 0.006930630783494496, ""strategy"": ""mean_reversion"", ""time_stop"": 27, ""tp_mult"": 2.350350680615173, ""tsl_mult"": 0.8217247541804578, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11279629923159673}"
7,-0.12573344423404997,-0.1273018728939499,-1000000000.0,0.1273018728939499,-0.12573344423404997,-0.1273018728939499,463.0,breakout,1,"{""adx_thresh"": 5.6217952771404365, ""atr_max_pct"": 0.10031758008575564, ""atr_min_pct"": 0.029322571486205984, ""bb_std_mult"": 2.872223628746248, ""edge_cap"": 0.6956906231679905, ""edge_k"": 1.5071215523068606, ""ema1"": 6, ""ema2"": 24, ""p_adx"": 15, ""p_atr"": 11, ""p_sma"": 41, ""p_std"": 35, ""rsi_ob"": 57, ""rsi_os"": 51, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.2450136890206361, ""slip_spread_k"": 0.06009495573596069, ""spread_hl_frac"": 0.0030957822607491415, ""strategy"": ""breakout"", ""time_stop"": 14, ""tp_mult"": 2.012240415057714, ""tsl_mult"": 0.9477364289292902, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2680960304323508}"
8,-0.0989673333038007,-0.10030683952962723,-1000000000.0,0.10030683952962723,-0.0989673333038007,-0.10030683952962723,553.0,mean_reversion,1,"{""adx_thresh"": 22.427154286887635, ""atr_max_pct"": 0.017867881803852095, ""atr_min_pct"": 0.017176351316738867, ""bb_std_mult"": 3.270643992213584, ""edge_cap"": 0.9804514867330342, ""edge_k"": 0.41311177384116804, ""ema1"": 16, ""ema2"": 31, ""p_adx"": 15, ""p_atr"": 29, ""p_sma"": 24, ""p_std"": 19, ""rsi_ob"": 55, ""rsi_os"": 7, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.07592767307671608, ""slip_spread_k"": 0.8989422627601176, ""spread_hl_frac"": 0.03859416604811074, ""strategy"": ""mean_reversion"", ""time_stop"": 44, ""tp_mult"": 1.7659928743423783, ""tsl_mult"": 0.5758724375384243, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.022500563666137317}"
9,-0.13760838994600055,-0.13786637013442987,-1000000000.0,0.13786637013442987,-0.13760838994600055,-0.13786637013442987,541.0,breakout,1,"{""adx_thresh"": 14.324854603917618, ""atr_max_pct"": 0.14222707454622663, ""atr_min_pct"": 0.011060480529578776, ""bb_std_mult"": 1.0072712983900836, ""edge_cap"": 0.8539482818139348, ""edge_k"": 1.5025886053995567, ""ema1"": 13, ""ema2"": 31, ""p_adx"": 24, ""p_atr"": 28, ""p_sma"": 34, ""p_std"": 9, ""rsi_ob"": 76, ""rsi_os"": 22, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.20496907043030577, ""slip_spread_k"": 0.7105799564984768, ""spread_hl_frac"": 0.013102333281658496, ""strategy"": ""breakout"", ""time_stop"": 149, ""tp_mult"": 2.786875774193772, ""tsl_mult"": 0.04496918945762751, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03667004507947671}"
10,-0.07696744110964993,-0.08551527031375249,-1000000000.0,0.08551527031375249,-0.07696744110964993,-0.08551527031375249,566.0,mean_reversion,1,"{""adx_thresh"": 6.614677743547139, ""atr_max_pct"": 0.08628030793131318, ""atr_min_pct"": 0.009539160680005569, ""bb_std_mult"": 1.6457356064737387, ""edge_cap"": 0.08009862262075176, ""edge_k"": 1.5671325753261471, ""ema1"": 15, ""ema2"": 47, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 16, ""p_std"": 22, ""rsi_ob"": 83, ""rsi_os"": 44, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.04511123507605716, ""slip_spread_k"": 0.5782491731012708, ""spread_hl_frac"": 0.04112405978827888, ""strategy"": ""mean_reversion"", ""time_stop"": 271, ""tp_mult"": 2.811157601622039, ""tsl_mult"": 0.7600650732333352, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23965125248689362}"
11,-0.10165717007550024,-0.10141777251127256,-1000000000.0,0.10141777251127256,-0.10165717007550024,-0.10141777251127256,401.0,breakout,1,"{""adx_thresh"": 29.70252710409169, ""atr_max_pct"": 0.0415663464588092, ""atr_min_pct"": 0.02604952716128757, ""bb_std_mult"": 1.5245536315453132, ""edge_cap"": 0.6621327200270499, ""edge_k"": 0.09134332708211734, ""ema1"": 14, ""ema2"": 29, ""p_adx"": 26, ""p_atr"": 16, ""p_sma"": 20, ""p_std"": 53, ""rsi_ob"": 49, ""rsi_os"": 5, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.24092993438067883, ""slip_spread_k"": 0.7288631422594323, ""spread_hl_frac"": 0.012311581646050413, ""strategy"": ""breakout"", ""time_stop"": 271, ""tp_mult"": 1.2016267218652033, ""tsl_mult"": 0.7367087088188581, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02539763384721123}"
