number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.794603850472335, ""atr_max_pct"": 0.07924006247824694, ""atr_min_pct"": 0.003256977329502748, ""bb_std_mult"": 2.2083051434973493, ""edge_cap"": 0.5728700685778759, ""edge_k"": 1.442219741161442, ""ema1"": 11, ""ema2"": 25, ""p_adx"": 20, ""p_atr"": 9, ""p_sma"": 38, ""p_std"": 8, ""rsi_ob"": 50, ""rsi_os"": 6, ""rsi_period"": 34, ""rsi_required"": true, ""slip_atr_k"": 0.04532422873196415, ""slip_spread_k"": 0.9294658973280646, ""spread_hl_frac"": 0.03650681948628976, ""strategy"": ""mean_reversion"", ""time_stop"": 224, ""tp_mult"": 2.1129887592421825, ""tsl_mult"": 0.669319223589814, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.014206876705661741}"
1,-0.14399489790425124,-0.14920128971651853,-1000000000.0,0.14920128971651853,-0.14399489790425124,-0.14920128971651853,1125.0,mean_reversion,1,"{""adx_thresh"": 28.839784597408116, ""atr_max_pct"": 0.06485870963482071, ""atr_min_pct"": 0.021045738096277883, ""bb_std_mult"": 2.5416874456156284, ""edge_cap"": 0.38658301910558057, ""edge_k"": 1.085206863594353, ""ema1"": 5, ""ema2"": 45, ""p_adx"": 21, ""p_atr"": 12, ""p_sma"": 45, ""p_std"": 11, ""rsi_ob"": 84, ""rsi_os"": 14, ""rsi_period"": 63, ""rsi_required"": false, ""slip_atr_k"": 0.027222908509043936, ""slip_spread_k"": 0.7735423966710516, ""spread_hl_frac"": 0.010397752153769847, ""strategy"": ""mean_reversion"", ""time_stop"": 283, ""tp_mult"": 1.3999071906820724, ""tsl_mult"": 0.8441314194716754, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1417139865652148}"
2,-0.20105406421399985,-0.2011338679693669,-1000000000.0,0.2011338679693669,-0.20105406421399985,-0.2011338679693669,1010.0,mean_reversion,1,"{""adx_thresh"": 31.326911363794256, ""atr_max_pct"": 0.08247417581254984, ""atr_min_pct"": 0.02021684704423017, ""bb_std_mult"": 1.0827091861072786, ""edge_cap"": 0.8617511451345548, ""edge_k"": 1.8156441815759976, ""ema1"": 21, ""ema2"": 25, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 41, ""p_std"": 13, ""rsi_ob"": 64, ""rsi_os"": 45, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.11299339148560472, ""slip_spread_k"": 0.9660912298245063, ""spread_hl_frac"": 0.01952098575067438, ""strategy"": ""mean_reversion"", ""time_stop"": 229, ""tp_mult"": 2.435503762144103, ""tsl_mult"": 0.2745660508056813, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.27358425087639443}"
3,-0.2083122949677011,-0.2092166860001655,-1000000000.0,0.2092166860001655,-0.2083122949677011,-0.2092166860001655,996.0,mean_reversion,1,"{""adx_thresh"": 30.814116935041195, ""atr_max_pct"": 0.08303195004909729, ""atr_min_pct"": 0.027831263463236684, ""bb_std_mult"": 3.2707228361108474, ""edge_cap"": 0.21916634673543972, ""edge_k"": 0.9043943914742503, ""ema1"": 26, ""ema2"": 33, ""p_adx"": 29, ""p_atr"": 17, ""p_sma"": 23, ""p_std"": 25, ""rsi_ob"": 56, ""rsi_os"": 25, ""rsi_period"": 82, ""rsi_required"": false, ""slip_atr_k"": 0.13112426630360974, ""slip_spread_k"": 0.7503584420788683, ""spread_hl_frac"": 0.03053065075689217, ""strategy"": ""mean_reversion"", ""time_stop"": 292, ""tp_mult"": 2.769075148785886, ""tsl_mult"": 0.9530543616319228, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2038911700392346}"
4,-0.06661081386734946,-0.08008761428781926,-1000000000.0,0.08008761428781926,-0.06661081386734946,-0.08008761428781926,901.0,mean_reversion,1,"{""adx_thresh"": 32.712821275046956, ""atr_max_pct"": 0.11650435340263984, ""atr_min_pct"": 0.015591739105056065, ""bb_std_mult"": 2.597586898787606, ""edge_cap"": 0.09854291667729984, ""edge_k"": 0.3228289804119542, ""ema1"": 7, ""ema2"": 53, ""p_adx"": 10, ""p_atr"": 29, ""p_sma"": 22, ""p_std"": 49, ""rsi_ob"": 87, ""rsi_os"": 34, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.021481179999039784, ""slip_spread_k"": 0.38550466241036807, ""spread_hl_frac"": 0.01748454873128736, ""strategy"": ""mean_reversion"", ""time_stop"": 49, ""tp_mult"": 1.0187870335873699, ""tsl_mult"": 0.663349073015111, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0664886967088122}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 18.648372204018624, ""atr_max_pct"": 0.1454252422692486, ""atr_min_pct"": 0.021755288876109277, ""bb_std_mult"": 0.604569974914762, ""edge_cap"": 0.1908610516052622, ""edge_k"": 1.074130937596079, ""ema1"": 23, ""ema2"": 46, ""p_adx"": 26, ""p_atr"": 27, ""p_sma"": 35, ""p_std"": 5, ""rsi_ob"": 45, ""rsi_os"": 17, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.17481750288063205, ""slip_spread_k"": 0.23819463656588413, ""spread_hl_frac"": 0.0042473216520589, ""strategy"": ""mean_reversion"", ""time_stop"": 19, ""tp_mult"": 1.5187629814273533, ""tsl_mult"": 0.9325651458224082, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09490071494204551}"
6,-0.13810211059869948,-0.15002431362431037,-1000000000.0,0.15002431362431037,-0.13810211059869948,-0.15002431362431037,1080.0,breakout,1,"{""adx_thresh"": 18.422932903128334, ""atr_max_pct"": 0.03422127217240169, ""atr_min_pct"": 0.014275683873481833, ""bb_std_mult"": 2.858523736757935, ""edge_cap"": 0.7253159336781569, ""edge_k"": 1.0371225140680884, ""ema1"": 5, ""ema2"": 28, ""p_adx"": 14, ""p_atr"": 9, ""p_sma"": 21, ""p_std"": 24, ""rsi_ob"": 64, ""rsi_os"": 32, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.05238556836220892, ""slip_spread_k"": 0.8974188990005745, ""spread_hl_frac"": 0.00014301331938081918, ""strategy"": ""breakout"", ""time_stop"": 153, ""tp_mult"": 2.936700089939968, ""tsl_mult"": 0.17282820833199408, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.031167411637722818}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.00653399525625, ""atr_max_pct"": 0.017360720303508746, ""atr_min_pct"": 0.0012190830874919123, ""bb_std_mult"": 2.8884906261538252, ""edge_cap"": 0.6099555716480958, ""edge_k"": 1.6636948693605886, ""ema1"": 23, ""ema2"": 15, ""p_adx"": 30, ""p_atr"": 26, ""p_sma"": 49, ""p_std"": 9, ""rsi_ob"": 74, ""rsi_os"": 52, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.13975181932121739, ""slip_spread_k"": 0.8410389248680651, ""spread_hl_frac"": 0.041309453452756675, ""strategy"": ""mean_reversion"", ""time_stop"": 146, ""tp_mult"": 1.713382816647097, ""tsl_mult"": 0.8786198575473902, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.024006424786076574}"
8,-0.23526077958780045,-0.23661864931624477,-1000000000.0,0.23661864931624477,-0.23526077958780045,-0.23661864931624477,1029.0,mean_reversion,1,"{""adx_thresh"": 34.46238502711985, ""atr_max_pct"": 0.02377948848141197, ""atr_min_pct"": 0.013231645454317542, ""bb_std_mult"": 3.532388105283359, ""edge_cap"": 0.40662094550773353, ""edge_k"": 0.45150441894280635, ""ema1"": 15, ""ema2"": 48, ""p_adx"": 23, ""p_atr"": 26, ""p_sma"": 47, ""p_std"": 7, ""rsi_ob"": 91, ""rsi_os"": 40, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.12156378870746004, ""slip_spread_k"": 0.9188026106021968, ""spread_hl_frac"": 0.0382582968061655, ""strategy"": ""mean_reversion"", ""time_stop"": 252, ""tp_mult"": 2.1705279363758927, ""tsl_mult"": 0.5420522074104038, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24195154646601127}"
9,-0.1491732892812495,-0.14957076951090967,-1000000000.0,0.14957076951090967,-0.1491732892812495,-0.14957076951090967,870.0,mean_reversion,1,"{""adx_thresh"": 22.716761607943695, ""atr_max_pct"": 0.04286470372343269, ""atr_min_pct"": 0.023523446840208365, ""bb_std_mult"": 2.762731284077476, ""edge_cap"": 0.9580981422783923, ""edge_k"": 1.6226933201091263, ""ema1"": 21, ""ema2"": 26, ""p_adx"": 11, ""p_atr"": 26, ""p_sma"": 37, ""p_std"": 50, ""rsi_ob"": 83, ""rsi_os"": 12, ""rsi_period"": 18, ""rsi_required"": true, ""slip_atr_k"": 0.12643682609029436, ""slip_spread_k"": 0.4746605677632192, ""spread_hl_frac"": 0.0020335215700410304, ""strategy"": ""mean_reversion"", ""time_stop"": 113, ""tp_mult"": 2.7770990675996714, ""tsl_mult"": 0.684084630463478, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.02514208620228442}"
10,-0.1154372042198496,-0.12182238222429433,-1000000000.0,0.12182238222429433,-0.1154372042198496,-0.12182238222429433,938.0,mean_reversion,1,"{""adx_thresh"": 11.224307033818617, ""atr_max_pct"": 0.041430021207800226, ""atr_min_pct"": 0.007725644000463361, ""bb_std_mult"": 1.253124081127777, ""edge_cap"": 0.2171486828432221, ""edge_k"": 0.4001273184608858, ""ema1"": 6, ""ema2"": 45, ""p_adx"": 10, ""p_atr"": 16, ""p_sma"": 42, ""p_std"": 51, ""rsi_ob"": 91, ""rsi_os"": 27, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.03893406982647596, ""slip_spread_k"": 0.9762052297718103, ""spread_hl_frac"": 0.023034688118377212, ""strategy"": ""mean_reversion"", ""time_stop"": 187, ""tp_mult"": 1.274202626655993, ""tsl_mult"": 0.937157654475781, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.22598338326842157}"
11,-0.2640270227674999,-0.26529447208429596,-1000000000.0,0.26529447208429596,-0.2640270227674999,-0.26529447208429596,980.0,mean_reversion,1,"{""adx_thresh"": 16.264937163707458, ""atr_max_pct"": 0.14910194418741726, ""atr_min_pct"": 0.00022505294048266288, ""bb_std_mult"": 2.9839379733262983, ""edge_cap"": 0.5594406337030807, ""edge_k"": 1.4298214891250152, ""ema1"": 8, ""ema2"": 15, ""p_adx"": 24, ""p_atr"": 23, ""p_sma"": 56, ""p_std"": 14, ""rsi_ob"": 95, ""rsi_os"": 24, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.1896803129223517, ""slip_spread_k"": 0.7612424184070742, ""spread_hl_frac"": 0.030539985727988217, ""strategy"": ""mean_reversion"", ""time_stop"": 123, ""tp_mult"": 1.452054177600794, ""tsl_mult"": 0.9703747552861333, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05210669573315618}"
12,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.973018159803917, ""atr_max_pct"": 0.14472708005125562, ""atr_min_pct"": 0.014133639601488304, ""bb_std_mult"": 1.3628249585627468, ""edge_cap"": 0.4011777080875125, ""edge_k"": 1.9336720590369383, ""ema1"": 11, ""ema2"": 26, ""p_adx"": 30, ""p_atr"": 7, ""p_sma"": 13, ""p_std"": 18, ""rsi_ob"": 57, ""rsi_os"": 53, ""rsi_period"": 7, ""rsi_required"": false, ""slip_atr_k"": 0.12476053033914264, ""slip_spread_k"": 0.3185246330477989, ""spread_hl_frac"": 0.04095687700267617, ""strategy"": ""mean_reversion"", ""time_stop"": 294, ""tp_mult"": 2.8389107157606985, ""tsl_mult"": 0.7920799776749022, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.13127946529670662}"
13,-0.2305641595534007,-0.23097557550936826,-1000000000.0,0.23097557550936826,-0.2305641595534007,-0.23097557550936826,857.0,breakout,1,"{""adx_thresh"": 7.422641581048257, ""atr_max_pct"": 0.11437880369359082, ""atr_min_pct"": 0.008425579452324779, ""bb_std_mult"": 1.8303870212323594, ""edge_cap"": 0.06551947935017415, ""edge_k"": 0.014135073231690387, ""ema1"": 16, ""ema2"": 60, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 59, ""p_std"": 52, ""rsi_ob"": 79, ""rsi_os"": 32, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.2393283645336996, ""slip_spread_k"": 0.5131764839337882, ""spread_hl_frac"": 0.020713338233731317, ""strategy"": ""breakout"", ""time_stop"": 13, ""tp_mult"": 1.1445523449583268, ""tsl_mult"": 0.38931111506573957, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08576395644707102}"
14,-0.023072274342250454,-0.035539027649256406,-1000000000.0,0.035539027649256406,-0.023072274342250454,-0.035539027649256406,530.0,breakout,1,"{""adx_thresh"": 10.253865854826474, ""atr_max_pct"": 0.1033739964158387, ""atr_min_pct"": 0.009073697275068493, ""bb_std_mult"": 1.7448708443658234, ""edge_cap"": 0.10401559981943743, ""edge_k"": 0.005961584750830751, ""ema1"": 15, ""ema2"": 59, ""p_adx"": 10, ""p_atr"": 21, ""p_sma"": 6, ""p_std"": 51, ""rsi_ob"": 79, ""rsi_os"": 35, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.002208824853340771, ""slip_spread_k"": 0.49297330644654225, ""spread_hl_frac"": 0.020660548632761913, ""strategy"": ""breakout"", ""time_stop"": 16, ""tp_mult"": 1.0111212372205585, ""tsl_mult"": 0.4059099896461217, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0848573365711205}"
15,-0.008278102966050915,-0.027059917540920356,-0.008278102966050915,0.027059917540920356,-0.008278102966050915,-0.027059917540920356,455.0,breakout,1,"{""adx_thresh"": 8.401851843857608, ""atr_max_pct"": 0.11511964667361534, ""atr_min_pct"": 0.007255519736584976, ""bb_std_mult"": 1.7419608957736887, ""edge_cap"": 0.06098655186729028, ""edge_k"": 0.08591028121535105, ""ema1"": 11, ""ema2"": 60, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 5, ""p_std"": 51, ""rsi_ob"": 95, ""rsi_os"": 32, ""rsi_period"": 53, ""rsi_required"": true, ""slip_atr_k"": 0.006241364578960866, ""slip_spread_k"": 0.013982504063119905, ""spread_hl_frac"": 0.020336231085651083, ""strategy"": ""breakout"", ""time_stop"": 14, ""tp_mult"": 1.0306050680118408, ""tsl_mult"": 0.41350723915127474, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08504022097416834}"
16,-0.1315795655441001,-0.13231500277208808,-1000000000.0,0.13231500277208808,-0.1315795655441001,-0.13231500277208808,594.0,breakout,1,"{""adx_thresh"": 8.926098675380207, ""atr_max_pct"": 0.1152333934344725, ""atr_min_pct"": 0.00840378456102313, ""bb_std_mult"": 1.824944523094383, ""edge_cap"": 0.05133571421455121, ""edge_k"": 0.01420897126213777, ""ema1"": 30, ""ema2"": 58, ""p_adx"": 7, ""p_atr"": 20, ""p_sma"": 8, ""p_std"": 51, ""rsi_ob"": 74, ""rsi_os"": 35, ""rsi_period"": 52, ""rsi_required"": true, ""slip_atr_k"": 0.24577524168783685, ""slip_spread_k"": 0.041857897495986895, ""spread_hl_frac"": 0.01610015236403145, ""strategy"": ""breakout"", ""time_stop"": 7, ""tp_mult"": 1.049112102357224, ""tsl_mult"": 0.42167590811533595, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09142043596762721}"
17,-0.049854508489599714,-0.057994166167304496,-1000000000.0,0.057994166167304496,-0.049854508489599714,-0.057994166167304496,525.0,breakout,1,"{""adx_thresh"": 11.257223032675967, ""atr_max_pct"": 0.11432380031459886, ""atr_min_pct"": 0.00913607961044127, ""bb_std_mult"": 2.1291829598082055, ""edge_cap"": 0.05146091219947426, ""edge_k"": 0.31516830039655763, ""ema1"": 30, ""ema2"": 59, ""p_adx"": 16, ""p_atr"": 16, ""p_sma"": 5, ""p_std"": 42, ""rsi_ob"": 89, ""rsi_os"": 39, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.07402995564665402, ""slip_spread_k"": 0.028466593459021527, ""spread_hl_frac"": 0.049568816991705844, ""strategy"": ""breakout"", ""time_stop"": 64, ""tp_mult"": 1.0188923999650283, ""tsl_mult"": 0.05590618492229449, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1852470386840501}"
