number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.13486101999740063,-0.13485799056198247,-1000000000.0,0.13485799056198247,-0.13486101999740063,-0.13485799056198247,539.0,mean_reversion,1,"{""adx_thresh"": 32.54424459372626, ""atr_max_pct"": 0.0454377171432662, ""atr_min_pct"": 0.029561348190044624, ""bb_std_mult"": 1.685238421896534, ""edge_cap"": 0.9671627740193341, ""edge_k"": 0.5395631160163668, ""ema1"": 19, ""ema2"": 23, ""p_adx"": 8, ""p_atr"": 9, ""p_sma"": 25, ""p_std"": 15, ""rsi_ob"": 75, ""rsi_os"": 9, ""rsi_period"": 15, ""rsi_required"": true, ""slip_atr_k"": 0.1620439638457188, ""slip_spread_k"": 0.4383859766354469, ""spread_hl_frac"": 0.029077852037705305, ""strategy"": ""mean_reversion"", ""time_stop"": 283, ""tp_mult"": 1.5010095652579185, ""tsl_mult"": 0.9203499342662611, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.20579433124880206}"
1,-0.09361759709735029,-0.09473751462983411,-1000000000.0,0.09473751462983411,-0.09361759709735029,-0.09473751462983411,458.0,mean_reversion,1,"{""adx_thresh"": 12.895269670281134, ""atr_max_pct"": 0.07871490580521076, ""atr_min_pct"": 0.020856497064795244, ""bb_std_mult"": 2.6908227593030816, ""edge_cap"": 0.26742240479664187, ""edge_k"": 1.9533717920424927, ""ema1"": 22, ""ema2"": 57, ""p_adx"": 9, ""p_atr"": 24, ""p_sma"": 25, ""p_std"": 43, ""rsi_ob"": 65, ""rsi_os"": 6, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.12343164455691527, ""slip_spread_k"": 0.6529501999128237, ""spread_hl_frac"": 0.035417072267612947, ""strategy"": ""mean_reversion"", ""time_stop"": 269, ""tp_mult"": 1.2954517509567396, ""tsl_mult"": 0.5251763891781073, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06914155859039972}"
2,-0.11998422935290054,-0.12008801785664566,-1000000000.0,0.12008801785664566,-0.11998422935290054,-0.12008801785664566,526.0,mean_reversion,1,"{""adx_thresh"": 34.61361507544674, ""atr_max_pct"": 0.07559193449298295, ""atr_min_pct"": 0.02424396048765944, ""bb_std_mult"": 3.406222181480218, ""edge_cap"": 0.2905455970659128, ""edge_k"": 0.35813928518114535, ""ema1"": 9, ""ema2"": 20, ""p_adx"": 16, ""p_atr"": 27, ""p_sma"": 43, ""p_std"": 13, ""rsi_ob"": 78, ""rsi_os"": 14, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.16485181940668275, ""slip_spread_k"": 0.2995985074449883, ""spread_hl_frac"": 0.01762454418709123, ""strategy"": ""mean_reversion"", ""time_stop"": 300, ""tp_mult"": 2.148544403807728, ""tsl_mult"": 0.9406757993988617, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18864434663098445}"
3,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 29.685924328503262, ""atr_max_pct"": 0.011938757692439494, ""atr_min_pct"": 0.02654612447140051, ""bb_std_mult"": 3.4666654838413464, ""edge_cap"": 0.7591381579972848, ""edge_k"": 1.1640931691431444, ""ema1"": 15, ""ema2"": 34, ""p_adx"": 16, ""p_atr"": 25, ""p_sma"": 33, ""p_std"": 17, ""rsi_ob"": 56, ""rsi_os"": 39, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.012106068659076014, ""slip_spread_k"": 0.8138448922920946, ""spread_hl_frac"": 0.04629174406855825, ""strategy"": ""breakout"", ""time_stop"": 172, ""tp_mult"": 2.981187449430587, ""tsl_mult"": 0.26033040916465966, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03784532741419239}"
4,-0.09314010336470036,-0.09612982563449951,-1000000000.0,0.09612982563449951,-0.09314010336470036,-0.09612982563449951,367.0,breakout,1,"{""adx_thresh"": 23.53405317273139, ""atr_max_pct"": 0.04876012712037824, ""atr_min_pct"": 0.014555504027387546, ""bb_std_mult"": 1.8549227862993136, ""edge_cap"": 0.9369622370179174, ""edge_k"": 1.6523560474634638, ""ema1"": 9, ""ema2"": 19, ""p_adx"": 12, ""p_atr"": 26, ""p_sma"": 9, ""p_std"": 47, ""rsi_ob"": 45, ""rsi_os"": 12, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.24297580685799258, ""slip_spread_k"": 0.28695396865073863, ""spread_hl_frac"": 0.036111908403744716, ""strategy"": ""breakout"", ""time_stop"": 104, ""tp_mult"": 2.9946259150610923, ""tsl_mult"": 0.8130402893365458, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09001145323681423}"
5,-0.16132785527760007,-0.16102896539693293,-1000000000.0,0.16102896539693293,-0.16132785527760007,-0.16102896539693293,559.0,mean_reversion,1,"{""adx_thresh"": 19.49219228166616, ""atr_max_pct"": 0.0641474800464875, ""atr_min_pct"": 0.005046164789384718, ""bb_std_mult"": 1.5851117626762787, ""edge_cap"": 0.692839875619201, ""edge_k"": 1.8811748552149572, ""ema1"": 13, ""ema2"": 47, ""p_adx"": 15, ""p_atr"": 14, ""p_sma"": 18, ""p_std"": 9, ""rsi_ob"": 69, ""rsi_os"": 12, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.20849972228482425, ""slip_spread_k"": 0.055234816216714444, ""spread_hl_frac"": 0.041845626771990385, ""strategy"": ""mean_reversion"", ""time_stop"": 103, ""tp_mult"": 2.4996089829480193, ""tsl_mult"": 0.48440351032193185, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1714902286789205}"
6,-0.16623009045504988,-0.16605872227940405,-1000000000.0,0.16605872227940405,-0.16623009045504988,-0.16605872227940405,533.0,breakout,1,"{""adx_thresh"": 25.72751935283145, ""atr_max_pct"": 0.10478721480912472, ""atr_min_pct"": 0.007042325939926656, ""bb_std_mult"": 0.5169143427288623, ""edge_cap"": 0.09776615154834296, ""edge_k"": 1.102881562929895, ""ema1"": 7, ""ema2"": 27, ""p_adx"": 24, ""p_atr"": 24, ""p_sma"": 24, ""p_std"": 7, ""rsi_ob"": 52, ""rsi_os"": 15, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.2305028917154207, ""slip_spread_k"": 0.9416329003515027, ""spread_hl_frac"": 0.031690197482868554, ""strategy"": ""breakout"", ""time_stop"": 163, ""tp_mult"": 1.5278388848429043, ""tsl_mult"": 0.185945601532021, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2456494236840209}"
7,-0.08416097431960046,-0.09289172938395122,-1000000000.0,0.09289172938395122,-0.08416097431960046,-0.09289172938395122,618.0,mean_reversion,1,"{""adx_thresh"": 16.074992887244846, ""atr_max_pct"": 0.09664140871463733, ""atr_min_pct"": 0.026130446153378267, ""bb_std_mult"": 3.106135271875579, ""edge_cap"": 0.23736277488430327, ""edge_k"": 1.4347173988248278, ""ema1"": 27, ""ema2"": 25, ""p_adx"": 7, ""p_atr"": 17, ""p_sma"": 27, ""p_std"": 5, ""rsi_ob"": 82, ""rsi_os"": 29, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.013595641124079821, ""slip_spread_k"": 0.7466501099254766, ""spread_hl_frac"": 0.023392239907651963, ""strategy"": ""mean_reversion"", ""time_stop"": 288, ""tp_mult"": 1.2756895385221882, ""tsl_mult"": 0.9524874759126543, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.134609033515358}"
8,-0.1190874313759499,-0.12050676616918764,-1000000000.0,0.12050676616918764,-0.1190874313759499,-0.12050676616918764,580.0,breakout,1,"{""adx_thresh"": 8.899944486787573, ""atr_max_pct"": 0.0795195033365483, ""atr_min_pct"": 0.02031514159673007, ""bb_std_mult"": 1.3349312908683768, ""edge_cap"": 0.7842655817799726, ""edge_k"": 0.23870751949489422, ""ema1"": 15, ""ema2"": 59, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 21, ""p_std"": 12, ""rsi_ob"": 60, ""rsi_os"": 23, ""rsi_period"": 50, ""rsi_required"": true, ""slip_atr_k"": 0.13038163532936456, ""slip_spread_k"": 0.133173504571241, ""spread_hl_frac"": 0.0013554755629221705, ""strategy"": ""breakout"", ""time_stop"": 201, ""tp_mult"": 2.4938445196012373, ""tsl_mult"": 0.30704924550687196, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10991659662770323}"
9,-0.07903684530774957,-0.0798024651876694,-1000000000.0,0.0798024651876694,-0.07903684530774957,-0.0798024651876694,450.0,breakout,1,"{""adx_thresh"": 21.609520857692004, ""atr_max_pct"": 0.1451841515534231, ""atr_min_pct"": 0.009472882850693403, ""bb_std_mult"": 3.4552956657563545, ""edge_cap"": 0.8823413224253128, ""edge_k"": 1.0501635906686122, ""ema1"": 22, ""ema2"": 43, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 35, ""p_std"": 55, ""rsi_ob"": 56, ""rsi_os"": 20, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.1179137551595969, ""slip_spread_k"": 0.9286716040982895, ""spread_hl_frac"": 0.02734930045418171, ""strategy"": ""breakout"", ""time_stop"": 231, ""tp_mult"": 2.4779286651042662, ""tsl_mult"": 0.10100086317543133, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1439331872127274}"
