number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.12177607803419999,-0.12305953403508306,-1000000000.0,0.12305953403508306,-0.12177607803419999,-0.12305953403508306,450.0,mean_reversion,1,"{""adx_thresh"": 34.77374515323182, ""atr_max_pct"": 0.05772390303638261, ""atr_min_pct"": 0.025244207559704777, ""bb_std_mult"": 1.1295940269810059, ""edge_cap"": 0.37590897416318175, ""edge_k"": 1.501408861990999, ""ema1"": 24, ""ema2"": 13, ""p_adx"": 24, ""p_atr"": 28, ""p_sma"": 41, ""p_std"": 43, ""rsi_ob"": 58, ""rsi_os"": 43, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.16532392845134597, ""slip_spread_k"": 0.4624232913001207, ""spread_hl_frac"": 0.007561871399745141, ""strategy"": ""mean_reversion"", ""time_stop"": 93, ""tp_mult"": 2.8031046734142713, ""tsl_mult"": 0.45928212253043343, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.19252108739784599}"
1,-0.1619933198193999,-0.16171438443683173,-1000000000.0,0.16171438443683173,-0.1619933198193999,-0.16171438443683173,484.0,breakout,1,"{""adx_thresh"": 29.005236979146346, ""atr_max_pct"": 0.07177460158590554, ""atr_min_pct"": 0.0032902723522824106, ""bb_std_mult"": 1.2853919784184071, ""edge_cap"": 0.06765331759716903, ""edge_k"": 1.49028998505327, ""ema1"": 17, ""ema2"": 13, ""p_adx"": 23, ""p_atr"": 16, ""p_sma"": 21, ""p_std"": 26, ""rsi_ob"": 91, ""rsi_os"": 40, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.1644560270206398, ""slip_spread_k"": 0.7365705601791595, ""spread_hl_frac"": 0.04073545656962504, ""strategy"": ""breakout"", ""time_stop"": 210, ""tp_mult"": 2.622962883865777, ""tsl_mult"": 0.09507519264245834, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07169899146342977}"
2,-0.12401150548644968,-0.12402874444413536,-1000000000.0,0.12402874444413536,-0.12401150548644968,-0.12402874444413536,515.0,mean_reversion,1,"{""adx_thresh"": 11.20333821501318, ""atr_max_pct"": 0.03725988476073148, ""atr_min_pct"": 0.02643692519316797, ""bb_std_mult"": 1.406262530587553, ""edge_cap"": 0.6741968403304095, ""edge_k"": 0.4276047904590532, ""ema1"": 16, ""ema2"": 38, ""p_adx"": 29, ""p_atr"": 11, ""p_sma"": 38, ""p_std"": 24, ""rsi_ob"": 90, ""rsi_os"": 38, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.06255521958085897, ""slip_spread_k"": 0.6378338083147602, ""spread_hl_frac"": 0.03342699630488525, ""strategy"": ""mean_reversion"", ""time_stop"": 162, ""tp_mult"": 1.3046443896098057, ""tsl_mult"": 0.02383935798868675, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.00784667660564895}"
3,-0.10478128963104971,-0.10483632342181727,-1000000000.0,0.10483632342181727,-0.10478128963104971,-0.10483632342181727,509.0,breakout,1,"{""adx_thresh"": 31.73464056392395, ""atr_max_pct"": 0.13321773098449105, ""atr_min_pct"": 0.01971436180080134, ""bb_std_mult"": 3.4691537346815884, ""edge_cap"": 0.1453708670359611, ""edge_k"": 1.7107734652326392, ""ema1"": 7, ""ema2"": 24, ""p_adx"": 14, ""p_atr"": 30, ""p_sma"": 52, ""p_std"": 32, ""rsi_ob"": 73, ""rsi_os"": 51, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.06647697399125571, ""slip_spread_k"": 0.6294644911871468, ""spread_hl_frac"": 0.0017192281413571432, ""strategy"": ""breakout"", ""time_stop"": 201, ""tp_mult"": 2.8865264315623467, ""tsl_mult"": 0.7838436636048255, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17413732215869573}"
4,-0.1456921466777994,-0.14682181942547343,-1000000000.0,0.14682181942547343,-0.1456921466777994,-0.14682181942547343,435.0,mean_reversion,1,"{""adx_thresh"": 10.327324509464463, ""atr_max_pct"": 0.023123205402478322, ""atr_min_pct"": 0.01861127189273811, ""bb_std_mult"": 1.686189342830886, ""edge_cap"": 0.4108282505794767, ""edge_k"": 1.005494705620849, ""ema1"": 9, ""ema2"": 60, ""p_adx"": 12, ""p_atr"": 16, ""p_sma"": 27, ""p_std"": 40, ""rsi_ob"": 65, ""rsi_os"": 24, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.22421734498784676, ""slip_spread_k"": 0.961530810846305, ""spread_hl_frac"": 0.0038689112527062197, ""strategy"": ""mean_reversion"", ""time_stop"": 250, ""tp_mult"": 2.043626336074668, ""tsl_mult"": 0.9503329594067648, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28831695045276445}"
5,-0.11614098521615035,-0.11828811130907055,-1000000000.0,0.11828811130907055,-0.11614098521615035,-0.11828811130907055,590.0,mean_reversion,1,"{""adx_thresh"": 32.143562516635384, ""atr_max_pct"": 0.12202545502790078, ""atr_min_pct"": 0.0160199497747343, ""bb_std_mult"": 1.7271324665653622, ""edge_cap"": 0.24728973036330648, ""edge_k"": 0.47959662624411403, ""ema1"": 12, ""ema2"": 31, ""p_adx"": 17, ""p_atr"": 12, ""p_sma"": 25, ""p_std"": 10, ""rsi_ob"": 54, ""rsi_os"": 33, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.04713680788718083, ""slip_spread_k"": 0.17843339750584108, ""spread_hl_frac"": 0.037706974467142246, ""strategy"": ""mean_reversion"", ""time_stop"": 18, ""tp_mult"": 1.6713757921852932, ""tsl_mult"": 0.1948848314619691, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21738503641265197}"
6,-0.1058943808078,-0.10717191305674956,-1000000000.0,0.10717191305674956,-0.1058943808078,-0.10717191305674956,434.0,breakout,1,"{""adx_thresh"": 29.83674125582341, ""atr_max_pct"": 0.022117687456720728, ""atr_min_pct"": 0.020656309877513622, ""bb_std_mult"": 1.662278112565668, ""edge_cap"": 0.27871508174366527, ""edge_k"": 0.05111527506291136, ""ema1"": 22, ""ema2"": 27, ""p_adx"": 8, ""p_atr"": 22, ""p_sma"": 54, ""p_std"": 53, ""rsi_ob"": 49, ""rsi_os"": 45, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.07606376221527919, ""slip_spread_k"": 0.9474678391401694, ""spread_hl_frac"": 0.040845343063615695, ""strategy"": ""breakout"", ""time_stop"": 300, ""tp_mult"": 2.7104320201667234, ""tsl_mult"": 0.20185244104212985, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07515661986210763}"
7,-0.13443648318365053,-0.13561118394308816,-1000000000.0,0.13561118394308816,-0.13443648318365053,-0.13561118394308816,449.0,mean_reversion,1,"{""adx_thresh"": 26.763973323368056, ""atr_max_pct"": 0.08969862108072867, ""atr_min_pct"": 0.0018015404354410536, ""bb_std_mult"": 1.7167445630152784, ""edge_cap"": 0.4565545836931224, ""edge_k"": 0.7717632025161085, ""ema1"": 21, ""ema2"": 19, ""p_adx"": 26, ""p_atr"": 14, ""p_sma"": 45, ""p_std"": 40, ""rsi_ob"": 94, ""rsi_os"": 24, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.1407424546926991, ""slip_spread_k"": 0.7807933102887187, ""spread_hl_frac"": 0.038639567938326735, ""strategy"": ""mean_reversion"", ""time_stop"": 174, ""tp_mult"": 1.4636994962517988, ""tsl_mult"": 0.2733601581761581, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11772157446110365}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.3809855778749, ""atr_max_pct"": 0.03890552591605449, ""atr_min_pct"": 0.02771039220782195, ""bb_std_mult"": 1.6781756634628942, ""edge_cap"": 0.860558539878888, ""edge_k"": 1.3279780789335043, ""ema1"": 6, ""ema2"": 60, ""p_adx"": 26, ""p_atr"": 23, ""p_sma"": 12, ""p_std"": 42, ""rsi_ob"": 94, ""rsi_os"": 53, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.13606541672066103, ""slip_spread_k"": 0.5304362720515602, ""spread_hl_frac"": 0.01951450360209723, ""strategy"": ""mean_reversion"", ""time_stop"": 267, ""tp_mult"": 2.914495389121114, ""tsl_mult"": 0.11649646875050113, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2202740129434086}"
9,-0.10256759017440054,-0.10321226337633546,-1000000000.0,0.10321226337633546,-0.10256759017440054,-0.10321226337633546,572.0,breakout,1,"{""adx_thresh"": 12.07905548808462, ""atr_max_pct"": 0.12643726269563468, ""atr_min_pct"": 0.014746120320179436, ""bb_std_mult"": 1.9732632239584966, ""edge_cap"": 0.4591322656058704, ""edge_k"": 1.2569552584531336, ""ema1"": 18, ""ema2"": 50, ""p_adx"": 11, ""p_atr"": 14, ""p_sma"": 42, ""p_std"": 10, ""rsi_ob"": 95, ""rsi_os"": 37, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.027511182906688192, ""slip_spread_k"": 0.5128608406696352, ""spread_hl_frac"": 0.0037797753697035477, ""strategy"": ""breakout"", ""time_stop"": 242, ""tp_mult"": 2.8723964798259956, ""tsl_mult"": 0.8118976297289664, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14705583735256617}"
