number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0843558329736499,-0.08521967439515725,-1000000000.0,0.08521967439515725,-0.0843558329736499,-0.08521967439515725,474.0,breakout,1,"{""adx_thresh"": 31.15009465284535, ""atr_max_pct"": 0.04052722629929888, ""atr_min_pct"": 0.007937439778139746, ""bb_std_mult"": 1.9504329179273907, ""edge_cap"": 0.8917245614121044, ""edge_k"": 1.9728094874694937, ""ema1"": 27, ""ema2"": 19, ""p_adx"": 22, ""p_atr"": 25, ""p_sma"": 31, ""p_std"": 43, ""rsi_ob"": 45, ""rsi_os"": 41, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.07376680345806183, ""slip_spread_k"": 0.9243649517401367, ""spread_hl_frac"": 0.039593631917151734, ""strategy"": ""breakout"", ""time_stop"": 283, ""tp_mult"": 1.132483676299155, ""tsl_mult"": 0.506001001169709, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14200703800456171}"
1,-0.1161476724232503,-0.11669169611095848,-1000000000.0,0.11669169611095848,-0.1161476724232503,-0.11669169611095848,475.0,mean_reversion,1,"{""adx_thresh"": 25.182411047132838, ""atr_max_pct"": 0.04536476493328016, ""atr_min_pct"": 0.007511193684598391, ""bb_std_mult"": 2.5519089663541497, ""edge_cap"": 0.5324058073291139, ""edge_k"": 0.5823875853789668, ""ema1"": 29, ""ema2"": 42, ""p_adx"": 15, ""p_atr"": 24, ""p_sma"": 30, ""p_std"": 39, ""rsi_ob"": 56, ""rsi_os"": 25, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.16837308413249824, ""slip_spread_k"": 0.7146354360528439, ""spread_hl_frac"": 0.044702395844177886, ""strategy"": ""mean_reversion"", ""time_stop"": 15, ""tp_mult"": 2.882039063253334, ""tsl_mult"": 0.4692280414697779, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2511629569668901}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 30.12984587804255, ""atr_max_pct"": 0.10284239567860098, ""atr_min_pct"": 0.012764819985615863, ""bb_std_mult"": 2.954797322402723, ""edge_cap"": 0.9093958224173706, ""edge_k"": 0.02961138246095807, ""ema1"": 29, ""ema2"": 44, ""p_adx"": 22, ""p_atr"": 30, ""p_sma"": 12, ""p_std"": 8, ""rsi_ob"": 46, ""rsi_os"": 11, ""rsi_period"": 62, ""rsi_required"": true, ""slip_atr_k"": 0.046513547510252495, ""slip_spread_k"": 0.24949883410589135, ""spread_hl_frac"": 0.024753335280954022, ""strategy"": ""mean_reversion"", ""time_stop"": 97, ""tp_mult"": 1.5986704326639958, ""tsl_mult"": 0.3654133877346488, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2229514131328007}"
3,-0.10348728054270018,-0.10559621369463548,-1000000000.0,0.10559621369463548,-0.10348728054270018,-0.10559621369463548,576.0,breakout,1,"{""adx_thresh"": 23.046193142038096, ""atr_max_pct"": 0.07691500032957739, ""atr_min_pct"": 0.02262320381857813, ""bb_std_mult"": 3.2745251419107753, ""edge_cap"": 0.2814766491774804, ""edge_k"": 0.7227939207622178, ""ema1"": 6, ""ema2"": 38, ""p_adx"": 17, ""p_atr"": 16, ""p_sma"": 28, ""p_std"": 14, ""rsi_ob"": 72, ""rsi_os"": 5, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.06609879662143309, ""slip_spread_k"": 0.6192745317055867, ""spread_hl_frac"": 0.038717067972479584, ""strategy"": ""breakout"", ""time_stop"": 268, ""tp_mult"": 2.650421403928237, ""tsl_mult"": 0.35846156925741246, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.135606629262985}"
4,-0.13940612115820006,-0.14020236562783836,-1000000000.0,0.14020236562783836,-0.13940612115820006,-0.14020236562783836,558.0,breakout,1,"{""adx_thresh"": 13.362191766140848, ""atr_max_pct"": 0.12797325050021055, ""atr_min_pct"": 0.028444689850540703, ""bb_std_mult"": 1.8021581993674003, ""edge_cap"": 0.6832236389689004, ""edge_k"": 0.7091922239420434, ""ema1"": 19, ""ema2"": 52, ""p_adx"": 16, ""p_atr"": 19, ""p_sma"": 26, ""p_std"": 12, ""rsi_ob"": 59, ""rsi_os"": 9, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.16212672983319654, ""slip_spread_k"": 0.5426754638437102, ""spread_hl_frac"": 0.02652542038633402, ""strategy"": ""breakout"", ""time_stop"": 144, ""tp_mult"": 2.4879051400592354, ""tsl_mult"": 0.7049251728327239, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2918794355426851}"
5,-0.15245190562519928,-0.15236970754992765,-1000000000.0,0.15236970754992765,-0.15245190562519928,-0.15236970754992765,540.0,mean_reversion,1,"{""adx_thresh"": 21.446563703511373, ""atr_max_pct"": 0.03561432225505568, ""atr_min_pct"": 0.001182143649748113, ""bb_std_mult"": 2.206804565447582, ""edge_cap"": 0.3018023230608728, ""edge_k"": 0.806956543111321, ""ema1"": 25, ""ema2"": 12, ""p_adx"": 19, ""p_atr"": 23, ""p_sma"": 18, ""p_std"": 19, ""rsi_ob"": 71, ""rsi_os"": 30, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.24548343587774704, ""slip_spread_k"": 0.5997190520842794, ""spread_hl_frac"": 0.009849106427293482, ""strategy"": ""mean_reversion"", ""time_stop"": 71, ""tp_mult"": 2.614831746128738, ""tsl_mult"": 0.7176560005233078, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16211263959647745}"
6,-0.09858533164495098,-0.09937979781195619,-1000000000.0,0.09937979781195619,-0.09858533164495098,-0.09937979781195619,480.0,mean_reversion,1,"{""adx_thresh"": 31.3857561815622, ""atr_max_pct"": 0.0625483304258915, ""atr_min_pct"": 0.01921490794734405, ""bb_std_mult"": 1.3246423992500935, ""edge_cap"": 0.08563774592295396, ""edge_k"": 1.4393988856693671, ""ema1"": 17, ""ema2"": 20, ""p_adx"": 14, ""p_atr"": 11, ""p_sma"": 34, ""p_std"": 42, ""rsi_ob"": 69, ""rsi_os"": 14, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.14563964225258405, ""slip_spread_k"": 0.1329082763285223, ""spread_hl_frac"": 0.04147577972423222, ""strategy"": ""mean_reversion"", ""time_stop"": 57, ""tp_mult"": 2.3333575922971357, ""tsl_mult"": 0.5510026797725791, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17387219390494899}"
7,-0.1111466886818,-0.11167568117540785,-1000000000.0,0.11167568117540785,-0.1111466886818,-0.11167568117540785,569.0,mean_reversion,1,"{""adx_thresh"": 26.297437835441507, ""atr_max_pct"": 0.11755665885654616, ""atr_min_pct"": 0.02898948250857343, ""bb_std_mult"": 1.4016414904563457, ""edge_cap"": 0.2648141279706459, ""edge_k"": 1.2189264137700355, ""ema1"": 9, ""ema2"": 34, ""p_adx"": 11, ""p_atr"": 10, ""p_sma"": 59, ""p_std"": 7, ""rsi_ob"": 77, ""rsi_os"": 47, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.11050268855655915, ""slip_spread_k"": 0.2648366708058285, ""spread_hl_frac"": 0.0013491775706074905, ""strategy"": ""mean_reversion"", ""time_stop"": 127, ""tp_mult"": 2.351523173052526, ""tsl_mult"": 0.7660182036275244, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08184025709572662}"
8,-0.048292094910350025,-0.05331863315512615,-1000000000.0,0.05331863315512615,-0.048292094910350025,-0.05331863315512615,526.0,mean_reversion,1,"{""adx_thresh"": 13.896188454137802, ""atr_max_pct"": 0.12196982061374396, ""atr_min_pct"": 0.012472532232876163, ""bb_std_mult"": 1.5394608221096167, ""edge_cap"": 0.7372850350001576, ""edge_k"": 0.6583188410051459, ""ema1"": 7, ""ema2"": 49, ""p_adx"": 15, ""p_atr"": 9, ""p_sma"": 34, ""p_std"": 41, ""rsi_ob"": 73, ""rsi_os"": 42, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.02116968165728117, ""slip_spread_k"": 0.00695473401646729, ""spread_hl_frac"": 0.008831940509051917, ""strategy"": ""mean_reversion"", ""time_stop"": 42, ""tp_mult"": 1.464539836255188, ""tsl_mult"": 0.5665551369914259, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23330048879607782}"
9,-0.13105492698760024,-0.13091353666339578,-1000000000.0,0.13091353666339578,-0.13105492698760024,-0.13091353666339578,492.0,breakout,1,"{""adx_thresh"": 19.220789014365295, ""atr_max_pct"": 0.07683765096692345, ""atr_min_pct"": 0.016845630620490562, ""bb_std_mult"": 2.0506005106937706, ""edge_cap"": 0.4650461923304124, ""edge_k"": 0.09852417707041816, ""ema1"": 6, ""ema2"": 17, ""p_adx"": 11, ""p_atr"": 15, ""p_sma"": 54, ""p_std"": 26, ""rsi_ob"": 94, ""rsi_os"": 36, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.20566498241486125, ""slip_spread_k"": 0.07515400915832215, ""spread_hl_frac"": 0.03841535808285677, ""strategy"": ""breakout"", ""time_stop"": 209, ""tp_mult"": 2.7520972945939888, ""tsl_mult"": 0.3480088123172691, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19220354123846387}"
