number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.1923788215798511,-0.19337129607148001,-1000000000.0,0.19337129607148001,-0.1923788215798511,-0.19337129607148001,562.0,breakout,1,"{""adx_thresh"": 10.520466875283988, ""atr_max_pct"": 0.13543158496774338, ""atr_min_pct"": 0.0006605513646633065, ""bb_std_mult"": 2.3160258982049315, ""edge_cap"": 0.2310189316261801, ""edge_k"": 0.28121116767444976, ""ema1"": 6, ""ema2"": 19, ""p_adx"": 26, ""p_atr"": 22, ""p_sma"": 13, ""p_std"": 11, ""rsi_ob"": 70, ""rsi_os"": 39, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.04220028094368811, ""slip_spread_k"": 0.9303196399686855, ""spread_hl_frac"": 0.022532121451756006, ""strategy"": ""breakout"", ""time_stop"": 85, ""tp_mult"": 1.450051972932003, ""tsl_mult"": 0.941106291713665, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10818730949997547}"
1,-0.15126100743625015,-0.15192903564403595,-1000000000.0,0.15192903564403595,-0.15126100743625015,-0.15192903564403595,425.0,mean_reversion,1,"{""adx_thresh"": 34.74635457088853, ""atr_max_pct"": 0.09025950838887786, ""atr_min_pct"": 0.015638094101641603, ""bb_std_mult"": 0.6713125759461961, ""edge_cap"": 0.2128196453761198, ""edge_k"": 0.6564194196398887, ""ema1"": 6, ""ema2"": 47, ""p_adx"": 20, ""p_atr"": 29, ""p_sma"": 20, ""p_std"": 44, ""rsi_ob"": 65, ""rsi_os"": 9, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.12746908505004986, ""slip_spread_k"": 0.07931675834735308, ""spread_hl_frac"": 0.01656310456712289, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 1.478821209799379, ""tsl_mult"": 0.9315399865080797, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21583768673335532}"
2,-0.1748047176626002,-0.1755579988561686,-1000000000.0,0.1755579988561686,-0.1748047176626002,-0.1755579988561686,500.0,mean_reversion,1,"{""adx_thresh"": 5.375457350063253, ""atr_max_pct"": 0.06357952998308151, ""atr_min_pct"": 0.013365967382723254, ""bb_std_mult"": 1.967493357200264, ""edge_cap"": 0.3555907564897051, ""edge_k"": 0.25567636766009594, ""ema1"": 12, ""ema2"": 58, ""p_adx"": 22, ""p_atr"": 22, ""p_sma"": 32, ""p_std"": 21, ""rsi_ob"": 71, ""rsi_os"": 22, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.02994447722454227, ""slip_spread_k"": 0.784042780531988, ""spread_hl_frac"": 0.04890995208790826, ""strategy"": ""mean_reversion"", ""time_stop"": 140, ""tp_mult"": 1.317274890384081, ""tsl_mult"": 0.08104837863278291, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.009469155862083722}"
3,-0.22075746059275003,-0.22134695201278062,-1000000000.0,0.22134695201278062,-0.22075746059275003,-0.22134695201278062,444.0,breakout,1,"{""adx_thresh"": 34.084965253218876, ""atr_max_pct"": 0.10851011467690401, ""atr_min_pct"": 0.01792826506050872, ""bb_std_mult"": 3.2226528786822324, ""edge_cap"": 0.6926484200651065, ""edge_k"": 1.035726344245453, ""ema1"": 22, ""ema2"": 11, ""p_adx"": 29, ""p_atr"": 8, ""p_sma"": 11, ""p_std"": 30, ""rsi_ob"": 94, ""rsi_os"": 55, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.24003806347261653, ""slip_spread_k"": 0.4592103449328965, ""spread_hl_frac"": 0.026040467039081156, ""strategy"": ""breakout"", ""time_stop"": 254, ""tp_mult"": 1.9951804306024568, ""tsl_mult"": 0.8732638692984058, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17118240719753283}"
4,-0.16262298846444978,-0.16403320965033888,-1000000000.0,0.16403320965033888,-0.16262298846444978,-0.16403320965033888,442.0,breakout,1,"{""adx_thresh"": 6.6561537686927394, ""atr_max_pct"": 0.0889350069298111, ""atr_min_pct"": 0.014851332459712615, ""bb_std_mult"": 1.8603188548833938, ""edge_cap"": 0.9974913469366298, ""edge_k"": 1.494898718342485, ""ema1"": 27, ""ema2"": 55, ""p_adx"": 22, ""p_atr"": 15, ""p_sma"": 8, ""p_std"": 30, ""rsi_ob"": 91, ""rsi_os"": 23, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.0615262996299529, ""slip_spread_k"": 0.365768133375036, ""spread_hl_frac"": 0.04096290540828204, ""strategy"": ""breakout"", ""time_stop"": 249, ""tp_mult"": 2.9607247389764924, ""tsl_mult"": 0.012735110876701983, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.040038452468107555}"
5,-0.14699930503574976,-0.1470941944361594,-1000000000.0,0.1470941944361594,-0.14699930503574976,-0.1470941944361594,519.0,breakout,1,"{""adx_thresh"": 19.52507401933153, ""atr_max_pct"": 0.110216591203818, ""atr_min_pct"": 0.019825732425797233, ""bb_std_mult"": 3.2607622220414685, ""edge_cap"": 0.5523742731028204, ""edge_k"": 1.3353018835690738, ""ema1"": 25, ""ema2"": 17, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 48, ""p_std"": 14, ""rsi_ob"": 72, ""rsi_os"": 14, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.004629326571780501, ""slip_spread_k"": 0.8835638901988133, ""spread_hl_frac"": 0.0036797291747443063, ""strategy"": ""breakout"", ""time_stop"": 75, ""tp_mult"": 2.593157673061761, ""tsl_mult"": 0.7820750825844278, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1790001962290422}"
6,-0.19312540759855024,-0.19303861841528233,-1000000000.0,0.19303861841528233,-0.19312540759855024,-0.19303861841528233,439.0,breakout,1,"{""adx_thresh"": 33.910388589741466, ""atr_max_pct"": 0.054117239109937466, ""atr_min_pct"": 0.017311147354393694, ""bb_std_mult"": 3.343822722596395, ""edge_cap"": 0.5711192338469896, ""edge_k"": 1.2297829829469913, ""ema1"": 20, ""ema2"": 52, ""p_adx"": 25, ""p_atr"": 10, ""p_sma"": 60, ""p_std"": 46, ""rsi_ob"": 72, ""rsi_os"": 47, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.18036026151605064, ""slip_spread_k"": 0.5451841963656759, ""spread_hl_frac"": 0.010954567696298401, ""strategy"": ""breakout"", ""time_stop"": 107, ""tp_mult"": 1.4539065507027888, ""tsl_mult"": 0.9252247442421881, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12749979154607652}"
7,-0.16909198972345152,-0.16925496911853652,-1000000000.0,0.16925496911853652,-0.16909198972345152,-0.16925496911853652,428.0,mean_reversion,1,"{""adx_thresh"": 7.147276362999975, ""atr_max_pct"": 0.13155027354487392, ""atr_min_pct"": 0.008679347656843056, ""bb_std_mult"": 0.9920060627965395, ""edge_cap"": 0.3700350409206061, ""edge_k"": 1.76184439265683, ""ema1"": 25, ""ema2"": 25, ""p_adx"": 19, ""p_atr"": 21, ""p_sma"": 12, ""p_std"": 38, ""rsi_ob"": 65, ""rsi_os"": 5, ""rsi_period"": 80, ""rsi_required"": true, ""slip_atr_k"": 0.14407973502841556, ""slip_spread_k"": 0.167607334363143, ""spread_hl_frac"": 0.0408982915601483, ""strategy"": ""mean_reversion"", ""time_stop"": 133, ""tp_mult"": 2.2149718004795864, ""tsl_mult"": 0.7144661795187971, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.013242501198520806}"
8,-0.1868655685438001,-0.1877630952349996,-1000000000.0,0.1877630952349996,-0.1868655685438001,-0.1877630952349996,455.0,breakout,1,"{""adx_thresh"": 27.426742215925657, ""atr_max_pct"": 0.05484452947262959, ""atr_min_pct"": 0.0026569985635340075, ""bb_std_mult"": 2.762266603656858, ""edge_cap"": 0.8206259533350752, ""edge_k"": 0.29471524654640313, ""ema1"": 21, ""ema2"": 11, ""p_adx"": 8, ""p_atr"": 24, ""p_sma"": 10, ""p_std"": 30, ""rsi_ob"": 51, ""rsi_os"": 7, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.13542012498450148, ""slip_spread_k"": 0.058305013529202254, ""spread_hl_frac"": 0.011314493770101753, ""strategy"": ""breakout"", ""time_stop"": 283, ""tp_mult"": 1.4292034113891525, ""tsl_mult"": 0.13374383249106925, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20818862327800114}"
9,-0.19754505776424947,-0.19796599876299562,-1000000000.0,0.19796599876299562,-0.19754505776424947,-0.19796599876299562,525.0,mean_reversion,1,"{""adx_thresh"": 14.081176788986955, ""atr_max_pct"": 0.14688203535280822, ""atr_min_pct"": 0.0276633090767456, ""bb_std_mult"": 0.9137217995772134, ""edge_cap"": 0.369162721861678, ""edge_k"": 0.6071795725240561, ""ema1"": 6, ""ema2"": 49, ""p_adx"": 26, ""p_atr"": 26, ""p_sma"": 6, ""p_std"": 15, ""rsi_ob"": 55, ""rsi_os"": 11, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.08932499354512968, ""slip_spread_k"": 0.41251852344564555, ""spread_hl_frac"": 0.013079516908767231, ""strategy"": ""mean_reversion"", ""time_stop"": 273, ""tp_mult"": 1.772431479222402, ""tsl_mult"": 0.12328921575593077, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05395279635377063}"
