number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.12119211241880035,-0.12239031197589109,-1000000000.0,0.12239031197589109,-0.12119211241880035,-0.12239031197589109,517.0,breakout,1,"{""adx_thresh"": 24.332617515321836, ""atr_max_pct"": 0.10150722744182476, ""atr_min_pct"": 0.017909270538114773, ""bb_std_mult"": 2.681756030067488, ""edge_cap"": 0.5332097647601239, ""edge_k"": 1.0782089886536914, ""ema1"": 9, ""ema2"": 21, ""p_adx"": 22, ""p_atr"": 24, ""p_sma"": 28, ""p_std"": 23, ""rsi_ob"": 47, ""rsi_os"": 9, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.16281957538289984, ""slip_spread_k"": 0.8246122775824422, ""spread_hl_frac"": 0.008713307102846802, ""strategy"": ""breakout"", ""time_stop"": 45, ""tp_mult"": 2.0190715885478063, ""tsl_mult"": 0.5514573338342478, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15030612935846593}"
1,-0.0547392342555002,-0.056553807951807644,-1000000000.0,0.056553807951807644,-0.0547392342555002,-0.056553807951807644,301.0,breakout,1,"{""adx_thresh"": 26.555946249505887, ""atr_max_pct"": 0.027242384161123546, ""atr_min_pct"": 0.01174034216990666, ""bb_std_mult"": 3.0894783416581926, ""edge_cap"": 0.8145028769388288, ""edge_k"": 1.7459224098330364, ""ema1"": 30, ""ema2"": 25, ""p_adx"": 19, ""p_atr"": 16, ""p_sma"": 5, ""p_std"": 40, ""rsi_ob"": 71, ""rsi_os"": 39, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.1326727609199502, ""slip_spread_k"": 0.3902422314520808, ""spread_hl_frac"": 0.04514714334922725, ""strategy"": ""breakout"", ""time_stop"": 122, ""tp_mult"": 2.1682402688324705, ""tsl_mult"": 0.7560676723020574, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12093787323405814}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.4698917308830755, ""atr_max_pct"": 0.12044177819308591, ""atr_min_pct"": 0.019236257475640717, ""bb_std_mult"": 2.4801806831489825, ""edge_cap"": 0.3175611356647402, ""edge_k"": 0.9723194966640716, ""ema1"": 14, ""ema2"": 38, ""p_adx"": 16, ""p_atr"": 8, ""p_sma"": 59, ""p_std"": 13, ""rsi_ob"": 94, ""rsi_os"": 55, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.21815004133921442, ""slip_spread_k"": 0.3796442535447262, ""spread_hl_frac"": 0.0391415879838556, ""strategy"": ""mean_reversion"", ""time_stop"": 107, ""tp_mult"": 2.050231431780656, ""tsl_mult"": 0.14192961439861906, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09664602115494204}"
3,-0.1338237306594996,-0.13478701542694363,-1000000000.0,0.13478701542694363,-0.1338237306594996,-0.13478701542694363,538.0,breakout,1,"{""adx_thresh"": 33.90069365724806, ""atr_max_pct"": 0.0783996239298416, ""atr_min_pct"": 0.0037567855184777697, ""bb_std_mult"": 3.1719304937413453, ""edge_cap"": 0.7318231641654079, ""edge_k"": 0.7970891322766789, ""ema1"": 30, ""ema2"": 23, ""p_adx"": 13, ""p_atr"": 23, ""p_sma"": 29, ""p_std"": 14, ""rsi_ob"": 51, ""rsi_os"": 54, ""rsi_period"": 36, ""rsi_required"": false, ""slip_atr_k"": 0.17945406281106344, ""slip_spread_k"": 0.3359353968366161, ""spread_hl_frac"": 0.02778689271767666, ""strategy"": ""breakout"", ""time_stop"": 51, ""tp_mult"": 2.716046106844087, ""tsl_mult"": 0.24214763995068767, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03735043561112545}"
4,-0.07363365298619917,-0.07866207704068916,-1000000000.0,0.07866207704068916,-0.07363365298619917,-0.07866207704068916,401.0,breakout,1,"{""adx_thresh"": 24.328719625519224, ""atr_max_pct"": 0.11360385089153537, ""atr_min_pct"": 0.010781236070160119, ""bb_std_mult"": 2.001923037667618, ""edge_cap"": 0.8727228807972751, ""edge_k"": 1.571856300217696, ""ema1"": 17, ""ema2"": 38, ""p_adx"": 7, ""p_atr"": 23, ""p_sma"": 11, ""p_std"": 50, ""rsi_ob"": 61, ""rsi_os"": 23, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.19259526777665362, ""slip_spread_k"": 0.1208409614982765, ""spread_hl_frac"": 0.019871822074681224, ""strategy"": ""breakout"", ""time_stop"": 9, ""tp_mult"": 1.6377753450456287, ""tsl_mult"": 0.28627709568230475, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07847765771405447}"
5,-0.09103755447889961,-0.09132174718325098,-1000000000.0,0.09132174718325098,-0.09103755447889961,-0.09132174718325098,400.0,breakout,1,"{""adx_thresh"": 28.48469192517241, ""atr_max_pct"": 0.11227879035472942, ""atr_min_pct"": 0.020671130485674337, ""bb_std_mult"": 1.7692480682571046, ""edge_cap"": 0.05918287507123759, ""edge_k"": 0.9231617615273779, ""ema1"": 21, ""ema2"": 16, ""p_adx"": 7, ""p_atr"": 15, ""p_sma"": 16, ""p_std"": 54, ""rsi_ob"": 63, ""rsi_os"": 26, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.20301260475293967, ""slip_spread_k"": 0.23825075837212717, ""spread_hl_frac"": 0.024740015146841807, ""strategy"": ""breakout"", ""time_stop"": 17, ""tp_mult"": 2.3721552500294156, ""tsl_mult"": 0.36058502930546876, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1899814640101336}"
6,-0.05764474411240039,-0.06674984662625333,-1000000000.0,0.06674984662625333,-0.05764474411240039,-0.06674984662625333,580.0,mean_reversion,1,"{""adx_thresh"": 20.323749263866116, ""atr_max_pct"": 0.11598781956434451, ""atr_min_pct"": 0.018411227844534722, ""bb_std_mult"": 1.355974089084881, ""edge_cap"": 0.5373317771297783, ""edge_k"": 1.8851432768153693, ""ema1"": 19, ""ema2"": 20, ""p_adx"": 28, ""p_atr"": 18, ""p_sma"": 53, ""p_std"": 35, ""rsi_ob"": 93, ""rsi_os"": 24, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.009108941172244617, ""slip_spread_k"": 0.0622380379017855, ""spread_hl_frac"": 0.01196509826835423, ""strategy"": ""mean_reversion"", ""time_stop"": 190, ""tp_mult"": 1.5630226829831109, ""tsl_mult"": 0.038930461469780075, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.017603798799163527}"
7,-0.12477350544959975,-0.12464313673567577,-1000000000.0,0.12464313673567577,-0.12477350544959975,-0.12464313673567577,491.0,breakout,1,"{""adx_thresh"": 30.161362769767784, ""atr_max_pct"": 0.02610930636478977, ""atr_min_pct"": 0.010864529379797384, ""bb_std_mult"": 0.5548326748270762, ""edge_cap"": 0.2415832322667103, ""edge_k"": 0.9116595759797907, ""ema1"": 6, ""ema2"": 11, ""p_adx"": 10, ""p_atr"": 7, ""p_sma"": 50, ""p_std"": 28, ""rsi_ob"": 94, ""rsi_os"": 16, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.18026464372213755, ""slip_spread_k"": 0.19860578238669924, ""spread_hl_frac"": 0.018755616563914848, ""strategy"": ""breakout"", ""time_stop"": 69, ""tp_mult"": 1.1900064276036242, ""tsl_mult"": 0.05607053509809412, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05518972783294289}"
8,-0.07298447675679931,-0.07588105319525074,-1000000000.0,0.07588105319525074,-0.07298447675679931,-0.07588105319525074,587.0,mean_reversion,1,"{""adx_thresh"": 30.265304154737095, ""atr_max_pct"": 0.05473894030923774, ""atr_min_pct"": 0.026123829382421093, ""bb_std_mult"": 3.08842576046677, ""edge_cap"": 0.24805059550087996, ""edge_k"": 0.10308242831976222, ""ema1"": 25, ""ema2"": 13, ""p_adx"": 25, ""p_atr"": 11, ""p_sma"": 35, ""p_std"": 10, ""rsi_ob"": 83, ""rsi_os"": 45, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.022907136812668927, ""slip_spread_k"": 0.1613275003057858, ""spread_hl_frac"": 0.042904645925645815, ""strategy"": ""mean_reversion"", ""time_stop"": 137, ""tp_mult"": 2.0735784260473245, ""tsl_mult"": 0.6203711341103776, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09652695119776729}"
9,-0.06606619682244963,-0.07105779509899764,-1000000000.0,0.07105779509899764,-0.06606619682244963,-0.07105779509899764,523.0,mean_reversion,1,"{""adx_thresh"": 25.186435397150603, ""atr_max_pct"": 0.12180418617641244, ""atr_min_pct"": 0.019598452889306985, ""bb_std_mult"": 3.3443727866783295, ""edge_cap"": 0.90428363204131, ""edge_k"": 1.3766799837802852, ""ema1"": 20, ""ema2"": 40, ""p_adx"": 26, ""p_atr"": 20, ""p_sma"": 49, ""p_std"": 45, ""rsi_ob"": 67, ""rsi_os"": 32, ""rsi_period"": 43, ""rsi_required"": true, ""slip_atr_k"": 0.055958590816871406, ""slip_spread_k"": 0.8454450226932437, ""spread_hl_frac"": 0.004183976585638893, ""strategy"": ""mean_reversion"", ""time_stop"": 300, ""tp_mult"": 2.9850906675166278, ""tsl_mult"": 0.7833180628211327, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2262495795505482}"
