number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.003633593134350299,-0.01124611179525439,-0.003633593134350299,0.01124611179525439,-0.003633593134350299,-0.01124611179525439,227.0,breakout,1,"{""adx_thresh"": 29.714335541973288, ""atr_max_pct"": 0.028546778927357075, ""atr_min_pct"": 0.022109643116691568, ""bb_std_mult"": 2.227037192719896, ""edge_cap"": 0.3719002925877075, ""edge_k"": 1.538924995490518, ""ema1"": 15, ""ema2"": 16, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 5, ""p_std"": 56, ""rsi_ob"": 90, ""rsi_os"": 27, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.1003346122366193, ""slip_spread_k"": 0.9194293802842686, ""spread_hl_frac"": 0.04107540012472878, ""strategy"": ""breakout"", ""time_stop"": 228, ""tp_mult"": 2.5198450471238503, ""tsl_mult"": 0.7605110010377716, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1630071523230206}"
1,-0.019965248307999728,-0.023565913920932026,-0.019965248307999728,0.023565913920932026,-0.019965248307999728,-0.023565913920932026,577.0,breakout,1,"{""adx_thresh"": 31.710994283358538, ""atr_max_pct"": 0.13888785958968064, ""atr_min_pct"": 0.020670691277624297, ""bb_std_mult"": 1.6529914825141947, ""edge_cap"": 0.7982333894617032, ""edge_k"": 1.9702295810006643, ""ema1"": 11, ""ema2"": 20, ""p_adx"": 8, ""p_atr"": 26, ""p_sma"": 24, ""p_std"": 17, ""rsi_ob"": 79, ""rsi_os"": 32, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.0762765873068125, ""slip_spread_k"": 0.47594986598814026, ""spread_hl_frac"": 0.011622549625434214, ""strategy"": ""breakout"", ""time_stop"": 280, ""tp_mult"": 2.7091077519452647, ""tsl_mult"": 0.9826238608488035, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22357090625109435}"
2,0.0015001786339996492,-0.009888670863052205,0.0015001786339996492,0.009888670863052205,0.0015001786339996492,-0.009888670863052205,503.0,mean_reversion,1,"{""adx_thresh"": 34.93160677028317, ""atr_max_pct"": 0.02205456556644099, ""atr_min_pct"": 0.010710854893701185, ""bb_std_mult"": 3.135622636067419, ""edge_cap"": 0.8316209195340987, ""edge_k"": 0.24024378837772287, ""ema1"": 21, ""ema2"": 14, ""p_adx"": 10, ""p_atr"": 15, ""p_sma"": 46, ""p_std"": 53, ""rsi_ob"": 85, ""rsi_os"": 48, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.024790821759024362, ""slip_spread_k"": 0.770597629171866, ""spread_hl_frac"": 0.010057147515417848, ""strategy"": ""mean_reversion"", ""time_stop"": 298, ""tp_mult"": 2.8885123413159275, ""tsl_mult"": 0.2689276964343189, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.23916791011211463}"
3,-0.05250419800569983,-0.05281531755158173,-1000000000.0,0.05281531755158173,-0.05250419800569983,-0.05281531755158173,518.0,breakout,1,"{""adx_thresh"": 9.411730925430575, ""atr_max_pct"": 0.12733409998961143, ""atr_min_pct"": 0.011380428132677695, ""bb_std_mult"": 0.7300214417769209, ""edge_cap"": 0.15461479552509644, ""edge_k"": 0.15628241071665916, ""ema1"": 29, ""ema2"": 37, ""p_adx"": 7, ""p_atr"": 14, ""p_sma"": 39, ""p_std"": 7, ""rsi_ob"": 77, ""rsi_os"": 40, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.23279577050343356, ""slip_spread_k"": 0.09775903931529795, ""spread_hl_frac"": 0.04752035855605047, ""strategy"": ""breakout"", ""time_stop"": 232, ""tp_mult"": 2.9761906959506637, ""tsl_mult"": 0.4282896559693784, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.27376282203679303}"
4,-0.003882333242300362,-0.012002034917719152,-0.003882333242300362,0.012002034917719152,-0.003882333242300362,-0.012002034917719152,518.0,breakout,1,"{""adx_thresh"": 27.665352043981727, ""atr_max_pct"": 0.1009448635855152, ""atr_min_pct"": 0.007724622783853363, ""bb_std_mult"": 0.7877037171199336, ""edge_cap"": 0.45250114058716234, ""edge_k"": 0.17252946650394096, ""ema1"": 5, ""ema2"": 24, ""p_adx"": 15, ""p_atr"": 15, ""p_sma"": 47, ""p_std"": 44, ""rsi_ob"": 65, ""rsi_os"": 49, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.041975698031998465, ""slip_spread_k"": 0.9218414633119072, ""spread_hl_frac"": 0.009626416857231125, ""strategy"": ""breakout"", ""time_stop"": 108, ""tp_mult"": 2.028007255822961, ""tsl_mult"": 0.9356836262726159, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29223363706941524}"
5,-0.03662274650529984,-0.03699138597515676,-1000000000.0,0.03699138597515676,-0.03662274650529984,-0.03699138597515676,493.0,breakout,1,"{""adx_thresh"": 20.64591435998045, ""atr_max_pct"": 0.028614800717910973, ""atr_min_pct"": 0.012809863138640026, ""bb_std_mult"": 1.061431853347968, ""edge_cap"": 0.6817462792199809, ""edge_k"": 0.416110491128586, ""ema1"": 18, ""ema2"": 39, ""p_adx"": 16, ""p_atr"": 10, ""p_sma"": 59, ""p_std"": 35, ""rsi_ob"": 69, ""rsi_os"": 8, ""rsi_period"": 62, ""rsi_required"": false, ""slip_atr_k"": 0.14717065235270108, ""slip_spread_k"": 0.2467236345584004, ""spread_hl_frac"": 0.044805271911204085, ""strategy"": ""breakout"", ""time_stop"": 95, ""tp_mult"": 1.7139920413618135, ""tsl_mult"": 0.43283441388055066, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09224829208202848}"
6,-0.03521995697054958,-0.03669306018093463,-1000000000.0,0.03669306018093463,-0.03521995697054958,-0.03669306018093463,513.0,breakout,1,"{""adx_thresh"": 25.884192256981134, ""atr_max_pct"": 0.1471700352386041, ""atr_min_pct"": 0.0063613074603886275, ""bb_std_mult"": 0.6361986037511999, ""edge_cap"": 0.6753109348499654, ""edge_k"": 0.6118077590952784, ""ema1"": 21, ""ema2"": 14, ""p_adx"": 28, ""p_atr"": 22, ""p_sma"": 12, ""p_std"": 23, ""rsi_ob"": 92, ""rsi_os"": 36, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.17383927856569534, ""slip_spread_k"": 0.166998179114638, ""spread_hl_frac"": 0.0024189446922639915, ""strategy"": ""breakout"", ""time_stop"": 217, ""tp_mult"": 1.8750603702838948, ""tsl_mult"": 0.293236186443411, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2903399752731448}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.27372386917492, ""atr_max_pct"": 0.029275354361242276, ""atr_min_pct"": 0.007808072528193423, ""bb_std_mult"": 1.17032844393806, ""edge_cap"": 0.2453592547944498, ""edge_k"": 1.2395595243175492, ""ema1"": 8, ""ema2"": 39, ""p_adx"": 25, ""p_atr"": 29, ""p_sma"": 57, ""p_std"": 33, ""rsi_ob"": 81, ""rsi_os"": 52, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.0772667298641529, ""slip_spread_k"": 0.1730034128067237, ""spread_hl_frac"": 0.034794875547736775, ""strategy"": ""mean_reversion"", ""time_stop"": 200, ""tp_mult"": 2.951167539732183, ""tsl_mult"": 0.8523512749102529, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21268292714956052}"
8,-0.0019961008048500206,-0.014024569760283274,-0.0019961008048500206,0.014024569760283274,-0.0019961008048500206,-0.014024569760283274,453.0,breakout,1,"{""adx_thresh"": 30.209315526565547, ""atr_max_pct"": 0.12665007447825233, ""atr_min_pct"": 0.009752512642988735, ""bb_std_mult"": 2.2962175757336434, ""edge_cap"": 0.5455283183069871, ""edge_k"": 1.8006684085866638, ""ema1"": 13, ""ema2"": 48, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 11, ""p_std"": 39, ""rsi_ob"": 55, ""rsi_os"": 30, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.027974226023671722, ""slip_spread_k"": 0.9107428574684276, ""spread_hl_frac"": 0.04053746588996482, ""strategy"": ""breakout"", ""time_stop"": 229, ""tp_mult"": 2.7714217435657056, ""tsl_mult"": 0.5409898092980732, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2363560297874622}"
9,-0.04588004415465019,-0.046590628512720986,-1000000000.0,0.046590628512720986,-0.04588004415465019,-0.046590628512720986,553.0,mean_reversion,1,"{""adx_thresh"": 15.682374890547933, ""atr_max_pct"": 0.0636524776186124, ""atr_min_pct"": 0.007388509573952143, ""bb_std_mult"": 1.5759418755781291, ""edge_cap"": 0.44504831162473774, ""edge_k"": 0.6304478459362379, ""ema1"": 17, ""ema2"": 21, ""p_adx"": 12, ""p_atr"": 27, ""p_sma"": 32, ""p_std"": 5, ""rsi_ob"": 93, ""rsi_os"": 41, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.16281608650962942, ""slip_spread_k"": 0.6842787925925267, ""spread_hl_frac"": 0.03919203237663863, ""strategy"": ""mean_reversion"", ""time_stop"": 58, ""tp_mult"": 1.4350580925025378, ""tsl_mult"": 0.3339822641214427, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15608106713252387}"
