number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.09926971772660032,-0.09982104986815103,-1000000000.0,0.09982104986815103,-0.09926971772660032,-0.09982104986815103,569.0,mean_reversion,1,"{""adx_thresh"": 30.51871964664453, ""atr_max_pct"": 0.14989258425287852, ""atr_min_pct"": 0.025136762144770716, ""bb_std_mult"": 2.95669883634886, ""bear_adx_thresh"": 12.029281356893739, ""bear_atr_max_pct"": 0.14316902417391508, ""bear_atr_min_pct"": 0.023764690645653938, ""bear_bb_std_mult"": 1.7655347873415708, ""bear_rsi_ob"": 49, ""bear_rsi_os"": 54, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 66, ""bear_tp_mult"": 1.463020767513087, ""bear_tsl_mult"": 0.9579165027511077, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 24.18526614808865, ""bull_atr_max_pct"": 0.1091273828408629, ""bull_atr_min_pct"": 0.005233944774735275, ""bull_bb_std_mult"": 1.5122485262672405, ""bull_rsi_ob"": 79, ""bull_rsi_os"": 38, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 170, ""bull_tp_mult"": 2.3180653297093436, ""bull_tsl_mult"": 0.9128309864817017, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.6258029274067967, ""edge_k"": 0.10995111864393836, ""ema1"": 24, ""ema2"": 14, ""p_adx"": 15, ""p_atr"": 27, ""p_sma"": 52, ""p_std"": 8, ""rsi_ob"": 86, ""rsi_os"": 14, ""rsi_period"": 74, ""rsi_required"": false, ""sideways_adx_thresh"": 34.91927446985528, ""sideways_atr_max_pct"": 0.1419924695216983, ""sideways_atr_min_pct"": 0.022720564534051926, ""sideways_bb_std_mult"": 1.4752192550855436, ""sideways_rsi_ob"": 74, ""sideways_rsi_os"": 24, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 153, ""sideways_tp_mult"": 1.7064022660096703, ""sideways_tsl_mult"": 0.6043102206953013, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.08975822354334467, ""slip_spread_k"": 0.34786335806503943, ""spread_hl_frac"": 0.011587272945583921, ""strategy"": ""mean_reversion"", ""time_stop"": 26, ""tp_mult"": 1.2054110809393148, ""tsl_mult"": 0.1275296130507475, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12459899410136817}"
1,-0.025195311303099488,-0.030179217899678923,-1000000000.0,0.030179217899678923,-0.025195311303099488,-0.030179217899678923,256.0,mean_reversion,1,"{""adx_thresh"": 21.398704678130127, ""atr_max_pct"": 0.041045771280214166, ""atr_min_pct"": 0.0006910150461318576, ""bb_std_mult"": 3.047865924997424, ""bear_adx_thresh"": 10.399373326197987, ""bear_atr_max_pct"": 0.134040039906851, ""bear_atr_min_pct"": 0.019392132569453196, ""bear_bb_std_mult"": 2.105811355992558, ""bear_rsi_ob"": 80, ""bear_rsi_os"": 25, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 138, ""bear_tp_mult"": 2.259489240481687, ""bear_tsl_mult"": 0.3501574723857652, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 26.145821663186563, ""bull_atr_max_pct"": 0.029208797776608522, ""bull_atr_min_pct"": 0.02315041955372273, ""bull_bb_std_mult"": 2.0343733234607835, ""bull_rsi_ob"": 73, ""bull_rsi_os"": 20, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 287, ""bull_tp_mult"": 2.275659136112279, ""bull_tsl_mult"": 0.5723244541415189, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9087259601655279, ""edge_k"": 0.09953266583189024, ""ema1"": 17, ""ema2"": 25, ""p_adx"": 10, ""p_atr"": 26, ""p_sma"": 5, ""p_std"": 49, ""rsi_ob"": 75, ""rsi_os"": 35, ""rsi_period"": 40, ""rsi_required"": true, ""sideways_adx_thresh"": 13.782501087555328, ""sideways_atr_max_pct"": 0.1060674653676296, ""sideways_atr_min_pct"": 0.017442778114969734, ""sideways_bb_std_mult"": 2.747973296909023, ""sideways_rsi_ob"": 73, ""sideways_rsi_os"": 39, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 183, ""sideways_tp_mult"": 1.7739214689087024, ""sideways_tsl_mult"": 0.44615654425368756, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.08580274017738215, ""slip_spread_k"": 0.2284115833486834, ""spread_hl_frac"": 0.03206733417940165, ""strategy"": ""mean_reversion"", ""time_stop"": 297, ""tp_mult"": 1.24575848810945, ""tsl_mult"": 0.5658736950677361, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09999385493900455}"
2,-0.12435537908285077,-0.12470319873626128,-1000000000.0,0.12470319873626128,-0.12435537908285077,-0.12470319873626128,533.0,breakout,1,"{""adx_thresh"": 31.987621172100667, ""atr_max_pct"": 0.0990629028489025, ""atr_min_pct"": 0.025205127054136384, ""bb_std_mult"": 0.9556649236918873, ""bear_adx_thresh"": 32.832542697573494, ""bear_atr_max_pct"": 0.11974057631622803, ""bear_atr_min_pct"": 0.026936755457082122, ""bear_bb_std_mult"": 3.2623603185083225, ""bear_rsi_ob"": 76, ""bear_rsi_os"": 43, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 98, ""bear_tp_mult"": 1.8403094150042147, ""bear_tsl_mult"": 0.9057422545631529, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 33.57319394006838, ""bull_atr_max_pct"": 0.07172868279706233, ""bull_atr_min_pct"": 0.00272898473907321, ""bull_bb_std_mult"": 2.4781278720893116, ""bull_rsi_ob"": 87, ""bull_rsi_os"": 36, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 295, ""bull_tp_mult"": 1.0603090878222354, ""bull_tsl_mult"": 0.5697158139167127, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.42713432819346264, ""edge_k"": 1.1451941600464808, ""ema1"": 9, ""ema2"": 51, ""p_adx"": 16, ""p_atr"": 15, ""p_sma"": 56, ""p_std"": 13, ""rsi_ob"": 55, ""rsi_os"": 32, ""rsi_period"": 9, ""rsi_required"": true, ""sideways_adx_thresh"": 12.652928766166024, ""sideways_atr_max_pct"": 0.059791170877180166, ""sideways_atr_min_pct"": 0.001759762978987196, ""sideways_bb_std_mult"": 2.5413396661473056, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 15, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 159, ""sideways_tp_mult"": 1.8179998618419426, ""sideways_tsl_mult"": 0.5979734381151067, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1396403121788718, ""slip_spread_k"": 0.9463715965112358, ""spread_hl_frac"": 0.016997105862598456, ""strategy"": ""breakout"", ""time_stop"": 133, ""tp_mult"": 1.9101493778841991, ""tsl_mult"": 0.8571257084403624, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1301558968971599}"
3,-0.1440165713760504,-0.14455754444903404,-1000000000.0,0.14455754444903404,-0.1440165713760504,-0.14455754444903404,450.0,mean_reversion,1,"{""adx_thresh"": 30.082216326006964, ""atr_max_pct"": 0.04673620684551888, ""atr_min_pct"": 0.026072618965105963, ""bb_std_mult"": 0.5445160646482081, ""bear_adx_thresh"": 24.9504675865446, ""bear_atr_max_pct"": 0.1093504823788134, ""bear_atr_min_pct"": 0.0076102003542881545, ""bear_bb_std_mult"": 1.664134201030522, ""bear_rsi_ob"": 64, ""bear_rsi_os"": 40, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 167, ""bear_tp_mult"": 1.8979903648278162, ""bear_tsl_mult"": 0.707132168336592, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 14.40570352626248, ""bull_atr_max_pct"": 0.07600587290555848, ""bull_atr_min_pct"": 0.016450356246084454, ""bull_bb_std_mult"": 3.574658655987007, ""bull_rsi_ob"": 87, ""bull_rsi_os"": 44, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 178, ""bull_tp_mult"": 2.2917884275616087, ""bull_tsl_mult"": 0.17520084819795323, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.1720223000113849, ""edge_k"": 0.4975513024587386, ""ema1"": 15, ""ema2"": 12, ""p_adx"": 18, ""p_atr"": 16, ""p_sma"": 11, ""p_std"": 33, ""rsi_ob"": 62, ""rsi_os"": 18, ""rsi_period"": 34, ""rsi_required"": true, ""sideways_adx_thresh"": 10.75186352266034, ""sideways_atr_max_pct"": 0.027284070719482106, ""sideways_atr_min_pct"": 0.0049090716301031945, ""sideways_bb_std_mult"": 2.24702451943939, ""sideways_rsi_ob"": 88, ""sideways_rsi_os"": 35, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 256, ""sideways_tp_mult"": 2.68960463431309, ""sideways_tsl_mult"": 0.403354558751464, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.24720802459499747, ""slip_spread_k"": 0.814003508820025, ""spread_hl_frac"": 0.03551250716522704, ""strategy"": ""mean_reversion"", ""time_stop"": 181, ""tp_mult"": 2.642759180143941, ""tsl_mult"": 0.35341613382898396, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20771223558905902}"
4,-0.1428477669733491,-0.14267491436369678,-1000000000.0,0.14267491436369678,-0.1428477669733491,-0.14267491436369678,479.0,breakout,1,"{""adx_thresh"": 14.762831022867983, ""atr_max_pct"": 0.04293014011262772, ""atr_min_pct"": 0.027338222201471283, ""bb_std_mult"": 3.4498413732579727, ""bear_adx_thresh"": 24.620533956160955, ""bear_atr_max_pct"": 0.08235499543943423, ""bear_atr_min_pct"": 0.02598128694921464, ""bear_bb_std_mult"": 1.6567072407990162, ""bear_rsi_ob"": 65, ""bear_rsi_os"": 35, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 144, ""bear_tp_mult"": 1.0143978842285588, ""bear_tsl_mult"": 0.24376832733096288, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 20.60295623837708, ""bull_atr_max_pct"": 0.11980652920421611, ""bull_atr_min_pct"": 0.010110146268677392, ""bull_bb_std_mult"": 2.8683296869486496, ""bull_rsi_ob"": 55, ""bull_rsi_os"": 29, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 30, ""bull_tp_mult"": 1.3589298188789953, ""bull_tsl_mult"": 0.03590106345603461, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.23122033458535468, ""edge_k"": 1.1110542074771401, ""ema1"": 16, ""ema2"": 59, ""p_adx"": 7, ""p_atr"": 19, ""p_sma"": 50, ""p_std"": 25, ""rsi_ob"": 58, ""rsi_os"": 18, ""rsi_period"": 78, ""rsi_required"": true, ""sideways_adx_thresh"": 25.748251712418575, ""sideways_atr_max_pct"": 0.08775102843432121, ""sideways_atr_min_pct"": 0.002800738981061921, ""sideways_bb_std_mult"": 0.9668939773803866, ""sideways_rsi_ob"": 66, ""sideways_rsi_os"": 33, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 268, ""sideways_tp_mult"": 2.404205080979635, ""sideways_tsl_mult"": 0.6553454222596805, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.22025177615402125, ""slip_spread_k"": 0.9429851984066603, ""spread_hl_frac"": 0.03187373182992661, ""strategy"": ""breakout"", ""time_stop"": 9, ""tp_mult"": 1.1368707276226167, ""tsl_mult"": 0.08422482239094709, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08826658988444737}"
5,-0.1187243917140498,-0.11949121665002058,-1000000000.0,0.11949121665002058,-0.1187243917140498,-0.11949121665002058,512.0,breakout,1,"{""adx_thresh"": 32.636890252248065, ""atr_max_pct"": 0.05382525292718776, ""atr_min_pct"": 0.018050026317400967, ""bb_std_mult"": 1.4203819219825258, ""bear_adx_thresh"": 23.179578258982446, ""bear_atr_max_pct"": 0.06991604841747692, ""bear_atr_min_pct"": 0.00741863564493051, ""bear_bb_std_mult"": 1.2304360201086435, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 24, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 246, ""bear_tp_mult"": 2.7230359656654812, ""bear_tsl_mult"": 0.11703210228266103, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 26.61897498353834, ""bull_atr_max_pct"": 0.10573578194111684, ""bull_atr_min_pct"": 0.004796785257937745, ""bull_bb_std_mult"": 1.2280738289605142, ""bull_rsi_ob"": 85, ""bull_rsi_os"": 16, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 242, ""bull_tp_mult"": 2.475290137854315, ""bull_tsl_mult"": 0.1323710930652069, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.6760037280647028, ""edge_k"": 1.0344975969001062, ""ema1"": 10, ""ema2"": 31, ""p_adx"": 23, ""p_atr"": 19, ""p_sma"": 38, ""p_std"": 26, ""rsi_ob"": 77, ""rsi_os"": 29, ""rsi_period"": 29, ""rsi_required"": true, ""sideways_adx_thresh"": 15.808008548394817, ""sideways_atr_max_pct"": 0.14920313951588968, ""sideways_atr_min_pct"": 0.0006148917131897568, ""sideways_bb_std_mult"": 2.8480293106236756, ""sideways_rsi_ob"": 47, ""sideways_rsi_os"": 13, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 263, ""sideways_tp_mult"": 1.8203704368349916, ""sideways_tsl_mult"": 0.635522162205101, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.13250094392586434, ""slip_spread_k"": 0.879332272241997, ""spread_hl_frac"": 0.04074668459787099, ""strategy"": ""breakout"", ""time_stop"": 247, ""tp_mult"": 1.3887359470431553, ""tsl_mult"": 0.3609970084919183, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.27562575528548544}"
6,-0.07853491066089968,-0.07925560447375987,-1000000000.0,0.07925560447375987,-0.07853491066089968,-0.07925560447375987,584.0,breakout,1,"{""adx_thresh"": 22.3109871136344, ""atr_max_pct"": 0.11461876982208279, ""atr_min_pct"": 0.0259723754133347, ""bb_std_mult"": 2.4775440657252896, ""bear_adx_thresh"": 25.31610077046708, ""bear_atr_max_pct"": 0.01773723874378675, ""bear_atr_min_pct"": 0.0198289712855764, ""bear_bb_std_mult"": 2.8912738762824537, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 23, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 30, ""bear_tp_mult"": 1.3580386026721716, ""bear_tsl_mult"": 0.11680949672833019, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.33284430050021, ""bull_atr_max_pct"": 0.07932383253245284, ""bull_atr_min_pct"": 0.01037987781848228, ""bull_bb_std_mult"": 2.4449254353772103, ""bull_rsi_ob"": 56, ""bull_rsi_os"": 27, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 246, ""bull_tp_mult"": 2.6724121070037103, ""bull_tsl_mult"": 0.3665066355883192, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.8918040762486236, ""edge_k"": 0.8619265832818142, ""ema1"": 9, ""ema2"": 14, ""p_adx"": 21, ""p_atr"": 10, ""p_sma"": 48, ""p_std"": 9, ""rsi_ob"": 76, ""rsi_os"": 23, ""rsi_period"": 42, ""rsi_required"": true, ""sideways_adx_thresh"": 17.552677509623685, ""sideways_atr_max_pct"": 0.07359289938413541, ""sideways_atr_min_pct"": 0.027486293858501376, ""sideways_bb_std_mult"": 2.8631150221676336, ""sideways_rsi_ob"": 64, ""sideways_rsi_os"": 41, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 181, ""sideways_tp_mult"": 1.2527975695189488, ""sideways_tsl_mult"": 0.7587500413110981, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.04718028048352424, ""slip_spread_k"": 0.07451300768575941, ""spread_hl_frac"": 0.011104011136322301, ""strategy"": ""breakout"", ""time_stop"": 124, ""tp_mult"": 1.674386206308025, ""tsl_mult"": 0.7956560828998867, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1572686554374047}"
7,-0.08231842280640067,-0.08528968199662339,-1000000000.0,0.08528968199662339,-0.08231842280640067,-0.08528968199662339,571.0,breakout,1,"{""adx_thresh"": 13.867109896851359, ""atr_max_pct"": 0.08270665233086247, ""atr_min_pct"": 0.01688476513062167, ""bb_std_mult"": 2.187603849233092, ""bear_adx_thresh"": 15.950665434280008, ""bear_atr_max_pct"": 0.07960234772170886, ""bear_atr_min_pct"": 0.02631597202750528, ""bear_bb_std_mult"": 1.5491907099640614, ""bear_rsi_ob"": 69, ""bear_rsi_os"": 41, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 279, ""bear_tp_mult"": 1.5649553671076522, ""bear_tsl_mult"": 0.8185658905725567, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 28.401446569437226, ""bull_atr_max_pct"": 0.0634301871217642, ""bull_atr_min_pct"": 0.013892587594010623, ""bull_bb_std_mult"": 2.3077773308115583, ""bull_rsi_ob"": 67, ""bull_rsi_os"": 53, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 245, ""bull_tp_mult"": 2.247861199060219, ""bull_tsl_mult"": 0.5188718591797847, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8722475491458329, ""edge_k"": 1.0903956097638954, ""ema1"": 26, ""ema2"": 43, ""p_adx"": 16, ""p_atr"": 7, ""p_sma"": 60, ""p_std"": 21, ""rsi_ob"": 64, ""rsi_os"": 12, ""rsi_period"": 9, ""rsi_required"": true, ""sideways_adx_thresh"": 33.73360071343681, ""sideways_atr_max_pct"": 0.0931616309830427, ""sideways_atr_min_pct"": 0.01845118642683733, ""sideways_bb_std_mult"": 1.8375841066388472, ""sideways_rsi_ob"": 61, ""sideways_rsi_os"": 49, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 275, ""sideways_tp_mult"": 1.3093306919040288, ""sideways_tsl_mult"": 0.5373855056595037, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.023382595986804866, ""slip_spread_k"": 0.8192214197080194, ""spread_hl_frac"": 0.029734066439861935, ""strategy"": ""breakout"", ""time_stop"": 186, ""tp_mult"": 1.696023226995367, ""tsl_mult"": 0.4002414779391017, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1439797752422168}"
8,-0.12052369146714992,-0.12041396807598613,-1000000000.0,0.12041396807598613,-0.12052369146714992,-0.12041396807598613,494.0,mean_reversion,1,"{""adx_thresh"": 30.02145344120847, ""atr_max_pct"": 0.024284197477243474, ""atr_min_pct"": 0.010443973922082123, ""bb_std_mult"": 1.5315525675647452, ""bear_adx_thresh"": 34.4867049889863, ""bear_atr_max_pct"": 0.058451253091178004, ""bear_atr_min_pct"": 0.004616605973367299, ""bear_bb_std_mult"": 2.2900469971006485, ""bear_rsi_ob"": 56, ""bear_rsi_os"": 30, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 236, ""bear_tp_mult"": 1.0968716045671525, ""bear_tsl_mult"": 0.2411618975890487, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.50969246459973, ""bull_atr_max_pct"": 0.025609687610166753, ""bull_atr_min_pct"": 0.005523906494394802, ""bull_bb_std_mult"": 2.7159637361223363, ""bull_rsi_ob"": 95, ""bull_rsi_os"": 26, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 28, ""bull_tp_mult"": 1.9437161970262633, ""bull_tsl_mult"": 0.31870132845686316, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6037433265387866, ""edge_k"": 1.7526046079564956, ""ema1"": 10, ""ema2"": 14, ""p_adx"": 17, ""p_atr"": 9, ""p_sma"": 59, ""p_std"": 36, ""rsi_ob"": 54, ""rsi_os"": 25, ""rsi_period"": 8, ""rsi_required"": false, ""sideways_adx_thresh"": 19.27334998707084, ""sideways_atr_max_pct"": 0.0685856448790521, ""sideways_atr_min_pct"": 0.024241565225584648, ""sideways_bb_std_mult"": 1.099592130437233, ""sideways_rsi_ob"": 64, ""sideways_rsi_os"": 18, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 107, ""sideways_tp_mult"": 2.4767743787769563, ""sideways_tsl_mult"": 0.490311446296558, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.15431330050666975, ""slip_spread_k"": 0.7724510350581635, ""spread_hl_frac"": 0.011555199549962637, ""strategy"": ""mean_reversion"", ""time_stop"": 134, ""tp_mult"": 2.501423533561788, ""tsl_mult"": 0.7085779872030884, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0235322121410252}"
9,-0.09555292496099899,-0.09797387506206642,-1000000000.0,0.09797387506206642,-0.09555292496099899,-0.09797387506206642,504.0,breakout,1,"{""adx_thresh"": 21.15649822437712, ""atr_max_pct"": 0.12830768248795035, ""atr_min_pct"": 0.028402127104595738, ""bb_std_mult"": 0.9276852480463541, ""bear_adx_thresh"": 15.428947211766658, ""bear_atr_max_pct"": 0.10259181004801406, ""bear_atr_min_pct"": 0.027038312723729963, ""bear_bb_std_mult"": 2.9276190440744685, ""bear_rsi_ob"": 83, ""bear_rsi_os"": 19, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 5, ""bear_tp_mult"": 2.5885845292113956, ""bear_tsl_mult"": 0.7559996820997216, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 11.881897261188584, ""bull_atr_max_pct"": 0.03554205576744425, ""bull_atr_min_pct"": 0.025144931990217667, ""bull_bb_std_mult"": 0.8615156499940249, ""bull_rsi_ob"": 80, ""bull_rsi_os"": 52, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 156, ""bull_tp_mult"": 2.0083798365370376, ""bull_tsl_mult"": 0.8140068887217242, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.5650728856993361, ""edge_k"": 0.06823116104970284, ""ema1"": 18, ""ema2"": 23, ""p_adx"": 7, ""p_atr"": 11, ""p_sma"": 15, ""p_std"": 34, ""rsi_ob"": 90, ""rsi_os"": 19, ""rsi_period"": 28, ""rsi_required"": true, ""sideways_adx_thresh"": 32.04463263864979, ""sideways_atr_max_pct"": 0.09029257401381631, ""sideways_atr_min_pct"": 0.015940939110083784, ""sideways_bb_std_mult"": 2.6714341512418533, ""sideways_rsi_ob"": 46, ""sideways_rsi_os"": 49, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 169, ""sideways_tp_mult"": 2.048659084731471, ""sideways_tsl_mult"": 0.23050490104910182, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.09031182555479103, ""slip_spread_k"": 0.7862012073989734, ""spread_hl_frac"": 0.04447271982205922, ""strategy"": ""breakout"", ""time_stop"": 271, ""tp_mult"": 1.0284443059990016, ""tsl_mult"": 0.8886205774262373, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04936069610209193}"
