number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.10711270247480076,-0.10765250629798222,-1000000000.0,0.10765250629798222,-0.10711270247480076,-0.10765250629798222,546.0,mean_reversion,1,"{""adx_thresh"": 34.81929479235073, ""atr_max_pct"": 0.09030716526929233, ""atr_min_pct"": 0.007358675334126027, ""bb_std_mult"": 0.8717833065910916, ""edge_cap"": 0.05349033638107839, ""edge_k"": 1.3381736839679212, ""ema1"": 21, ""ema2"": 54, ""p_adx"": 24, ""p_atr"": 10, ""p_sma"": 57, ""p_std"": 13, ""rsi_ob"": 92, ""rsi_os"": 16, ""rsi_period"": 68, ""rsi_required"": true, ""slip_atr_k"": 0.07947800013156356, ""slip_spread_k"": 0.5654637446694584, ""spread_hl_frac"": 0.0477513472401743, ""strategy"": ""mean_reversion"", ""time_stop"": 187, ""tp_mult"": 2.0828837282174115, ""tsl_mult"": 0.42710922965328535, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18194217347305694}"
1,-0.10570370149939967,-0.10563570593857756,-1000000000.0,0.10563570593857756,-0.10570370149939967,-0.10563570593857756,522.0,breakout,1,"{""adx_thresh"": 28.061668899414236, ""atr_max_pct"": 0.06859240385698362, ""atr_min_pct"": 0.024956880890787507, ""bb_std_mult"": 3.193837484937139, ""edge_cap"": 0.6524307260707403, ""edge_k"": 0.1505189043252615, ""ema1"": 11, ""ema2"": 35, ""p_adx"": 16, ""p_atr"": 29, ""p_sma"": 45, ""p_std"": 19, ""rsi_ob"": 65, ""rsi_os"": 55, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.09694445988270778, ""slip_spread_k"": 0.8562392416347357, ""spread_hl_frac"": 0.04230008513468086, ""strategy"": ""breakout"", ""time_stop"": 160, ""tp_mult"": 2.1677300849031176, ""tsl_mult"": 0.03728779045835695, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2962473207826411}"
2,-0.11103834057584938,-0.11147407631850412,-1000000000.0,0.11147407631850412,-0.11103834057584938,-0.11147407631850412,408.0,breakout,1,"{""adx_thresh"": 28.087785741437482, ""atr_max_pct"": 0.05754397604866327, ""atr_min_pct"": 0.020590419086357684, ""bb_std_mult"": 2.1350266630374097, ""edge_cap"": 0.2455534522370384, ""edge_k"": 1.5896696357957218, ""ema1"": 23, ""ema2"": 39, ""p_adx"": 20, ""p_atr"": 11, ""p_sma"": 28, ""p_std"": 56, ""rsi_ob"": 85, ""rsi_os"": 12, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.24231325225873446, ""slip_spread_k"": 0.02925041040536469, ""spread_hl_frac"": 0.045735180080944154, ""strategy"": ""breakout"", ""time_stop"": 279, ""tp_mult"": 1.5202244770766544, ""tsl_mult"": 0.8649507251237462, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22960226512047674}"
3,-0.04880408238215006,-0.05556098194871448,-1000000000.0,0.05556098194871448,-0.04880408238215006,-0.05556098194871448,478.0,breakout,1,"{""adx_thresh"": 20.96760971585188, ""atr_max_pct"": 0.14082668620842848, ""atr_min_pct"": 0.012227283760074417, ""bb_std_mult"": 2.1930821249568555, ""edge_cap"": 0.2058231241034831, ""edge_k"": 0.42314667141163964, ""ema1"": 10, ""ema2"": 48, ""p_adx"": 20, ""p_atr"": 23, ""p_sma"": 43, ""p_std"": 60, ""rsi_ob"": 89, ""rsi_os"": 33, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.023143060639315177, ""slip_spread_k"": 0.6567066149389799, ""spread_hl_frac"": 0.014567784646685594, ""strategy"": ""breakout"", ""time_stop"": 182, ""tp_mult"": 1.544676350118043, ""tsl_mult"": 0.5922038844997088, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08260552457495814}"
4,-0.03739441933530019,-0.04080042661541503,-1000000000.0,0.04080042661541503,-0.03739441933530019,-0.04080042661541503,280.0,mean_reversion,1,"{""adx_thresh"": 22.761011541213456, ""atr_max_pct"": 0.10780544913150282, ""atr_min_pct"": 0.020040302237441132, ""bb_std_mult"": 0.7535806789115307, ""edge_cap"": 0.6481880695461886, ""edge_k"": 0.36437142665500355, ""ema1"": 29, ""ema2"": 18, ""p_adx"": 19, ""p_atr"": 10, ""p_sma"": 6, ""p_std"": 52, ""rsi_ob"": 86, ""rsi_os"": 47, ""rsi_period"": 48, ""rsi_required"": false, ""slip_atr_k"": 0.10370942412869319, ""slip_spread_k"": 0.10391855622331292, ""spread_hl_frac"": 0.008144374890065498, ""strategy"": ""mean_reversion"", ""time_stop"": 104, ""tp_mult"": 1.0664130536900287, ""tsl_mult"": 0.705266101762913, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1759124934140678}"
5,,,-1000000000.0,,,,,mean_reversion,1,"{""adx_thresh"": 17.893803210442037, ""atr_max_pct"": 0.11610699664855086, ""atr_min_pct"": 0.006753039503472775, ""bb_std_mult"": 0.8293242459651486, ""edge_cap"": 0.6689552283204435, ""edge_k"": 0.23534556584162258, ""ema1"": 10, ""ema2"": 42, ""p_adx"": 10, ""p_atr"": 8, ""p_sma"": 37, ""p_std"": 54, ""rsi_ob"": 46, ""rsi_os"": 11, ""rsi_period"": 53, ""rsi_required"": true, ""slip_atr_k"": 0.004043844320506418, ""slip_spread_k"": 0.0330806065016811, ""spread_hl_frac"": 0.005970111641863574, ""strategy"": ""mean_reversion"", ""time_stop"": 185, ""tp_mult"": 1.5263156385016323, ""tsl_mult"": 0.028214804728977194, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0792357529197746}"
6,-0.10077463830910094,-0.10087864711190297,-1000000000.0,0.10087864711190297,-0.10077463830910094,-0.10087864711190297,437.0,breakout,1,"{""adx_thresh"": 17.529258408224027, ""atr_max_pct"": 0.017529888442190812, ""atr_min_pct"": 0.011917624493346605, ""bb_std_mult"": 2.838597764749139, ""edge_cap"": 0.1551584106289735, ""edge_k"": 1.2122365993706568, ""ema1"": 17, ""ema2"": 48, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 53, ""p_std"": 60, ""rsi_ob"": 53, ""rsi_os"": 11, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.18148388482462635, ""slip_spread_k"": 0.5971267472257062, ""spread_hl_frac"": 0.022823943506458663, ""strategy"": ""breakout"", ""time_stop"": 85, ""tp_mult"": 1.9460526937570923, ""tsl_mult"": 0.5510597196378326, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04100360712318792}"
7,-0.10301395800199897,-0.10363714965899858,-1000000000.0,0.10363714965899858,-0.10301395800199897,-0.10363714965899858,550.0,breakout,1,"{""adx_thresh"": 15.591954211423593, ""atr_max_pct"": 0.1025909589506422, ""atr_min_pct"": 0.005312585193671435, ""bb_std_mult"": 3.0860698562859077, ""edge_cap"": 0.4276469642468299, ""edge_k"": 0.8427161165238379, ""ema1"": 30, ""ema2"": 59, ""p_adx"": 24, ""p_atr"": 28, ""p_sma"": 35, ""p_std"": 12, ""rsi_ob"": 84, ""rsi_os"": 13, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.09941715665158687, ""slip_spread_k"": 0.47381044989117094, ""spread_hl_frac"": 0.0260428115584886, ""strategy"": ""breakout"", ""time_stop"": 300, ""tp_mult"": 2.665106752832875, ""tsl_mult"": 0.7993412610805473, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24089023151557803}"
8,-0.06810811259319982,-0.07125654475813903,-1000000000.0,0.07125654475813903,-0.06810811259319982,-0.07125654475813903,502.0,breakout,1,"{""adx_thresh"": 16.162638826092316, ""atr_max_pct"": 0.1315103775756364, ""atr_min_pct"": 0.029339744695426002, ""bb_std_mult"": 3.440727920591941, ""edge_cap"": 0.3646479663554169, ""edge_k"": 0.6213607667348633, ""ema1"": 17, ""ema2"": 30, ""p_adx"": 29, ""p_atr"": 17, ""p_sma"": 40, ""p_std"": 50, ""rsi_ob"": 49, ""rsi_os"": 14, ""rsi_period"": 40, ""rsi_required"": true, ""slip_atr_k"": 0.056196308191140604, ""slip_spread_k"": 0.613051420254513, ""spread_hl_frac"": 0.045866433514316816, ""strategy"": ""breakout"", ""time_stop"": 16, ""tp_mult"": 1.2295586729755306, ""tsl_mult"": 0.5334741853514972, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.004780513671145658}"
9,-0.07152537883574983,-0.07732428004463629,-1000000000.0,0.07732428004463629,-0.07152537883574983,-0.07732428004463629,568.0,breakout,1,"{""adx_thresh"": 26.34277864864851, ""atr_max_pct"": 0.09366703458177535, ""atr_min_pct"": 0.02907057447537619, ""bb_std_mult"": 1.2110023696297754, ""edge_cap"": 0.8413220903117768, ""edge_k"": 0.665081764633187, ""ema1"": 6, ""ema2"": 51, ""p_adx"": 15, ""p_atr"": 23, ""p_sma"": 50, ""p_std"": 29, ""rsi_ob"": 82, ""rsi_os"": 44, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.022035257110114226, ""slip_spread_k"": 0.3340775068283379, ""spread_hl_frac"": 0.03783780513209603, ""strategy"": ""breakout"", ""time_stop"": 97, ""tp_mult"": 2.171841718027232, ""tsl_mult"": 0.37466510542069187, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.20915997838278597}"
