number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.09766997727234994,-0.10058623553961758,-1000000000.0,0.10058623553961758,-0.09766997727234994,-0.10058623553961758,586.0,mean_reversion,1,"{""adx_thresh"": 10.841134690863676, ""atr_max_pct"": 0.14273159608215422, ""atr_min_pct"": 0.01239380654411688, ""bb_std_mult"": 2.808029025394409, ""edge_cap"": 0.9394449009668506, ""edge_k"": 1.1198451146635222, ""ema1"": 8, ""ema2"": 11, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 27, ""p_std"": 13, ""rsi_ob"": 77, ""rsi_os"": 34, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.07903000405448382, ""slip_spread_k"": 0.1390033282145442, ""spread_hl_frac"": 0.000942856225952643, ""strategy"": ""mean_reversion"", ""time_stop"": 203, ""tp_mult"": 1.5653824952004614, ""tsl_mult"": 0.5005841933821314, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12245059103267134}"
1,-0.13671981440279957,-0.13695223618453622,-1000000000.0,0.13695223618453622,-0.13671981440279957,-0.13695223618453622,511.0,breakout,1,"{""adx_thresh"": 28.487447273376276, ""atr_max_pct"": 0.016982488719384653, ""atr_min_pct"": 0.014999705418185088, ""bb_std_mult"": 0.9396412457654385, ""edge_cap"": 0.6678145280217647, ""edge_k"": 0.21879673253013476, ""ema1"": 22, ""ema2"": 46, ""p_adx"": 9, ""p_atr"": 12, ""p_sma"": 60, ""p_std"": 17, ""rsi_ob"": 65, ""rsi_os"": 19, ""rsi_period"": 51, ""rsi_required"": false, ""slip_atr_k"": 0.21173208290437212, ""slip_spread_k"": 0.17061254353430544, ""spread_hl_frac"": 0.00453669059320922, ""strategy"": ""breakout"", ""time_stop"": 19, ""tp_mult"": 1.6827093553814634, ""tsl_mult"": 0.06230507392083984, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23529022998965488}"
2,-0.07573854377770006,-0.08274891991477641,-1000000000.0,0.08274891991477641,-0.07573854377770006,-0.08274891991477641,600.0,mean_reversion,1,"{""adx_thresh"": 7.535835371315476, ""atr_max_pct"": 0.14287980698253816, ""atr_min_pct"": 0.01787248093626195, ""bb_std_mult"": 3.062218161766114, ""edge_cap"": 0.3168217642963888, ""edge_k"": 0.3553867570149638, ""ema1"": 6, ""ema2"": 25, ""p_adx"": 8, ""p_atr"": 29, ""p_sma"": 25, ""p_std"": 17, ""rsi_ob"": 51, ""rsi_os"": 47, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.006356866460184546, ""slip_spread_k"": 0.5535434535296146, ""spread_hl_frac"": 0.04082920335397996, ""strategy"": ""mean_reversion"", ""time_stop"": 100, ""tp_mult"": 1.6400098196198503, ""tsl_mult"": 0.9116798054625163, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.001906002966614717}"
3,-0.06086347719984986,-0.06387498104179734,-1000000000.0,0.06387498104179734,-0.06086347719984986,-0.06387498104179734,464.0,breakout,1,"{""adx_thresh"": 22.598469166572407, ""atr_max_pct"": 0.13571527559920504, ""atr_min_pct"": 0.011151636317985146, ""bb_std_mult"": 2.701974231829411, ""edge_cap"": 0.22134247004204263, ""edge_k"": 0.8253000372623895, ""ema1"": 26, ""ema2"": 42, ""p_adx"": 26, ""p_atr"": 27, ""p_sma"": 31, ""p_std"": 55, ""rsi_ob"": 81, ""rsi_os"": 46, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.06527578196413036, ""slip_spread_k"": 0.6044426755908732, ""spread_hl_frac"": 0.02716294343380607, ""strategy"": ""breakout"", ""time_stop"": 70, ""tp_mult"": 1.6236423432287919, ""tsl_mult"": 0.6847620959654868, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05658936531121643}"
4,-0.05606633426415031,-0.06981876716271472,-1000000000.0,0.06981876716271472,-0.05606633426415031,-0.06981876716271472,588.0,mean_reversion,1,"{""adx_thresh"": 29.43620421074433, ""atr_max_pct"": 0.12245073092959963, ""atr_min_pct"": 0.007054763249610403, ""bb_std_mult"": 2.712450838795677, ""edge_cap"": 0.7671787037801231, ""edge_k"": 1.5837392296356538, ""ema1"": 19, ""ema2"": 27, ""p_adx"": 14, ""p_atr"": 28, ""p_sma"": 15, ""p_std"": 26, ""rsi_ob"": 71, ""rsi_os"": 12, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.01592362186135854, ""slip_spread_k"": 0.44417077522332826, ""spread_hl_frac"": 0.030847496329511948, ""strategy"": ""mean_reversion"", ""time_stop"": 266, ""tp_mult"": 2.372105491381991, ""tsl_mult"": 0.7921931204864462, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1273271741720134}"
5,-0.051309711330000396,-0.06039701111188777,-1000000000.0,0.06039701111188777,-0.051309711330000396,-0.06039701111188777,539.0,breakout,1,"{""adx_thresh"": 24.15547368634379, ""atr_max_pct"": 0.11438715820293847, ""atr_min_pct"": 0.021729984126030933, ""bb_std_mult"": 2.131057600760467, ""edge_cap"": 0.23893078364956588, ""edge_k"": 1.3875973352324515, ""ema1"": 9, ""ema2"": 56, ""p_adx"": 19, ""p_atr"": 21, ""p_sma"": 54, ""p_std"": 48, ""rsi_ob"": 61, ""rsi_os"": 22, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.013459285799167137, ""slip_spread_k"": 0.018085419183763607, ""spread_hl_frac"": 0.04099705654501418, ""strategy"": ""breakout"", ""time_stop"": 298, ""tp_mult"": 1.0370513184946877, ""tsl_mult"": 0.21394119620597618, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19007398194027492}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 27.02665063780129, ""atr_max_pct"": 0.1479243880852013, ""atr_min_pct"": 0.013227552358526582, ""bb_std_mult"": 1.7536071419462098, ""edge_cap"": 0.9697837025034367, ""edge_k"": 1.6984462799723365, ""ema1"": 11, ""ema2"": 53, ""p_adx"": 9, ""p_atr"": 14, ""p_sma"": 33, ""p_std"": 26, ""rsi_ob"": 48, ""rsi_os"": 39, ""rsi_period"": 12, ""rsi_required"": true, ""slip_atr_k"": 0.09908211627498678, ""slip_spread_k"": 0.7932023523405269, ""spread_hl_frac"": 0.02001071884092656, ""strategy"": ""mean_reversion"", ""time_stop"": 44, ""tp_mult"": 2.268587905107959, ""tsl_mult"": 0.5256892870366325, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29795953408228376}"
7,-0.10544430083170009,-0.1057512352161805,-1000000000.0,0.1057512352161805,-0.10544430083170009,-0.1057512352161805,521.0,breakout,1,"{""adx_thresh"": 20.85019330692498, ""atr_max_pct"": 0.0872744267119427, ""atr_min_pct"": 0.0200255624566144, ""bb_std_mult"": 0.9328973049327959, ""edge_cap"": 0.7438844403036886, ""edge_k"": 0.8721410869678976, ""ema1"": 14, ""ema2"": 32, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 49, ""p_std"": 12, ""rsi_ob"": 92, ""rsi_os"": 25, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.09781739935616213, ""slip_spread_k"": 0.82308192896197, ""spread_hl_frac"": 0.040304496646745, ""strategy"": ""breakout"", ""time_stop"": 162, ""tp_mult"": 1.7460287345820755, ""tsl_mult"": 0.6164289109686467, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15661461396040358}"
8,-0.07208464263985004,-0.07753383877148716,-1000000000.0,0.07753383877148716,-0.07208464263985004,-0.07753383877148716,552.0,mean_reversion,1,"{""adx_thresh"": 8.354218215391073, ""atr_max_pct"": 0.0725807510635626, ""atr_min_pct"": 0.007670290798027133, ""bb_std_mult"": 2.3853601505037916, ""edge_cap"": 0.6337381710932519, ""edge_k"": 0.43826970978499813, ""ema1"": 5, ""ema2"": 39, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 42, ""p_std"": 31, ""rsi_ob"": 87, ""rsi_os"": 15, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.01696101010264711, ""slip_spread_k"": 0.8325483364063511, ""spread_hl_frac"": 0.03099128654921557, ""strategy"": ""mean_reversion"", ""time_stop"": 121, ""tp_mult"": 2.6643355682343395, ""tsl_mult"": 0.5456853706545278, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1752683716585795}"
9,-0.10343386251765063,-0.10482933638316613,-1000000000.0,0.10482933638316613,-0.10343386251765063,-0.10482933638316613,562.0,breakout,1,"{""adx_thresh"": 25.014550319891548, ""atr_max_pct"": 0.12779918591869877, ""atr_min_pct"": 0.01812726487284958, ""bb_std_mult"": 2.6057082013561916, ""edge_cap"": 0.20434847639502116, ""edge_k"": 1.5000607854943777, ""ema1"": 14, ""ema2"": 43, ""p_adx"": 10, ""p_atr"": 28, ""p_sma"": 30, ""p_std"": 16, ""rsi_ob"": 52, ""rsi_os"": 42, ""rsi_period"": 58, ""rsi_required"": false, ""slip_atr_k"": 0.059333937586264734, ""slip_spread_k"": 0.7276200514827951, ""spread_hl_frac"": 0.044152717713768115, ""strategy"": ""breakout"", ""time_stop"": 100, ""tp_mult"": 1.139314256752357, ""tsl_mult"": 0.548291604632744, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2941205814124306}"
