number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.054589998338549606,-0.057542037805890726,-1000000000.0,0.057542037805890726,-0.054589998338549606,-0.057542037805890726,422.0,mean_reversion,1,"{""adx_thresh"": 26.73975226002288, ""atr_max_pct"": 0.03321866165886708, ""atr_min_pct"": 0.02861771240532149, ""bb_std_mult"": 1.7189789494837435, ""edge_cap"": 0.7617988500072876, ""edge_k"": 1.8564047070983183, ""ema1"": 22, ""ema2"": 58, ""p_adx"": 9, ""p_atr"": 10, ""p_sma"": 20, ""p_std"": 60, ""rsi_ob"": 54, ""rsi_os"": 21, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.09565712360398812, ""slip_spread_k"": 0.05206971194822252, ""spread_hl_frac"": 0.029638490500479, ""strategy"": ""mean_reversion"", ""time_stop"": 291, ""tp_mult"": 1.5838796968421318, ""tsl_mult"": 0.07547197241180481, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24264584695254943}"
1,-0.06058637474179962,-0.0638830834275855,-1000000000.0,0.0638830834275855,-0.06058637474179962,-0.0638830834275855,487.0,mean_reversion,1,"{""adx_thresh"": 13.538291452014521, ""atr_max_pct"": 0.01811485065837335, ""atr_min_pct"": 0.0028130700631020266, ""bb_std_mult"": 3.527350529798308, ""edge_cap"": 0.9521023947453932, ""edge_k"": 0.7671742385676401, ""ema1"": 14, ""ema2"": 47, ""p_adx"": 23, ""p_atr"": 30, ""p_sma"": 34, ""p_std"": 47, ""rsi_ob"": 57, ""rsi_os"": 44, ""rsi_period"": 72, ""rsi_required"": true, ""slip_atr_k"": 0.08007346824076467, ""slip_spread_k"": 0.0036427544787965838, ""spread_hl_frac"": 0.03425301368506061, ""strategy"": ""mean_reversion"", ""time_stop"": 27, ""tp_mult"": 1.111223033243264, ""tsl_mult"": 0.22788881140205552, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21094086614290938}"
2,-0.0760313624066008,-0.07775171663254787,-1000000000.0,0.07775171663254787,-0.0760313624066008,-0.07775171663254787,584.0,mean_reversion,1,"{""adx_thresh"": 32.330955314311474, ""atr_max_pct"": 0.08842833455893562, ""atr_min_pct"": 0.01692896493227566, ""bb_std_mult"": 2.5310797600056243, ""edge_cap"": 0.95938299943513, ""edge_k"": 0.5579496727246034, ""ema1"": 17, ""ema2"": 33, ""p_adx"": 23, ""p_atr"": 27, ""p_sma"": 41, ""p_std"": 9, ""rsi_ob"": 77, ""rsi_os"": 45, ""rsi_period"": 66, ""rsi_required"": true, ""slip_atr_k"": 0.05280411568890578, ""slip_spread_k"": 0.05187281868739102, ""spread_hl_frac"": 2.7125554841861412e-05, ""strategy"": ""mean_reversion"", ""time_stop"": 289, ""tp_mult"": 1.485899674029039, ""tsl_mult"": 0.6770473681338038, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.09967586231941955}"
3,-0.0781715844476003,-0.08239827946163514,-1000000000.0,0.08239827946163514,-0.0781715844476003,-0.08239827946163514,559.0,mean_reversion,1,"{""adx_thresh"": 28.555967288030736, ""atr_max_pct"": 0.08180953025052397, ""atr_min_pct"": 0.02118680881840065, ""bb_std_mult"": 3.109275698443971, ""edge_cap"": 0.7036508922745597, ""edge_k"": 0.0754533412512759, ""ema1"": 19, ""ema2"": 60, ""p_adx"": 21, ""p_atr"": 20, ""p_sma"": 59, ""p_std"": 34, ""rsi_ob"": 93, ""rsi_os"": 31, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.03223079376598034, ""slip_spread_k"": 0.32097101686898133, ""spread_hl_frac"": 0.017567707611294947, ""strategy"": ""mean_reversion"", ""time_stop"": 35, ""tp_mult"": 2.4227742310922906, ""tsl_mult"": 0.9732616135655028, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.27144055488743346}"
4,-0.07494756724664986,-0.07927555356626359,-1000000000.0,0.07927555356626359,-0.07494756724664986,-0.07927555356626359,513.0,breakout,1,"{""adx_thresh"": 34.406768078461475, ""atr_max_pct"": 0.015537563230289125, ""atr_min_pct"": 0.01055378819036011, ""bb_std_mult"": 3.525302263787095, ""edge_cap"": 0.8130009866408392, ""edge_k"": 1.2640710792339422, ""ema1"": 23, ""ema2"": 12, ""p_adx"": 16, ""p_atr"": 20, ""p_sma"": 50, ""p_std"": 49, ""rsi_ob"": 61, ""rsi_os"": 51, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.023694765836059367, ""slip_spread_k"": 0.9391584276333255, ""spread_hl_frac"": 0.0456367768747823, ""strategy"": ""breakout"", ""time_stop"": 128, ""tp_mult"": 2.413897018253612, ""tsl_mult"": 0.5207858163040634, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05712836334963976}"
5,-0.09770433462175099,-0.09771676705727095,-1000000000.0,0.09771676705727095,-0.09770433462175099,-0.09771676705727095,553.0,mean_reversion,1,"{""adx_thresh"": 8.012939630422018, ""atr_max_pct"": 0.09340282825643015, ""atr_min_pct"": 0.0022737177231821424, ""bb_std_mult"": 0.7983352918230604, ""edge_cap"": 0.5113814794724307, ""edge_k"": 1.2770150536770546, ""ema1"": 17, ""ema2"": 42, ""p_adx"": 18, ""p_atr"": 29, ""p_sma"": 46, ""p_std"": 10, ""rsi_ob"": 69, ""rsi_os"": 45, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.09711895034536219, ""slip_spread_k"": 0.34950290511386106, ""spread_hl_frac"": 0.011413538236742127, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 1.4421722887391355, ""tsl_mult"": 0.23544897616183402, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.010245706074295435}"
6,-0.10055386069615035,-0.10125881124365717,-1000000000.0,0.10125881124365717,-0.10055386069615035,-0.10125881124365717,543.0,breakout,1,"{""adx_thresh"": 32.86362856314657, ""atr_max_pct"": 0.14824123350704768, ""atr_min_pct"": 0.02499556216923231, ""bb_std_mult"": 1.0824477330520383, ""edge_cap"": 0.17355046788452905, ""edge_k"": 0.35036364416268473, ""ema1"": 24, ""ema2"": 31, ""p_adx"": 10, ""p_atr"": 25, ""p_sma"": 58, ""p_std"": 19, ""rsi_ob"": 68, ""rsi_os"": 49, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.08831716115612204, ""slip_spread_k"": 0.5633272941209938, ""spread_hl_frac"": 0.02778121123692677, ""strategy"": ""breakout"", ""time_stop"": 71, ""tp_mult"": 2.9174443444881777, ""tsl_mult"": 0.7285097042403516, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.10913569984203686}"
7,-0.07399086099144969,-0.07489207202252517,-1000000000.0,0.07489207202252517,-0.07399086099144969,-0.07489207202252517,580.0,mean_reversion,1,"{""adx_thresh"": 24.45941530075097, ""atr_max_pct"": 0.07726168452588084, ""atr_min_pct"": 0.0002464452233513559, ""bb_std_mult"": 2.873162350741477, ""edge_cap"": 0.6448319875153643, ""edge_k"": 1.055355432913378, ""ema1"": 24, ""ema2"": 58, ""p_adx"": 18, ""p_atr"": 7, ""p_sma"": 49, ""p_std"": 16, ""rsi_ob"": 67, ""rsi_os"": 27, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.02616868994268834, ""slip_spread_k"": 0.68593358266671, ""spread_hl_frac"": 0.03386677038515137, ""strategy"": ""mean_reversion"", ""time_stop"": 273, ""tp_mult"": 2.700453624169889, ""tsl_mult"": 0.37738993404039733, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18420132245077692}"
8,-0.05573184469449988,-0.06020939309542849,-1000000000.0,0.06020939309542849,-0.05573184469449988,-0.06020939309542849,499.0,breakout,1,"{""adx_thresh"": 5.603842580043313, ""atr_max_pct"": 0.10489585210847831, ""atr_min_pct"": 0.0011663742608904837, ""bb_std_mult"": 2.731591148147747, ""edge_cap"": 0.5218167191072041, ""edge_k"": 0.8403108358364251, ""ema1"": 26, ""ema2"": 11, ""p_adx"": 12, ""p_atr"": 11, ""p_sma"": 30, ""p_std"": 44, ""rsi_ob"": 59, ""rsi_os"": 23, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.025224405222795454, ""slip_spread_k"": 0.5132428506103237, ""spread_hl_frac"": 0.012978396829810557, ""strategy"": ""breakout"", ""time_stop"": 168, ""tp_mult"": 1.8856631877294048, ""tsl_mult"": 0.9354040055930378, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06121060221699432}"
9,-0.07707653608255038,-0.07772349348752519,-1000000000.0,0.07772349348752519,-0.07707653608255038,-0.07772349348752519,569.0,mean_reversion,1,"{""adx_thresh"": 10.93621740729337, ""atr_max_pct"": 0.055293379796196675, ""atr_min_pct"": 0.015196739823336115, ""bb_std_mult"": 3.031290347504962, ""edge_cap"": 0.5845003451406682, ""edge_k"": 0.7265883517192688, ""ema1"": 28, ""ema2"": 35, ""p_adx"": 11, ""p_atr"": 20, ""p_sma"": 49, ""p_std"": 13, ""rsi_ob"": 76, ""rsi_os"": 40, ""rsi_period"": 58, ""rsi_required"": false, ""slip_atr_k"": 0.053312207132459266, ""slip_spread_k"": 0.821706476277423, ""spread_hl_frac"": 0.002553931929314335, ""strategy"": ""mean_reversion"", ""time_stop"": 146, ""tp_mult"": 1.634995642029095, ""tsl_mult"": 0.23601840368302474, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11427300408403024}"
