number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.10666992223854954,-0.10785406644635459,-1000000000.0,0.10785406644635459,-0.10666992223854954,-0.10785406644635459,533.0,breakout,1,"{""adx_thresh"": 14.027591555855652, ""atr_max_pct"": 0.10425184441714687, ""atr_min_pct"": 0.015647937807805275, ""bb_std_mult"": 1.7403954906777783, ""edge_cap"": 0.711766349350646, ""edge_k"": 0.3516809695158767, ""ema1"": 21, ""ema2"": 27, ""p_adx"": 14, ""p_atr"": 21, ""p_sma"": 42, ""p_std"": 20, ""rsi_ob"": 51, ""rsi_os"": 54, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.13141052293058336, ""slip_spread_k"": 0.4512281731867679, ""spread_hl_frac"": 0.013725108024114502, ""strategy"": ""breakout"", ""time_stop"": 233, ""tp_mult"": 1.7160369588684914, ""tsl_mult"": 0.5442519265855901, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15435458397289234}"
1,-0.09431678362834861,-0.09634242496820836,-1000000000.0,0.09634242496820836,-0.09431678362834861,-0.09634242496820836,552.0,breakout,1,"{""adx_thresh"": 9.575927665021842, ""atr_max_pct"": 0.03653089572770418, ""atr_min_pct"": 0.024578903043425877, ""bb_std_mult"": 3.3525883928322546, ""edge_cap"": 0.3661238919436712, ""edge_k"": 1.312055712007901, ""ema1"": 9, ""ema2"": 10, ""p_adx"": 19, ""p_atr"": 14, ""p_sma"": 24, ""p_std"": 25, ""rsi_ob"": 60, ""rsi_os"": 31, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.09627933014162335, ""slip_spread_k"": 0.25755586040313516, ""spread_hl_frac"": 0.02242023341222238, ""strategy"": ""breakout"", ""time_stop"": 140, ""tp_mult"": 2.631255102749805, ""tsl_mult"": 0.25642488965035426, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13879252600806308}"
2,-0.06090369213954905,-0.07029318801464726,-1000000000.0,0.07029318801464726,-0.06090369213954905,-0.07029318801464726,512.0,mean_reversion,1,"{""adx_thresh"": 20.77326427096054, ""atr_max_pct"": 0.0742881860014772, ""atr_min_pct"": 0.012050819241754123, ""bb_std_mult"": 2.4227426679042807, ""edge_cap"": 0.4425248491662619, ""edge_k"": 1.2902471827392508, ""ema1"": 9, ""ema2"": 31, ""p_adx"": 30, ""p_atr"": 28, ""p_sma"": 15, ""p_std"": 36, ""rsi_ob"": 71, ""rsi_os"": 32, ""rsi_period"": 62, ""rsi_required"": true, ""slip_atr_k"": 0.04773193416037563, ""slip_spread_k"": 0.3254562585364916, ""spread_hl_frac"": 0.037524901817997044, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 2.5898653351878904, ""tsl_mult"": 0.1606574743653313, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1072030537655716}"
3,-0.03911787556274937,-0.04755947009382685,-1000000000.0,0.04755947009382685,-0.03911787556274937,-0.04755947009382685,492.0,breakout,1,"{""adx_thresh"": 33.81613570588165, ""atr_max_pct"": 0.10329249742421545, ""atr_min_pct"": 0.0062190252152874255, ""bb_std_mult"": 2.3747285444129402, ""edge_cap"": 0.7345359337365381, ""edge_k"": 0.9697358332653607, ""ema1"": 19, ""ema2"": 31, ""p_adx"": 15, ""p_atr"": 29, ""p_sma"": 38, ""p_std"": 56, ""rsi_ob"": 93, ""rsi_os"": 26, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.028274974937884473, ""slip_spread_k"": 0.16511810005939576, ""spread_hl_frac"": 0.009221549604781415, ""strategy"": ""breakout"", ""time_stop"": 69, ""tp_mult"": 2.9019727322680713, ""tsl_mult"": 0.5354286644362641, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.044223921618172686}"
4,-0.10144967174825048,-0.10389060653470088,-1000000000.0,0.10389060653470088,-0.10144967174825048,-0.10389060653470088,475.0,mean_reversion,1,"{""adx_thresh"": 9.38724303074154, ""atr_max_pct"": 0.05628964629853039, ""atr_min_pct"": 0.0011460148943946012, ""bb_std_mult"": 1.21573428594651, ""edge_cap"": 0.47550507538908376, ""edge_k"": 1.9928247665418748, ""ema1"": 5, ""ema2"": 12, ""p_adx"": 27, ""p_atr"": 18, ""p_sma"": 10, ""p_std"": 32, ""rsi_ob"": 61, ""rsi_os"": 44, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.12878556726489085, ""slip_spread_k"": 0.09915843695648563, ""spread_hl_frac"": 0.0017508436771440817, ""strategy"": ""mean_reversion"", ""time_stop"": 141, ""tp_mult"": 1.9207626779297486, ""tsl_mult"": 0.5689196883283671, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19096975904070249}"
5,-0.08737457800775084,-0.09235464657693325,-1000000000.0,0.09235464657693325,-0.08737457800775084,-0.09235464657693325,519.0,breakout,1,"{""adx_thresh"": 18.057667805510174, ""atr_max_pct"": 0.0277706183889309, ""atr_min_pct"": 0.01766311340910384, ""bb_std_mult"": 2.581882223833661, ""edge_cap"": 0.760944346819693, ""edge_k"": 1.3843530073754837, ""ema1"": 23, ""ema2"": 35, ""p_adx"": 24, ""p_atr"": 7, ""p_sma"": 7, ""p_std"": 23, ""rsi_ob"": 57, ""rsi_os"": 31, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.08122310352910461, ""slip_spread_k"": 0.7470531795021789, ""spread_hl_frac"": 0.009706474777551084, ""strategy"": ""breakout"", ""time_stop"": 103, ""tp_mult"": 2.883425664711117, ""tsl_mult"": 0.47694775037835946, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06015671256579491}"
6,-0.14027877328524974,-0.1401104773266142,-1000000000.0,0.1401104773266142,-0.14027877328524974,-0.1401104773266142,492.0,mean_reversion,1,"{""adx_thresh"": 27.71498138396861, ""atr_max_pct"": 0.02116534013172562, ""atr_min_pct"": 0.0209364028149283, ""bb_std_mult"": 1.0299652131581014, ""edge_cap"": 0.16562933939708657, ""edge_k"": 0.5851823109137475, ""ema1"": 18, ""ema2"": 30, ""p_adx"": 10, ""p_atr"": 23, ""p_sma"": 47, ""p_std"": 16, ""rsi_ob"": 92, ""rsi_os"": 10, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.2435294808399835, ""slip_spread_k"": 0.3343253289763949, ""spread_hl_frac"": 0.0011059820213091766, ""strategy"": ""mean_reversion"", ""time_stop"": 234, ""tp_mult"": 1.0702242658450032, ""tsl_mult"": 0.9690767502678048, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.007792014158614601}"
7,-0.11618952951794981,-0.11702471224675458,-1000000000.0,0.11702471224675458,-0.11618952951794981,-0.11702471224675458,436.0,breakout,1,"{""adx_thresh"": 10.05768364395731, ""atr_max_pct"": 0.12548040715125164, ""atr_min_pct"": 0.0005688213657947661, ""bb_std_mult"": 3.186925322952074, ""edge_cap"": 0.49123298372081065, ""edge_k"": 1.1604618186659836, ""ema1"": 23, ""ema2"": 31, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 47, ""p_std"": 54, ""rsi_ob"": 56, ""rsi_os"": 14, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.17677879685404466, ""slip_spread_k"": 0.9929878655443958, ""spread_hl_frac"": 0.042303388283245466, ""strategy"": ""breakout"", ""time_stop"": 44, ""tp_mult"": 1.5057253626714853, ""tsl_mult"": 0.9938534295213258, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2427484279246847}"
8,-0.1074557429678491,-0.10848123455280413,-1000000000.0,0.10848123455280413,-0.1074557429678491,-0.10848123455280413,528.0,mean_reversion,1,"{""adx_thresh"": 8.452352432988405, ""atr_max_pct"": 0.12776070689114394, ""atr_min_pct"": 0.02766036593216825, ""bb_std_mult"": 1.0744520503540804, ""edge_cap"": 0.20845951425278586, ""edge_k"": 1.4236808197284454, ""ema1"": 22, ""ema2"": 19, ""p_adx"": 13, ""p_atr"": 22, ""p_sma"": 39, ""p_std"": 19, ""rsi_ob"": 57, ""rsi_os"": 9, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.1016690794714355, ""slip_spread_k"": 0.9479407322855832, ""spread_hl_frac"": 0.03404380982657937, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 1.8871064328971132, ""tsl_mult"": 0.9195614823078712, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2096355695725503}"
9,-0.09908736105875027,-0.09962999456976815,-1000000000.0,0.09962999456976815,-0.09908736105875027,-0.09962999456976815,444.0,breakout,1,"{""adx_thresh"": 27.781244946416997, ""atr_max_pct"": 0.0910023092883344, ""atr_min_pct"": 0.01830052670107407, ""bb_std_mult"": 3.5390323180018215, ""edge_cap"": 0.31486103315851377, ""edge_k"": 1.393871632699062, ""ema1"": 9, ""ema2"": 44, ""p_adx"": 28, ""p_atr"": 24, ""p_sma"": 34, ""p_std"": 52, ""rsi_ob"": 89, ""rsi_os"": 39, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.2128901574749222, ""slip_spread_k"": 0.24370249081274675, ""spread_hl_frac"": 0.007480077589087209, ""strategy"": ""breakout"", ""time_stop"": 228, ""tp_mult"": 2.236553503146585, ""tsl_mult"": 0.16303058257426262, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07318984582035405}"
