number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.10928692492115022,-0.10979935528538556,-1000000000.0,0.10979935528538556,-0.10928692492115022,-0.10979935528538556,463.0,mean_reversion,1,"{""adx_thresh"": 30.101718094876517, ""atr_max_pct"": 0.08255947403068496, ""atr_min_pct"": 0.02682348702760053, ""bb_std_mult"": 2.307805422644612, ""edge_cap"": 0.23079719565889142, ""edge_k"": 1.028934985460864, ""ema1"": 10, ""ema2"": 41, ""p_adx"": 16, ""p_atr"": 8, ""p_sma"": 48, ""p_std"": 48, ""rsi_ob"": 59, ""rsi_os"": 21, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.18579837937575003, ""slip_spread_k"": 0.5386388686213041, ""spread_hl_frac"": 0.004560653300405937, ""strategy"": ""mean_reversion"", ""time_stop"": 179, ""tp_mult"": 1.0955254606224605, ""tsl_mult"": 0.02133291020521355, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.07163480613458374}"
1,-0.07682106027465052,-0.07748315915433891,-1000000000.0,0.07748315915433891,-0.07682106027465052,-0.07748315915433891,592.0,breakout,1,"{""adx_thresh"": 14.963113712995423, ""atr_max_pct"": 0.1420095299352792, ""atr_min_pct"": 0.021683978503299547, ""bb_std_mult"": 1.4340272413253314, ""edge_cap"": 0.5550206794109425, ""edge_k"": 1.8460475288843425, ""ema1"": 21, ""ema2"": 48, ""p_adx"": 8, ""p_atr"": 14, ""p_sma"": 45, ""p_std"": 9, ""rsi_ob"": 46, ""rsi_os"": 11, ""rsi_period"": 75, ""rsi_required"": true, ""slip_atr_k"": 0.042596839519334906, ""slip_spread_k"": 0.546095898100535, ""spread_hl_frac"": 0.0039933476410014155, ""strategy"": ""breakout"", ""time_stop"": 220, ""tp_mult"": 2.230438141211246, ""tsl_mult"": 0.0037988167986144905, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.02193160575976877}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 13.953674195195102, ""atr_max_pct"": 0.11963118721558993, ""atr_min_pct"": 0.013969439425573478, ""bb_std_mult"": 1.0302820659871144, ""edge_cap"": 0.06708995124097177, ""edge_k"": 0.5168756265317438, ""ema1"": 21, ""ema2"": 52, ""p_adx"": 23, ""p_atr"": 15, ""p_sma"": 43, ""p_std"": 8, ""rsi_ob"": 46, ""rsi_os"": 43, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.060903339156998415, ""slip_spread_k"": 0.4365357446979481, ""spread_hl_frac"": 0.03592664418480051, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 1.5258600136675076, ""tsl_mult"": 0.8510975578824875, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.251923339545214}"
3,-0.09322460561944956,-0.09395906181116111,-1000000000.0,0.09395906181116111,-0.09322460561944956,-0.09395906181116111,481.0,breakout,1,"{""adx_thresh"": 29.01623660248148, ""atr_max_pct"": 0.07834099471220038, ""atr_min_pct"": 0.002596352015304083, ""bb_std_mult"": 2.880483986488072, ""edge_cap"": 0.30092588609569115, ""edge_k"": 0.7313126813700646, ""ema1"": 7, ""ema2"": 40, ""p_adx"": 23, ""p_atr"": 7, ""p_sma"": 19, ""p_std"": 36, ""rsi_ob"": 87, ""rsi_os"": 47, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.08666288597056945, ""slip_spread_k"": 0.9891289075154928, ""spread_hl_frac"": 0.03662876813322351, ""strategy"": ""breakout"", ""time_stop"": 39, ""tp_mult"": 2.8330575521760735, ""tsl_mult"": 0.46155533572590324, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07128389332064615}"
4,-0.06804466115784957,-0.06926653880322814,-1000000000.0,0.06926653880322814,-0.06804466115784957,-0.06926653880322814,500.0,breakout,1,"{""adx_thresh"": 23.854680125845384, ""atr_max_pct"": 0.14241508736859118, ""atr_min_pct"": 0.023240246430186778, ""bb_std_mult"": 1.6635886323502296, ""edge_cap"": 0.5197909628664316, ""edge_k"": 1.7800165920032336, ""ema1"": 25, ""ema2"": 36, ""p_adx"": 9, ""p_atr"": 7, ""p_sma"": 24, ""p_std"": 39, ""rsi_ob"": 46, ""rsi_os"": 6, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.0539024870161475, ""slip_spread_k"": 0.015523338797991615, ""spread_hl_frac"": 0.0012696502553927404, ""strategy"": ""breakout"", ""time_stop"": 50, ""tp_mult"": 2.5398470631106544, ""tsl_mult"": 0.15065979126320705, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.01384108417292491}"
5,-0.12554104935854926,-0.12545336916410085,-1000000000.0,0.12545336916410085,-0.12554104935854926,-0.12545336916410085,481.0,breakout,1,"{""adx_thresh"": 10.253411687592838, ""atr_max_pct"": 0.11902730391508266, ""atr_min_pct"": 0.021610037865925667, ""bb_std_mult"": 3.4087508804832947, ""edge_cap"": 0.7366491866634287, ""edge_k"": 1.6462518439031044, ""ema1"": 6, ""ema2"": 38, ""p_adx"": 9, ""p_atr"": 21, ""p_sma"": 57, ""p_std"": 40, ""rsi_ob"": 65, ""rsi_os"": 18, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.18933707478048586, ""slip_spread_k"": 0.15531445509878727, ""spread_hl_frac"": 0.0032811739256322137, ""strategy"": ""breakout"", ""time_stop"": 192, ""tp_mult"": 1.0850191474498083, ""tsl_mult"": 0.004699344493425572, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05957611207354385}"
6,-0.11983500175020034,-0.12013452811555964,-1000000000.0,0.12013452811555964,-0.11983500175020034,-0.12013452811555964,511.0,breakout,1,"{""adx_thresh"": 22.912938829569068, ""atr_max_pct"": 0.10422570905139789, ""atr_min_pct"": 0.020074966925758452, ""bb_std_mult"": 3.4626044030493572, ""edge_cap"": 0.8276110517278957, ""edge_k"": 1.843470689118307, ""ema1"": 9, ""ema2"": 39, ""p_adx"": 16, ""p_atr"": 15, ""p_sma"": 49, ""p_std"": 17, ""rsi_ob"": 70, ""rsi_os"": 21, ""rsi_period"": 63, ""rsi_required"": false, ""slip_atr_k"": 0.16013952733776085, ""slip_spread_k"": 0.5345947269988125, ""spread_hl_frac"": 0.04288442633558125, ""strategy"": ""breakout"", ""time_stop"": 135, ""tp_mult"": 2.950947059067352, ""tsl_mult"": 0.22883887707763673, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23415472082928096}"
7,-0.12714692825559903,-0.1270214801139667,-1000000000.0,0.1270214801139667,-0.12714692825559903,-0.1270214801139667,525.0,mean_reversion,1,"{""adx_thresh"": 29.629742745382302, ""atr_max_pct"": 0.09114575341394227, ""atr_min_pct"": 0.007026664804703193, ""bb_std_mult"": 1.872181441998376, ""edge_cap"": 0.19395377334648145, ""edge_k"": 0.7228211576218599, ""ema1"": 16, ""ema2"": 36, ""p_adx"": 26, ""p_atr"": 21, ""p_sma"": 21, ""p_std"": 23, ""rsi_ob"": 77, ""rsi_os"": 15, ""rsi_period"": 66, ""rsi_required"": false, ""slip_atr_k"": 0.15695604680139347, ""slip_spread_k"": 0.7582520105688139, ""spread_hl_frac"": 0.03504980307197173, ""strategy"": ""mean_reversion"", ""time_stop"": 299, ""tp_mult"": 2.523866359339855, ""tsl_mult"": 0.876309950477374, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2617725046885546}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.651693296593663, ""atr_max_pct"": 0.09923159254473603, ""atr_min_pct"": 0.028296235401853963, ""bb_std_mult"": 2.6166403669453855, ""edge_cap"": 0.4682565866478187, ""edge_k"": 1.510354403548744, ""ema1"": 17, ""ema2"": 46, ""p_adx"": 17, ""p_atr"": 20, ""p_sma"": 32, ""p_std"": 50, ""rsi_ob"": 85, ""rsi_os"": 55, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.03186350608238597, ""slip_spread_k"": 0.5454851413285874, ""spread_hl_frac"": 0.018890589223337417, ""strategy"": ""mean_reversion"", ""time_stop"": 135, ""tp_mult"": 2.998247821094576, ""tsl_mult"": 0.9816396275701277, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.03933175873769544}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 13.294341924889448, ""atr_max_pct"": 0.06311708355401807, ""atr_min_pct"": 0.020889493507654393, ""bb_std_mult"": 1.2529429783081383, ""edge_cap"": 0.5381262030357152, ""edge_k"": 0.46081135401339957, ""ema1"": 26, ""ema2"": 19, ""p_adx"": 14, ""p_atr"": 10, ""p_sma"": 16, ""p_std"": 8, ""rsi_ob"": 78, ""rsi_os"": 55, ""rsi_period"": 73, ""rsi_required"": false, ""slip_atr_k"": 0.013229499595147298, ""slip_spread_k"": 0.6903534509580294, ""spread_hl_frac"": 0.0062460057327091536, ""strategy"": ""mean_reversion"", ""time_stop"": 201, ""tp_mult"": 2.678446359393119, ""tsl_mult"": 0.40245977229784424, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.061767973740619105}"
