number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0650545014028503,-0.06737348554196486,-1000000000.0,0.06737348554196486,-0.0650545014028503,-0.06737348554196486,469.0,mean_reversion,1,"{""adx_thresh"": 13.230810152466713, ""atr_max_pct"": 0.04257597564247577, ""atr_min_pct"": 0.0010783687174755463, ""bb_std_mult"": 1.4726334402495016, ""edge_cap"": 0.7068433609465539, ""edge_k"": 0.7933468562782287, ""ema1"": 22, ""ema2"": 12, ""p_adx"": 20, ""p_atr"": 30, ""p_sma"": 25, ""p_std"": 47, ""rsi_ob"": 58, ""rsi_os"": 37, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.08223393759958128, ""slip_spread_k"": 0.46269009207059086, ""spread_hl_frac"": 0.011966623570494545, ""strategy"": ""mean_reversion"", ""time_stop"": 13, ""tp_mult"": 2.6642806369859082, ""tsl_mult"": 0.8664032019542947, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.27351766203278943}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 6.030272361205302, ""atr_max_pct"": 0.025782093979820106, ""atr_min_pct"": 0.0018011726623817304, ""bb_std_mult"": 3.49750288421116, ""edge_cap"": 0.618246835602847, ""edge_k"": 0.4056198129526647, ""ema1"": 24, ""ema2"": 55, ""p_adx"": 14, ""p_atr"": 20, ""p_sma"": 57, ""p_std"": 48, ""rsi_ob"": 49, ""rsi_os"": 47, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.1265877006598978, ""slip_spread_k"": 0.16175756630901839, ""spread_hl_frac"": 0.00023924550594336957, ""strategy"": ""mean_reversion"", ""time_stop"": 72, ""tp_mult"": 2.918500049215225, ""tsl_mult"": 0.14602496277015553, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20057333410733028}"
2,-0.09217905231059942,-0.09282354980338339,-1000000000.0,0.09282354980338339,-0.09217905231059942,-0.09282354980338339,464.0,mean_reversion,1,"{""adx_thresh"": 20.15398171791457, ""atr_max_pct"": 0.07503213569158383, ""atr_min_pct"": 0.027106734841266543, ""bb_std_mult"": 1.300209133385262, ""edge_cap"": 0.3318632684812251, ""edge_k"": 0.8916206822161197, ""ema1"": 21, ""ema2"": 30, ""p_adx"": 22, ""p_atr"": 12, ""p_sma"": 59, ""p_std"": 56, ""rsi_ob"": 81, ""rsi_os"": 10, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.12879984638155395, ""slip_spread_k"": 0.4029254418570969, ""spread_hl_frac"": 0.026880595396265684, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 2.3252143443192037, ""tsl_mult"": 0.4309716995573931, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07912056372200518}"
3,-0.0847693402033497,-0.08717616683171885,-1000000000.0,0.08717616683171885,-0.0847693402033497,-0.08717616683171885,542.0,breakout,1,"{""adx_thresh"": 23.36114086193226, ""atr_max_pct"": 0.13104535630035477, ""atr_min_pct"": 0.023246603597163774, ""bb_std_mult"": 1.4114441483491798, ""edge_cap"": 0.6160092774570781, ""edge_k"": 1.0529132904933958, ""ema1"": 13, ""ema2"": 40, ""p_adx"": 15, ""p_atr"": 9, ""p_sma"": 60, ""p_std"": 33, ""rsi_ob"": 77, ""rsi_os"": 30, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.06746231339835687, ""slip_spread_k"": 0.07573802449103528, ""spread_hl_frac"": 0.013074142370808018, ""strategy"": ""breakout"", ""time_stop"": 273, ""tp_mult"": 2.093085485304363, ""tsl_mult"": 0.04651181044471275, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06187739084560001}"
4,-0.05588512863620032,-0.0625932621787327,-1000000000.0,0.0625932621787327,-0.05588512863620032,-0.0625932621787327,495.0,breakout,1,"{""adx_thresh"": 17.84870197727172, ""atr_max_pct"": 0.0501202883554884, ""atr_min_pct"": 0.022799736226548812, ""bb_std_mult"": 3.5070412249360343, ""edge_cap"": 0.5177141103629009, ""edge_k"": 0.49023897831070706, ""ema1"": 10, ""ema2"": 21, ""p_adx"": 19, ""p_atr"": 9, ""p_sma"": 48, ""p_std"": 54, ""rsi_ob"": 91, ""rsi_os"": 11, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.040046422016120936, ""slip_spread_k"": 0.6109245687943872, ""spread_hl_frac"": 0.0063204297070497744, ""strategy"": ""breakout"", ""time_stop"": 131, ""tp_mult"": 2.053382579645292, ""tsl_mult"": 0.5240483870291016, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1278348127478263}"
5,-0.15403031781785048,-0.15405750853381472,-1000000000.0,0.15405750853381472,-0.15403031781785048,-0.15405750853381472,476.0,breakout,1,"{""adx_thresh"": 22.61958631919749, ""atr_max_pct"": 0.0693030226202075, ""atr_min_pct"": 0.0015211084201728652, ""bb_std_mult"": 1.678245648753092, ""edge_cap"": 0.8305704142219894, ""edge_k"": 0.9763128088940676, ""ema1"": 20, ""ema2"": 38, ""p_adx"": 19, ""p_atr"": 21, ""p_sma"": 32, ""p_std"": 27, ""rsi_ob"": 86, ""rsi_os"": 29, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.24310646772056468, ""slip_spread_k"": 0.9522896212519698, ""spread_hl_frac"": 0.04456620501079098, ""strategy"": ""breakout"", ""time_stop"": 49, ""tp_mult"": 2.9444099189151642, ""tsl_mult"": 0.42678899657456815, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15316680836349306}"
6,-0.1169309588778491,-0.11966563388540112,-1000000000.0,0.11966563388540112,-0.1169309588778491,-0.11966563388540112,544.0,breakout,1,"{""adx_thresh"": 23.507221837892487, ""atr_max_pct"": 0.03984911022942728, ""atr_min_pct"": 0.010198262265908403, ""bb_std_mult"": 1.531526658989982, ""edge_cap"": 0.8316770086302009, ""edge_k"": 0.2696258224854522, ""ema1"": 29, ""ema2"": 26, ""p_adx"": 13, ""p_atr"": 17, ""p_sma"": 15, ""p_std"": 27, ""rsi_ob"": 49, ""rsi_os"": 17, ""rsi_period"": 34, ""rsi_required"": true, ""slip_atr_k"": 0.13442110471865604, ""slip_spread_k"": 0.590468323318911, ""spread_hl_frac"": 0.03802080605638347, ""strategy"": ""breakout"", ""time_stop"": 110, ""tp_mult"": 1.3330769778541798, ""tsl_mult"": 0.6634623078445595, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.035460999293237545}"
7,-0.12211787971554966,-0.12233623063204058,-1000000000.0,0.12233623063204058,-0.12211787971554966,-0.12233623063204058,528.0,breakout,1,"{""adx_thresh"": 16.874848490381794, ""atr_max_pct"": 0.0222682110526107, ""atr_min_pct"": 0.01963299286629989, ""bb_std_mult"": 1.9754349389104051, ""edge_cap"": 0.09883130258137372, ""edge_k"": 0.8728287613455223, ""ema1"": 23, ""ema2"": 37, ""p_adx"": 18, ""p_atr"": 24, ""p_sma"": 54, ""p_std"": 14, ""rsi_ob"": 88, ""rsi_os"": 37, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.11500966188116538, ""slip_spread_k"": 0.7960958757197157, ""spread_hl_frac"": 0.04869664778633925, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 1.2053487570546857, ""tsl_mult"": 0.03361554753398466, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2250627425073217}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.54029241074592, ""atr_max_pct"": 0.12434790502957918, ""atr_min_pct"": 0.02614132208759879, ""bb_std_mult"": 3.3589141625887082, ""edge_cap"": 0.6478243110185412, ""edge_k"": 1.1923086771365468, ""ema1"": 18, ""ema2"": 47, ""p_adx"": 17, ""p_atr"": 10, ""p_sma"": 18, ""p_std"": 58, ""rsi_ob"": 48, ""rsi_os"": 34, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.2099675612275737, ""slip_spread_k"": 0.5137394104806371, ""spread_hl_frac"": 0.03611069269623381, ""strategy"": ""mean_reversion"", ""time_stop"": 300, ""tp_mult"": 1.1482228765547797, ""tsl_mult"": 0.5639475681861864, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23102073530891534}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.960975585761826, ""atr_max_pct"": 0.08822078233877031, ""atr_min_pct"": 0.023320155024102056, ""bb_std_mult"": 2.0120849980195707, ""edge_cap"": 0.55548296872493, ""edge_k"": 0.016432342764574726, ""ema1"": 17, ""ema2"": 48, ""p_adx"": 28, ""p_atr"": 27, ""p_sma"": 59, ""p_std"": 55, ""rsi_ob"": 45, ""rsi_os"": 33, ""rsi_period"": 76, ""rsi_required"": false, ""slip_atr_k"": 0.19298168256318948, ""slip_spread_k"": 0.15115882532283575, ""spread_hl_frac"": 0.010035667918197478, ""strategy"": ""mean_reversion"", ""time_stop"": 94, ""tp_mult"": 2.31692636312703, ""tsl_mult"": 0.604438476119985, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.050491293662382385}"
