number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.1584294601911499,-0.15858315939320772,-1000000000.0,0.15858315939320772,-0.1584294601911499,-0.15858315939320772,784.0,mean_reversion,1,"{""adx_thresh"": 6.8383919663994615, ""atr_max_pct"": 0.060883503923032496, ""atr_min_pct"": 0.027260241378345804, ""bb_std_mult"": 3.0184820440708835, ""edge_cap"": 0.8954372459592979, ""edge_k"": 1.9936555108100122, ""ema1"": 26, ""ema2"": 44, ""p_adx"": 30, ""p_atr"": 28, ""p_sma"": 12, ""p_std"": 19, ""rsi_ob"": 58, ""rsi_os"": 19, ""rsi_period"": 35, ""rsi_required"": true, ""slip_atr_k"": 0.13874186468873967, ""slip_spread_k"": 0.425744694810017, ""spread_hl_frac"": 0.009310664228013011, ""strategy"": ""mean_reversion"", ""time_stop"": 276, ""tp_mult"": 2.5603805531572243, ""tsl_mult"": 0.5428938152897405, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.006419443144033787}"
1,-0.13794533348014926,-0.13874340679948335,-1000000000.0,0.13874340679948335,-0.13794533348014926,-0.13874340679948335,730.0,breakout,1,"{""adx_thresh"": 28.46355425807685, ""atr_max_pct"": 0.1114067810717574, ""atr_min_pct"": 0.0011554297540171353, ""bb_std_mult"": 3.116747995390022, ""edge_cap"": 0.9063016737073094, ""edge_k"": 0.01940934326515631, ""ema1"": 10, ""ema2"": 44, ""p_adx"": 18, ""p_atr"": 8, ""p_sma"": 22, ""p_std"": 44, ""rsi_ob"": 89, ""rsi_os"": 19, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.11338938469518342, ""slip_spread_k"": 0.22736861119551854, ""spread_hl_frac"": 0.01285265739368739, ""strategy"": ""breakout"", ""time_stop"": 74, ""tp_mult"": 1.7072186563174454, ""tsl_mult"": 0.3506721883719187, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15475526371971537}"
2,-0.20242788713240112,-0.20347575733589862,-1000000000.0,0.20347575733589862,-0.20242788713240112,-0.20347575733589862,728.0,breakout,1,"{""adx_thresh"": 34.609029793690716, ""atr_max_pct"": 0.1268371686849009, ""atr_min_pct"": 0.026512053835059543, ""bb_std_mult"": 3.4306709737176195, ""edge_cap"": 0.08000521857645113, ""edge_k"": 0.8146860527852915, ""ema1"": 12, ""ema2"": 57, ""p_adx"": 22, ""p_atr"": 20, ""p_sma"": 46, ""p_std"": 31, ""rsi_ob"": 71, ""rsi_os"": 46, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.20811471820647354, ""slip_spread_k"": 0.46107185751994584, ""spread_hl_frac"": 0.030745826887882466, ""strategy"": ""breakout"", ""time_stop"": 130, ""tp_mult"": 2.641442409000606, ""tsl_mult"": 0.3773656233009445, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14432854804696063}"
3,-0.18944385316100065,-0.1893894907391373,-1000000000.0,0.1893894907391373,-0.18944385316100065,-0.1893894907391373,803.0,breakout,1,"{""adx_thresh"": 10.052175186942087, ""atr_max_pct"": 0.12302019431982329, ""atr_min_pct"": 0.029892343702824762, ""bb_std_mult"": 1.3274588136754033, ""edge_cap"": 0.15948636729348115, ""edge_k"": 1.1243835221668943, ""ema1"": 26, ""ema2"": 30, ""p_adx"": 9, ""p_atr"": 16, ""p_sma"": 10, ""p_std"": 12, ""rsi_ob"": 70, ""rsi_os"": 16, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.18897988923298684, ""slip_spread_k"": 0.0015794503366538537, ""spread_hl_frac"": 0.04156296361254676, ""strategy"": ""breakout"", ""time_stop"": 78, ""tp_mult"": 1.7598861557411185, ""tsl_mult"": 0.17248072705468376, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1451665012040451}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.168275153467285, ""atr_max_pct"": 0.032261769823016796, ""atr_min_pct"": 0.01749130501274761, ""bb_std_mult"": 2.467142063265996, ""edge_cap"": 0.6317000398500754, ""edge_k"": 0.10220872102694956, ""ema1"": 8, ""ema2"": 51, ""p_adx"": 14, ""p_atr"": 14, ""p_sma"": 6, ""p_std"": 39, ""rsi_ob"": 87, ""rsi_os"": 50, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.2291191091961511, ""slip_spread_k"": 0.46020079637242695, ""spread_hl_frac"": 0.04857180644607213, ""strategy"": ""mean_reversion"", ""time_stop"": 132, ""tp_mult"": 2.3380459883625764, ""tsl_mult"": 0.42678877826521866, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06644745306751645}"
5,-0.18146519153949958,-0.1818719563796277,-1000000000.0,0.1818719563796277,-0.18146519153949958,-0.1818719563796277,681.0,mean_reversion,1,"{""adx_thresh"": 28.121118777345643, ""atr_max_pct"": 0.067556186390596, ""atr_min_pct"": 0.012080291273753457, ""bb_std_mult"": 0.668046540653603, ""edge_cap"": 0.30312348096723024, ""edge_k"": 0.4502377695514119, ""ema1"": 8, ""ema2"": 54, ""p_adx"": 24, ""p_atr"": 9, ""p_sma"": 18, ""p_std"": 45, ""rsi_ob"": 57, ""rsi_os"": 45, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.21222499053906746, ""slip_spread_k"": 0.609549725170342, ""spread_hl_frac"": 0.03662367876263728, ""strategy"": ""mean_reversion"", ""time_stop"": 105, ""tp_mult"": 1.2053654491562944, ""tsl_mult"": 0.4630224681818934, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14116321754270425}"
6,-0.2087962273927001,-0.2086687774297946,-1000000000.0,0.2086687774297946,-0.2087962273927001,-0.2086687774297946,752.0,breakout,1,"{""adx_thresh"": 12.034201159907006, ""atr_max_pct"": 0.09798654175885091, ""atr_min_pct"": 0.017867482672694297, ""bb_std_mult"": 3.4519723397155784, ""edge_cap"": 0.09217797592137215, ""edge_k"": 0.055359723813385386, ""ema1"": 6, ""ema2"": 36, ""p_adx"": 13, ""p_atr"": 26, ""p_sma"": 42, ""p_std"": 9, ""rsi_ob"": 52, ""rsi_os"": 27, ""rsi_period"": 44, ""rsi_required"": false, ""slip_atr_k"": 0.2057177800010702, ""slip_spread_k"": 0.19374311961278634, ""spread_hl_frac"": 0.04511749769748004, ""strategy"": ""breakout"", ""time_stop"": 138, ""tp_mult"": 1.8052049693429733, ""tsl_mult"": 0.14063270371211478, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2113114891515565}"
7,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 16.247206894596488, ""atr_max_pct"": 0.017886661201590222, ""atr_min_pct"": 0.021533280547269894, ""bb_std_mult"": 1.5083227213465282, ""edge_cap"": 0.819899286143147, ""edge_k"": 1.0728614713817424, ""ema1"": 15, ""ema2"": 29, ""p_adx"": 26, ""p_atr"": 21, ""p_sma"": 21, ""p_std"": 43, ""rsi_ob"": 87, ""rsi_os"": 15, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.11022321406782681, ""slip_spread_k"": 0.5866624105393121, ""spread_hl_frac"": 0.038913031054823716, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 2.6246880321009693, ""tsl_mult"": 0.982491081313366, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0027475278787211454}"
8,-0.1889074712439497,-0.1891354339299933,-1000000000.0,0.1891354339299933,-0.1889074712439497,-0.1891354339299933,763.0,mean_reversion,1,"{""adx_thresh"": 6.796579355862892, ""atr_max_pct"": 0.13881553888215437, ""atr_min_pct"": 0.010953057350433445, ""bb_std_mult"": 3.2436399141454015, ""edge_cap"": 0.6572622124663478, ""edge_k"": 0.6072836055284441, ""ema1"": 18, ""ema2"": 19, ""p_adx"": 15, ""p_atr"": 13, ""p_sma"": 49, ""p_std"": 17, ""rsi_ob"": 68, ""rsi_os"": 38, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.16784638515468236, ""slip_spread_k"": 0.8910730352420525, ""spread_hl_frac"": 0.03301229808201939, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 2.4925652566060132, ""tsl_mult"": 0.5185794512855108, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1453971537954808}"
9,-0.19081909446204937,-0.19112329163771932,-1000000000.0,0.19112329163771932,-0.19081909446204937,-0.19112329163771932,784.0,mean_reversion,1,"{""adx_thresh"": 31.49359550816241, ""atr_max_pct"": 0.06411650186265329, ""atr_min_pct"": 0.026862393946761334, ""bb_std_mult"": 1.793715090344004, ""edge_cap"": 0.9280662113971355, ""edge_k"": 1.5395190895988717, ""ema1"": 21, ""ema2"": 22, ""p_adx"": 11, ""p_atr"": 15, ""p_sma"": 49, ""p_std"": 9, ""rsi_ob"": 69, ""rsi_os"": 23, ""rsi_period"": 51, ""rsi_required"": false, ""slip_atr_k"": 0.1632889544224878, ""slip_spread_k"": 0.4986802047204997, ""spread_hl_frac"": 0.00674132299598072, ""strategy"": ""mean_reversion"", ""time_stop"": 154, ""tp_mult"": 2.9391981958538995, ""tsl_mult"": 0.5668834847812351, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1469559065441918}"
