number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.10246934673879948,-0.10273416340517204,-1000000000.0,0.10273416340517204,-0.10246934673879948,-0.10273416340517204,445.0,breakout,1,"{""adx_thresh"": 20.738044640822938, ""atr_max_pct"": 0.029330756957802618, ""atr_min_pct"": 0.008057318030538793, ""bb_std_mult"": 2.0391223549014574, ""edge_cap"": 0.9004391497870617, ""edge_k"": 1.940429445577463, ""ema1"": 13, ""ema2"": 44, ""p_adx"": 27, ""p_atr"": 18, ""p_sma"": 13, ""p_std"": 41, ""rsi_ob"": 56, ""rsi_os"": 53, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.17293864833277217, ""slip_spread_k"": 0.5979954600596891, ""spread_hl_frac"": 0.028905817608225345, ""strategy"": ""breakout"", ""time_stop"": 166, ""tp_mult"": 2.9376231178540353, ""tsl_mult"": 0.4858718167343623, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10950677066537015}"
1,-0.07873849454424997,-0.07962237018447195,-1000000000.0,0.07962237018447195,-0.07873849454424997,-0.07962237018447195,439.0,breakout,1,"{""adx_thresh"": 31.359568691045425, ""atr_max_pct"": 0.13689863209676226, ""atr_min_pct"": 0.014155839762287514, ""bb_std_mult"": 0.500893368996737, ""edge_cap"": 0.9126696556610419, ""edge_k"": 0.3292274119865335, ""ema1"": 8, ""ema2"": 32, ""p_adx"": 16, ""p_atr"": 8, ""p_sma"": 22, ""p_std"": 52, ""rsi_ob"": 64, ""rsi_os"": 44, ""rsi_period"": 53, ""rsi_required"": true, ""slip_atr_k"": 0.1389632052949112, ""slip_spread_k"": 0.2858751511185148, ""spread_hl_frac"": 0.030516929093417564, ""strategy"": ""breakout"", ""time_stop"": 26, ""tp_mult"": 2.1280685123245235, ""tsl_mult"": 0.7275881365312585, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2774275262395349}"
2,-0.12627495831140023,-0.12696654921552467,-1000000000.0,0.12696654921552467,-0.12627495831140023,-0.12696654921552467,511.0,breakout,1,"{""adx_thresh"": 16.477841061693628, ""atr_max_pct"": 0.08456711838864163, ""atr_min_pct"": 0.004994690833357372, ""bb_std_mult"": 1.0899154320160047, ""edge_cap"": 0.16214659972235332, ""edge_k"": 1.423845584639064, ""ema1"": 16, ""ema2"": 42, ""p_adx"": 14, ""p_atr"": 7, ""p_sma"": 13, ""p_std"": 27, ""rsi_ob"": 50, ""rsi_os"": 27, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.17576355502622729, ""slip_spread_k"": 0.6044934708678164, ""spread_hl_frac"": 0.017587483934503063, ""strategy"": ""breakout"", ""time_stop"": 90, ""tp_mult"": 1.7514062059669047, ""tsl_mult"": 0.4284902631610745, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16331722517098543}"
3,-0.08989394120565064,-0.09393297357717469,-1000000000.0,0.09393297357717469,-0.08989394120565064,-0.09393297357717469,447.0,mean_reversion,1,"{""adx_thresh"": 14.202320899693326, ""atr_max_pct"": 0.017416915802884528, ""atr_min_pct"": 0.008547129653179124, ""bb_std_mult"": 1.9271986718114273, ""edge_cap"": 0.3074844579888554, ""edge_k"": 1.9410734479739988, ""ema1"": 10, ""ema2"": 29, ""p_adx"": 21, ""p_atr"": 27, ""p_sma"": 15, ""p_std"": 43, ""rsi_ob"": 74, ""rsi_os"": 27, ""rsi_period"": 40, ""rsi_required"": false, ""slip_atr_k"": 0.12006354207752157, ""slip_spread_k"": 0.7068999260027623, ""spread_hl_frac"": 0.047249147723560994, ""strategy"": ""mean_reversion"", ""time_stop"": 51, ""tp_mult"": 2.201778695735251, ""tsl_mult"": 0.929022184945137, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08376061306919741}"
4,-0.12293244542219983,-0.12351714318046085,-1000000000.0,0.12351714318046085,-0.12293244542219983,-0.12351714318046085,441.0,breakout,1,"{""adx_thresh"": 29.717523180037603, ""atr_max_pct"": 0.1384953660347438, ""atr_min_pct"": 0.01005679837098067, ""bb_std_mult"": 3.338377913537446, ""edge_cap"": 0.7603068290095244, ""edge_k"": 1.5562253713366585, ""ema1"": 13, ""ema2"": 46, ""p_adx"": 21, ""p_atr"": 14, ""p_sma"": 27, ""p_std"": 42, ""rsi_ob"": 61, ""rsi_os"": 39, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.2487677547706889, ""slip_spread_k"": 0.1361104305863733, ""spread_hl_frac"": 0.043191062883040525, ""strategy"": ""breakout"", ""time_stop"": 84, ""tp_mult"": 2.9506460636707086, ""tsl_mult"": 0.1944463253202091, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10225771473938298}"
5,-0.10708348825520009,-0.1072502209710988,-1000000000.0,0.1072502209710988,-0.10708348825520009,-0.1072502209710988,424.0,breakout,1,"{""adx_thresh"": 28.665951193417563, ""atr_max_pct"": 0.12093665830548014, ""atr_min_pct"": 0.014194532030496943, ""bb_std_mult"": 1.278142594538664, ""edge_cap"": 0.6912754737143467, ""edge_k"": 0.2108651074371728, ""ema1"": 6, ""ema2"": 15, ""p_adx"": 23, ""p_atr"": 22, ""p_sma"": 40, ""p_std"": 59, ""rsi_ob"": 63, ""rsi_os"": 22, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.22642063032146728, ""slip_spread_k"": 0.21232906991525424, ""spread_hl_frac"": 0.007141887498911837, ""strategy"": ""breakout"", ""time_stop"": 216, ""tp_mult"": 2.1514806269147853, ""tsl_mult"": 0.8306823010272253, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.061771558454788274}"
6,-0.11481165449265007,-0.11501882880691242,-1000000000.0,0.11501882880691242,-0.11481165449265007,-0.11501882880691242,413.0,mean_reversion,1,"{""adx_thresh"": 12.359113644746785, ""atr_max_pct"": 0.10137256305536037, ""atr_min_pct"": 0.01337169423895095, ""bb_std_mult"": 1.7466717490111736, ""edge_cap"": 0.912673576840689, ""edge_k"": 1.423553143529618, ""ema1"": 13, ""ema2"": 13, ""p_adx"": 18, ""p_atr"": 25, ""p_sma"": 36, ""p_std"": 58, ""rsi_ob"": 60, ""rsi_os"": 5, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.22668222863563992, ""slip_spread_k"": 0.7759706526057711, ""spread_hl_frac"": 0.044269565170079156, ""strategy"": ""mean_reversion"", ""time_stop"": 121, ""tp_mult"": 1.8958643732036258, ""tsl_mult"": 0.6351475804904466, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.012639218158665533}"
7,-0.0698053200509503,-0.07416205403781573,-1000000000.0,0.07416205403781573,-0.0698053200509503,-0.07416205403781573,633.0,breakout,1,"{""adx_thresh"": 20.247052591165538, ""atr_max_pct"": 0.11447282549969398, ""atr_min_pct"": 0.021086035926439716, ""bb_std_mult"": 3.0891632114551486, ""edge_cap"": 0.18480031070585723, ""edge_k"": 0.7888976781672841, ""ema1"": 12, ""ema2"": 10, ""p_adx"": 13, ""p_atr"": 7, ""p_sma"": 56, ""p_std"": 6, ""rsi_ob"": 81, ""rsi_os"": 31, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.0005989864009458001, ""slip_spread_k"": 0.16291639883110698, ""spread_hl_frac"": 0.00658579893273854, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 1.6718866822860932, ""tsl_mult"": 0.32686949122235265, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.07617709070383706}"
8,-0.15121056702084934,-0.15161976889673132,-1000000000.0,0.15161976889673132,-0.15121056702084934,-0.15161976889673132,504.0,mean_reversion,1,"{""adx_thresh"": 22.604533968335808, ""atr_max_pct"": 0.051654081749880405, ""atr_min_pct"": 0.02711231140649977, ""bb_std_mult"": 1.3191319284463097, ""edge_cap"": 0.381411139906173, ""edge_k"": 1.5898785051994617, ""ema1"": 18, ""ema2"": 36, ""p_adx"": 21, ""p_atr"": 8, ""p_sma"": 30, ""p_std"": 18, ""rsi_ob"": 62, ""rsi_os"": 28, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.22910791099212396, ""slip_spread_k"": 0.4414569201804961, ""spread_hl_frac"": 0.0297600620645357, ""strategy"": ""mean_reversion"", ""time_stop"": 202, ""tp_mult"": 2.5526496363808175, ""tsl_mult"": 0.34743181295769865, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04089063073830331}"
9,-0.09742241233030002,-0.09969793993580923,-1000000000.0,0.09969793993580923,-0.09742241233030002,-0.09969793993580923,450.0,mean_reversion,1,"{""adx_thresh"": 24.443831889693342, ""atr_max_pct"": 0.12080689058157652, ""atr_min_pct"": 0.013599062685251217, ""bb_std_mult"": 2.741497114268094, ""edge_cap"": 0.895765309063545, ""edge_k"": 0.4474602278415476, ""ema1"": 18, ""ema2"": 36, ""p_adx"": 25, ""p_atr"": 20, ""p_sma"": 18, ""p_std"": 46, ""rsi_ob"": 56, ""rsi_os"": 16, ""rsi_period"": 76, ""rsi_required"": false, ""slip_atr_k"": 0.17465992027934577, ""slip_spread_k"": 0.6422888451619169, ""spread_hl_frac"": 0.004552576617480253, ""strategy"": ""mean_reversion"", ""time_stop"": 245, ""tp_mult"": 1.7447731079205635, ""tsl_mult"": 0.965488975362455, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.23286643588739228}"
