number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.2787273354802997,-0.27844948403795866,-1000000000.0,0.27844948403795866,-0.2787273354802997,-0.27844948403795866,560.0,mean_reversion,1,"{""adx_thresh"": 16.438390076274082, ""atr_max_pct"": 0.036097055284610935, ""atr_min_pct"": 0.011077142787354909, ""bb_std_mult"": 2.281197796897014, ""edge_cap"": 0.5881781584361689, ""edge_k"": 1.7383420911143153, ""ema1"": 10, ""ema2"": 22, ""p_adx"": 21, ""p_atr"": 30, ""p_sma"": 21, ""p_std"": 8, ""rsi_ob"": 67, ""rsi_os"": 39, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.20386914856797067, ""slip_spread_k"": 0.026630166561966484, ""spread_hl_frac"": 0.030166550236042363, ""strategy"": ""mean_reversion"", ""time_stop"": 7, ""tp_mult"": 1.6144383025362594, ""tsl_mult"": 0.35587553037409536, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2048360969393165}"
1,-0.20223965816520073,-0.20334602588121706,-1000000000.0,0.20334602588121706,-0.20223965816520073,-0.20334602588121706,558.0,mean_reversion,1,"{""adx_thresh"": 6.071013060726539, ""atr_max_pct"": 0.02891180904186911, ""atr_min_pct"": 0.007755930388274958, ""bb_std_mult"": 2.276629788810596, ""edge_cap"": 0.5831574913649358, ""edge_k"": 0.1751355302772155, ""ema1"": 10, ""ema2"": 51, ""p_adx"": 9, ""p_atr"": 9, ""p_sma"": 47, ""p_std"": 6, ""rsi_ob"": 88, ""rsi_os"": 27, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.07798239408904195, ""slip_spread_k"": 0.5200161523054688, ""spread_hl_frac"": 0.04487992932647429, ""strategy"": ""mean_reversion"", ""time_stop"": 176, ""tp_mult"": 1.3090604083133244, ""tsl_mult"": 0.8344652246902772, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1859905475480846}"
2,-0.19210790583560078,-0.19257416926035895,-1000000000.0,0.19257416926035895,-0.19210790583560078,-0.19257416926035895,440.0,breakout,1,"{""adx_thresh"": 33.18322982733911, ""atr_max_pct"": 0.09978106298487349, ""atr_min_pct"": 0.0183664541284496, ""bb_std_mult"": 2.5100411151343147, ""edge_cap"": 0.9153187556724687, ""edge_k"": 1.6175837563537523, ""ema1"": 28, ""ema2"": 47, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 55, ""p_std"": 59, ""rsi_ob"": 52, ""rsi_os"": 20, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.14979855445276127, ""slip_spread_k"": 0.5850172820075047, ""spread_hl_frac"": 0.037369815237910886, ""strategy"": ""breakout"", ""time_stop"": 70, ""tp_mult"": 2.502471644248396, ""tsl_mult"": 0.815562274665994, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.008140043672281926}"
3,-0.15958590768439862,-0.1620673704387974,-1000000000.0,0.1620673704387974,-0.15958590768439862,-0.1620673704387974,440.0,breakout,1,"{""adx_thresh"": 8.586129970311521, ""atr_max_pct"": 0.09555829802952076, ""atr_min_pct"": 0.012543075170434454, ""bb_std_mult"": 3.3564978863045685, ""edge_cap"": 0.8393732708565285, ""edge_k"": 0.45895276482555314, ""ema1"": 5, ""ema2"": 13, ""p_adx"": 23, ""p_atr"": 9, ""p_sma"": 28, ""p_std"": 57, ""rsi_ob"": 48, ""rsi_os"": 43, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.11799801723265207, ""slip_spread_k"": 0.419715870881298, ""spread_hl_frac"": 0.046439973654280146, ""strategy"": ""breakout"", ""time_stop"": 71, ""tp_mult"": 1.2082329871427178, ""tsl_mult"": 0.9988230409637079, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11232948552988324}"
4,-0.2244088487209004,-0.22419418362979363,-1000000000.0,0.22419418362979363,-0.2244088487209004,-0.22419418362979363,504.0,mean_reversion,1,"{""adx_thresh"": 6.3903829078482755, ""atr_max_pct"": 0.1023799273149492, ""atr_min_pct"": 0.002512882835981336, ""bb_std_mult"": 1.8316346918095952, ""edge_cap"": 0.06808423020482561, ""edge_k"": 1.0700581312376054, ""ema1"": 27, ""ema2"": 27, ""p_adx"": 23, ""p_atr"": 11, ""p_sma"": 50, ""p_std"": 25, ""rsi_ob"": 79, ""rsi_os"": 20, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.1795495543933317, ""slip_spread_k"": 0.5045487006216678, ""spread_hl_frac"": 0.006652520874333079, ""strategy"": ""mean_reversion"", ""time_stop"": 66, ""tp_mult"": 1.8618946083798382, ""tsl_mult"": 0.07738632732756634, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02314959256002679}"
5,-0.09205091536104848,-0.09974351967606811,-1000000000.0,0.09974351967606811,-0.09205091536104848,-0.09974351967606811,469.0,breakout,1,"{""adx_thresh"": 21.81241560718302, ""atr_max_pct"": 0.0134858696180962, ""atr_min_pct"": 0.009832283272159471, ""bb_std_mult"": 3.08445779821605, ""edge_cap"": 0.44328374563788076, ""edge_k"": 0.8163143248600679, ""ema1"": 9, ""ema2"": 31, ""p_adx"": 8, ""p_atr"": 17, ""p_sma"": 24, ""p_std"": 57, ""rsi_ob"": 45, ""rsi_os"": 36, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.021906076182804823, ""slip_spread_k"": 0.5151118154451009, ""spread_hl_frac"": 0.04106912755067386, ""strategy"": ""breakout"", ""time_stop"": 30, ""tp_mult"": 2.754869797755298, ""tsl_mult"": 0.006365225437322208, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03314353125284145}"
6,-0.2996804192672,-0.2996068537279894,-1000000000.0,0.2996068537279894,-0.2996804192672,-0.2996068537279894,568.0,mean_reversion,1,"{""adx_thresh"": 8.733676777730945, ""atr_max_pct"": 0.03253442049102435, ""atr_min_pct"": 0.015384366887209764, ""bb_std_mult"": 1.9758592512832291, ""edge_cap"": 0.7121815072222029, ""edge_k"": 0.47565818478098754, ""ema1"": 15, ""ema2"": 22, ""p_adx"": 12, ""p_atr"": 22, ""p_sma"": 8, ""p_std"": 11, ""rsi_ob"": 93, ""rsi_os"": 16, ""rsi_period"": 40, ""rsi_required"": true, ""slip_atr_k"": 0.20405340306546152, ""slip_spread_k"": 0.8276601172422139, ""spread_hl_frac"": 0.02308500740257674, ""strategy"": ""mean_reversion"", ""time_stop"": 247, ""tp_mult"": 2.715342722979085, ""tsl_mult"": 0.7576172769748176, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07943896615508429}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 31.25590323439831, ""atr_max_pct"": 0.04670325064565206, ""atr_min_pct"": 0.006606605091719905, ""bb_std_mult"": 2.4088573580584933, ""edge_cap"": 0.9857787500445095, ""edge_k"": 0.8534265277348088, ""ema1"": 21, ""ema2"": 11, ""p_adx"": 8, ""p_atr"": 22, ""p_sma"": 42, ""p_std"": 39, ""rsi_ob"": 64, ""rsi_os"": 51, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.010238770467179886, ""slip_spread_k"": 0.15729415511331146, ""spread_hl_frac"": 0.028131684220057282, ""strategy"": ""mean_reversion"", ""time_stop"": 296, ""tp_mult"": 1.028002354700783, ""tsl_mult"": 0.2165315016448941, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12028596524069388}"
8,-0.26873340166290116,-0.2696315603173078,-1000000000.0,0.2696315603173078,-0.26873340166290116,-0.2696315603173078,551.0,breakout,1,"{""adx_thresh"": 28.014216879134644, ""atr_max_pct"": 0.03496014347558543, ""atr_min_pct"": 0.008987248209107693, ""bb_std_mult"": 3.4383246297007104, ""edge_cap"": 0.9346173385607082, ""edge_k"": 0.21138207458216884, ""ema1"": 28, ""ema2"": 51, ""p_adx"": 30, ""p_atr"": 9, ""p_sma"": 5, ""p_std"": 10, ""rsi_ob"": 95, ""rsi_os"": 26, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.18618966084623984, ""slip_spread_k"": 0.18618065516757432, ""spread_hl_frac"": 0.036045992207042465, ""strategy"": ""breakout"", ""time_stop"": 122, ""tp_mult"": 1.8107368891306361, ""tsl_mult"": 0.20737147855146276, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17572184611684666}"
9,-0.18452780222065035,-0.18599641003236816,-1000000000.0,0.18599641003236816,-0.18452780222065035,-0.18599641003236816,478.0,breakout,1,"{""adx_thresh"": 7.914669731274651, ""atr_max_pct"": 0.0732626089639062, ""atr_min_pct"": 0.01482033990345657, ""bb_std_mult"": 3.336281364413032, ""edge_cap"": 0.6889183637068538, ""edge_k"": 0.8234045020201424, ""ema1"": 5, ""ema2"": 54, ""p_adx"": 20, ""p_atr"": 9, ""p_sma"": 20, ""p_std"": 38, ""rsi_ob"": 78, ""rsi_os"": 12, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.14322612662158124, ""slip_spread_k"": 0.015511480032200486, ""spread_hl_frac"": 0.0020719856105461234, ""strategy"": ""breakout"", ""time_stop"": 213, ""tp_mult"": 1.8925482241331324, ""tsl_mult"": 0.9841095349893452, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09061697103434455}"
10,-0.14487166924225148,-0.15588148227714985,-1000000000.0,0.15588148227714985,-0.14487166924225148,-0.15588148227714985,550.0,mean_reversion,1,"{""adx_thresh"": 19.64501274418774, ""atr_max_pct"": 0.12431831667328551, ""atr_min_pct"": 0.007428948837207811, ""bb_std_mult"": 3.0049485652195163, ""edge_cap"": 0.3502775757717162, ""edge_k"": 1.427756750776333, ""ema1"": 10, ""ema2"": 49, ""p_adx"": 12, ""p_atr"": 11, ""p_sma"": 53, ""p_std"": 31, ""rsi_ob"": 77, ""rsi_os"": 15, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.037453734559796115, ""slip_spread_k"": 0.7848527393146756, ""spread_hl_frac"": 0.015864812103577274, ""strategy"": ""mean_reversion"", ""time_stop"": 155, ""tp_mult"": 1.6529737349855471, ""tsl_mult"": 0.07007904601922355, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16741811920636723}"
11,-0.169686716218451,-0.17202207399907007,-1000000000.0,0.17202207399907007,-0.169686716218451,-0.17202207399907007,441.0,mean_reversion,1,"{""adx_thresh"": 31.772862783300983, ""atr_max_pct"": 0.11341655822313873, ""atr_min_pct"": 0.004904399846167509, ""bb_std_mult"": 2.006232201393718, ""edge_cap"": 0.24306508167316626, ""edge_k"": 0.533363811936677, ""ema1"": 7, ""ema2"": 30, ""p_adx"": 20, ""p_atr"": 23, ""p_sma"": 44, ""p_std"": 56, ""rsi_ob"": 63, ""rsi_os"": 9, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.10524469219561311, ""slip_spread_k"": 0.6932396639554784, ""spread_hl_frac"": 0.03343403961594984, ""strategy"": ""mean_reversion"", ""time_stop"": 141, ""tp_mult"": 2.847448343388239, ""tsl_mult"": 0.10850204204372538, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0944105690271804}"
12,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 32.213936825618816, ""atr_max_pct"": 0.11687239682646385, ""atr_min_pct"": 0.0012174604495623243, ""bb_std_mult"": 2.3505579296993035, ""edge_cap"": 0.3897999568602248, ""edge_k"": 0.7702533276602583, ""ema1"": 19, ""ema2"": 29, ""p_adx"": 14, ""p_atr"": 14, ""p_sma"": 41, ""p_std"": 51, ""rsi_ob"": 56, ""rsi_os"": 55, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.09404661507021872, ""slip_spread_k"": 0.4250439685823145, ""spread_hl_frac"": 0.0013181205377951256, ""strategy"": ""mean_reversion"", ""time_stop"": 6, ""tp_mult"": 2.438461163328049, ""tsl_mult"": 0.12090344630805161, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21150391133193483}"
13,-0.0981916428316012,-0.11412605649670816,-1000000000.0,0.11412605649670816,-0.0981916428316012,-0.11412605649670816,500.0,breakout,1,"{""adx_thresh"": 22.021782850308025, ""atr_max_pct"": 0.14435319268929303, ""atr_min_pct"": 0.028153787064330145, ""bb_std_mult"": 0.7370180636053965, ""edge_cap"": 0.3238603126390358, ""edge_k"": 1.2415780970368442, ""ema1"": 5, ""ema2"": 39, ""p_adx"": 15, ""p_atr"": 28, ""p_sma"": 21, ""p_std"": 42, ""rsi_ob"": 74, ""rsi_os"": 39, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.009388114862673309, ""slip_spread_k"": 0.9541542602320685, ""spread_hl_frac"": 0.016513463462722165, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 2.9599716217728775, ""tsl_mult"": 0.5006012721502734, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29263847384655867}"
