number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.010003919811500617,-0.022965430821085892,-0.010003919811500617,0.022965430821085892,-0.010003919811500617,-0.022965430821085892,555.0,mean_reversion,1,"{""adx_thresh"": 32.639707474129395, ""atr_max_pct"": 0.06057152543659394, ""atr_min_pct"": 0.007986318877494207, ""bb_std_mult"": 0.5165868326528059, ""edge_cap"": 0.18819934310024733, ""edge_k"": 1.8132729720609122, ""ema1"": 15, ""ema2"": 58, ""p_adx"": 30, ""p_atr"": 21, ""p_sma"": 26, ""p_std"": 25, ""rsi_ob"": 59, ""rsi_os"": 11, ""rsi_period"": 12, ""rsi_required"": true, ""slip_atr_k"": 0.06750399667539045, ""slip_spread_k"": 0.005841291308001817, ""spread_hl_frac"": 0.04909372009503144, ""strategy"": ""mean_reversion"", ""time_stop"": 60, ""tp_mult"": 2.627096857680536, ""tsl_mult"": 0.9105420355328493, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1383585848482836}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 9.40462665737815, ""atr_max_pct"": 0.13128302838124395, ""atr_min_pct"": 0.009136687851709758, ""bb_std_mult"": 2.887647515596897, ""edge_cap"": 0.425070840229207, ""edge_k"": 0.4637502626106158, ""ema1"": 14, ""ema2"": 40, ""p_adx"": 24, ""p_atr"": 16, ""p_sma"": 50, ""p_std"": 22, ""rsi_ob"": 81, ""rsi_os"": 52, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.058255939190248185, ""slip_spread_k"": 0.7033043246906735, ""spread_hl_frac"": 0.005312710628322098, ""strategy"": ""mean_reversion"", ""time_stop"": 85, ""tp_mult"": 1.8959254176815041, ""tsl_mult"": 0.14396088017283126, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.04155904492253074}"
2,-0.02804412414349977,-0.029342000959829632,-0.02804412414349977,0.029342000959829632,-0.02804412414349977,-0.029342000959829632,451.0,breakout,1,"{""adx_thresh"": 30.191521302493, ""atr_max_pct"": 0.03553514879800216, ""atr_min_pct"": 0.028786164415926067, ""bb_std_mult"": 0.9786495978916965, ""edge_cap"": 0.680711117113877, ""edge_k"": 0.895484600758806, ""ema1"": 8, ""ema2"": 15, ""p_adx"": 17, ""p_atr"": 28, ""p_sma"": 39, ""p_std"": 53, ""rsi_ob"": 84, ""rsi_os"": 22, ""rsi_period"": 17, ""rsi_required"": true, ""slip_atr_k"": 0.16567198259606106, ""slip_spread_k"": 0.40874719591158537, ""spread_hl_frac"": 0.02194481619327502, ""strategy"": ""breakout"", ""time_stop"": 263, ""tp_mult"": 2.5445992590718576, ""tsl_mult"": 0.45058569261684944, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.02006429437426601}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 6.390998694218071, ""atr_max_pct"": 0.06637573022981522, ""atr_min_pct"": 0.02863871546711284, ""bb_std_mult"": 1.7438393520989628, ""edge_cap"": 0.5302493675840675, ""edge_k"": 1.690013228805288, ""ema1"": 22, ""ema2"": 25, ""p_adx"": 26, ""p_atr"": 17, ""p_sma"": 28, ""p_std"": 36, ""rsi_ob"": 47, ""rsi_os"": 36, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.2166635505570707, ""slip_spread_k"": 0.12398142453986771, ""spread_hl_frac"": 0.04046877321399596, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 1.8572503829883715, ""tsl_mult"": 0.25485170147457203, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13567962179473456}"
4,-0.06016434283055039,-0.06027156293494343,-1000000000.0,0.06027156293494343,-0.06016434283055039,-0.06027156293494343,492.0,mean_reversion,1,"{""adx_thresh"": 19.48458730502839, ""atr_max_pct"": 0.11838884607629922, ""atr_min_pct"": 0.026565857579348665, ""bb_std_mult"": 0.7266544796486466, ""edge_cap"": 0.36083354559930964, ""edge_k"": 1.1148663074377472, ""ema1"": 26, ""ema2"": 33, ""p_adx"": 21, ""p_atr"": 26, ""p_sma"": 49, ""p_std"": 30, ""rsi_ob"": 81, ""rsi_os"": 34, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.16954703016074985, ""slip_spread_k"": 0.41222204640113147, ""spread_hl_frac"": 0.04867349882972728, ""strategy"": ""mean_reversion"", ""time_stop"": 230, ""tp_mult"": 2.340599946476211, ""tsl_mult"": 0.47681843363625953, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24363701394399082}"
5,-0.026440243431100185,-0.031174187506088594,-0.026440243431100185,0.031174187506088594,-0.026440243431100185,-0.031174187506088594,510.0,breakout,1,"{""adx_thresh"": 33.598198965457485, ""atr_max_pct"": 0.053180005399491845, ""atr_min_pct"": 0.015560557229659756, ""bb_std_mult"": 0.9664425034726982, ""edge_cap"": 0.6401731869571857, ""edge_k"": 0.47068451701113423, ""ema1"": 6, ""ema2"": 53, ""p_adx"": 16, ""p_atr"": 30, ""p_sma"": 5, ""p_std"": 16, ""rsi_ob"": 69, ""rsi_os"": 53, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.11477466153774848, ""slip_spread_k"": 0.5761844929563722, ""spread_hl_frac"": 0.019451197786755414, ""strategy"": ""breakout"", ""time_stop"": 137, ""tp_mult"": 1.5847648340918528, ""tsl_mult"": 0.019115527939018606, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26504330992887265}"
6,0.010804051180950403,-0.007929617387078716,0.010804051180950403,0.007929617387078716,0.010804051180950403,-0.007929617387078716,568.0,breakout,1,"{""adx_thresh"": 13.885325489717932, ""atr_max_pct"": 0.07273318322472172, ""atr_min_pct"": 0.006475811652138719, ""bb_std_mult"": 2.2987932557199984, ""edge_cap"": 0.6641861129922978, ""edge_k"": 0.05305370177483537, ""ema1"": 27, ""ema2"": 57, ""p_adx"": 28, ""p_atr"": 18, ""p_sma"": 42, ""p_std"": 24, ""rsi_ob"": 50, ""rsi_os"": 37, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.0297706847599071, ""slip_spread_k"": 0.7425801848775341, ""spread_hl_frac"": 0.007127160772897146, ""strategy"": ""breakout"", ""time_stop"": 129, ""tp_mult"": 1.1613227159609032, ""tsl_mult"": 0.6894700904362697, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2931909154010584}"
7,-0.023258290025049755,-0.029288181381775625,-0.023258290025049755,0.029288181381775625,-0.023258290025049755,-0.029288181381775625,518.0,breakout,1,"{""adx_thresh"": 29.940140060607593, ""atr_max_pct"": 0.1392289093322766, ""atr_min_pct"": 0.022739042346337956, ""bb_std_mult"": 0.7400136649042313, ""edge_cap"": 0.6926239786187142, ""edge_k"": 0.460984926445865, ""ema1"": 11, ""ema2"": 13, ""p_adx"": 13, ""p_atr"": 22, ""p_sma"": 30, ""p_std"": 35, ""rsi_ob"": 61, ""rsi_os"": 11, ""rsi_period"": 73, ""rsi_required"": false, ""slip_atr_k"": 0.05827547786394527, ""slip_spread_k"": 0.8894110131735357, ""spread_hl_frac"": 0.04362063792435706, ""strategy"": ""breakout"", ""time_stop"": 90, ""tp_mult"": 2.9929747008110703, ""tsl_mult"": 0.6487525196847096, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11286709004471634}"
8,0.0011178858590488172,-0.012281823494312854,0.0011178858590488172,0.012281823494312854,0.0011178858590488172,-0.012281823494312854,496.0,breakout,1,"{""adx_thresh"": 26.16385117872894, ""atr_max_pct"": 0.08576276803156511, ""atr_min_pct"": 0.012087769814772102, ""bb_std_mult"": 1.366501326116456, ""edge_cap"": 0.1693117785927995, ""edge_k"": 0.8061071882343336, ""ema1"": 25, ""ema2"": 40, ""p_adx"": 10, ""p_atr"": 26, ""p_sma"": 25, ""p_std"": 40, ""rsi_ob"": 55, ""rsi_os"": 55, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.043120933790592036, ""slip_spread_k"": 0.5344485701337762, ""spread_hl_frac"": 0.023228832523405553, ""strategy"": ""breakout"", ""time_stop"": 292, ""tp_mult"": 1.1396201909922676, ""tsl_mult"": 0.3594906764729805, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20212668087993862}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 32.912364484064625, ""atr_max_pct"": 0.08555904870259488, ""atr_min_pct"": 0.01401838671371236, ""bb_std_mult"": 3.166711514846562, ""edge_cap"": 0.9497766595147681, ""edge_k"": 1.2142170962265522, ""ema1"": 7, ""ema2"": 60, ""p_adx"": 23, ""p_atr"": 18, ""p_sma"": 11, ""p_std"": 20, ""rsi_ob"": 79, ""rsi_os"": 55, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.12400256505736165, ""slip_spread_k"": 0.7229186639665415, ""spread_hl_frac"": 0.005701302815374471, ""strategy"": ""mean_reversion"", ""time_stop"": 125, ""tp_mult"": 2.716661612345875, ""tsl_mult"": 0.020267533635529467, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06269319400604308}"
