number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.03285196267955015,-0.03479125890294109,-1000000000.0,0.03479125890294109,-0.03285196267955015,-0.03479125890294109,421.0,breakout,1,"{""adx_thresh"": 25.687868210701325, ""atr_max_pct"": 0.05743141746209908, ""atr_min_pct"": 0.011853678873689277, ""bb_std_mult"": 0.7682186056338227, ""edge_cap"": 0.9410286103157641, ""edge_k"": 1.4502563064834515, ""ema1"": 17, ""ema2"": 29, ""p_adx"": 13, ""p_atr"": 16, ""p_sma"": 21, ""p_std"": 52, ""rsi_ob"": 46, ""rsi_os"": 12, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.1441475259397933, ""slip_spread_k"": 0.01508624113582857, ""spread_hl_frac"": 0.0043106468478760155, ""strategy"": ""breakout"", ""time_stop"": 8, ""tp_mult"": 2.6151285859128395, ""tsl_mult"": 0.4027205207927934, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16014133178393283}"
1,-0.05940001447169996,-0.05937982682139047,-1000000000.0,0.05937982682139047,-0.05940001447169996,-0.05937982682139047,507.0,breakout,1,"{""adx_thresh"": 12.70620722174557, ""atr_max_pct"": 0.12681291349279397, ""atr_min_pct"": 0.018384409614283087, ""bb_std_mult"": 3.213371022210999, ""edge_cap"": 0.30357246299899215, ""edge_k"": 0.2242753363491612, ""ema1"": 16, ""ema2"": 59, ""p_adx"": 25, ""p_atr"": 25, ""p_sma"": 23, ""p_std"": 21, ""rsi_ob"": 59, ""rsi_os"": 35, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.14969574960323273, ""slip_spread_k"": 0.7166851084102464, ""spread_hl_frac"": 0.01763932091599791, ""strategy"": ""breakout"", ""time_stop"": 132, ""tp_mult"": 2.784522786261947, ""tsl_mult"": 0.1359407587918553, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.03784461361772512}"
2,-0.060645133850649846,-0.06057268450916011,-1000000000.0,0.06057268450916011,-0.060645133850649846,-0.06057268450916011,392.0,breakout,1,"{""adx_thresh"": 32.92988827523872, ""atr_max_pct"": 0.031094076397378906, ""atr_min_pct"": 0.0029832238918122344, ""bb_std_mult"": 2.0165913639130864, ""edge_cap"": 0.8300636133948346, ""edge_k"": 0.9773606687410135, ""ema1"": 12, ""ema2"": 29, ""p_adx"": 10, ""p_atr"": 8, ""p_sma"": 19, ""p_std"": 54, ""rsi_ob"": 60, ""rsi_os"": 31, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.22642033300906614, ""slip_spread_k"": 0.10050908091515809, ""spread_hl_frac"": 0.04973670898929907, ""strategy"": ""breakout"", ""time_stop"": 74, ""tp_mult"": 1.1884414039676516, ""tsl_mult"": 0.9058335377269466, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15649120997084892}"
3,-0.026428724266650216,-0.030559731932496455,-1000000000.0,0.030559731932496455,-0.026428724266650216,-0.030559731932496455,512.0,breakout,1,"{""adx_thresh"": 30.475047301692065, ""atr_max_pct"": 0.07172908202721154, ""atr_min_pct"": 0.0041121293650649236, ""bb_std_mult"": 2.237204048717879, ""edge_cap"": 0.7625167160699838, ""edge_k"": 0.6545128756849115, ""ema1"": 9, ""ema2"": 35, ""p_adx"": 21, ""p_atr"": 26, ""p_sma"": 54, ""p_std"": 39, ""rsi_ob"": 47, ""rsi_os"": 36, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.03841614553641834, ""slip_spread_k"": 0.018747057965443514, ""spread_hl_frac"": 0.020753279949744397, ""strategy"": ""breakout"", ""time_stop"": 69, ""tp_mult"": 1.3410570391493783, ""tsl_mult"": 0.46607959170938373, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04627432325284385}"
4,-0.036646211641149784,-0.03799830833028995,-1000000000.0,0.03799830833028995,-0.036646211641149784,-0.03799830833028995,449.0,mean_reversion,1,"{""adx_thresh"": 18.45517640440846, ""atr_max_pct"": 0.045116298818069785, ""atr_min_pct"": 0.00025697424912014653, ""bb_std_mult"": 2.269790433344381, ""edge_cap"": 0.263421515737686, ""edge_k"": 0.7191451055669693, ""ema1"": 5, ""ema2"": 24, ""p_adx"": 12, ""p_atr"": 20, ""p_sma"": 58, ""p_std"": 58, ""rsi_ob"": 71, ""rsi_os"": 46, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.10551697598219967, ""slip_spread_k"": 0.09793986094538742, ""spread_hl_frac"": 0.024265892754260665, ""strategy"": ""mean_reversion"", ""time_stop"": 67, ""tp_mult"": 2.5437267393603826, ""tsl_mult"": 0.3215438067956904, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14553491322339235}"
5,-0.026476937590700023,-0.03171597959082976,-1000000000.0,0.03171597959082976,-0.026476937590700023,-0.03171597959082976,525.0,breakout,1,"{""adx_thresh"": 21.6541182725297, ""atr_max_pct"": 0.026213440128905537, ""atr_min_pct"": 0.0011286301948376732, ""bb_std_mult"": 1.5781143663614579, ""edge_cap"": 0.362190215194828, ""edge_k"": 0.2754772725387029, ""ema1"": 14, ""ema2"": 40, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 50, ""p_std"": 29, ""rsi_ob"": 81, ""rsi_os"": 21, ""rsi_period"": 66, ""rsi_required"": true, ""slip_atr_k"": 0.010470999294781874, ""slip_spread_k"": 0.5682834401809465, ""spread_hl_frac"": 0.020511801535856012, ""strategy"": ""breakout"", ""time_stop"": 64, ""tp_mult"": 2.971596520600779, ""tsl_mult"": 0.13134310567084106, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06685420406951001}"
6,-0.07573858303140002,-0.07577536390519839,-1000000000.0,0.07577536390519839,-0.07573858303140002,-0.07577536390519839,441.0,mean_reversion,1,"{""adx_thresh"": 11.095000714841937, ""atr_max_pct"": 0.12837338579720978, ""atr_min_pct"": 0.017578952136019493, ""bb_std_mult"": 1.3653557638067741, ""edge_cap"": 0.09034071561850036, ""edge_k"": 1.929294054159717, ""ema1"": 15, ""ema2"": 48, ""p_adx"": 27, ""p_atr"": 21, ""p_sma"": 56, ""p_std"": 33, ""rsi_ob"": 51, ""rsi_os"": 9, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.23094536451009307, ""slip_spread_k"": 0.8395400493216851, ""spread_hl_frac"": 0.04373599955046549, ""strategy"": ""mean_reversion"", ""time_stop"": 132, ""tp_mult"": 2.1417718967656993, ""tsl_mult"": 0.7738621562509249, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15491402757467226}"
7,-0.05781121104610032,-0.05864925984080683,-1000000000.0,0.05864925984080683,-0.05781121104610032,-0.05864925984080683,424.0,breakout,1,"{""adx_thresh"": 26.54220976262873, ""atr_max_pct"": 0.05816433154410758, ""atr_min_pct"": 0.018117241003505175, ""bb_std_mult"": 1.1138791922091285, ""edge_cap"": 0.3141860206344764, ""edge_k"": 1.6401156561952106, ""ema1"": 12, ""ema2"": 52, ""p_adx"": 8, ""p_atr"": 15, ""p_sma"": 55, ""p_std"": 52, ""rsi_ob"": 84, ""rsi_os"": 25, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.17863956804241216, ""slip_spread_k"": 0.6812806315341863, ""spread_hl_frac"": 0.02992793330123228, ""strategy"": ""breakout"", ""time_stop"": 144, ""tp_mult"": 2.507470202173246, ""tsl_mult"": 0.9370380499353874, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.290280671316977}"
8,-0.05180871479064986,-0.05195309342117439,-1000000000.0,0.05195309342117439,-0.05180871479064986,-0.05195309342117439,376.0,mean_reversion,1,"{""adx_thresh"": 27.840127228739878, ""atr_max_pct"": 0.04232778110657714, ""atr_min_pct"": 0.008901926141642326, ""bb_std_mult"": 3.545487107687949, ""edge_cap"": 0.9099793271101196, ""edge_k"": 0.00447864818338406, ""ema1"": 30, ""ema2"": 26, ""p_adx"": 27, ""p_atr"": 9, ""p_sma"": 14, ""p_std"": 52, ""rsi_ob"": 58, ""rsi_os"": 49, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.17187145638321155, ""slip_spread_k"": 0.599401556387379, ""spread_hl_frac"": 0.048458919384178, ""strategy"": ""mean_reversion"", ""time_stop"": 24, ""tp_mult"": 2.611187081387147, ""tsl_mult"": 0.18578714204737112, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07936728807312977}"
9,-0.06218407206369991,-0.062399958385886516,-1000000000.0,0.062399958385886516,-0.06218407206369991,-0.062399958385886516,497.0,breakout,1,"{""adx_thresh"": 8.017281942182677, ""atr_max_pct"": 0.06872869644202315, ""atr_min_pct"": 0.0020536942826492786, ""bb_std_mult"": 1.8218919612154887, ""edge_cap"": 0.5685859318288294, ""edge_k"": 1.4565788270317057, ""ema1"": 14, ""ema2"": 34, ""p_adx"": 27, ""p_atr"": 24, ""p_sma"": 60, ""p_std"": 15, ""rsi_ob"": 75, ""rsi_os"": 16, ""rsi_period"": 72, ""rsi_required"": true, ""slip_atr_k"": 0.18256441995543093, ""slip_spread_k"": 0.4162003160663901, ""spread_hl_frac"": 0.0036468443186662594, ""strategy"": ""breakout"", ""time_stop"": 242, ""tp_mult"": 1.929761172585104, ""tsl_mult"": 0.4595605447779828, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12801583234074218}"
