number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.2866844325415021,-0.2875521250872653,-1000000000.0,0.2875521250872653,-0.2866844325415021,-0.2875521250872653,948.0,mean_reversion,1,"{""adx_thresh"": 18.60431022188365, ""atr_max_pct"": 0.06135461577585733, ""atr_min_pct"": 0.010875425778734477, ""bb_std_mult"": 2.04752931221674, ""edge_cap"": 0.7119800447095632, ""edge_k"": 0.05561529585926839, ""ema1"": 14, ""ema2"": 14, ""p_adx"": 12, ""p_atr"": 30, ""p_sma"": 28, ""p_std"": 38, ""rsi_ob"": 60, ""rsi_os"": 10, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.0599853279535153, ""slip_spread_k"": 0.20695410341395926, ""spread_hl_frac"": 0.04143972270664419, ""strategy"": ""mean_reversion"", ""time_stop"": 49, ""tp_mult"": 2.7708328719475426, ""tsl_mult"": 0.6924038662375357, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05700732440518438}"
1,-0.21414840835714966,-0.2266307144134067,-1000000000.0,0.2266307144134067,-0.21414840835714966,-0.2266307144134067,1027.0,mean_reversion,1,"{""adx_thresh"": 26.269144198507192, ""atr_max_pct"": 0.11021939691061583, ""atr_min_pct"": 0.02233876343900806, ""bb_std_mult"": 2.9860101985751664, ""edge_cap"": 0.7547957186077621, ""edge_k"": 0.2671518231187999, ""ema1"": 9, ""ema2"": 54, ""p_adx"": 22, ""p_atr"": 24, ""p_sma"": 40, ""p_std"": 19, ""rsi_ob"": 89, ""rsi_os"": 21, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.004421147300584377, ""slip_spread_k"": 0.6055562411818821, ""spread_hl_frac"": 0.013528711504768826, ""strategy"": ""mean_reversion"", ""time_stop"": 59, ""tp_mult"": 1.1039959301869913, ""tsl_mult"": 0.30312442812683904, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.27154594221637096}"
2,-0.4167837266837997,-0.4173501740771462,-1000000000.0,0.4173501740771462,-0.4167837266837997,-0.4173501740771462,854.0,breakout,1,"{""adx_thresh"": 16.49612027259412, ""atr_max_pct"": 0.1025799774710213, ""atr_min_pct"": 0.027093788599141272, ""bb_std_mult"": 1.8605282849316696, ""edge_cap"": 0.757265398373798, ""edge_k"": 0.8263721328557574, ""ema1"": 10, ""ema2"": 46, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 10, ""p_std"": 27, ""rsi_ob"": 92, ""rsi_os"": 50, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.20523008820886426, ""slip_spread_k"": 0.7668448160006746, ""spread_hl_frac"": 0.03729560234768976, ""strategy"": ""breakout"", ""time_stop"": 192, ""tp_mult"": 2.056170847891819, ""tsl_mult"": 0.2696870222054445, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06757994853985873}"
3,-0.3909650097565015,-0.3917834599533197,-1000000000.0,0.3917834599533197,-0.3909650097565015,-0.3917834599533197,851.0,breakout,1,"{""adx_thresh"": 9.285345667776527, ""atr_max_pct"": 0.047539773607536355, ""atr_min_pct"": 0.0018522191110524045, ""bb_std_mult"": 1.311133618866291, ""edge_cap"": 0.20426130653275146, ""edge_k"": 0.8123177078296968, ""ema1"": 16, ""ema2"": 32, ""p_adx"": 11, ""p_atr"": 10, ""p_sma"": 51, ""p_std"": 48, ""rsi_ob"": 92, ""rsi_os"": 34, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.18146758185364836, ""slip_spread_k"": 0.645893901188396, ""spread_hl_frac"": 0.01360023244646979, ""strategy"": ""breakout"", ""time_stop"": 46, ""tp_mult"": 2.6219339033836992, ""tsl_mult"": 0.7333176101446863, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2561915378827428}"
4,-0.36560882761045,-0.36590416682785565,-1000000000.0,0.36590416682785565,-0.36560882761045,-0.36590416682785565,864.0,mean_reversion,1,"{""adx_thresh"": 6.048117944277549, ""atr_max_pct"": 0.07052968152736568, ""atr_min_pct"": 0.009218628358752168, ""bb_std_mult"": 1.752177796220055, ""edge_cap"": 0.725888690905583, ""edge_k"": 0.7431948137312083, ""ema1"": 21, ""ema2"": 43, ""p_adx"": 12, ""p_atr"": 9, ""p_sma"": 60, ""p_std"": 60, ""rsi_ob"": 54, ""rsi_os"": 36, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.14389213354005567, ""slip_spread_k"": 0.40801667460234226, ""spread_hl_frac"": 0.04573821530007992, ""strategy"": ""mean_reversion"", ""time_stop"": 230, ""tp_mult"": 1.1215686284275266, ""tsl_mult"": 0.15916117326528412, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25477658347692705}"
5,-0.33004245756204964,-0.3292473007400438,-1000000000.0,0.3292473007400438,-0.33004245756204964,-0.3292473007400438,906.0,mean_reversion,1,"{""adx_thresh"": 18.334708844118445, ""atr_max_pct"": 0.026235846374512938, ""atr_min_pct"": 0.012135978546877594, ""bb_std_mult"": 0.9898712412636577, ""edge_cap"": 0.564327160854893, ""edge_k"": 0.49550094448585336, ""ema1"": 10, ""ema2"": 39, ""p_adx"": 22, ""p_atr"": 13, ""p_sma"": 28, ""p_std"": 58, ""rsi_ob"": 54, ""rsi_os"": 22, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.09628132940501413, ""slip_spread_k"": 0.46387569242460336, ""spread_hl_frac"": 0.03537777413454787, ""strategy"": ""mean_reversion"", ""time_stop"": 20, ""tp_mult"": 2.313135156638036, ""tsl_mult"": 0.7108592904902686, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.050783252714941995}"
6,-0.3183050619330008,-0.3187219397218101,-1000000000.0,0.3187219397218101,-0.3183050619330008,-0.3187219397218101,934.0,breakout,1,"{""adx_thresh"": 13.691808882329836, ""atr_max_pct"": 0.02111571925062435, ""atr_min_pct"": 0.009735233691457068, ""bb_std_mult"": 3.444257651026961, ""edge_cap"": 0.7052185540164758, ""edge_k"": 0.5744567488691295, ""ema1"": 25, ""ema2"": 47, ""p_adx"": 11, ""p_atr"": 9, ""p_sma"": 27, ""p_std"": 41, ""rsi_ob"": 46, ""rsi_os"": 20, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.09547102180722294, ""slip_spread_k"": 0.07229356072323145, ""spread_hl_frac"": 0.007350060919666174, ""strategy"": ""breakout"", ""time_stop"": 202, ""tp_mult"": 2.838169230884275, ""tsl_mult"": 0.56358707299993, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0668999904215336}"
7,-0.37384935803785047,-0.3733042423256352,-1000000000.0,0.3733042423256352,-0.37384935803785047,-0.3733042423256352,866.0,mean_reversion,1,"{""adx_thresh"": 22.723447432671385, ""atr_max_pct"": 0.03375914732027073, ""atr_min_pct"": 0.0160141672159473, ""bb_std_mult"": 0.9237533556265232, ""edge_cap"": 0.4143283119846907, ""edge_k"": 0.7552459961640556, ""ema1"": 28, ""ema2"": 43, ""p_adx"": 20, ""p_atr"": 24, ""p_sma"": 19, ""p_std"": 14, ""rsi_ob"": 80, ""rsi_os"": 27, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.13423830011933752, ""slip_spread_k"": 0.9946751185887164, ""spread_hl_frac"": 0.031434351943659226, ""strategy"": ""mean_reversion"", ""time_stop"": 192, ""tp_mult"": 1.3849395806689513, ""tsl_mult"": 0.27958852318857486, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05491324760500207}"
8,-0.3884785130360484,-0.3887798130753703,-1000000000.0,0.3887798130753703,-0.3884785130360484,-0.3887798130753703,859.0,breakout,1,"{""adx_thresh"": 21.762336810888254, ""atr_max_pct"": 0.11626222326004777, ""atr_min_pct"": 0.007249715042353981, ""bb_std_mult"": 1.1054682039707733, ""edge_cap"": 0.5915274674079749, ""edge_k"": 1.6830238278488843, ""ema1"": 18, ""ema2"": 17, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 26, ""p_std"": 45, ""rsi_ob"": 82, ""rsi_os"": 15, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.19299744710249073, ""slip_spread_k"": 0.49606333333272457, ""spread_hl_frac"": 0.007339371836740072, ""strategy"": ""breakout"", ""time_stop"": 158, ""tp_mult"": 2.638218492665544, ""tsl_mult"": 0.4863421536736686, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1381321401903152}"
9,-0.4213079933006002,-0.42146954157127325,-1000000000.0,0.42146954157127325,-0.4213079933006002,-0.42146954157127325,846.0,mean_reversion,1,"{""adx_thresh"": 9.273129745268978, ""atr_max_pct"": 0.13477567656392078, ""atr_min_pct"": 0.01033591487016397, ""bb_std_mult"": 0.6206839149145834, ""edge_cap"": 0.8459371831892982, ""edge_k"": 0.2865135512987973, ""ema1"": 8, ""ema2"": 26, ""p_adx"": 25, ""p_atr"": 24, ""p_sma"": 58, ""p_std"": 16, ""rsi_ob"": 67, ""rsi_os"": 32, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.18927253863951, ""slip_spread_k"": 0.4259378878503538, ""spread_hl_frac"": 0.04069622725462563, ""strategy"": ""mean_reversion"", ""time_stop"": 261, ""tp_mult"": 2.3017290670699495, ""tsl_mult"": 0.8377339574305872, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.22083759873578343}"
