number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0869130305689505,-0.0868333019200716,-1000000000.0,0.0868333019200716,-0.0869130305689505,-0.0868333019200716,509.0,mean_reversion,1,"{""adx_thresh"": 23.99148463743762, ""atr_max_pct"": 0.13367359287930075, ""atr_min_pct"": 0.012540272596302459, ""bb_std_mult"": 1.0683278290372007, ""edge_cap"": 0.8020485815688028, ""edge_k"": 0.9313195594333437, ""ema1"": 25, ""ema2"": 52, ""p_adx"": 13, ""p_atr"": 18, ""p_sma"": 25, ""p_std"": 14, ""rsi_ob"": 51, ""rsi_os"": 43, ""rsi_period"": 83, ""rsi_required"": false, ""slip_atr_k"": 0.20641608190867608, ""slip_spread_k"": 0.3135567834607944, ""spread_hl_frac"": 0.019037132674852852, ""strategy"": ""mean_reversion"", ""time_stop"": 145, ""tp_mult"": 2.6677539239505754, ""tsl_mult"": 0.6036546135509061, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0925990682788105}"
1,-0.0741038099163499,-0.07503325191948562,-1000000000.0,0.07503325191948562,-0.0741038099163499,-0.07503325191948562,449.0,breakout,1,"{""adx_thresh"": 14.131326110698598, ""atr_max_pct"": 0.09154980682691945, ""atr_min_pct"": 0.0004519197912114625, ""bb_std_mult"": 1.2874692201226559, ""edge_cap"": 0.34437719134287403, ""edge_k"": 1.5660950606924497, ""ema1"": 6, ""ema2"": 36, ""p_adx"": 15, ""p_atr"": 16, ""p_sma"": 37, ""p_std"": 38, ""rsi_ob"": 91, ""rsi_os"": 26, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.21272177676822268, ""slip_spread_k"": 0.06876968998636401, ""spread_hl_frac"": 0.020240575536394884, ""strategy"": ""breakout"", ""time_stop"": 15, ""tp_mult"": 1.5805710620605933, ""tsl_mult"": 0.5770818306597864, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06894356970009248}"
2,-0.04244193200385049,-0.04648104018634461,-1000000000.0,0.04648104018634461,-0.04244193200385049,-0.04648104018634461,358.0,breakout,1,"{""adx_thresh"": 14.500911521236937, ""atr_max_pct"": 0.11292290905198762, ""atr_min_pct"": 0.010293764541825148, ""bb_std_mult"": 1.606893610471026, ""edge_cap"": 0.4565493268864026, ""edge_k"": 1.9548058630577196, ""ema1"": 9, ""ema2"": 56, ""p_adx"": 9, ""p_atr"": 29, ""p_sma"": 11, ""p_std"": 53, ""rsi_ob"": 50, ""rsi_os"": 35, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.16867650379406543, ""slip_spread_k"": 0.5004820507110815, ""spread_hl_frac"": 0.04791377747498428, ""strategy"": ""breakout"", ""time_stop"": 25, ""tp_mult"": 1.6183956950688874, ""tsl_mult"": 0.7780123377101151, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2364780099804309}"
3,-0.05879146173654992,-0.06204461911114003,-1000000000.0,0.06204461911114003,-0.05879146173654992,-0.06204461911114003,447.0,breakout,1,"{""adx_thresh"": 8.518572107373044, ""atr_max_pct"": 0.05917117191686082, ""atr_min_pct"": 0.0184113039480602, ""bb_std_mult"": 1.0632060403928247, ""edge_cap"": 0.2222069566203171, ""edge_k"": 1.459314648161692, ""ema1"": 28, ""ema2"": 23, ""p_adx"": 25, ""p_atr"": 18, ""p_sma"": 24, ""p_std"": 40, ""rsi_ob"": 86, ""rsi_os"": 30, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.1542402707950825, ""slip_spread_k"": 0.8157076410885943, ""spread_hl_frac"": 0.011031354408547744, ""strategy"": ""breakout"", ""time_stop"": 172, ""tp_mult"": 2.390531641289695, ""tsl_mult"": 0.10036766957205001, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23530297751296428}"
4,-0.08087164800204916,-0.0820666751178009,-1000000000.0,0.0820666751178009,-0.08087164800204916,-0.0820666751178009,533.0,mean_reversion,1,"{""adx_thresh"": 16.108468102586922, ""atr_max_pct"": 0.014289474887386267, ""atr_min_pct"": 0.010536254246254487, ""bb_std_mult"": 0.9895865294450109, ""edge_cap"": 0.800631818961665, ""edge_k"": 0.6168342521894397, ""ema1"": 18, ""ema2"": 60, ""p_adx"": 11, ""p_atr"": 11, ""p_sma"": 21, ""p_std"": 14, ""rsi_ob"": 72, ""rsi_os"": 48, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.17806562296976416, ""slip_spread_k"": 0.13801649100407032, ""spread_hl_frac"": 0.003995681354872416, ""strategy"": ""mean_reversion"", ""time_stop"": 112, ""tp_mult"": 2.691992612513387, ""tsl_mult"": 0.506509012184218, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11385637260822433}"
5,-0.08146574829645015,-0.08191126955762394,-1000000000.0,0.08191126955762394,-0.08146574829645015,-0.08191126955762394,477.0,breakout,1,"{""adx_thresh"": 33.36883849037383, ""atr_max_pct"": 0.14945042773737455, ""atr_min_pct"": 0.025477362789403574, ""bb_std_mult"": 1.7069044984301731, ""edge_cap"": 0.8211166880636817, ""edge_k"": 0.47889930820198634, ""ema1"": 18, ""ema2"": 32, ""p_adx"": 19, ""p_atr"": 30, ""p_sma"": 59, ""p_std"": 20, ""rsi_ob"": 46, ""rsi_os"": 49, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.21259412214125578, ""slip_spread_k"": 0.7495564193675615, ""spread_hl_frac"": 0.011864096046536394, ""strategy"": ""breakout"", ""time_stop"": 80, ""tp_mult"": 1.60720440475439, ""tsl_mult"": 0.03194167107114165, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05621217586250777}"
6,-0.023267741491599936,-0.02522204226958515,-0.023267741491599936,0.02522204226958515,-0.023267741491599936,-0.02522204226958515,456.0,mean_reversion,1,"{""adx_thresh"": 34.997214387736754, ""atr_max_pct"": 0.09193134461855013, ""atr_min_pct"": 0.025139825739696985, ""bb_std_mult"": 0.8199786570693206, ""edge_cap"": 0.6648652334665123, ""edge_k"": 0.16784400748529604, ""ema1"": 21, ""ema2"": 35, ""p_adx"": 30, ""p_atr"": 19, ""p_sma"": 33, ""p_std"": 49, ""rsi_ob"": 73, ""rsi_os"": 8, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.06504906997244037, ""slip_spread_k"": 0.7737519458224092, ""spread_hl_frac"": 0.0020506008765127427, ""strategy"": ""mean_reversion"", ""time_stop"": 181, ""tp_mult"": 2.9516205976683993, ""tsl_mult"": 0.43482852641312, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23006781829966555}"
7,-0.061098680896200186,-0.0636921621812987,-1000000000.0,0.0636921621812987,-0.061098680896200186,-0.0636921621812987,461.0,breakout,1,"{""adx_thresh"": 18.565140140343477, ""atr_max_pct"": 0.05136802927396472, ""atr_min_pct"": 0.004140055521692733, ""bb_std_mult"": 3.280973559158761, ""edge_cap"": 0.7842872302516278, ""edge_k"": 1.3730986727102312, ""ema1"": 27, ""ema2"": 50, ""p_adx"": 9, ""p_atr"": 26, ""p_sma"": 15, ""p_std"": 36, ""rsi_ob"": 64, ""rsi_os"": 48, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.19265667343375437, ""slip_spread_k"": 0.7797991980691112, ""spread_hl_frac"": 0.009603946124934933, ""strategy"": ""breakout"", ""time_stop"": 222, ""tp_mult"": 2.301958007638866, ""tsl_mult"": 0.7475777527544679, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20519292412518395}"
8,-0.057976503366749976,-0.05950673991465947,-1000000000.0,0.05950673991465947,-0.057976503366749976,-0.05950673991465947,414.0,breakout,1,"{""adx_thresh"": 31.528153240444652, ""atr_max_pct"": 0.11261115635716108, ""atr_min_pct"": 0.017444210312333664, ""bb_std_mult"": 3.153252722985979, ""edge_cap"": 0.9870659396879059, ""edge_k"": 0.5786834565617756, ""ema1"": 11, ""ema2"": 59, ""p_adx"": 23, ""p_atr"": 27, ""p_sma"": 30, ""p_std"": 51, ""rsi_ob"": 65, ""rsi_os"": 28, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.1775703160491864, ""slip_spread_k"": 0.37031886457927965, ""spread_hl_frac"": 0.038241600184205436, ""strategy"": ""breakout"", ""time_stop"": 280, ""tp_mult"": 1.7029622704325984, ""tsl_mult"": 0.5153838013089616, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.227622746033603}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 12.350034302697257, ""atr_max_pct"": 0.026675133433972445, ""atr_min_pct"": 0.02726999271639878, ""bb_std_mult"": 3.05236520988675, ""edge_cap"": 0.1256038077509275, ""edge_k"": 0.7762371394048371, ""ema1"": 10, ""ema2"": 52, ""p_adx"": 28, ""p_atr"": 16, ""p_sma"": 36, ""p_std"": 43, ""rsi_ob"": 86, ""rsi_os"": 19, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.08542768154617575, ""slip_spread_k"": 0.6333818527226107, ""spread_hl_frac"": 0.02013694301437014, ""strategy"": ""breakout"", ""time_stop"": 57, ""tp_mult"": 2.200300160893463, ""tsl_mult"": 0.598176832518018, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.22208263008364978}"
