number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.034812394955699766,-0.037082751711267334,-0.034812394955699766,0.037082751711267334,-0.034812394955699766,-0.037082751711267334,475.0,mean_reversion,1,"{""adx_thresh"": 34.526610726968094, ""atr_max_pct"": 0.1397437802172776, ""atr_min_pct"": 0.013305574418938421, ""bb_std_mult"": 1.195277134105996, ""edge_cap"": 0.8814229945939148, ""edge_k"": 1.5678526737573193, ""ema1"": 6, ""ema2"": 59, ""p_adx"": 24, ""p_atr"": 14, ""p_sma"": 39, ""p_std"": 21, ""rsi_ob"": 88, ""rsi_os"": 27, ""rsi_period"": 53, ""rsi_required"": false, ""slip_atr_k"": 0.15399286488136005, ""slip_spread_k"": 0.39760351676971606, ""spread_hl_frac"": 0.0071948603592688455, ""strategy"": ""mean_reversion"", ""time_stop"": 120, ""tp_mult"": 2.8570019607811785, ""tsl_mult"": 0.3104447737428391, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.24507230793507134}"
1,-0.01636223811635007,-0.02141234917581909,-0.01636223811635007,0.02141234917581909,-0.01636223811635007,-0.02141234917581909,471.0,mean_reversion,1,"{""adx_thresh"": 30.84209096874152, ""atr_max_pct"": 0.06588431249687832, ""atr_min_pct"": 0.027671842308647072, ""bb_std_mult"": 0.5770869350187365, ""edge_cap"": 0.23718665369631, ""edge_k"": 0.8387635762963916, ""ema1"": 29, ""ema2"": 53, ""p_adx"": 12, ""p_atr"": 17, ""p_sma"": 24, ""p_std"": 36, ""rsi_ob"": 94, ""rsi_os"": 37, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.08178396608416236, ""slip_spread_k"": 0.43555078887775533, ""spread_hl_frac"": 0.012524225246892435, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 1.469247769045691, ""tsl_mult"": 0.0814348420490758, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29882162880244156}"
2,0.002492378326049316,-0.011684445137557576,0.002492378326049316,0.011684445137557576,0.002492378326049316,-0.011684445137557576,531.0,mean_reversion,1,"{""adx_thresh"": 18.159959691996548, ""atr_max_pct"": 0.10931380072171062, ""atr_min_pct"": 0.004518820107283645, ""bb_std_mult"": 1.6685613881999992, ""edge_cap"": 0.45167503147191784, ""edge_k"": 1.4883829610904484, ""ema1"": 29, ""ema2"": 32, ""p_adx"": 8, ""p_atr"": 27, ""p_sma"": 42, ""p_std"": 27, ""rsi_ob"": 60, ""rsi_os"": 25, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.01575710968843083, ""slip_spread_k"": 0.43303326955588883, ""spread_hl_frac"": 0.049602920931423024, ""strategy"": ""mean_reversion"", ""time_stop"": 208, ""tp_mult"": 2.6416059391373445, ""tsl_mult"": 0.9111172561737864, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.22552887815028597}"
3,-0.018722357301450554,-0.025941220810473783,-0.018722357301450554,0.025941220810473783,-0.018722357301450554,-0.025941220810473783,501.0,breakout,1,"{""adx_thresh"": 26.064555350034027, ""atr_max_pct"": 0.1345215627034382, ""atr_min_pct"": 0.021308019049723292, ""bb_std_mult"": 2.6163287275969584, ""edge_cap"": 0.8819194539746357, ""edge_k"": 1.6614076408239464, ""ema1"": 25, ""ema2"": 32, ""p_adx"": 17, ""p_atr"": 22, ""p_sma"": 44, ""p_std"": 32, ""rsi_ob"": 83, ""rsi_os"": 37, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.07860166878996808, ""slip_spread_k"": 0.4221116832479652, ""spread_hl_frac"": 0.04059828180963381, ""strategy"": ""breakout"", ""time_stop"": 75, ""tp_mult"": 1.8996039378797274, ""tsl_mult"": 0.7278968752303376, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25291913273211264}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.97359941785773, ""atr_max_pct"": 0.0829220931087131, ""atr_min_pct"": 0.023887340171464003, ""bb_std_mult"": 1.8999363775597644, ""edge_cap"": 0.3506534976464532, ""edge_k"": 1.6258541417131365, ""ema1"": 17, ""ema2"": 53, ""p_adx"": 14, ""p_atr"": 16, ""p_sma"": 12, ""p_std"": 48, ""rsi_ob"": 51, ""rsi_os"": 51, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.09843042945498132, ""slip_spread_k"": 0.9693067940212594, ""spread_hl_frac"": 0.0434885021863965, ""strategy"": ""mean_reversion"", ""time_stop"": 257, ""tp_mult"": 2.5780953260806174, ""tsl_mult"": 0.5035997706126386, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09370488306183039}"
5,-0.035652954071700105,-0.037520962516066445,-0.035652954071700105,0.037520962516066445,-0.035652954071700105,-0.037520962516066445,441.0,breakout,1,"{""adx_thresh"": 31.027230119705337, ""atr_max_pct"": 0.09373295294399406, ""atr_min_pct"": 0.021765339023506816, ""bb_std_mult"": 3.4245347637260126, ""edge_cap"": 0.16304841585673369, ""edge_k"": 0.939486214755066, ""ema1"": 25, ""ema2"": 55, ""p_adx"": 21, ""p_atr"": 22, ""p_sma"": 31, ""p_std"": 41, ""rsi_ob"": 46, ""rsi_os"": 46, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.14239973771426456, ""slip_spread_k"": 0.9222409769302591, ""spread_hl_frac"": 0.026831887843114438, ""strategy"": ""breakout"", ""time_stop"": 9, ""tp_mult"": 2.535115744227734, ""tsl_mult"": 0.22813884325256006, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03284123406731888}"
6,-0.041598571167699605,-0.04422596243453637,-1000000000.0,0.04422596243453637,-0.041598571167699605,-0.04422596243453637,503.0,breakout,1,"{""adx_thresh"": 11.963520074058215, ""atr_max_pct"": 0.14791551029428412, ""atr_min_pct"": 0.028608322648255958, ""bb_std_mult"": 2.662601496090013, ""edge_cap"": 0.9135312907669748, ""edge_k"": 1.5024948284393884, ""ema1"": 24, ""ema2"": 28, ""p_adx"": 27, ""p_atr"": 24, ""p_sma"": 25, ""p_std"": 19, ""rsi_ob"": 52, ""rsi_os"": 47, ""rsi_period"": 69, ""rsi_required"": true, ""slip_atr_k"": 0.14188121889300784, ""slip_spread_k"": 0.4220053586564265, ""spread_hl_frac"": 0.016375647029441897, ""strategy"": ""breakout"", ""time_stop"": 104, ""tp_mult"": 2.2421456139678724, ""tsl_mult"": 0.09618121229208643, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1786243807892731}"
7,0.01696731111664973,-0.006575564259378828,0.01696731111664973,0.006575564259378828,0.01696731111664973,-0.006575564259378828,563.0,breakout,1,"{""adx_thresh"": 27.76512552377111, ""atr_max_pct"": 0.01196815494029976, ""atr_min_pct"": 0.007674316895785853, ""bb_std_mult"": 3.1285606042464504, ""edge_cap"": 0.07952322834058778, ""edge_k"": 1.947805552510241, ""ema1"": 17, ""ema2"": 57, ""p_adx"": 29, ""p_atr"": 8, ""p_sma"": 40, ""p_std"": 17, ""rsi_ob"": 78, ""rsi_os"": 42, ""rsi_period"": 68, ""rsi_required"": true, ""slip_atr_k"": 0.007485588270412902, ""slip_spread_k"": 0.3532181860069319, ""spread_hl_frac"": 0.018095602894057882, ""strategy"": ""breakout"", ""time_stop"": 147, ""tp_mult"": 2.2785356721490837, ""tsl_mult"": 0.6283971281722539, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.19201977547361082}"
8,-0.06301836392064963,-0.06437753261294131,-1000000000.0,0.06437753261294131,-0.06301836392064963,-0.06437753261294131,427.0,breakout,1,"{""adx_thresh"": 6.297483108041865, ""atr_max_pct"": 0.09871701306103525, ""atr_min_pct"": 0.006549848581087489, ""bb_std_mult"": 1.2023318287232831, ""edge_cap"": 0.9273927062858517, ""edge_k"": 1.8508689383600048, ""ema1"": 18, ""ema2"": 55, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 39, ""p_std"": 39, ""rsi_ob"": 74, ""rsi_os"": 24, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.24993263013775266, ""slip_spread_k"": 0.3266416308801252, ""spread_hl_frac"": 0.004011062941147531, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 2.0435651905733168, ""tsl_mult"": 0.8845628488243624, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06412113338800714}"
9,0.0059735624630494755,-0.01373256012897332,0.0059735624630494755,0.01373256012897332,0.0059735624630494755,-0.01373256012897332,492.0,mean_reversion,1,"{""adx_thresh"": 27.063886632656228, ""atr_max_pct"": 0.03575987995476254, ""atr_min_pct"": 0.023923030009679856, ""bb_std_mult"": 2.526725451143848, ""edge_cap"": 0.49525066380331606, ""edge_k"": 1.3994612961650679, ""ema1"": 24, ""ema2"": 60, ""p_adx"": 27, ""p_atr"": 14, ""p_sma"": 20, ""p_std"": 34, ""rsi_ob"": 92, ""rsi_os"": 35, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.020078706176706956, ""slip_spread_k"": 0.6977221462400454, ""spread_hl_frac"": 0.023450605011982317, ""strategy"": ""mean_reversion"", ""time_stop"": 212, ""tp_mult"": 2.7113555598549, ""tsl_mult"": 0.33759317278118517, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12365970849075486}"
