number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.11895865824369978,-0.1244517696272779,-1000000000.0,0.1244517696272779,-0.11895865824369978,-0.1244517696272779,1254.0,breakout,1,"{""adx_thresh"": 21.665649572818, ""atr_max_pct"": 0.010919841423443813, ""atr_min_pct"": 0.009037603417072921, ""bb_std_mult"": 3.5419390047588726, ""edge_cap"": 0.3566975839131461, ""edge_k"": 0.8704382964679043, ""ema1"": 13, ""ema2"": 10, ""p_adx"": 13, ""p_atr"": 27, ""p_sma"": 56, ""p_std"": 53, ""rsi_ob"": 86, ""rsi_os"": 23, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.15520482758372, ""slip_spread_k"": 0.4270917505057432, ""spread_hl_frac"": 0.023739815219089314, ""strategy"": ""breakout"", ""time_stop"": 129, ""tp_mult"": 2.1702213704937097, ""tsl_mult"": 0.2821881608226826, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.09003612371110367}"
1,-0.08502572572760003,-0.08500981230728419,-1000000000.0,0.08500981230728419,-0.08502572572760003,-0.08500981230728419,1332.0,breakout,1,"{""adx_thresh"": 33.57542557149936, ""atr_max_pct"": 0.057415197056683985, ""atr_min_pct"": 0.003913852051694232, ""bb_std_mult"": 1.516518790407209, ""edge_cap"": 0.3023598561854399, ""edge_k"": 0.5691796199322605, ""ema1"": 27, ""ema2"": 11, ""p_adx"": 17, ""p_atr"": 7, ""p_sma"": 41, ""p_std"": 6, ""rsi_ob"": 91, ""rsi_os"": 28, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.10072934092916203, ""slip_spread_k"": 0.24591706989996276, ""spread_hl_frac"": 0.024166983325776444, ""strategy"": ""breakout"", ""time_stop"": 158, ""tp_mult"": 1.3906454235661805, ""tsl_mult"": 0.28066503532355824, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04945488988768295}"
2,-0.13629765140365002,-0.13638286443775827,-1000000000.0,0.13638286443775827,-0.13629765140365002,-0.13638286443775827,1286.0,mean_reversion,1,"{""adx_thresh"": 17.154559105498716, ""atr_max_pct"": 0.08559876954173734, ""atr_min_pct"": 0.0007602733014294538, ""bb_std_mult"": 3.3860299741935203, ""edge_cap"": 0.6449247039215865, ""edge_k"": 0.4884547950602047, ""ema1"": 20, ""ema2"": 29, ""p_adx"": 11, ""p_atr"": 30, ""p_sma"": 41, ""p_std"": 15, ""rsi_ob"": 84, ""rsi_os"": 34, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.15023873189270828, ""slip_spread_k"": 0.9215860966185222, ""spread_hl_frac"": 0.021609785062607446, ""strategy"": ""mean_reversion"", ""time_stop"": 212, ""tp_mult"": 2.1674850216869186, ""tsl_mult"": 0.9564854330971859, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11906167324929899}"
3,0.12205107029190088,-0.013331340458670996,0.12205107029190088,0.013331340458670996,0.12205107029190088,-0.013331340458670996,1019.0,mean_reversion,1,"{""adx_thresh"": 17.391785044987376, ""atr_max_pct"": 0.048822909115480304, ""atr_min_pct"": 0.023093453143720775, ""bb_std_mult"": 2.0888704941738303, ""edge_cap"": 0.785840932585378, ""edge_k"": 1.0113154065784145, ""ema1"": 15, ""ema2"": 59, ""p_adx"": 24, ""p_atr"": 13, ""p_sma"": 6, ""p_std"": 47, ""rsi_ob"": 84, ""rsi_os"": 19, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.008814014375794016, ""slip_spread_k"": 0.44290663008825115, ""spread_hl_frac"": 0.027534081620782955, ""strategy"": ""mean_reversion"", ""time_stop"": 188, ""tp_mult"": 2.617111975611186, ""tsl_mult"": 0.742227485640823, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.014926781694560375}"
4,-0.13031229932290067,-0.13043004460497803,-1000000000.0,0.13043004460497803,-0.13031229932290067,-0.13043004460497803,1279.0,breakout,1,"{""adx_thresh"": 22.1655055417212, ""atr_max_pct"": 0.0169043940101574, ""atr_min_pct"": 0.015688774803228177, ""bb_std_mult"": 3.403455398266788, ""edge_cap"": 0.845791081321092, ""edge_k"": 0.2571521643130048, ""ema1"": 19, ""ema2"": 49, ""p_adx"": 26, ""p_atr"": 8, ""p_sma"": 30, ""p_std"": 9, ""rsi_ob"": 61, ""rsi_os"": 8, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.12594019591984568, ""slip_spread_k"": 0.807044286172798, ""spread_hl_frac"": 0.0326656956766973, ""strategy"": ""breakout"", ""time_stop"": 299, ""tp_mult"": 1.7029893686203676, ""tsl_mult"": 0.3105724098250182, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.234780316780129}"
5,-0.12590818081354915,-0.1267583977372684,-1000000000.0,0.1267583977372684,-0.12590818081354915,-0.1267583977372684,1269.0,breakout,1,"{""adx_thresh"": 11.529509968477766, ""atr_max_pct"": 0.05677222221887967, ""atr_min_pct"": 0.010375549810708864, ""bb_std_mult"": 2.963845748723167, ""edge_cap"": 0.10520071329247245, ""edge_k"": 0.06480508351992031, ""ema1"": 18, ""ema2"": 52, ""p_adx"": 28, ""p_atr"": 25, ""p_sma"": 47, ""p_std"": 10, ""rsi_ob"": 87, ""rsi_os"": 40, ""rsi_period"": 52, ""rsi_required"": true, ""slip_atr_k"": 0.16248321483135336, ""slip_spread_k"": 0.1502462806028887, ""spread_hl_frac"": 0.04129831473977855, ""strategy"": ""breakout"", ""time_stop"": 135, ""tp_mult"": 2.600691415169498, ""tsl_mult"": 0.9259618469950134, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13503716968323473}"
6,-0.028962428109250093,-0.04578275482465736,-0.028962428109250093,0.04578275482465736,-0.028962428109250093,-0.04578275482465736,1403.0,breakout,1,"{""adx_thresh"": 5.568470341472134, ""atr_max_pct"": 0.09677986016681482, ""atr_min_pct"": 0.019701425709941045, ""bb_std_mult"": 1.8026605940334917, ""edge_cap"": 0.504435910171001, ""edge_k"": 0.0234609098257601, ""ema1"": 12, ""ema2"": 43, ""p_adx"": 25, ""p_atr"": 11, ""p_sma"": 51, ""p_std"": 11, ""rsi_ob"": 71, ""rsi_os"": 48, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.06241757473431381, ""slip_spread_k"": 0.417691391065239, ""spread_hl_frac"": 0.007464886370992308, ""strategy"": ""breakout"", ""time_stop"": 203, ""tp_mult"": 2.167800691083633, ""tsl_mult"": 0.1971580708071623, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2933837022742523}"
7,-0.026332777899050086,-0.03727106332880287,-0.026332777899050086,0.03727106332880287,-0.026332777899050086,-0.03727106332880287,878.0,mean_reversion,1,"{""adx_thresh"": 14.317191779636065, ""atr_max_pct"": 0.08342714228107657, ""atr_min_pct"": 0.0010108965048999951, ""bb_std_mult"": 1.933876530336982, ""edge_cap"": 0.29933606868945756, ""edge_k"": 1.6991418709505843, ""ema1"": 7, ""ema2"": 55, ""p_adx"": 7, ""p_atr"": 28, ""p_sma"": 6, ""p_std"": 53, ""rsi_ob"": 86, ""rsi_os"": 8, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.15317887011993891, ""slip_spread_k"": 0.5809485830538629, ""spread_hl_frac"": 0.026486656582934465, ""strategy"": ""mean_reversion"", ""time_stop"": 167, ""tp_mult"": 2.7433314118835415, ""tsl_mult"": 0.8280607150293725, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1590544934769072}"
8,-0.1471370035430999,-0.14730562739935507,-1000000000.0,0.14730562739935507,-0.1471370035430999,-0.14730562739935507,1255.0,breakout,1,"{""adx_thresh"": 15.541856042809712, ""atr_max_pct"": 0.09335342353430026, ""atr_min_pct"": 0.017013080812127084, ""bb_std_mult"": 0.9252824969580706, ""edge_cap"": 0.3778021250988909, ""edge_k"": 1.242258813033032, ""ema1"": 12, ""ema2"": 34, ""p_adx"": 12, ""p_atr"": 10, ""p_sma"": 52, ""p_std"": 37, ""rsi_ob"": 95, ""rsi_os"": 55, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.14363615291731013, ""slip_spread_k"": 0.7322380075663284, ""spread_hl_frac"": 0.01178685480626584, ""strategy"": ""breakout"", ""time_stop"": 224, ""tp_mult"": 2.4773745159493563, ""tsl_mult"": 0.3922172285626454, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.031628176089227}"
9,-0.16563440450169908,-0.16771137037311948,-1000000000.0,0.16771137037311948,-0.16563440450169908,-0.16771137037311948,1236.0,mean_reversion,1,"{""adx_thresh"": 19.544312421729213, ""atr_max_pct"": 0.14556652062902384, ""atr_min_pct"": 0.00948318095001883, ""bb_std_mult"": 2.50198109502276, ""edge_cap"": 0.36125151001068334, ""edge_k"": 1.6076817798251206, ""ema1"": 13, ""ema2"": 44, ""p_adx"": 29, ""p_atr"": 17, ""p_sma"": 29, ""p_std"": 14, ""rsi_ob"": 67, ""rsi_os"": 5, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.2102269815648115, ""slip_spread_k"": 0.00011173863193281175, ""spread_hl_frac"": 0.028007433702095255, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 1.2012933657455547, ""tsl_mult"": 0.41622906230122214, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.293918449152191}"
