number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.1684674091528494,-0.16864958051134518,-1000000000.0,0.16864958051134518,-0.1684674091528494,-0.16864958051134518,1183.0,breakout,1,"{""adx_thresh"": 10.535601276846192, ""atr_max_pct"": 0.03063439721336884, ""atr_min_pct"": 0.001130939190219361, ""bb_std_mult"": 0.8277288093609334, ""edge_cap"": 0.7908188355174287, ""edge_k"": 0.16715463355725002, ""ema1"": 11, ""ema2"": 16, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 52, ""p_std"": 58, ""rsi_ob"": 86, ""rsi_os"": 21, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.20203710697106791, ""slip_spread_k"": 0.352567334493899, ""spread_hl_frac"": 0.010259240269221488, ""strategy"": ""breakout"", ""time_stop"": 93, ""tp_mult"": 1.7147270174646791, ""tsl_mult"": 0.6024820697780519, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2475430641366701}"
1,-0.14318608532930033,-0.1431266269643493,-1000000000.0,0.1431266269643493,-0.14318608532930033,-0.1431266269643493,1199.0,breakout,1,"{""adx_thresh"": 34.12711827119638, ""atr_max_pct"": 0.030770707533269596, ""atr_min_pct"": 0.010502366393579808, ""bb_std_mult"": 3.0630850702093517, ""edge_cap"": 0.9132473377684368, ""edge_k"": 1.3187211380826467, ""ema1"": 26, ""ema2"": 36, ""p_adx"": 30, ""p_atr"": 20, ""p_sma"": 59, ""p_std"": 56, ""rsi_ob"": 57, ""rsi_os"": 26, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.17482008339755967, ""slip_spread_k"": 0.8557001434489896, ""spread_hl_frac"": 0.005769893122942388, ""strategy"": ""breakout"", ""time_stop"": 32, ""tp_mult"": 1.1737942819852762, ""tsl_mult"": 0.5690368552742172, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02563048329544324}"
2,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 8.095451401859373, ""atr_max_pct"": 0.01047829154281443, ""atr_min_pct"": 0.02312957034170785, ""bb_std_mult"": 3.460070079483277, ""edge_cap"": 0.05851728553562796, ""edge_k"": 1.9835650410830874, ""ema1"": 20, ""ema2"": 55, ""p_adx"": 30, ""p_atr"": 13, ""p_sma"": 27, ""p_std"": 8, ""rsi_ob"": 55, ""rsi_os"": 10, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.1401244967179103, ""slip_spread_k"": 0.8931448458938676, ""spread_hl_frac"": 0.008236403427183158, ""strategy"": ""breakout"", ""time_stop"": 93, ""tp_mult"": 2.5548916081853252, ""tsl_mult"": 0.64393198086076, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.28015403117133053}"
3,-0.11962243937454953,-0.11973371212418998,-1000000000.0,0.11973371212418998,-0.11962243937454953,-0.11973371212418998,1354.0,breakout,1,"{""adx_thresh"": 11.415456340793494, ""atr_max_pct"": 0.13844350442230718, ""atr_min_pct"": 0.011886804778497283, ""bb_std_mult"": 3.243563669439675, ""edge_cap"": 0.2531633053370157, ""edge_k"": 0.7630670253445924, ""ema1"": 21, ""ema2"": 58, ""p_adx"": 24, ""p_atr"": 26, ""p_sma"": 19, ""p_std"": 35, ""rsi_ob"": 86, ""rsi_os"": 35, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.11059126504360203, ""slip_spread_k"": 0.49602868872358896, ""spread_hl_frac"": 0.006874845873511882, ""strategy"": ""breakout"", ""time_stop"": 30, ""tp_mult"": 1.9188347043489067, ""tsl_mult"": 0.6660095702407305, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05182679478365458}"
4,-0.17655450902599945,-0.17648442721117183,-1000000000.0,0.17648442721117183,-0.17655450902599945,-0.17648442721117183,1309.0,mean_reversion,1,"{""adx_thresh"": 16.123786161022714, ""atr_max_pct"": 0.017580000502523726, ""atr_min_pct"": 0.004454723217136054, ""bb_std_mult"": 3.208085168155977, ""edge_cap"": 0.1844673930213543, ""edge_k"": 1.9076650236111392, ""ema1"": 12, ""ema2"": 48, ""p_adx"": 10, ""p_atr"": 29, ""p_sma"": 54, ""p_std"": 5, ""rsi_ob"": 61, ""rsi_os"": 28, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.19044903140870123, ""slip_spread_k"": 0.19400893516748696, ""spread_hl_frac"": 0.010443221165573042, ""strategy"": ""mean_reversion"", ""time_stop"": 246, ""tp_mult"": 1.7612333748273181, ""tsl_mult"": 0.6161080738361718, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14909846272897606}"
5,-0.0716398159112499,-0.07508334865725419,-1000000000.0,0.07508334865725419,-0.0716398159112499,-0.07508334865725419,1457.0,breakout,1,"{""adx_thresh"": 22.426132303877072, ""atr_max_pct"": 0.028692518665224827, ""atr_min_pct"": 0.0226614444512997, ""bb_std_mult"": 2.8341632336609286, ""edge_cap"": 0.1238122219660536, ""edge_k"": 1.1795353658595715, ""ema1"": 17, ""ema2"": 42, ""p_adx"": 25, ""p_atr"": 13, ""p_sma"": 26, ""p_std"": 28, ""rsi_ob"": 55, ""rsi_os"": 18, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.029242030793148632, ""slip_spread_k"": 0.7937980254252855, ""spread_hl_frac"": 0.0022472671774739993, ""strategy"": ""breakout"", ""time_stop"": 8, ""tp_mult"": 1.8414348546108283, ""tsl_mult"": 0.03011962407632307, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06221731485098161}"
6,-0.082639591473051,-0.0881196031347298,-1000000000.0,0.0881196031347298,-0.082639591473051,-0.0881196031347298,1444.0,breakout,1,"{""adx_thresh"": 7.635574971425541, ""atr_max_pct"": 0.04522272294906542, ""atr_min_pct"": 0.025920896786617048, ""bb_std_mult"": 2.7730010624394086, ""edge_cap"": 0.17260669914394486, ""edge_k"": 1.9183641635056292, ""ema1"": 29, ""ema2"": 28, ""p_adx"": 13, ""p_atr"": 9, ""p_sma"": 39, ""p_std"": 16, ""rsi_ob"": 86, ""rsi_os"": 37, ""rsi_period"": 68, ""rsi_required"": true, ""slip_atr_k"": 0.057030425266697465, ""slip_spread_k"": 0.7703298904237934, ""spread_hl_frac"": 0.017491978906950367, ""strategy"": ""breakout"", ""time_stop"": 115, ""tp_mult"": 1.7233340255842133, ""tsl_mult"": 0.6732421331641397, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1640095190920149}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 16.46399755523205, ""atr_max_pct"": 0.1100512892046775, ""atr_min_pct"": 0.024545430007506388, ""bb_std_mult"": 1.9516612295836915, ""edge_cap"": 0.79277538877321, ""edge_k"": 1.372587115467974, ""ema1"": 27, ""ema2"": 29, ""p_adx"": 12, ""p_atr"": 7, ""p_sma"": 5, ""p_std"": 49, ""rsi_ob"": 67, ""rsi_os"": 52, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.1149414900934688, ""slip_spread_k"": 0.4008781804909476, ""spread_hl_frac"": 0.03290214788231082, ""strategy"": ""mean_reversion"", ""time_stop"": 130, ""tp_mult"": 1.1144971571765931, ""tsl_mult"": 0.17119367960808762, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.01272411923193718}"
8,-0.20180542976080018,-0.20193871028520335,-1000000000.0,0.20193871028520335,-0.20180542976080018,-0.20193871028520335,1192.0,mean_reversion,1,"{""adx_thresh"": 15.215097769636088, ""atr_max_pct"": 0.020799362445418572, ""atr_min_pct"": 0.01701748433224778, ""bb_std_mult"": 1.4092256679423378, ""edge_cap"": 0.5492546093031087, ""edge_k"": 0.36974639012691557, ""ema1"": 20, ""ema2"": 31, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 57, ""p_std"": 46, ""rsi_ob"": 73, ""rsi_os"": 32, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.24123166096812232, ""slip_spread_k"": 0.6215324934445391, ""spread_hl_frac"": 0.02490525922562746, ""strategy"": ""mean_reversion"", ""time_stop"": 248, ""tp_mult"": 2.657363244247861, ""tsl_mult"": 0.8807342670468518, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2934829660296509}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 30.391709220642806, ""atr_max_pct"": 0.1196390100888195, ""atr_min_pct"": 0.00929190782076034, ""bb_std_mult"": 2.327241036248469, ""edge_cap"": 0.39644124722490515, ""edge_k"": 1.9334471943338214, ""ema1"": 21, ""ema2"": 41, ""p_adx"": 22, ""p_atr"": 22, ""p_sma"": 41, ""p_std"": 6, ""rsi_ob"": 89, ""rsi_os"": 51, ""rsi_period"": 44, ""rsi_required"": true, ""slip_atr_k"": 0.08120933992570134, ""slip_spread_k"": 0.1802689643332761, ""spread_hl_frac"": 0.030869687081856487, ""strategy"": ""mean_reversion"", ""time_stop"": 170, ""tp_mult"": 1.597297936699756, ""tsl_mult"": 0.9286616521693081, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.028163421924555707}"
