number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.10082574750930073,-0.10112396717709254,-1000000000.0,0.10112396717709254,-0.10082574750930073,-0.10112396717709254,397.0,breakout,1,"{""adx_thresh"": 5.776474191855253, ""atr_max_pct"": 0.08204743346505516, ""atr_min_pct"": 0.0073119386999040414, ""bb_std_mult"": 1.4738824944245217, ""edge_cap"": 0.340261845879474, ""edge_k"": 1.6287311433955272, ""ema1"": 18, ""ema2"": 54, ""p_adx"": 29, ""p_atr"": 14, ""p_sma"": 40, ""p_std"": 53, ""rsi_ob"": 73, ""rsi_os"": 51, ""rsi_period"": 43, ""rsi_required"": false, ""slip_atr_k"": 0.24301929606636144, ""slip_spread_k"": 0.8035384763877742, ""spread_hl_frac"": 0.006031609529593924, ""strategy"": ""breakout"", ""time_stop"": 117, ""tp_mult"": 2.334160010733545, ""tsl_mult"": 0.1750595213042142, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08834330610021099}"
1,-0.09070230768254972,-0.09120817726957813,-1000000000.0,0.09120817726957813,-0.09070230768254972,-0.09120817726957813,482.0,breakout,1,"{""adx_thresh"": 24.73409773489819, ""atr_max_pct"": 0.0712218369696596, ""atr_min_pct"": 0.004576298453038035, ""bb_std_mult"": 3.27910657463659, ""edge_cap"": 0.9523699743875463, ""edge_k"": 1.7450831041940358, ""ema1"": 10, ""ema2"": 60, ""p_adx"": 14, ""p_atr"": 24, ""p_sma"": 54, ""p_std"": 13, ""rsi_ob"": 75, ""rsi_os"": 25, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.13862983594422412, ""slip_spread_k"": 0.3878351785275225, ""spread_hl_frac"": 0.013890119243903293, ""strategy"": ""breakout"", ""time_stop"": 292, ""tp_mult"": 2.6639673184487935, ""tsl_mult"": 0.42725007763987766, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2854519453978445}"
2,-0.05661609932519973,-0.06254377996041878,-1000000000.0,0.06254377996041878,-0.05661609932519973,-0.06254377996041878,339.0,mean_reversion,1,"{""adx_thresh"": 31.0805260693513, ""atr_max_pct"": 0.1264780381179455, ""atr_min_pct"": 0.008119488547103967, ""bb_std_mult"": 1.244178784958294, ""edge_cap"": 0.4119316975249815, ""edge_k"": 0.7586127913673819, ""ema1"": 11, ""ema2"": 15, ""p_adx"": 16, ""p_atr"": 22, ""p_sma"": 9, ""p_std"": 50, ""rsi_ob"": 59, ""rsi_os"": 39, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.1538554015610936, ""slip_spread_k"": 0.02591151721110041, ""spread_hl_frac"": 0.0026432639829978735, ""strategy"": ""mean_reversion"", ""time_stop"": 115, ""tp_mult"": 1.1106300465871544, ""tsl_mult"": 0.135904757079775, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.053303002024069054}"
3,-0.11119661018915072,-0.11170031494912425,-1000000000.0,0.11170031494912425,-0.11119661018915072,-0.11170031494912425,459.0,mean_reversion,1,"{""adx_thresh"": 13.445520621323585, ""atr_max_pct"": 0.13901914239336022, ""atr_min_pct"": 0.02499321842906422, ""bb_std_mult"": 1.2987707811878757, ""edge_cap"": 0.21463242438996746, ""edge_k"": 0.25615748199384347, ""ema1"": 25, ""ema2"": 24, ""p_adx"": 7, ""p_atr"": 12, ""p_sma"": 48, ""p_std"": 18, ""rsi_ob"": 73, ""rsi_os"": 32, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.24615581201565634, ""slip_spread_k"": 0.09301343861617328, ""spread_hl_frac"": 0.03389404702474185, ""strategy"": ""mean_reversion"", ""time_stop"": 48, ""tp_mult"": 2.575196637499566, ""tsl_mult"": 0.6177671164889648, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21938834541471036}"
4,-0.09106619872869981,-0.09123625483858654,-1000000000.0,0.09123625483858654,-0.09106619872869981,-0.09123625483858654,387.0,mean_reversion,1,"{""adx_thresh"": 5.097951317053212, ""atr_max_pct"": 0.05415601636329738, ""atr_min_pct"": 0.00800123170074686, ""bb_std_mult"": 1.5615569558438986, ""edge_cap"": 0.1862995955740355, ""edge_k"": 0.24644489139696724, ""ema1"": 26, ""ema2"": 60, ""p_adx"": 22, ""p_atr"": 25, ""p_sma"": 14, ""p_std"": 48, ""rsi_ob"": 84, ""rsi_os"": 39, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.24875023684898634, ""slip_spread_k"": 0.19074348819573772, ""spread_hl_frac"": 0.0004967964677335457, ""strategy"": ""mean_reversion"", ""time_stop"": 254, ""tp_mult"": 1.310717901112996, ""tsl_mult"": 0.1828097395960746, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20272328682878868}"
5,-0.0923804139351001,-0.09386898892365843,-1000000000.0,0.09386898892365843,-0.0923804139351001,-0.09386898892365843,418.0,mean_reversion,1,"{""adx_thresh"": 26.68515457481272, ""atr_max_pct"": 0.043838880132163714, ""atr_min_pct"": 0.014016751777978061, ""bb_std_mult"": 1.7627397640317537, ""edge_cap"": 0.22583761193417523, ""edge_k"": 1.098544867221228, ""ema1"": 18, ""ema2"": 42, ""p_adx"": 23, ""p_atr"": 29, ""p_sma"": 26, ""p_std"": 44, ""rsi_ob"": 90, ""rsi_os"": 16, ""rsi_period"": 17, ""rsi_required"": true, ""slip_atr_k"": 0.18515314967657662, ""slip_spread_k"": 0.48837075158415444, ""spread_hl_frac"": 0.009378321796386181, ""strategy"": ""mean_reversion"", ""time_stop"": 100, ""tp_mult"": 2.3544148085577845, ""tsl_mult"": 0.6343320851361938, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.038430296065490886}"
6,-0.07414903708694998,-0.0745975161766812,-1000000000.0,0.0745975161766812,-0.07414903708694998,-0.0745975161766812,473.0,breakout,1,"{""adx_thresh"": 29.833455161719943, ""atr_max_pct"": 0.06145527610080215, ""atr_min_pct"": 0.01475588328436981, ""bb_std_mult"": 2.287876784787327, ""edge_cap"": 0.2978377489166861, ""edge_k"": 1.9863734191796663, ""ema1"": 8, ""ema2"": 31, ""p_adx"": 16, ""p_atr"": 19, ""p_sma"": 59, ""p_std"": 34, ""rsi_ob"": 54, ""rsi_os"": 20, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.07076348916338224, ""slip_spread_k"": 0.5745073116010831, ""spread_hl_frac"": 0.02896260591100778, ""strategy"": ""breakout"", ""time_stop"": 289, ""tp_mult"": 2.0029828196259403, ""tsl_mult"": 0.7565534666174962, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12794929570118366}"
7,-0.07515262608685003,-0.07696697028616041,-1000000000.0,0.07696697028616041,-0.07515262608685003,-0.07696697028616041,410.0,breakout,1,"{""adx_thresh"": 10.298909744139474, ""atr_max_pct"": 0.11712538629425467, ""atr_min_pct"": 0.008634274801381278, ""bb_std_mult"": 3.0802912748188644, ""edge_cap"": 0.9621622795052736, ""edge_k"": 1.235243563662605, ""ema1"": 7, ""ema2"": 11, ""p_adx"": 25, ""p_atr"": 8, ""p_sma"": 54, ""p_std"": 59, ""rsi_ob"": 78, ""rsi_os"": 44, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.12713725481418336, ""slip_spread_k"": 0.6467753060995747, ""spread_hl_frac"": 0.012309278610415177, ""strategy"": ""breakout"", ""time_stop"": 233, ""tp_mult"": 2.2577644619220756, ""tsl_mult"": 0.4081874559391232, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.296972249507845}"
8,-0.06825808230154984,-0.0703529013073139,-1000000000.0,0.0703529013073139,-0.06825808230154984,-0.0703529013073139,476.0,mean_reversion,1,"{""adx_thresh"": 28.05416241719516, ""atr_max_pct"": 0.09965876234930246, ""atr_min_pct"": 0.021432810713486274, ""bb_std_mult"": 2.7779727251900876, ""edge_cap"": 0.18265404275399155, ""edge_k"": 0.6919972171481674, ""ema1"": 10, ""ema2"": 27, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 47, ""p_std"": 32, ""rsi_ob"": 88, ""rsi_os"": 7, ""rsi_period"": 10, ""rsi_required"": false, ""slip_atr_k"": 0.08894329261434464, ""slip_spread_k"": 0.8047584172561534, ""spread_hl_frac"": 0.010492893380531228, ""strategy"": ""mean_reversion"", ""time_stop"": 48, ""tp_mult"": 2.2910138320485904, ""tsl_mult"": 0.016984284962803686, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24641673301530576}"
9,-0.09217495888314986,-0.09474786378920308,-1000000000.0,0.09474786378920308,-0.09217495888314986,-0.09474786378920308,410.0,breakout,1,"{""adx_thresh"": 25.989169751700167, ""atr_max_pct"": 0.10041155907017477, ""atr_min_pct"": 0.022069259379127456, ""bb_std_mult"": 2.6960376411691986, ""edge_cap"": 0.1672401214049149, ""edge_k"": 0.7459050950455155, ""ema1"": 5, ""ema2"": 19, ""p_adx"": 28, ""p_atr"": 17, ""p_sma"": 24, ""p_std"": 44, ""rsi_ob"": 86, ""rsi_os"": 51, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.1997606470677015, ""slip_spread_k"": 0.38800213057777555, ""spread_hl_frac"": 0.0068521027420428045, ""strategy"": ""breakout"", ""time_stop"": 245, ""tp_mult"": 2.2998111463350104, ""tsl_mult"": 0.21863502229934406, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05342471199123091}"
