number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 9.782239633389855, ""atr_max_pct"": 0.04550446965775464, ""atr_min_pct"": 0.018569684227727708, ""bb_std_mult"": 1.6920417096206477, ""edge_cap"": 0.2598478779556521, ""edge_k"": 1.5172458512503242, ""ema1"": 29, ""ema2"": 31, ""p_adx"": 10, ""p_atr"": 9, ""p_sma"": 30, ""p_std"": 34, ""rsi_ob"": 49, ""rsi_os"": 36, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.11330990022670348, ""slip_spread_k"": 0.7010615806131002, ""spread_hl_frac"": 0.0374300668728517, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 1.1907920572851545, ""tsl_mult"": 0.6637739932335637, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20136952728228522}"
1,-0.1033341330752996,-0.104408759714288,-1000000000.0,0.104408759714288,-0.1033341330752996,-0.104408759714288,410.0,breakout,1,"{""adx_thresh"": 13.462909382902351, ""atr_max_pct"": 0.07203164880570921, ""atr_min_pct"": 0.01618644376571679, ""bb_std_mult"": 2.025259566798266, ""edge_cap"": 0.6894637065287795, ""edge_k"": 0.6563416593575375, ""ema1"": 12, ""ema2"": 53, ""p_adx"": 20, ""p_atr"": 12, ""p_sma"": 46, ""p_std"": 49, ""rsi_ob"": 54, ""rsi_os"": 55, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.20104145396431447, ""slip_spread_k"": 0.7373726771397449, ""spread_hl_frac"": 0.02001653944648478, ""strategy"": ""breakout"", ""time_stop"": 157, ""tp_mult"": 2.034777928698701, ""tsl_mult"": 0.35724740555507806, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2948946717523183}"
2,-0.05283725456580013,-0.06007328895822788,-1000000000.0,0.06007328895822788,-0.05283725456580013,-0.06007328895822788,476.0,breakout,1,"{""adx_thresh"": 10.96346127072345, ""atr_max_pct"": 0.13076442619210088, ""atr_min_pct"": 0.006318904668592851, ""bb_std_mult"": 3.5530382753937304, ""edge_cap"": 0.8979133838607767, ""edge_k"": 0.5728206455368721, ""ema1"": 24, ""ema2"": 27, ""p_adx"": 22, ""p_atr"": 24, ""p_sma"": 43, ""p_std"": 43, ""rsi_ob"": 63, ""rsi_os"": 23, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.0021228326345072157, ""slip_spread_k"": 0.6527236686980425, ""spread_hl_frac"": 0.029868227897832583, ""strategy"": ""breakout"", ""time_stop"": 219, ""tp_mult"": 1.813181565263486, ""tsl_mult"": 0.3190357765190468, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.021259519459061117}"
3,-0.06712103687225024,-0.06875596806293612,-1000000000.0,0.06875596806293612,-0.06712103687225024,-0.06875596806293612,460.0,mean_reversion,1,"{""adx_thresh"": 25.431036184406302, ""atr_max_pct"": 0.1140349325043988, ""atr_min_pct"": 0.01351960814705196, ""bb_std_mult"": 0.7226832770731848, ""edge_cap"": 0.756176784411977, ""edge_k"": 0.08900450756784428, ""ema1"": 10, ""ema2"": 28, ""p_adx"": 28, ""p_atr"": 10, ""p_sma"": 54, ""p_std"": 38, ""rsi_ob"": 59, ""rsi_os"": 28, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.09367998456885804, ""slip_spread_k"": 0.05757354543114146, ""spread_hl_frac"": 0.03284923421567706, ""strategy"": ""mean_reversion"", ""time_stop"": 127, ""tp_mult"": 2.0379563285008375, ""tsl_mult"": 0.8444661704839269, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.27941136063676864}"
4,-0.07894790847550048,-0.07988738084286948,-1000000000.0,0.07988738084286948,-0.07894790847550048,-0.07988738084286948,399.0,breakout,1,"{""adx_thresh"": 29.673738347726985, ""atr_max_pct"": 0.12018568316071522, ""atr_min_pct"": 0.001937535401263064, ""bb_std_mult"": 2.963589434768842, ""edge_cap"": 0.054939849518624635, ""edge_k"": 0.08373826195427703, ""ema1"": 29, ""ema2"": 23, ""p_adx"": 27, ""p_atr"": 19, ""p_sma"": 23, ""p_std"": 52, ""rsi_ob"": 95, ""rsi_os"": 8, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.16566873710348512, ""slip_spread_k"": 0.43432717447186275, ""spread_hl_frac"": 0.04584641652901784, ""strategy"": ""breakout"", ""time_stop"": 250, ""tp_mult"": 1.4912483742207763, ""tsl_mult"": 0.9703166029415946, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24501686594828667}"
5,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 5.357840552068772, ""atr_max_pct"": 0.018615663741818778, ""atr_min_pct"": 0.02253711120567397, ""bb_std_mult"": 2.0402698857153805, ""edge_cap"": 0.33355428006400706, ""edge_k"": 1.9595555027575344, ""ema1"": 24, ""ema2"": 44, ""p_adx"": 26, ""p_atr"": 9, ""p_sma"": 58, ""p_std"": 19, ""rsi_ob"": 65, ""rsi_os"": 49, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.06923656773588033, ""slip_spread_k"": 0.39484704034596496, ""spread_hl_frac"": 0.013117469110450093, ""strategy"": ""breakout"", ""time_stop"": 287, ""tp_mult"": 2.3012002286394937, ""tsl_mult"": 0.2811653341868635, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.022054716205682022}"
6,-0.06994606860395047,-0.0703773136086417,-1000000000.0,0.0703773136086417,-0.06994606860395047,-0.0703773136086417,387.0,breakout,1,"{""adx_thresh"": 21.73928428276246, ""atr_max_pct"": 0.09977633611722504, ""atr_min_pct"": 0.006072649153752686, ""bb_std_mult"": 1.4726537092786967, ""edge_cap"": 0.5340368628359725, ""edge_k"": 0.9877276631983429, ""ema1"": 14, ""ema2"": 52, ""p_adx"": 15, ""p_atr"": 7, ""p_sma"": 7, ""p_std"": 35, ""rsi_ob"": 69, ""rsi_os"": 46, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.10256732219835851, ""slip_spread_k"": 0.872089664215513, ""spread_hl_frac"": 0.02235752160945574, ""strategy"": ""breakout"", ""time_stop"": 10, ""tp_mult"": 1.4713345160417342, ""tsl_mult"": 0.13812171785015792, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24673819566216315}"
7,-0.05520062237435008,-0.06386687920182896,-1000000000.0,0.06386687920182896,-0.05520062237435008,-0.06386687920182896,437.0,mean_reversion,1,"{""adx_thresh"": 11.223878096277584, ""atr_max_pct"": 0.10907679888416903, ""atr_min_pct"": 0.016748293058387386, ""bb_std_mult"": 1.439254897522469, ""edge_cap"": 0.20366207483697585, ""edge_k"": 0.2221315563723596, ""ema1"": 12, ""ema2"": 30, ""p_adx"": 11, ""p_atr"": 27, ""p_sma"": 15, ""p_std"": 41, ""rsi_ob"": 55, ""rsi_os"": 33, ""rsi_period"": 22, ""rsi_required"": false, ""slip_atr_k"": 0.05428187599131465, ""slip_spread_k"": 0.5668925774772019, ""spread_hl_frac"": 0.047000185657317756, ""strategy"": ""mean_reversion"", ""time_stop"": 222, ""tp_mult"": 2.700862761606596, ""tsl_mult"": 0.14679224279095526, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.016266572532791356}"
8,-0.1200580771584504,-0.11995225828223322,-1000000000.0,0.11995225828223322,-0.1200580771584504,-0.11995225828223322,518.0,breakout,1,"{""adx_thresh"": 28.045954803910938, ""atr_max_pct"": 0.11972434957784733, ""atr_min_pct"": 0.002460262477925147, ""bb_std_mult"": 2.423535902009113, ""edge_cap"": 0.06473906248420173, ""edge_k"": 0.5210083495791715, ""ema1"": 7, ""ema2"": 41, ""p_adx"": 17, ""p_atr"": 12, ""p_sma"": 18, ""p_std"": 14, ""rsi_ob"": 86, ""rsi_os"": 27, ""rsi_period"": 71, ""rsi_required"": false, ""slip_atr_k"": 0.21257164856681982, ""slip_spread_k"": 0.020083961249841686, ""spread_hl_frac"": 0.03416434795549405, ""strategy"": ""breakout"", ""time_stop"": 240, ""tp_mult"": 1.7467758911798197, ""tsl_mult"": 0.9909286512007696, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2579545969423512}"
9,-0.07338824677089961,-0.07369883820874731,-1000000000.0,0.07369883820874731,-0.07338824677089961,-0.07369883820874731,407.0,breakout,1,"{""adx_thresh"": 31.311678230639775, ""atr_max_pct"": 0.047749874271978486, ""atr_min_pct"": 0.003620315781329153, ""bb_std_mult"": 2.8072434594968567, ""edge_cap"": 0.6612608658830724, ""edge_k"": 0.8274057973733673, ""ema1"": 5, ""ema2"": 21, ""p_adx"": 9, ""p_atr"": 15, ""p_sma"": 43, ""p_std"": 54, ""rsi_ob"": 48, ""rsi_os"": 25, ""rsi_period"": 36, ""rsi_required"": false, ""slip_atr_k"": 0.13973957813351015, ""slip_spread_k"": 0.4973019626351475, ""spread_hl_frac"": 0.0028213162134306637, ""strategy"": ""breakout"", ""time_stop"": 136, ""tp_mult"": 1.4788154326778906, ""tsl_mult"": 0.6585708857863379, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.062177153945696714}"
