number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 30.411466054993998, ""atr_max_pct"": 0.12790723911721344, ""atr_min_pct"": 0.029651979657402287, ""bb_std_mult"": 3.5261286713509383, ""edge_cap"": 0.4548215162321431, ""edge_k"": 1.8516491067819953, ""ema1"": 6, ""ema2"": 14, ""p_adx"": 24, ""p_atr"": 19, ""p_sma"": 56, ""p_std"": 7, ""rsi_ob"": 47, ""rsi_os"": 10, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.14706163574098463, ""slip_spread_k"": 0.11587708273956276, ""spread_hl_frac"": 0.020280550855652738, ""strategy"": ""mean_reversion"", ""time_stop"": 292, ""tp_mult"": 1.8846166145496568, ""tsl_mult"": 0.5996858626181585, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2387864641629121}"
1,-0.006421776758900322,-0.018274012109790086,-0.006421776758900322,0.018274012109790086,-0.006421776758900322,-0.018274012109790086,510.0,breakout,1,"{""adx_thresh"": 15.812305562165799, ""atr_max_pct"": 0.08669682528725625, ""atr_min_pct"": 0.004856719891635778, ""bb_std_mult"": 0.6493126502061943, ""edge_cap"": 0.8297993910316899, ""edge_k"": 0.5320034200484238, ""ema1"": 21, ""ema2"": 36, ""p_adx"": 20, ""p_atr"": 26, ""p_sma"": 50, ""p_std"": 49, ""rsi_ob"": 91, ""rsi_os"": 26, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.030250041387880094, ""slip_spread_k"": 0.8983698141621348, ""spread_hl_frac"": 0.03407010503417473, ""strategy"": ""breakout"", ""time_stop"": 94, ""tp_mult"": 1.2377460434161511, ""tsl_mult"": 0.0611997954820801, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2917656432688449}"
2,0.004160999049150238,-0.009144903420139254,0.004160999049150238,0.009144903420139254,0.004160999049150238,-0.009144903420139254,287.0,breakout,1,"{""adx_thresh"": 10.090004495054512, ""atr_max_pct"": 0.06928223074866417, ""atr_min_pct"": 0.021774569960480026, ""bb_std_mult"": 2.6551010003320568, ""edge_cap"": 0.5960815989951066, ""edge_k"": 1.1594091985688855, ""ema1"": 11, ""ema2"": 22, ""p_adx"": 27, ""p_atr"": 18, ""p_sma"": 7, ""p_std"": 56, ""rsi_ob"": 82, ""rsi_os"": 37, ""rsi_period"": 52, ""rsi_required"": false, ""slip_atr_k"": 0.16489503534104388, ""slip_spread_k"": 0.0868812013818312, ""spread_hl_frac"": 0.028193878715511253, ""strategy"": ""breakout"", ""time_stop"": 38, ""tp_mult"": 1.750873231191711, ""tsl_mult"": 0.30507150077591594, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10765683803453018}"
3,-0.01418617704055014,-0.025510549241712602,-0.01418617704055014,0.025510549241712602,-0.01418617704055014,-0.025510549241712602,524.0,mean_reversion,1,"{""adx_thresh"": 31.533488329362598, ""atr_max_pct"": 0.14361659493753648, ""atr_min_pct"": 0.006730390002806774, ""bb_std_mult"": 1.1418994736209758, ""edge_cap"": 0.05982623548353974, ""edge_k"": 1.4735611382105647, ""ema1"": 7, ""ema2"": 28, ""p_adx"": 20, ""p_atr"": 22, ""p_sma"": 51, ""p_std"": 43, ""rsi_ob"": 62, ""rsi_os"": 8, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.07024929351587739, ""slip_spread_k"": 0.1016044160468007, ""spread_hl_frac"": 0.04641497053905736, ""strategy"": ""mean_reversion"", ""time_stop"": 10, ""tp_mult"": 2.173755020982485, ""tsl_mult"": 0.3903837505794838, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28100840304963187}"
4,-0.015817358405100124,-0.02608848127185607,-0.015817358405100124,0.02608848127185607,-0.015817358405100124,-0.02608848127185607,549.0,breakout,1,"{""adx_thresh"": 6.30829263637683, ""atr_max_pct"": 0.09774632095942926, ""atr_min_pct"": 0.027393534833885343, ""bb_std_mult"": 2.3193390123217124, ""edge_cap"": 0.23767871761250467, ""edge_k"": 0.2917033753969773, ""ema1"": 5, ""ema2"": 47, ""p_adx"": 20, ""p_atr"": 27, ""p_sma"": 54, ""p_std"": 24, ""rsi_ob"": 83, ""rsi_os"": 16, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.09320009111935404, ""slip_spread_k"": 0.013638881873219932, ""spread_hl_frac"": 0.03944695793912553, ""strategy"": ""breakout"", ""time_stop"": 256, ""tp_mult"": 2.732205915780717, ""tsl_mult"": 0.5273668864181653, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14939114416328697}"
5,-0.06901061077295001,-0.06869416288706888,-1000000000.0,0.06869416288706888,-0.06901061077295001,-0.06869416288706888,568.0,breakout,1,"{""adx_thresh"": 17.2853202757258, ""atr_max_pct"": 0.09856837283850964, ""atr_min_pct"": 0.01818371746230862, ""bb_std_mult"": 3.3244258658673873, ""edge_cap"": 0.9896478986821065, ""edge_k"": 0.654211274809464, ""ema1"": 16, ""ema2"": 54, ""p_adx"": 30, ""p_atr"": 28, ""p_sma"": 15, ""p_std"": 5, ""rsi_ob"": 69, ""rsi_os"": 51, ""rsi_period"": 17, ""rsi_required"": true, ""slip_atr_k"": 0.17387130392393982, ""slip_spread_k"": 0.8674094089958535, ""spread_hl_frac"": 0.04231357728448941, ""strategy"": ""breakout"", ""time_stop"": 158, ""tp_mult"": 2.5146190058294926, ""tsl_mult"": 0.1948426626590971, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.021219689592641644}"
6,-0.03459022406420009,-0.03601774045789529,-0.03459022406420009,0.03601774045789529,-0.03459022406420009,-0.03601774045789529,437.0,mean_reversion,1,"{""adx_thresh"": 6.5150486252376325, ""atr_max_pct"": 0.05412932166891718, ""atr_min_pct"": 0.0029409293900276735, ""bb_std_mult"": 2.0202850242271087, ""edge_cap"": 0.8678441990717763, ""edge_k"": 0.7425752786159554, ""ema1"": 9, ""ema2"": 41, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 40, ""p_std"": 60, ""rsi_ob"": 61, ""rsi_os"": 35, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.17117054586547645, ""slip_spread_k"": 0.2772717084304607, ""spread_hl_frac"": 0.04936087939226814, ""strategy"": ""mean_reversion"", ""time_stop"": 69, ""tp_mult"": 1.25222243199663, ""tsl_mult"": 0.04407229769628451, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.010531895092603149}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.435159115229427, ""atr_max_pct"": 0.013391623383267747, ""atr_min_pct"": 0.026460284081915243, ""bb_std_mult"": 2.2111306697756272, ""edge_cap"": 0.9673713612987451, ""edge_k"": 1.8219168692844006, ""ema1"": 23, ""ema2"": 56, ""p_adx"": 18, ""p_atr"": 22, ""p_sma"": 50, ""p_std"": 15, ""rsi_ob"": 45, ""rsi_os"": 50, ""rsi_period"": 31, ""rsi_required"": false, ""slip_atr_k"": 0.13015078133796026, ""slip_spread_k"": 0.9776782378548087, ""spread_hl_frac"": 0.001006929595170797, ""strategy"": ""mean_reversion"", ""time_stop"": 247, ""tp_mult"": 1.1924968541302516, ""tsl_mult"": 0.7079086730508776, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.24792570259734267}"
8,-0.06538506908499964,-0.0658593162911005,-1000000000.0,0.0658593162911005,-0.06538506908499964,-0.0658593162911005,514.0,breakout,1,"{""adx_thresh"": 7.947985650159289, ""atr_max_pct"": 0.045312962268694135, ""atr_min_pct"": 0.020211012851118156, ""bb_std_mult"": 0.9830808025870376, ""edge_cap"": 0.44041229079966243, ""edge_k"": 1.7534080467219428, ""ema1"": 8, ""ema2"": 12, ""p_adx"": 19, ""p_atr"": 23, ""p_sma"": 47, ""p_std"": 7, ""rsi_ob"": 75, ""rsi_os"": 38, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.2280715205037637, ""slip_spread_k"": 0.1680821212937781, ""spread_hl_frac"": 0.02167642138739109, ""strategy"": ""breakout"", ""time_stop"": 274, ""tp_mult"": 1.2668201121019107, ""tsl_mult"": 0.4503170006422861, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05570266689816903}"
9,-0.01315835599390014,-0.03002805604545715,-0.01315835599390014,0.03002805604545715,-0.01315835599390014,-0.03002805604545715,466.0,mean_reversion,1,"{""adx_thresh"": 23.38984656116334, ""atr_max_pct"": 0.12993752793350066, ""atr_min_pct"": 0.003718476421636462, ""bb_std_mult"": 3.477645083479004, ""edge_cap"": 0.5975711056953495, ""edge_k"": 0.7112527534689441, ""ema1"": 7, ""ema2"": 44, ""p_adx"": 24, ""p_atr"": 10, ""p_sma"": 10, ""p_std"": 34, ""rsi_ob"": 60, ""rsi_os"": 32, ""rsi_period"": 65, ""rsi_required"": true, ""slip_atr_k"": 0.07948861383924102, ""slip_spread_k"": 0.4655977688230387, ""spread_hl_frac"": 0.03617342579850031, ""strategy"": ""mean_reversion"", ""time_stop"": 216, ""tp_mult"": 1.0106846978413213, ""tsl_mult"": 0.4686889892212932, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23720366549080257}"
