number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.009007274648799024,-0.05924861973614027,-1000000000.0,0.05924861973614027,0.009007274648799024,-0.05924861973614027,2229.0,breakout,1,"{""adx_thresh"": 29.791557733776877, ""atr_max_pct"": 0.11481408323491635, ""atr_min_pct"": 0.0035825023786572926, ""bb_std_mult"": 2.4959602521172544, ""bear_adx_thresh"": 16.476769289731532, ""bear_atr_max_pct"": 0.023302673120490745, ""bear_atr_min_pct"": 0.0008635314187702069, ""bear_bb_std_mult"": 2.861666694880639, ""bear_rsi_ob"": 91, ""bear_rsi_os"": 12, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 217, ""bear_tp_mult"": 2.8630426953684016, ""bear_tsl_mult"": 0.28893924329719967, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 24.08708591742457, ""bull_atr_max_pct"": 0.03601503290681058, ""bull_atr_min_pct"": 0.02029576139081567, ""bull_bb_std_mult"": 1.1246737292701952, ""bull_rsi_ob"": 61, ""bull_rsi_os"": 15, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 280, ""bull_tp_mult"": 1.21196215611295, ""bull_tsl_mult"": 0.7494049869793529, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.4742704238137844, ""edge_k"": 0.8905061723612764, ""ema1"": 27, ""ema2"": 56, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 54, ""p_std"": 14, ""rsi_ob"": 92, ""rsi_os"": 41, ""rsi_period"": 11, ""rsi_required"": false, ""sideways_adx_thresh"": 20.978842986167006, ""sideways_atr_max_pct"": 0.013141192605997817, ""sideways_atr_min_pct"": 0.007213070973126613, ""sideways_bb_std_mult"": 3.3521188975811658, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 33, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 58, ""sideways_tp_mult"": 2.125312391451679, ""sideways_tsl_mult"": 0.40562012775425116, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.0047194987780617426, ""slip_spread_k"": 0.8522957856419834, ""spread_hl_frac"": 0.004186526798823237, ""strategy"": ""breakout"", ""time_stop"": 12, ""tp_mult"": 1.8378001136639857, ""tsl_mult"": 0.3001171948553759, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.27306301992737747}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.932972277488815, ""atr_max_pct"": 0.06655749792789299, ""atr_min_pct"": 0.01898370453933772, ""bb_std_mult"": 0.7043225112470614, ""bear_adx_thresh"": 34.878989552652435, ""bear_atr_max_pct"": 0.07015902761958745, ""bear_atr_min_pct"": 0.02013864698518752, ""bear_bb_std_mult"": 2.032843224375773, ""bear_rsi_ob"": 90, ""bear_rsi_os"": 30, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 5, ""bear_tp_mult"": 2.2108873119180914, ""bear_tsl_mult"": 0.07070216475850155, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 19.52492546931563, ""bull_atr_max_pct"": 0.1151292423859764, ""bull_atr_min_pct"": 0.023201641542924527, ""bull_bb_std_mult"": 2.1120559411960813, ""bull_rsi_ob"": 95, ""bull_rsi_os"": 35, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 154, ""bull_tp_mult"": 2.509801269829714, ""bull_tsl_mult"": 0.5243990727179577, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6883745903063033, ""edge_k"": 1.6376321988733094, ""ema1"": 8, ""ema2"": 38, ""p_adx"": 11, ""p_atr"": 20, ""p_sma"": 58, ""p_std"": 27, ""rsi_ob"": 49, ""rsi_os"": 40, ""rsi_period"": 48, ""rsi_required"": true, ""sideways_adx_thresh"": 8.531183741363744, ""sideways_atr_max_pct"": 0.04631117430411179, ""sideways_atr_min_pct"": 0.013519520816772492, ""sideways_bb_std_mult"": 2.6301241790709082, ""sideways_rsi_ob"": 48, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 42, ""sideways_tp_mult"": 1.964534736348668, ""sideways_tsl_mult"": 0.08191172103251454, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.09749411108977141, ""slip_spread_k"": 0.31125179166765915, ""spread_hl_frac"": 0.011973927978347999, ""strategy"": ""mean_reversion"", ""time_stop"": 140, ""tp_mult"": 1.3426635330209256, ""tsl_mult"": 0.5495285854796649, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1788658082926447}"
2,-0.09079616079875164,-0.10416228794600517,-1000000000.0,0.10416228794600517,-0.09079616079875164,-0.10416228794600517,2091.0,mean_reversion,1,"{""adx_thresh"": 34.71330619412264, ""atr_max_pct"": 0.015789733947824958, ""atr_min_pct"": 0.00015535130778599138, ""bb_std_mult"": 1.4052130748998855, ""bear_adx_thresh"": 16.713436338622596, ""bear_atr_max_pct"": 0.08579499319509651, ""bear_atr_min_pct"": 0.01080025451397548, ""bear_bb_std_mult"": 0.5527055274974044, ""bear_rsi_ob"": 54, ""bear_rsi_os"": 44, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 91, ""bear_tp_mult"": 2.9307429713137667, ""bear_tsl_mult"": 0.29076897187036566, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.467515420475298, ""bull_atr_max_pct"": 0.08117627262573467, ""bull_atr_min_pct"": 0.00666833728605067, ""bull_bb_std_mult"": 0.9862083804944284, ""bull_rsi_ob"": 81, ""bull_rsi_os"": 24, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 213, ""bull_tp_mult"": 2.748361166060533, ""bull_tsl_mult"": 0.7149655459701605, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9603590031555905, ""edge_k"": 0.31993315316085114, ""ema1"": 9, ""ema2"": 27, ""p_adx"": 23, ""p_atr"": 14, ""p_sma"": 46, ""p_std"": 13, ""rsi_ob"": 89, ""rsi_os"": 35, ""rsi_period"": 55, ""rsi_required"": true, ""sideways_adx_thresh"": 29.162455448388208, ""sideways_atr_max_pct"": 0.08934575422163778, ""sideways_atr_min_pct"": 0.008284607948325584, ""sideways_bb_std_mult"": 1.4993489637760287, ""sideways_rsi_ob"": 65, ""sideways_rsi_os"": 12, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 136, ""sideways_tp_mult"": 1.0179059401943662, ""sideways_tsl_mult"": 0.4725328087434666, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.0623864785381571, ""slip_spread_k"": 0.10587887225500481, ""spread_hl_frac"": 0.019551231326412025, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 2.724491555342687, ""tsl_mult"": 0.3082010950585846, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.029338029808800813}"
3,-0.2041443611056486,-0.2041049847459518,-1000000000.0,0.2041049847459518,-0.2041443611056486,-0.2041049847459518,1874.0,breakout,1,"{""adx_thresh"": 9.297948567012831, ""atr_max_pct"": 0.08110177522845496, ""atr_min_pct"": 0.0032473225521983495, ""bb_std_mult"": 1.3727962871378145, ""bear_adx_thresh"": 30.376567777836275, ""bear_atr_max_pct"": 0.04231683043997143, ""bear_atr_min_pct"": 0.022742488234636832, ""bear_bb_std_mult"": 1.5446875743974022, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 47, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 184, ""bear_tp_mult"": 2.288581108348159, ""bear_tsl_mult"": 0.4375064649960796, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 5.778846018528747, ""bull_atr_max_pct"": 0.1235486067909178, ""bull_atr_min_pct"": 0.024371509790543505, ""bull_bb_std_mult"": 3.3787045576103982, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 18, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 105, ""bull_tp_mult"": 1.9554155051469602, ""bull_tsl_mult"": 0.5915152932219866, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.6276297636025584, ""edge_k"": 0.4221834618049489, ""ema1"": 24, ""ema2"": 13, ""p_adx"": 21, ""p_atr"": 23, ""p_sma"": 32, ""p_std"": 45, ""rsi_ob"": 51, ""rsi_os"": 18, ""rsi_period"": 52, ""rsi_required"": false, ""sideways_adx_thresh"": 29.467450681611048, ""sideways_atr_max_pct"": 0.14465994227875378, ""sideways_atr_min_pct"": 0.010792994854328924, ""sideways_bb_std_mult"": 2.5341968716093146, ""sideways_rsi_ob"": 46, ""sideways_rsi_os"": 28, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 32, ""sideways_tp_mult"": 1.49239295600226, ""sideways_tsl_mult"": 0.13771709563363588, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.177269386155867, ""slip_spread_k"": 0.9426649528184591, ""spread_hl_frac"": 0.01081077961249955, ""strategy"": ""breakout"", ""time_stop"": 215, ""tp_mult"": 2.255204939693595, ""tsl_mult"": 0.25705936772149773, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12811999490175982}"
4,-0.1450925819152502,-0.15022686222274928,-1000000000.0,0.15022686222274928,-0.1450925819152502,-0.15022686222274928,1965.0,mean_reversion,1,"{""adx_thresh"": 5.489281490848963, ""atr_max_pct"": 0.014339835821773355, ""atr_min_pct"": 0.007105688542731221, ""bb_std_mult"": 1.954173170736326, ""bear_adx_thresh"": 7.50787787549747, ""bear_atr_max_pct"": 0.09411478889218307, ""bear_atr_min_pct"": 0.029155198444120324, ""bear_bb_std_mult"": 0.6953902289328429, ""bear_rsi_ob"": 55, ""bear_rsi_os"": 32, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 254, ""bear_tp_mult"": 1.799263819855877, ""bear_tsl_mult"": 0.5310881159604476, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 31.87686127914143, ""bull_atr_max_pct"": 0.09887466006295714, ""bull_atr_min_pct"": 0.012656595510639522, ""bull_bb_std_mult"": 1.313300983547747, ""bull_rsi_ob"": 90, ""bull_rsi_os"": 12, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 90, ""bull_tp_mult"": 1.0322494608758623, ""bull_tsl_mult"": 0.6870215613732842, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.6435879249155451, ""edge_k"": 0.9445313840215577, ""ema1"": 18, ""ema2"": 34, ""p_adx"": 25, ""p_atr"": 11, ""p_sma"": 12, ""p_std"": 9, ""rsi_ob"": 54, ""rsi_os"": 12, ""rsi_period"": 65, ""rsi_required"": false, ""sideways_adx_thresh"": 33.31322667423398, ""sideways_atr_max_pct"": 0.0569578870807598, ""sideways_atr_min_pct"": 0.0046444308579856475, ""sideways_bb_std_mult"": 1.1475958886062598, ""sideways_rsi_ob"": 53, ""sideways_rsi_os"": 31, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 222, ""sideways_tp_mult"": 1.3987144519982144, ""sideways_tsl_mult"": 0.4667424316735663, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.11222747690399373, ""slip_spread_k"": 0.37914978420787404, ""spread_hl_frac"": 0.002148322552637716, ""strategy"": ""mean_reversion"", ""time_stop"": 142, ""tp_mult"": 2.6427786298145777, ""tsl_mult"": 0.20834283698752265, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2879335669108024}"
5,-0.27883393128280043,-0.27863916918226683,-1000000000.0,0.27863916918226683,-0.27883393128280043,-0.27863916918226683,1770.0,breakout,1,"{""adx_thresh"": 15.153593432284406, ""atr_max_pct"": 0.10179757977767076, ""atr_min_pct"": 0.008957009915763812, ""bb_std_mult"": 1.2535947860762402, ""bear_adx_thresh"": 16.293862353718772, ""bear_atr_max_pct"": 0.09088795293677272, ""bear_atr_min_pct"": 0.020600301308416245, ""bear_bb_std_mult"": 3.259464276785625, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 47, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 117, ""bear_tp_mult"": 1.6250989886866545, ""bear_tsl_mult"": 0.08695141802104867, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 29.61997460695319, ""bull_atr_max_pct"": 0.14077988514119769, ""bull_atr_min_pct"": 0.027231872160943398, ""bull_bb_std_mult"": 1.486118798213358, ""bull_rsi_ob"": 62, ""bull_rsi_os"": 49, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 286, ""bull_tp_mult"": 1.6307391649750758, ""bull_tsl_mult"": 0.3332269515359244, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.17603669891635704, ""edge_k"": 1.475046037250486, ""ema1"": 9, ""ema2"": 33, ""p_adx"": 19, ""p_atr"": 30, ""p_sma"": 26, ""p_std"": 48, ""rsi_ob"": 81, ""rsi_os"": 34, ""rsi_period"": 65, ""rsi_required"": true, ""sideways_adx_thresh"": 8.97064280563048, ""sideways_atr_max_pct"": 0.10148714275066373, ""sideways_atr_min_pct"": 0.014611337626699271, ""sideways_bb_std_mult"": 2.2435021130434873, ""sideways_rsi_ob"": 56, ""sideways_rsi_os"": 17, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 144, ""sideways_tp_mult"": 1.381330359605102, ""sideways_tsl_mult"": 0.23241754372337475, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.2394212346677743, ""slip_spread_k"": 0.8769661770750456, ""spread_hl_frac"": 0.02777408184684801, ""strategy"": ""breakout"", ""time_stop"": 230, ""tp_mult"": 1.5649795419365062, ""tsl_mult"": 0.41621370645548106, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12357299194586643}"
6,-0.18619358081135085,-0.18605034533552575,-1000000000.0,0.18605034533552575,-0.18619358081135085,-0.18605034533552575,1901.0,breakout,1,"{""adx_thresh"": 24.237335251329455, ""atr_max_pct"": 0.04000383806650515, ""atr_min_pct"": 0.002950956581925176, ""bb_std_mult"": 1.9442216578481846, ""bear_adx_thresh"": 16.890927338457864, ""bear_atr_max_pct"": 0.04741302782702879, ""bear_atr_min_pct"": 0.024809761006733985, ""bear_bb_std_mult"": 2.8752367514851835, ""bear_rsi_ob"": 53, ""bear_rsi_os"": 55, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 174, ""bear_tp_mult"": 1.5882092257452531, ""bear_tsl_mult"": 0.16704131722798266, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 14.311185191207564, ""bull_atr_max_pct"": 0.13233263345798482, ""bull_atr_min_pct"": 0.021962109689983696, ""bull_bb_std_mult"": 3.1339875926874874, ""bull_rsi_ob"": 91, ""bull_rsi_os"": 9, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 265, ""bull_tp_mult"": 1.248133378305823, ""bull_tsl_mult"": 0.3042780783268886, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.9560191729969562, ""edge_k"": 1.0164180022150244, ""ema1"": 30, ""ema2"": 47, ""p_adx"": 27, ""p_atr"": 12, ""p_sma"": 9, ""p_std"": 16, ""rsi_ob"": 47, ""rsi_os"": 55, ""rsi_period"": 27, ""rsi_required"": true, ""sideways_adx_thresh"": 20.261754489049014, ""sideways_atr_max_pct"": 0.02568291388733641, ""sideways_atr_min_pct"": 0.02725726998334956, ""sideways_bb_std_mult"": 3.1122919801723135, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 30, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 299, ""sideways_tp_mult"": 1.7680825047096693, ""sideways_tsl_mult"": 0.14474449810847434, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1848940568095176, ""slip_spread_k"": 0.0544423182072975, ""spread_hl_frac"": 0.027579397583824317, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 2.62662840497924, ""tsl_mult"": 0.28539666547256304, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.048759817622095414}"
7,-0.06790801144714964,-0.10049772710704777,-1000000000.0,0.10049772710704777,-0.06790801144714964,-0.10049772710704777,2166.0,breakout,1,"{""adx_thresh"": 13.136270752314545, ""atr_max_pct"": 0.077142436846652, ""atr_min_pct"": 0.018755799084146187, ""bb_std_mult"": 1.9442642382846809, ""bear_adx_thresh"": 15.471861699643934, ""bear_atr_max_pct"": 0.010373222633707727, ""bear_atr_min_pct"": 0.024397749902018546, ""bear_bb_std_mult"": 2.4400970715568544, ""bear_rsi_ob"": 64, ""bear_rsi_os"": 51, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 32, ""bear_tp_mult"": 1.1286110417836592, ""bear_tsl_mult"": 0.7419298711771429, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 17.490944006935766, ""bull_atr_max_pct"": 0.028274704999063427, ""bull_atr_min_pct"": 0.02909063376606743, ""bull_bb_std_mult"": 2.572912120509504, ""bull_rsi_ob"": 59, ""bull_rsi_os"": 29, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 136, ""bull_tp_mult"": 1.6887944691133658, ""bull_tsl_mult"": 0.2624905894615658, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.41925973932280414, ""edge_k"": 1.3515031968071518, ""ema1"": 30, ""ema2"": 20, ""p_adx"": 20, ""p_atr"": 10, ""p_sma"": 40, ""p_std"": 22, ""rsi_ob"": 57, ""rsi_os"": 50, ""rsi_period"": 37, ""rsi_required"": false, ""sideways_adx_thresh"": 7.539892939995548, ""sideways_atr_max_pct"": 0.12156966014754678, ""sideways_atr_min_pct"": 0.02889202144361597, ""sideways_bb_std_mult"": 2.406240349164046, ""sideways_rsi_ob"": 64, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 244, ""sideways_tp_mult"": 2.4678942389432397, ""sideways_tsl_mult"": 0.3453130653765788, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.03041156212567056, ""slip_spread_k"": 0.2746881800089487, ""spread_hl_frac"": 0.038462184293116264, ""strategy"": ""breakout"", ""time_stop"": 107, ""tp_mult"": 1.9869747044638661, ""tsl_mult"": 0.8453008312099676, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2552508905669034}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.65911283609837, ""atr_max_pct"": 0.014160772851106526, ""atr_min_pct"": 0.01696834561306709, ""bb_std_mult"": 2.621468426645472, ""bear_adx_thresh"": 26.871643179914013, ""bear_atr_max_pct"": 0.0745685919959223, ""bear_atr_min_pct"": 0.0052721912737799205, ""bear_bb_std_mult"": 1.8869101635525574, ""bear_rsi_ob"": 67, ""bear_rsi_os"": 34, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 72, ""bear_tp_mult"": 1.2521844145782959, ""bear_tsl_mult"": 0.7051195540848093, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 29.595114634342742, ""bull_atr_max_pct"": 0.01573758764997944, ""bull_atr_min_pct"": 0.029453730910750528, ""bull_bb_std_mult"": 1.888487139813412, ""bull_rsi_ob"": 87, ""bull_rsi_os"": 47, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 226, ""bull_tp_mult"": 2.626343431789533, ""bull_tsl_mult"": 0.008585501619951752, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.12827443711578887, ""edge_k"": 0.5788775931665098, ""ema1"": 18, ""ema2"": 60, ""p_adx"": 10, ""p_atr"": 7, ""p_sma"": 15, ""p_std"": 24, ""rsi_ob"": 89, ""rsi_os"": 28, ""rsi_period"": 8, ""rsi_required"": true, ""sideways_adx_thresh"": 5.391158623729032, ""sideways_atr_max_pct"": 0.017332135892307827, ""sideways_atr_min_pct"": 0.02074883018208428, ""sideways_bb_std_mult"": 2.1101657997958734, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 28, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 262, ""sideways_tp_mult"": 1.056933067844221, ""sideways_tsl_mult"": 0.14564893516406696, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.23690213936238802, ""slip_spread_k"": 0.7375502965928916, ""spread_hl_frac"": 0.019172492775201888, ""strategy"": ""mean_reversion"", ""time_stop"": 248, ""tp_mult"": 1.712143900875177, ""tsl_mult"": 0.19147373628187037, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11000282320440949}"
9,-0.1950833884373503,-0.19543532703011082,-1000000000.0,0.19543532703011082,-0.1950833884373503,-0.19543532703011082,1920.0,breakout,1,"{""adx_thresh"": 21.31347248003025, ""atr_max_pct"": 0.047195771041981416, ""atr_min_pct"": 0.015862037433375296, ""bb_std_mult"": 1.1174541718988455, ""bear_adx_thresh"": 28.590698290009794, ""bear_atr_max_pct"": 0.04130053864455274, ""bear_atr_min_pct"": 0.013912611374062302, ""bear_bb_std_mult"": 2.459902690589623, ""bear_rsi_ob"": 85, ""bear_rsi_os"": 49, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 41, ""bear_tp_mult"": 1.7117057890252227, ""bear_tsl_mult"": 0.5526570461357347, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 7.612440836556072, ""bull_atr_max_pct"": 0.12666839036796695, ""bull_atr_min_pct"": 0.005425599082715624, ""bull_bb_std_mult"": 2.2472425309217297, ""bull_rsi_ob"": 68, ""bull_rsi_os"": 15, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 276, ""bull_tp_mult"": 2.742151174741118, ""bull_tsl_mult"": 0.6952985154974823, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.24122363583858245, ""edge_k"": 0.39916858486214113, ""ema1"": 19, ""ema2"": 24, ""p_adx"": 9, ""p_atr"": 19, ""p_sma"": 54, ""p_std"": 20, ""rsi_ob"": 53, ""rsi_os"": 38, ""rsi_period"": 50, ""rsi_required"": false, ""sideways_adx_thresh"": 34.158413708464124, ""sideways_atr_max_pct"": 0.1461320344793311, ""sideways_atr_min_pct"": 0.0016253842232408842, ""sideways_bb_std_mult"": 0.9639050978942806, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 18, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 189, ""sideways_tp_mult"": 2.7215585904635606, ""sideways_tsl_mult"": 0.13091867665838108, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.16505801605771525, ""slip_spread_k"": 0.0522791747632152, ""spread_hl_frac"": 0.03556518102423031, ""strategy"": ""breakout"", ""time_stop"": 296, ""tp_mult"": 1.7476584328587672, ""tsl_mult"": 0.8711166680546556, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.008066947651370658}"
