number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.954126999089988, ""atr_max_pct"": 0.024255746897863136, ""atr_min_pct"": 0.028364658285684737, ""bb_std_mult"": 2.2169367351886073, ""bear_adx_thresh"": 21.802246618770905, ""bear_atr_max_pct"": 0.12837745350550844, ""bear_atr_min_pct"": 0.008567973658817844, ""bear_bb_std_mult"": 2.1121028757423086, ""bear_rsi_ob"": 77, ""bear_rsi_os"": 48, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 16, ""bear_tp_mult"": 1.5484443469015765, ""bear_tsl_mult"": 0.3181984586625375, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 28.80577026795281, ""bull_atr_max_pct"": 0.12175331606761094, ""bull_atr_min_pct"": 0.026720567043433837, ""bull_bb_std_mult"": 0.5948029335268461, ""bull_rsi_ob"": 64, ""bull_rsi_os"": 27, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 202, ""bull_tp_mult"": 1.5708505729018494, ""bull_tsl_mult"": 0.7533024752335141, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.754664584930992, ""edge_k"": 0.7436416085038322, ""ema1"": 17, ""ema2"": 39, ""p_adx"": 16, ""p_atr"": 9, ""p_sma"": 27, ""p_std"": 17, ""rsi_ob"": 89, ""rsi_os"": 46, ""rsi_period"": 14, ""rsi_required"": false, ""sideways_adx_thresh"": 14.90689198616652, ""sideways_atr_max_pct"": 0.10172070397329341, ""sideways_atr_min_pct"": 0.009575197548423191, ""sideways_bb_std_mult"": 1.3324299377222708, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 14, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 68, ""sideways_tp_mult"": 1.3421218451929053, ""sideways_tsl_mult"": 0.7517466096447937, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.14019180368167855, ""slip_spread_k"": 0.2854083815912203, ""spread_hl_frac"": 0.04454798821344883, ""strategy"": ""mean_reversion"", ""time_stop"": 103, ""tp_mult"": 1.44189907006726, ""tsl_mult"": 0.8607410523547814, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29252733009779114}"
1,-0.06931037986485067,-0.07592657625430141,-1000000000.0,0.07592657625430141,-0.06931037986485067,-0.07592657625430141,1121.0,mean_reversion,1,"{""adx_thresh"": 10.157236284441147, ""atr_max_pct"": 0.08122362667380854, ""atr_min_pct"": 0.027811922729009352, ""bb_std_mult"": 0.5203181772121168, ""bear_adx_thresh"": 8.593174688816848, ""bear_atr_max_pct"": 0.016870282523784544, ""bear_atr_min_pct"": 0.020252223247386434, ""bear_bb_std_mult"": 1.5644652347327237, ""bear_rsi_ob"": 79, ""bear_rsi_os"": 42, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 115, ""bear_tp_mult"": 1.8793255058521274, ""bear_tsl_mult"": 0.41734727972866825, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 11.160085384049719, ""bull_atr_max_pct"": 0.08544237751122032, ""bull_atr_min_pct"": 0.017082184289593176, ""bull_bb_std_mult"": 2.307639191634537, ""bull_rsi_ob"": 65, ""bull_rsi_os"": 28, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 247, ""bull_tp_mult"": 2.0072475211074847, ""bull_tsl_mult"": 0.7688857737796592, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.0717349335513104, ""edge_k"": 1.7543782682670983, ""ema1"": 10, ""ema2"": 16, ""p_adx"": 25, ""p_atr"": 11, ""p_sma"": 19, ""p_std"": 50, ""rsi_ob"": 63, ""rsi_os"": 25, ""rsi_period"": 18, ""rsi_required"": false, ""sideways_adx_thresh"": 29.905319739732626, ""sideways_atr_max_pct"": 0.08393861021031485, ""sideways_atr_min_pct"": 0.007592613598248157, ""sideways_bb_std_mult"": 0.7709259937984666, ""sideways_rsi_ob"": 76, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 251, ""sideways_tp_mult"": 2.8274455105450262, ""sideways_tsl_mult"": 0.06714360244323636, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.12642653097641238, ""slip_spread_k"": 0.2433652978844122, ""spread_hl_frac"": 0.00025695872819596067, ""strategy"": ""mean_reversion"", ""time_stop"": 247, ""tp_mult"": 1.8236647100403225, ""tsl_mult"": 0.7848736852758796, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.028726474562082202}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 27.239561379755024, ""atr_max_pct"": 0.012536134748760275, ""atr_min_pct"": 0.02089592498674777, ""bb_std_mult"": 1.1556944424583724, ""bear_adx_thresh"": 18.152753538892714, ""bear_atr_max_pct"": 0.1480775777882018, ""bear_atr_min_pct"": 0.00922007186009093, ""bear_bb_std_mult"": 3.2285764254850835, ""bear_rsi_ob"": 90, ""bear_rsi_os"": 29, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 218, ""bear_tp_mult"": 1.1840281852692718, ""bear_tsl_mult"": 0.8772446784974676, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 6.743296609300206, ""bull_atr_max_pct"": 0.11345625492978094, ""bull_atr_min_pct"": 0.01875702668118984, ""bull_bb_std_mult"": 1.184265029321437, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 48, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 252, ""bull_tp_mult"": 1.8559102671509087, ""bull_tsl_mult"": 0.6852760603518445, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.6915610705893547, ""edge_k"": 1.538592984295394, ""ema1"": 27, ""ema2"": 46, ""p_adx"": 13, ""p_atr"": 20, ""p_sma"": 9, ""p_std"": 38, ""rsi_ob"": 95, ""rsi_os"": 39, ""rsi_period"": 25, ""rsi_required"": true, ""sideways_adx_thresh"": 23.613932515066402, ""sideways_atr_max_pct"": 0.1155842062432267, ""sideways_atr_min_pct"": 0.0052494100670115815, ""sideways_bb_std_mult"": 2.6928659910090977, ""sideways_rsi_ob"": 81, ""sideways_rsi_os"": 18, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 147, ""sideways_tp_mult"": 1.1073957199414246, ""sideways_tsl_mult"": 0.9796741467637813, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11276681862269547, ""slip_spread_k"": 0.7025618653674716, ""spread_hl_frac"": 0.042186252765352816, ""strategy"": ""mean_reversion"", ""time_stop"": 135, ""tp_mult"": 1.509734887755416, ""tsl_mult"": 0.6350633638697813, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10719139930407359}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.589346692746625, ""atr_max_pct"": 0.14280155426828645, ""atr_min_pct"": 0.002170861223646285, ""bb_std_mult"": 2.0356067737117227, ""bear_adx_thresh"": 24.88534253741218, ""bear_atr_max_pct"": 0.07244551489661111, ""bear_atr_min_pct"": 0.010417565182016905, ""bear_bb_std_mult"": 1.3055651648024804, ""bear_rsi_ob"": 47, ""bear_rsi_os"": 25, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 58, ""bear_tp_mult"": 1.441855522141076, ""bear_tsl_mult"": 0.2671789769612686, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 8.444283308121307, ""bull_atr_max_pct"": 0.06620651003133919, ""bull_atr_min_pct"": 0.0011080838614529731, ""bull_bb_std_mult"": 2.191919482091145, ""bull_rsi_ob"": 63, ""bull_rsi_os"": 28, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 282, ""bull_tp_mult"": 1.457767559035858, ""bull_tsl_mult"": 0.5953753805092309, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.12478946427286196, ""edge_k"": 0.6315382457795355, ""ema1"": 7, ""ema2"": 32, ""p_adx"": 28, ""p_atr"": 13, ""p_sma"": 47, ""p_std"": 14, ""rsi_ob"": 47, ""rsi_os"": 9, ""rsi_period"": 57, ""rsi_required"": true, ""sideways_adx_thresh"": 13.10027737563766, ""sideways_atr_max_pct"": 0.08008192935338973, ""sideways_atr_min_pct"": 0.02067894789407447, ""sideways_bb_std_mult"": 3.147898430585784, ""sideways_rsi_ob"": 63, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 150, ""sideways_tp_mult"": 2.007543749916375, ""sideways_tsl_mult"": 0.17777821549321038, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.18735206193703324, ""slip_spread_k"": 0.6383764795672724, ""spread_hl_frac"": 0.015000574245091448, ""strategy"": ""mean_reversion"", ""time_stop"": 277, ""tp_mult"": 2.918221669019138, ""tsl_mult"": 0.7955070405013851, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05981642245131251}"
4,-0.17344998850579996,-0.1778858699302936,-1000000000.0,0.1778858699302936,-0.17344998850579996,-0.1778858699302936,1200.0,breakout,1,"{""adx_thresh"": 22.787074152245612, ""atr_max_pct"": 0.1132159351331687, ""atr_min_pct"": 0.0008764597793457962, ""bb_std_mult"": 1.534502606052413, ""bear_adx_thresh"": 34.42317028046307, ""bear_atr_max_pct"": 0.09043767504886134, ""bear_atr_min_pct"": 0.02539127697224581, ""bear_bb_std_mult"": 0.8847303216270941, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 44, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 33, ""bear_tp_mult"": 2.363872877602299, ""bear_tsl_mult"": 0.25760734756101555, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 12.825348240057142, ""bull_atr_max_pct"": 0.02151963195650701, ""bull_atr_min_pct"": 0.02687198447174239, ""bull_bb_std_mult"": 1.4759081537022325, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 53, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 202, ""bull_tp_mult"": 2.1051719879774047, ""bull_tsl_mult"": 0.05572475477137728, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.14340767588857622, ""edge_k"": 1.4410678633003258, ""ema1"": 26, ""ema2"": 59, ""p_adx"": 25, ""p_atr"": 23, ""p_sma"": 15, ""p_std"": 14, ""rsi_ob"": 50, ""rsi_os"": 51, ""rsi_period"": 67, ""rsi_required"": true, ""sideways_adx_thresh"": 8.72225413867745, ""sideways_atr_max_pct"": 0.12305020968823324, ""sideways_atr_min_pct"": 0.01274265764253912, ""sideways_bb_std_mult"": 0.9522896704100557, ""sideways_rsi_ob"": 53, ""sideways_rsi_os"": 26, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 168, ""sideways_tp_mult"": 2.2378026153652306, ""sideways_tsl_mult"": 0.9749492498036555, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.2339681371751369, ""slip_spread_k"": 0.43072660963363496, ""spread_hl_frac"": 0.01437879319663536, ""strategy"": ""breakout"", ""time_stop"": 25, ""tp_mult"": 1.1316620942724829, ""tsl_mult"": 0.302561411323634, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03261254493100154}"
5,-0.15627896336874925,-0.16000257283878658,-1000000000.0,0.16000257283878658,-0.15627896336874925,-0.16000257283878658,1191.0,mean_reversion,1,"{""adx_thresh"": 16.037558637385416, ""atr_max_pct"": 0.12971363375639955, ""atr_min_pct"": 5.670002777602656e-05, ""bb_std_mult"": 0.5187296867980385, ""bear_adx_thresh"": 20.893741114817598, ""bear_atr_max_pct"": 0.07703462528711782, ""bear_atr_min_pct"": 0.009837891866259506, ""bear_bb_std_mult"": 2.5086430081911675, ""bear_rsi_ob"": 55, ""bear_rsi_os"": 5, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 61, ""bear_tp_mult"": 2.733591945818115, ""bear_tsl_mult"": 0.5727252954181798, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 13.80113949854788, ""bull_atr_max_pct"": 0.01186417815646792, ""bull_atr_min_pct"": 0.008160308590473994, ""bull_bb_std_mult"": 1.4965219833363648, ""bull_rsi_ob"": 60, ""bull_rsi_os"": 20, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 43, ""bull_tp_mult"": 2.2332892604538532, ""bull_tsl_mult"": 0.9419222613234812, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.5638624514414466, ""edge_k"": 0.8695738879565242, ""ema1"": 25, ""ema2"": 14, ""p_adx"": 14, ""p_atr"": 16, ""p_sma"": 29, ""p_std"": 30, ""rsi_ob"": 77, ""rsi_os"": 23, ""rsi_period"": 53, ""rsi_required"": false, ""sideways_adx_thresh"": 30.814955177492337, ""sideways_atr_max_pct"": 0.05678541213039725, ""sideways_atr_min_pct"": 0.027733831098186428, ""sideways_bb_std_mult"": 2.605000876468618, ""sideways_rsi_ob"": 63, ""sideways_rsi_os"": 8, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 137, ""sideways_tp_mult"": 1.4632872503454861, ""sideways_tsl_mult"": 0.49320434825158976, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.15490895986990713, ""slip_spread_k"": 0.9553043637434826, ""spread_hl_frac"": 0.03437646223093912, ""strategy"": ""mean_reversion"", ""time_stop"": 12, ""tp_mult"": 1.9126921364808986, ""tsl_mult"": 0.7839844512776568, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1489610868373873}"
6,0.011665299061150547,-0.018667097293379106,0.011665299061150547,0.018667097293379106,0.011665299061150547,-0.018667097293379106,646.0,breakout,1,"{""adx_thresh"": 23.398466709804612, ""atr_max_pct"": 0.06808083863848406, ""atr_min_pct"": 0.02937505763100092, ""bb_std_mult"": 1.0596956158685695, ""bear_adx_thresh"": 9.014788779262204, ""bear_atr_max_pct"": 0.08292178741570404, ""bear_atr_min_pct"": 0.0023161529281829282, ""bear_bb_std_mult"": 1.4025938413649617, ""bear_rsi_ob"": 60, ""bear_rsi_os"": 8, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 143, ""bear_tp_mult"": 2.15267800189634, ""bear_tsl_mult"": 0.7515607527985642, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 21.26040614171665, ""bull_atr_max_pct"": 0.14944957250007518, ""bull_atr_min_pct"": 0.020529840195977547, ""bull_bb_std_mult"": 2.241681196619175, ""bull_rsi_ob"": 81, ""bull_rsi_os"": 14, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 134, ""bull_tp_mult"": 1.0116903307874023, ""bull_tsl_mult"": 0.6232363051369547, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.970528669255595, ""edge_k"": 0.951500984240427, ""ema1"": 28, ""ema2"": 57, ""p_adx"": 21, ""p_atr"": 20, ""p_sma"": 5, ""p_std"": 53, ""rsi_ob"": 54, ""rsi_os"": 7, ""rsi_period"": 58, ""rsi_required"": false, ""sideways_adx_thresh"": 29.345304497941463, ""sideways_atr_max_pct"": 0.10026662975423065, ""sideways_atr_min_pct"": 0.019152837465404332, ""sideways_bb_std_mult"": 3.0053480829241312, ""sideways_rsi_ob"": 73, ""sideways_rsi_os"": 55, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 195, ""sideways_tp_mult"": 1.944907343726674, ""sideways_tsl_mult"": 0.023399088718617067, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.17348941385031408, ""slip_spread_k"": 0.1502527294444549, ""spread_hl_frac"": 0.032389624699604734, ""strategy"": ""breakout"", ""time_stop"": 126, ""tp_mult"": 1.487497902975248, ""tsl_mult"": 0.3160767918701922, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2187868560739614}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.180385417591097, ""atr_max_pct"": 0.08154082669149382, ""atr_min_pct"": 0.02942405455916376, ""bb_std_mult"": 2.6766510036828652, ""bear_adx_thresh"": 31.939607113203206, ""bear_atr_max_pct"": 0.10587152393364738, ""bear_atr_min_pct"": 0.01445730025625467, ""bear_bb_std_mult"": 0.7541561033078528, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 34, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 96, ""bear_tp_mult"": 1.6045924212556468, ""bear_tsl_mult"": 0.9836304325814768, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 33.067046858027474, ""bull_atr_max_pct"": 0.08233164249474119, ""bull_atr_min_pct"": 0.026611866196835192, ""bull_bb_std_mult"": 2.9876603344874058, ""bull_rsi_ob"": 49, ""bull_rsi_os"": 40, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 106, ""bull_tp_mult"": 2.4021178394500766, ""bull_tsl_mult"": 0.506648791272963, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.2751974678615732, ""edge_k"": 1.101345215431798, ""ema1"": 17, ""ema2"": 32, ""p_adx"": 18, ""p_atr"": 22, ""p_sma"": 58, ""p_std"": 60, ""rsi_ob"": 59, ""rsi_os"": 55, ""rsi_period"": 58, ""rsi_required"": false, ""sideways_adx_thresh"": 5.402187289879647, ""sideways_atr_max_pct"": 0.0895637956057356, ""sideways_atr_min_pct"": 0.01587169156523497, ""sideways_bb_std_mult"": 1.857265157133066, ""sideways_rsi_ob"": 71, ""sideways_rsi_os"": 45, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 236, ""sideways_tp_mult"": 1.570574841771976, ""sideways_tsl_mult"": 0.43011406677915986, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.21606193458870648, ""slip_spread_k"": 0.723882286480532, ""spread_hl_frac"": 0.0076859393421858276, ""strategy"": ""mean_reversion"", ""time_stop"": 170, ""tp_mult"": 2.369418584342091, ""tsl_mult"": 0.033047047182994116, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.23235141197179773}"
8,-0.19768953653574972,-0.20257799817121924,-1000000000.0,0.20257799817121924,-0.19768953653574972,-0.20257799817121924,1187.0,mean_reversion,1,"{""adx_thresh"": 17.710023731995054, ""atr_max_pct"": 0.11196043741342611, ""atr_min_pct"": 0.001369613272238861, ""bb_std_mult"": 1.3848623538486697, ""bear_adx_thresh"": 19.981568004758604, ""bear_atr_max_pct"": 0.12647106786914628, ""bear_atr_min_pct"": 0.005451937832723293, ""bear_bb_std_mult"": 1.6362158297370495, ""bear_rsi_ob"": 61, ""bear_rsi_os"": 27, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 262, ""bear_tp_mult"": 1.1937999736280782, ""bear_tsl_mult"": 0.4716488504240468, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 27.089911492282972, ""bull_atr_max_pct"": 0.06456558997013713, ""bull_atr_min_pct"": 0.00012644911061595598, ""bull_bb_std_mult"": 1.0118737606337225, ""bull_rsi_ob"": 73, ""bull_rsi_os"": 23, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 20, ""bull_tp_mult"": 1.064324953966506, ""bull_tsl_mult"": 0.306384950382943, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.48116572831866666, ""edge_k"": 0.8766671797747976, ""ema1"": 11, ""ema2"": 52, ""p_adx"": 29, ""p_atr"": 29, ""p_sma"": 22, ""p_std"": 21, ""rsi_ob"": 77, ""rsi_os"": 39, ""rsi_period"": 63, ""rsi_required"": false, ""sideways_adx_thresh"": 33.91373413535321, ""sideways_atr_max_pct"": 0.06936515090170492, ""sideways_atr_min_pct"": 0.026546947547276566, ""sideways_bb_std_mult"": 2.79356268581212, ""sideways_rsi_ob"": 91, ""sideways_rsi_os"": 36, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 81, ""sideways_tp_mult"": 2.7695868628209035, ""sideways_tsl_mult"": 0.7146353685759251, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.24866739510093772, ""slip_spread_k"": 0.7485507976576068, ""spread_hl_frac"": 0.014858804849514656, ""strategy"": ""mean_reversion"", ""time_stop"": 105, ""tp_mult"": 2.743408802662991, ""tsl_mult"": 0.16333419325884468, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17959674377383647}"
9,-0.05880599231215078,-0.06378335761276152,-1000000000.0,0.06378335761276152,-0.05880599231215078,-0.06378335761276152,1297.0,breakout,1,"{""adx_thresh"": 31.946773968690138, ""atr_max_pct"": 0.08880889579134317, ""atr_min_pct"": 0.02016345883966159, ""bb_std_mult"": 1.8554167581930385, ""bear_adx_thresh"": 24.217655764711527, ""bear_atr_max_pct"": 0.13236754155880354, ""bear_atr_min_pct"": 0.02867624572887555, ""bear_bb_std_mult"": 2.4721335400608258, ""bear_rsi_ob"": 84, ""bear_rsi_os"": 29, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 236, ""bear_tp_mult"": 1.594160655574389, ""bear_tsl_mult"": 0.814650000884345, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 25.35496876792703, ""bull_atr_max_pct"": 0.12718426511949915, ""bull_atr_min_pct"": 0.011897613525950364, ""bull_bb_std_mult"": 1.4141540575590308, ""bull_rsi_ob"": 56, ""bull_rsi_os"": 17, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 5, ""bull_tp_mult"": 2.2830815745550197, ""bull_tsl_mult"": 0.2460438951466286, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.08677292247696027, ""edge_k"": 1.3169924651056748, ""ema1"": 25, ""ema2"": 32, ""p_adx"": 10, ""p_atr"": 25, ""p_sma"": 38, ""p_std"": 31, ""rsi_ob"": 47, ""rsi_os"": 14, ""rsi_period"": 73, ""rsi_required"": true, ""sideways_adx_thresh"": 21.830245090275724, ""sideways_atr_max_pct"": 0.1246407965757256, ""sideways_atr_min_pct"": 0.026099700361569975, ""sideways_bb_std_mult"": 2.7637683121309458, ""sideways_rsi_ob"": 95, ""sideways_rsi_os"": 48, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 48, ""sideways_tp_mult"": 1.386023156471078, ""sideways_tsl_mult"": 0.4902682191212796, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.10667528071331986, ""slip_spread_k"": 0.09750796013712382, ""spread_hl_frac"": 0.02837369722430784, ""strategy"": ""breakout"", ""time_stop"": 116, ""tp_mult"": 1.8390783721075885, ""tsl_mult"": 0.9962232676778348, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19895760008984126}"
