number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.03108937245295018,-0.03492653324487982,-1000000000.0,0.03492653324487982,-0.03108937245295018,-0.03492653324487982,647.0,breakout,1,"{""adx_thresh"": 22.67889481607449, ""atr_max_pct"": 0.10741333964775421, ""atr_min_pct"": 0.015545522256880044, ""bb_std_mult"": 1.7944271604767916, ""edge_cap"": 0.28246195436946603, ""edge_k"": 1.412478846959503, ""ema1"": 27, ""ema2"": 28, ""p_adx"": 29, ""p_atr"": 19, ""p_sma"": 28, ""p_std"": 54, ""rsi_ob"": 61, ""rsi_os"": 5, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.08374680645259425, ""slip_spread_k"": 0.026061138437390663, ""spread_hl_frac"": 0.00577432777755737, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 2.8124361737918027, ""tsl_mult"": 0.4377453867066089, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18089824419703834}"
1,-0.05242132519800036,-0.0533743164470772,-1000000000.0,0.0533743164470772,-0.05242132519800036,-0.0533743164470772,669.0,mean_reversion,1,"{""adx_thresh"": 31.807400384329995, ""atr_max_pct"": 0.05171517507109976, ""atr_min_pct"": 0.026532160779098025, ""bb_std_mult"": 1.5938421494815767, ""edge_cap"": 0.054257354612257475, ""edge_k"": 0.29729596455142104, ""ema1"": 13, ""ema2"": 22, ""p_adx"": 10, ""p_atr"": 22, ""p_sma"": 51, ""p_std"": 19, ""rsi_ob"": 61, ""rsi_os"": 28, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.12480618521116088, ""slip_spread_k"": 0.37056038767467736, ""spread_hl_frac"": 0.01685343952493882, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 2.225903786502148, ""tsl_mult"": 0.4380951347721451, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12034116981346993}"
2,-0.024053712299650254,-0.0312912914436245,-1000000000.0,0.0312912914436245,-0.024053712299650254,-0.0312912914436245,642.0,breakout,1,"{""adx_thresh"": 22.900670780138284, ""atr_max_pct"": 0.11895958494959001, ""atr_min_pct"": 0.017738135326498563, ""bb_std_mult"": 2.038690757185421, ""edge_cap"": 0.3152609656481837, ""edge_k"": 0.7377847851011405, ""ema1"": 20, ""ema2"": 14, ""p_adx"": 20, ""p_atr"": 25, ""p_sma"": 29, ""p_std"": 55, ""rsi_ob"": 78, ""rsi_os"": 40, ""rsi_period"": 81, ""rsi_required"": true, ""slip_atr_k"": 0.03775518703068559, ""slip_spread_k"": 0.5580138033116746, ""spread_hl_frac"": 0.04421999875985379, ""strategy"": ""breakout"", ""time_stop"": 264, ""tp_mult"": 1.5892025700667172, ""tsl_mult"": 0.2149522869146916, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1958823675210495}"
3,-0.06120669727434924,-0.06224280187528424,-1000000000.0,0.06224280187528424,-0.06120669727434924,-0.06224280187528424,688.0,breakout,1,"{""adx_thresh"": 24.9139096634824, ""atr_max_pct"": 0.12045189821407529, ""atr_min_pct"": 0.017043227005284194, ""bb_std_mult"": 3.1759150532152107, ""edge_cap"": 0.6481409974237544, ""edge_k"": 0.5996681976232936, ""ema1"": 6, ""ema2"": 17, ""p_adx"": 19, ""p_atr"": 24, ""p_sma"": 41, ""p_std"": 13, ""rsi_ob"": 59, ""rsi_os"": 31, ""rsi_period"": 12, ""rsi_required"": true, ""slip_atr_k"": 0.1107248832554098, ""slip_spread_k"": 0.3248641475425712, ""spread_hl_frac"": 0.007146737644788632, ""strategy"": ""breakout"", ""time_stop"": 96, ""tp_mult"": 2.5132687159887626, ""tsl_mult"": 0.6177415252941508, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10023689282524147}"
4,-0.043796406520999476,-0.04489155853854872,-1000000000.0,0.04489155853854872,-0.043796406520999476,-0.04489155853854872,631.0,mean_reversion,1,"{""adx_thresh"": 10.674813507228208, ""atr_max_pct"": 0.017807869193640462, ""atr_min_pct"": 0.012232038856578496, ""bb_std_mult"": 2.196091157200353, ""edge_cap"": 0.5735617390817306, ""edge_k"": 1.1969941476501795, ""ema1"": 28, ""ema2"": 10, ""p_adx"": 25, ""p_atr"": 20, ""p_sma"": 55, ""p_std"": 38, ""rsi_ob"": 64, ""rsi_os"": 32, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.1147632939649256, ""slip_spread_k"": 0.00403899669340646, ""spread_hl_frac"": 0.01990452725156677, ""strategy"": ""mean_reversion"", ""time_stop"": 62, ""tp_mult"": 1.727823378686138, ""tsl_mult"": 0.06180542344918227, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18880622209357026}"
5,-0.12244196778600003,-0.12150440064664385,-1000000000.0,0.12150440064664385,-0.12244196778600003,-0.12150440064664385,644.0,mean_reversion,1,"{""adx_thresh"": 11.260745592390943, ""atr_max_pct"": 0.06725826936988973, ""atr_min_pct"": 0.018610845073288904, ""bb_std_mult"": 1.8896442581819766, ""edge_cap"": 0.8110010693460281, ""edge_k"": 1.5423881807524977, ""ema1"": 22, ""ema2"": 39, ""p_adx"": 21, ""p_atr"": 29, ""p_sma"": 34, ""p_std"": 14, ""rsi_ob"": 67, ""rsi_os"": 7, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.23749841949330508, ""slip_spread_k"": 0.6473259895667115, ""spread_hl_frac"": 0.03129612420969568, ""strategy"": ""mean_reversion"", ""time_stop"": 149, ""tp_mult"": 1.858253279798585, ""tsl_mult"": 0.6824989339793499, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18546083310302408}"
6,-0.09276047038945057,-0.09188111120935911,-1000000000.0,0.09188111120935911,-0.09276047038945057,-0.09188111120935911,549.0,mean_reversion,1,"{""adx_thresh"": 16.8765739128523, ""atr_max_pct"": 0.0334150087668753, ""atr_min_pct"": 0.023875036814007055, ""bb_std_mult"": 1.9751488965277713, ""edge_cap"": 0.5737339864583507, ""edge_k"": 1.349000892792171, ""ema1"": 9, ""ema2"": 48, ""p_adx"": 15, ""p_atr"": 27, ""p_sma"": 11, ""p_std"": 46, ""rsi_ob"": 73, ""rsi_os"": 49, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.21309841523831569, ""slip_spread_k"": 0.6268962412606308, ""spread_hl_frac"": 0.015039670780226855, ""strategy"": ""mean_reversion"", ""time_stop"": 193, ""tp_mult"": 2.6805468201071494, ""tsl_mult"": 0.03651441778957232, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07585665394270723}"
7,-0.006610173580199996,-0.012136804758668393,-0.006610173580199996,0.012136804758668393,-0.006610173580199996,-0.012136804758668393,461.0,breakout,1,"{""adx_thresh"": 24.120222150903512, ""atr_max_pct"": 0.14789069930705964, ""atr_min_pct"": 0.027479545418240076, ""bb_std_mult"": 0.8643150462011695, ""edge_cap"": 0.08304586368317922, ""edge_k"": 1.5522053337552375, ""ema1"": 5, ""ema2"": 57, ""p_adx"": 11, ""p_atr"": 15, ""p_sma"": 8, ""p_std"": 59, ""rsi_ob"": 79, ""rsi_os"": 24, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.012375051854152025, ""slip_spread_k"": 0.9554928066140947, ""spread_hl_frac"": 0.03941728243079823, ""strategy"": ""breakout"", ""time_stop"": 33, ""tp_mult"": 1.9903366741973683, ""tsl_mult"": 0.4918196357096416, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2777923558452065}"
8,-0.09244955106350028,-0.09446996831393997,-1000000000.0,0.09446996831393997,-0.09244955106350028,-0.09446996831393997,702.0,breakout,1,"{""adx_thresh"": 14.982139704757682, ""atr_max_pct"": 0.06533558257788803, ""atr_min_pct"": 0.021448831970069776, ""bb_std_mult"": 3.209567619366599, ""edge_cap"": 0.30473120413492877, ""edge_k"": 0.38949798108917766, ""ema1"": 25, ""ema2"": 36, ""p_adx"": 7, ""p_atr"": 27, ""p_sma"": 19, ""p_std"": 18, ""rsi_ob"": 45, ""rsi_os"": 20, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.1534964853257436, ""slip_spread_k"": 0.973118798459179, ""spread_hl_frac"": 0.015201508411644938, ""strategy"": ""breakout"", ""time_stop"": 71, ""tp_mult"": 2.875241228054369, ""tsl_mult"": 0.09362622454532421, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11786486293255564}"
9,-0.08399161559680046,-0.08486124678034826,-1000000000.0,0.08486124678034826,-0.08399161559680046,-0.08486124678034826,671.0,mean_reversion,1,"{""adx_thresh"": 9.599982209666683, ""atr_max_pct"": 0.029508026686316167, ""atr_min_pct"": 0.029199512331399946, ""bb_std_mult"": 3.17489318833125, ""edge_cap"": 0.5630151980920909, ""edge_k"": 0.3622359771737744, ""ema1"": 5, ""ema2"": 44, ""p_adx"": 14, ""p_atr"": 26, ""p_sma"": 41, ""p_std"": 16, ""rsi_ob"": 80, ""rsi_os"": 34, ""rsi_period"": 17, ""rsi_required"": true, ""slip_atr_k"": 0.17088580961006383, ""slip_spread_k"": 0.1889949884461739, ""spread_hl_frac"": 0.028468644167637377, ""strategy"": ""mean_reversion"", ""time_stop"": 21, ""tp_mult"": 2.441399769196641, ""tsl_mult"": 0.800758467512334, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.23523618474742333}"
