number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 17.613822256078784, ""atr_max_pct"": 0.08420550273456527, ""atr_min_pct"": 0.022446807929398793, ""bb_std_mult"": 2.9765178010656093, ""edge_cap"": 0.543933508493784, ""edge_k"": 1.3765493903909138, ""ema1"": 21, ""ema2"": 14, ""p_adx"": 21, ""p_atr"": 15, ""p_sma"": 11, ""p_std"": 57, ""rsi_ob"": 89, ""rsi_os"": 52, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.15901835706542083, ""slip_spread_k"": 0.16240907722750653, ""spread_hl_frac"": 0.007616216104794311, ""strategy"": ""mean_reversion"", ""time_stop"": 214, ""tp_mult"": 2.872663616588464, ""tsl_mult"": 0.3964205952763721, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04277822753587265}"
1,-0.001006009339099001,-0.027070238132426604,-0.001006009339099001,0.027070238132426604,-0.001006009339099001,-0.027070238132426604,909.0,mean_reversion,1,"{""adx_thresh"": 26.849362002334875, ""atr_max_pct"": 0.032323683780823224, ""atr_min_pct"": 0.009885712458541569, ""bb_std_mult"": 1.1011974719005746, ""edge_cap"": 0.186803620830365, ""edge_k"": 1.403107794207635, ""ema1"": 14, ""ema2"": 19, ""p_adx"": 30, ""p_atr"": 21, ""p_sma"": 10, ""p_std"": 34, ""rsi_ob"": 54, ""rsi_os"": 40, ""rsi_period"": 36, ""rsi_required"": false, ""slip_atr_k"": 0.035089640379140224, ""slip_spread_k"": 0.15879908779218344, ""spread_hl_frac"": 0.01976572267462401, ""strategy"": ""mean_reversion"", ""time_stop"": 111, ""tp_mult"": 2.838869892644969, ""tsl_mult"": 0.22264695347290586, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1151719387808038}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 24.43137456877564, ""atr_max_pct"": 0.025225444991369146, ""atr_min_pct"": 0.028350604005741693, ""bb_std_mult"": 0.9175457115197798, ""edge_cap"": 0.3487508006276249, ""edge_k"": 0.42228080682292535, ""ema1"": 28, ""ema2"": 49, ""p_adx"": 17, ""p_atr"": 28, ""p_sma"": 59, ""p_std"": 60, ""rsi_ob"": 79, ""rsi_os"": 23, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.056201939627277514, ""slip_spread_k"": 0.7357628394145536, ""spread_hl_frac"": 0.009051540627877675, ""strategy"": ""mean_reversion"", ""time_stop"": 186, ""tp_mult"": 1.9341121286455618, ""tsl_mult"": 0.9103094111745919, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06650896930448437}"
3,-0.10213972413000005,-0.10234176530375663,-1000000000.0,0.10234176530375663,-0.10213972413000005,-0.10234176530375663,901.0,breakout,1,"{""adx_thresh"": 31.25304208016092, ""atr_max_pct"": 0.07239691754219511, ""atr_min_pct"": 0.025389090917596176, ""bb_std_mult"": 3.4142891407427802, ""edge_cap"": 0.33040301451657744, ""edge_k"": 0.6388002148180423, ""ema1"": 8, ""ema2"": 33, ""p_adx"": 27, ""p_atr"": 29, ""p_sma"": 38, ""p_std"": 36, ""rsi_ob"": 75, ""rsi_os"": 25, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.15498287840203284, ""slip_spread_k"": 0.14712886066788544, ""spread_hl_frac"": 0.012906611686007553, ""strategy"": ""breakout"", ""time_stop"": 164, ""tp_mult"": 1.293490520240009, ""tsl_mult"": 0.9042865353465327, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18384324116867953}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.291762983504167, ""atr_max_pct"": 0.06763189387109111, ""atr_min_pct"": 0.012641541731433585, ""bb_std_mult"": 1.056159100254561, ""edge_cap"": 0.2671499015825831, ""edge_k"": 1.362790342693929, ""ema1"": 29, ""ema2"": 45, ""p_adx"": 25, ""p_atr"": 30, ""p_sma"": 55, ""p_std"": 44, ""rsi_ob"": 49, ""rsi_os"": 46, ""rsi_period"": 71, ""rsi_required"": true, ""slip_atr_k"": 0.1824241016320705, ""slip_spread_k"": 0.42741424672820616, ""spread_hl_frac"": 0.004354387733038784, ""strategy"": ""mean_reversion"", ""time_stop"": 289, ""tp_mult"": 2.471407594874462, ""tsl_mult"": 0.946738720367792, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11065398593913765}"
5,-0.1348537876536502,-0.13406708775671006,-1000000000.0,0.13406708775671006,-0.1348537876536502,-0.13406708775671006,868.0,breakout,1,"{""adx_thresh"": 27.452824694716718, ""atr_max_pct"": 0.02710778296419386, ""atr_min_pct"": 0.01908489696421301, ""bb_std_mult"": 1.1022379403857174, ""edge_cap"": 0.2046566133713068, ""edge_k"": 0.570489923467717, ""ema1"": 30, ""ema2"": 20, ""p_adx"": 28, ""p_atr"": 9, ""p_sma"": 13, ""p_std"": 33, ""rsi_ob"": 92, ""rsi_os"": 52, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.20223764213288695, ""slip_spread_k"": 0.010590036846828466, ""spread_hl_frac"": 0.03477275262727531, ""strategy"": ""breakout"", ""time_stop"": 248, ""tp_mult"": 2.6885733010484767, ""tsl_mult"": 0.9539993040095751, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0682875963774172}"
6,-0.1428305302784495,-0.14271395089726735,-1000000000.0,0.14271395089726735,-0.1428305302784495,-0.14271395089726735,899.0,breakout,1,"{""adx_thresh"": 11.330050494094898, ""atr_max_pct"": 0.09265323249122967, ""atr_min_pct"": 0.029768158445248414, ""bb_std_mult"": 2.8752951354040186, ""edge_cap"": 0.9879860084246085, ""edge_k"": 1.1044390893835152, ""ema1"": 23, ""ema2"": 49, ""p_adx"": 13, ""p_atr"": 12, ""p_sma"": 28, ""p_std"": 32, ""rsi_ob"": 71, ""rsi_os"": 29, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.18005342060908103, ""slip_spread_k"": 0.8758623567208322, ""spread_hl_frac"": 0.031907130764782986, ""strategy"": ""breakout"", ""time_stop"": 287, ""tp_mult"": 1.0819509517710173, ""tsl_mult"": 0.8813634883753588, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26227574103048495}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 25.564492414753317, ""atr_max_pct"": 0.05605930615051577, ""atr_min_pct"": 0.0010617108450017042, ""bb_std_mult"": 3.3295352752832774, ""edge_cap"": 0.3288477291816577, ""edge_k"": 0.9793049050414413, ""ema1"": 16, ""ema2"": 60, ""p_adx"": 15, ""p_atr"": 21, ""p_sma"": 50, ""p_std"": 37, ""rsi_ob"": 72, ""rsi_os"": 50, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.016999048397661726, ""slip_spread_k"": 0.2570787843028798, ""spread_hl_frac"": 0.04323034757186525, ""strategy"": ""mean_reversion"", ""time_stop"": 49, ""tp_mult"": 1.0408372524531027, ""tsl_mult"": 0.9927702324518858, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2126419152102791}"
8,-0.09346301054159944,-0.09348515750164851,-1000000000.0,0.09348515750164851,-0.09346301054159944,-0.09348515750164851,917.0,breakout,1,"{""adx_thresh"": 7.9890675724287625, ""atr_max_pct"": 0.07126597913653611, ""atr_min_pct"": 0.021510586350093244, ""bb_std_mult"": 0.6615452923240198, ""edge_cap"": 0.13975944161852366, ""edge_k"": 1.7019628533789521, ""ema1"": 21, ""ema2"": 36, ""p_adx"": 25, ""p_atr"": 22, ""p_sma"": 32, ""p_std"": 32, ""rsi_ob"": 75, ""rsi_os"": 14, ""rsi_period"": 70, ""rsi_required"": false, ""slip_atr_k"": 0.14479070817300374, ""slip_spread_k"": 0.741873213429161, ""spread_hl_frac"": 0.0016540671855126922, ""strategy"": ""breakout"", ""time_stop"": 15, ""tp_mult"": 2.1342795741979845, ""tsl_mult"": 0.5766265307108918, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26148258662029805}"
9,-0.03138773990330024,-0.0357144786027623,-1000000000.0,0.0357144786027623,-0.03138773990330024,-0.0357144786027623,713.0,mean_reversion,1,"{""adx_thresh"": 27.74478260282009, ""atr_max_pct"": 0.03676890721842823, ""atr_min_pct"": 0.014646676460883714, ""bb_std_mult"": 1.6604870754916974, ""edge_cap"": 0.40634550769732786, ""edge_k"": 0.35958560846310794, ""ema1"": 14, ""ema2"": 48, ""p_adx"": 8, ""p_atr"": 10, ""p_sma"": 16, ""p_std"": 60, ""rsi_ob"": 83, ""rsi_os"": 25, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.056873275435753184, ""slip_spread_k"": 0.5326984284688455, ""spread_hl_frac"": 0.009939576774401899, ""strategy"": ""mean_reversion"", ""time_stop"": 225, ""tp_mult"": 2.1255805092429148, ""tsl_mult"": 0.6616842514507421, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20085175847114797}"
