number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.11206117069645083,-0.11365315516824387,-1000000000.0,0.11365315516824387,-0.11206117069645083,-0.11365315516824387,693.0,breakout,1,"{""adx_thresh"": 5.021232714351783, ""atr_max_pct"": 0.13420639730936423, ""atr_min_pct"": 0.015505691526016297, ""bb_std_mult"": 1.6936443577377744, ""edge_cap"": 0.5988037154642348, ""edge_k"": 1.6571893751535407, ""ema1"": 28, ""ema2"": 29, ""p_adx"": 10, ""p_atr"": 9, ""p_sma"": 16, ""p_std"": 46, ""rsi_ob"": 83, ""rsi_os"": 51, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.21967948868952286, ""slip_spread_k"": 0.014281329044859459, ""spread_hl_frac"": 0.02311005869097878, ""strategy"": ""breakout"", ""time_stop"": 40, ""tp_mult"": 2.390416344841724, ""tsl_mult"": 0.584386665973043, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.13033937995015335}"
1,0.012249841767701497,-0.02686896175851465,0.012249841767701497,0.02686896175851465,0.012249841767701497,-0.02686896175851465,731.0,breakout,1,"{""adx_thresh"": 11.408007465108732, ""atr_max_pct"": 0.04487874985957899, ""atr_min_pct"": 0.02091518465194319, ""bb_std_mult"": 1.4244705934283226, ""edge_cap"": 0.8571582649707749, ""edge_k"": 0.28533668367424947, ""ema1"": 5, ""ema2"": 35, ""p_adx"": 25, ""p_atr"": 27, ""p_sma"": 8, ""p_std"": 45, ""rsi_ob"": 80, ""rsi_os"": 9, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.040257146073168326, ""slip_spread_k"": 0.40695145373937935, ""spread_hl_frac"": 0.010870688202637275, ""strategy"": ""breakout"", ""time_stop"": 165, ""tp_mult"": 1.4170113914843119, ""tsl_mult"": 0.13302784172724946, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03611712766975007}"
2,-0.11409614278065006,-0.11391930762120722,-1000000000.0,0.11391930762120722,-0.11409614278065006,-0.11391930762120722,716.0,mean_reversion,1,"{""adx_thresh"": 22.228769241974888, ""atr_max_pct"": 0.01722080285630372, ""atr_min_pct"": 0.012311795026560787, ""bb_std_mult"": 1.5985452133785687, ""edge_cap"": 0.8824153250042167, ""edge_k"": 0.7940065390575937, ""ema1"": 21, ""ema2"": 58, ""p_adx"": 29, ""p_atr"": 21, ""p_sma"": 9, ""p_std"": 9, ""rsi_ob"": 90, ""rsi_os"": 8, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.23773467285575567, ""slip_spread_k"": 0.2831695916374467, ""spread_hl_frac"": 0.01721295570820309, ""strategy"": ""mean_reversion"", ""time_stop"": 201, ""tp_mult"": 2.451039188518374, ""tsl_mult"": 0.7564019883584508, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06407971629089122}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.387288339972596, ""atr_max_pct"": 0.12977460256330825, ""atr_min_pct"": 0.013514614322891527, ""bb_std_mult"": 2.765567200073712, ""edge_cap"": 0.735534665524647, ""edge_k"": 0.4780706929543901, ""ema1"": 18, ""ema2"": 32, ""p_adx"": 19, ""p_atr"": 19, ""p_sma"": 40, ""p_std"": 47, ""rsi_ob"": 60, ""rsi_os"": 50, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.04905950283545285, ""slip_spread_k"": 0.6369463162408736, ""spread_hl_frac"": 0.0448687739096107, ""strategy"": ""mean_reversion"", ""time_stop"": 43, ""tp_mult"": 1.700922824114538, ""tsl_mult"": 0.11594900631947169, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2642351489830109}"
4,-0.0776533504243,-0.0788021606935235,-1000000000.0,0.0788021606935235,-0.0776533504243,-0.0788021606935235,733.0,mean_reversion,1,"{""adx_thresh"": 16.31327911702305, ""atr_max_pct"": 0.0997020220532239, ""atr_min_pct"": 0.001336269898850735, ""bb_std_mult"": 2.3760229362703247, ""edge_cap"": 0.6352469857388007, ""edge_k"": 0.7931693941213491, ""ema1"": 9, ""ema2"": 50, ""p_adx"": 15, ""p_atr"": 29, ""p_sma"": 23, ""p_std"": 18, ""rsi_ob"": 95, ""rsi_os"": 27, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.16287486787286098, ""slip_spread_k"": 0.7534301751414073, ""spread_hl_frac"": 0.01620997480837345, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 1.8792004323858378, ""tsl_mult"": 0.08636233197437959, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10148668333889195}"
5,-0.05935620658345053,-0.06699634768882852,-1000000000.0,0.06699634768882852,-0.05935620658345053,-0.06699634768882852,766.0,mean_reversion,1,"{""adx_thresh"": 31.796771169158593, ""atr_max_pct"": 0.1459942098236905, ""atr_min_pct"": 0.022016882619741843, ""bb_std_mult"": 1.416919414073304, ""edge_cap"": 0.18628562444873656, ""edge_k"": 1.624149050238059, ""ema1"": 22, ""ema2"": 57, ""p_adx"": 23, ""p_atr"": 20, ""p_sma"": 40, ""p_std"": 12, ""rsi_ob"": 64, ""rsi_os"": 36, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.11322301615996164, ""slip_spread_k"": 0.4752386067923805, ""spread_hl_frac"": 0.0347474522993178, ""strategy"": ""mean_reversion"", ""time_stop"": 145, ""tp_mult"": 1.933281184433104, ""tsl_mult"": 0.5234719278556877, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.014228435565566966}"
6,-0.1207131239585506,-0.12115962270835276,-1000000000.0,0.12115962270835276,-0.1207131239585506,-0.12115962270835276,716.0,mean_reversion,1,"{""adx_thresh"": 34.045273808870725, ""atr_max_pct"": 0.02676744885407039, ""atr_min_pct"": 0.005750691922424858, ""bb_std_mult"": 1.0447882716537797, ""edge_cap"": 0.07114680247071406, ""edge_k"": 1.0261666348758625, ""ema1"": 10, ""ema2"": 35, ""p_adx"": 23, ""p_atr"": 25, ""p_sma"": 43, ""p_std"": 17, ""rsi_ob"": 91, ""rsi_os"": 7, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.23791487291522379, ""slip_spread_k"": 0.6994049339958891, ""spread_hl_frac"": 0.028234491689342497, ""strategy"": ""mean_reversion"", ""time_stop"": 207, ""tp_mult"": 2.7919642150518365, ""tsl_mult"": 0.5442940239430819, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03912461829484337}"
7,-0.06053885147374927,-0.06599789854635596,-1000000000.0,0.06599789854635596,-0.06053885147374927,-0.06599789854635596,764.0,mean_reversion,1,"{""adx_thresh"": 29.80556231789039, ""atr_max_pct"": 0.05231132958199113, ""atr_min_pct"": 0.007418521895206187, ""bb_std_mult"": 0.7112833222745351, ""edge_cap"": 0.9412702652914734, ""edge_k"": 1.5158404282436362, ""ema1"": 5, ""ema2"": 20, ""p_adx"": 8, ""p_atr"": 16, ""p_sma"": 59, ""p_std"": 24, ""rsi_ob"": 88, ""rsi_os"": 19, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.12156621777863497, ""slip_spread_k"": 0.5729271748075118, ""spread_hl_frac"": 0.000988578799956158, ""strategy"": ""mean_reversion"", ""time_stop"": 291, ""tp_mult"": 1.1322667645738371, ""tsl_mult"": 0.5805843418069105, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08929089665754997}"
8,-0.049367621475600254,-0.05839364739579063,-1000000000.0,0.05839364739579063,-0.049367621475600254,-0.05839364739579063,777.0,mean_reversion,1,"{""adx_thresh"": 19.526308713436098, ""atr_max_pct"": 0.09767805723918033, ""atr_min_pct"": 0.00025678780909056177, ""bb_std_mult"": 0.5455262411403702, ""edge_cap"": 0.21714795174399049, ""edge_k"": 0.24517334883794617, ""ema1"": 21, ""ema2"": 29, ""p_adx"": 22, ""p_atr"": 11, ""p_sma"": 36, ""p_std"": 23, ""rsi_ob"": 69, ""rsi_os"": 21, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.05217818214881309, ""slip_spread_k"": 0.7339343022297702, ""spread_hl_frac"": 0.04324490403417972, ""strategy"": ""mean_reversion"", ""time_stop"": 222, ""tp_mult"": 2.606615995671871, ""tsl_mult"": 0.000383992606950323, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11297981303951028}"
9,-0.024703984866899953,-0.048029020042520854,-1000000000.0,0.048029020042520854,-0.024703984866899953,-0.048029020042520854,744.0,breakout,1,"{""adx_thresh"": 7.662912897982055, ""atr_max_pct"": 0.11429791459963842, ""atr_min_pct"": 0.02978450030462303, ""bb_std_mult"": 3.09367316917403, ""edge_cap"": 0.960044094387499, ""edge_k"": 0.13525070546396423, ""ema1"": 18, ""ema2"": 35, ""p_adx"": 16, ""p_atr"": 23, ""p_sma"": 11, ""p_std"": 41, ""rsi_ob"": 89, ""rsi_os"": 21, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.035074347883047474, ""slip_spread_k"": 0.9543418652832564, ""spread_hl_frac"": 0.02719527413971645, ""strategy"": ""breakout"", ""time_stop"": 81, ""tp_mult"": 1.5101023632540185, ""tsl_mult"": 0.5766748226546278, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10961508903443541}"
