number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.03435510401539954,-0.053293968772980066,-1000000000.0,0.053293968772980066,-0.03435510401539954,-0.053293968772980066,964.0,mean_reversion,1,"{""adx_thresh"": 28.660153822493882, ""atr_max_pct"": 0.09102522348001386, ""atr_min_pct"": 0.0034930168812317606, ""bb_std_mult"": 3.362993434407647, ""edge_cap"": 0.5223041530262437, ""edge_k"": 1.9015212844657041, ""ema1"": 5, ""ema2"": 40, ""p_adx"": 8, ""p_atr"": 19, ""p_sma"": 20, ""p_std"": 29, ""rsi_ob"": 60, ""rsi_os"": 28, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.10785902666706965, ""slip_spread_k"": 0.3387006284443904, ""spread_hl_frac"": 0.014107666493313143, ""strategy"": ""mean_reversion"", ""time_stop"": 213, ""tp_mult"": 1.981429345869792, ""tsl_mult"": 0.26121910344167887, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2228525898211976}"
1,-0.02378614479240093,-0.03315843569062397,-0.02378614479240093,0.03315843569062397,-0.02378614479240093,-0.03315843569062397,947.0,breakout,1,"{""adx_thresh"": 12.653413559505998, ""atr_max_pct"": 0.08932690434735797, ""atr_min_pct"": 0.013974763784649789, ""bb_std_mult"": 2.3592710596211703, ""edge_cap"": 0.6794176429989774, ""edge_k"": 0.5586389926268609, ""ema1"": 30, ""ema2"": 59, ""p_adx"": 11, ""p_atr"": 15, ""p_sma"": 35, ""p_std"": 38, ""rsi_ob"": 50, ""rsi_os"": 27, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.0771290488864528, ""slip_spread_k"": 0.7648402373305372, ""spread_hl_frac"": 0.030433460614896775, ""strategy"": ""breakout"", ""time_stop"": 162, ""tp_mult"": 2.716617266387348, ""tsl_mult"": 0.18207457945210825, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07160234353172079}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 34.09597548282994, ""atr_max_pct"": 0.04922878629814452, ""atr_min_pct"": 0.015271302410470339, ""bb_std_mult"": 1.305244236507066, ""edge_cap"": 0.694037298900865, ""edge_k"": 0.1552013860694197, ""ema1"": 27, ""ema2"": 25, ""p_adx"": 30, ""p_atr"": 15, ""p_sma"": 18, ""p_std"": 21, ""rsi_ob"": 47, ""rsi_os"": 39, ""rsi_period"": 28, ""rsi_required"": true, ""slip_atr_k"": 0.09866659307154738, ""slip_spread_k"": 0.3062505444729494, ""spread_hl_frac"": 0.013388177044144479, ""strategy"": ""mean_reversion"", ""time_stop"": 200, ""tp_mult"": 2.155116586929556, ""tsl_mult"": 0.711406280370995, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2686032089683358}"
3,-0.1264762576966999,-0.133661077510706,-1000000000.0,0.133661077510706,-0.1264762576966999,-0.133661077510706,849.0,breakout,1,"{""adx_thresh"": 5.5511294571314505, ""atr_max_pct"": 0.062213132288029806, ""atr_min_pct"": 0.001930768811679453, ""bb_std_mult"": 0.5771069171490165, ""edge_cap"": 0.6909966136460634, ""edge_k"": 1.0690175834944193, ""ema1"": 21, ""ema2"": 14, ""p_adx"": 26, ""p_atr"": 28, ""p_sma"": 10, ""p_std"": 29, ""rsi_ob"": 87, ""rsi_os"": 28, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.22502303518889544, ""slip_spread_k"": 0.6076686551897547, ""spread_hl_frac"": 0.04106569940628216, ""strategy"": ""breakout"", ""time_stop"": 122, ""tp_mult"": 1.4349628218152035, ""tsl_mult"": 0.4102466031601054, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.013153632722414566}"
4,-0.11394331636660027,-0.1165511077209186,-1000000000.0,0.1165511077209186,-0.11394331636660027,-0.1165511077209186,955.0,mean_reversion,1,"{""adx_thresh"": 19.491419161493152, ""atr_max_pct"": 0.1370473315835869, ""atr_min_pct"": 0.027296882102666224, ""bb_std_mult"": 0.9576004419011978, ""edge_cap"": 0.6980498832515823, ""edge_k"": 0.24587021648004947, ""ema1"": 28, ""ema2"": 36, ""p_adx"": 20, ""p_atr"": 30, ""p_sma"": 46, ""p_std"": 19, ""rsi_ob"": 60, ""rsi_os"": 11, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.21076261686808836, ""slip_spread_k"": 0.28668541278249005, ""spread_hl_frac"": 0.027424404034621208, ""strategy"": ""mean_reversion"", ""time_stop"": 238, ""tp_mult"": 1.6117127176299155, ""tsl_mult"": 0.1132463816171767, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07476784559588462}"
5,-0.020160025407349735,-0.034108533306570814,-0.020160025407349735,0.034108533306570814,-0.020160025407349735,-0.034108533306570814,636.0,breakout,1,"{""adx_thresh"": 31.15282921877544, ""atr_max_pct"": 0.029353536040056402, ""atr_min_pct"": 0.00920951589726058, ""bb_std_mult"": 1.765392635651416, ""edge_cap"": 0.4717190272579461, ""edge_k"": 0.5091581736080855, ""ema1"": 21, ""ema2"": 52, ""p_adx"": 10, ""p_atr"": 26, ""p_sma"": 11, ""p_std"": 58, ""rsi_ob"": 74, ""rsi_os"": 43, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.0972695131717631, ""slip_spread_k"": 0.8959935501856778, ""spread_hl_frac"": 0.04754838634236933, ""strategy"": ""breakout"", ""time_stop"": 240, ""tp_mult"": 2.786792897203272, ""tsl_mult"": 0.14176702035843958, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2026582386279217}"
6,-0.10822248405989998,-0.11108220455862315,-1000000000.0,0.11108220455862315,-0.10822248405989998,-0.11108220455862315,864.0,mean_reversion,1,"{""adx_thresh"": 12.482414630175292, ""atr_max_pct"": 0.11094255099143069, ""atr_min_pct"": 0.01760142565393781, ""bb_std_mult"": 1.8513823954444208, ""edge_cap"": 0.1621750918223328, ""edge_k"": 0.8046677246259681, ""ema1"": 10, ""ema2"": 20, ""p_adx"": 27, ""p_atr"": 21, ""p_sma"": 54, ""p_std"": 51, ""rsi_ob"": 84, ""rsi_os"": 6, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.19038858464820696, ""slip_spread_k"": 0.96096341730098, ""spread_hl_frac"": 0.019459686535161214, ""strategy"": ""mean_reversion"", ""time_stop"": 70, ""tp_mult"": 2.685271065387184, ""tsl_mult"": 0.11556804171555646, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0384348453526159}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 15.022974788864886, ""atr_max_pct"": 0.11970181817759709, ""atr_min_pct"": 0.009777584040057515, ""bb_std_mult"": 1.977986936486903, ""edge_cap"": 0.06443735550400247, ""edge_k"": 1.1088980855955723, ""ema1"": 8, ""ema2"": 40, ""p_adx"": 13, ""p_atr"": 21, ""p_sma"": 44, ""p_std"": 24, ""rsi_ob"": 66, ""rsi_os"": 53, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.015515201335622675, ""slip_spread_k"": 0.4747439871911111, ""spread_hl_frac"": 0.03747263327671905, ""strategy"": ""mean_reversion"", ""time_stop"": 143, ""tp_mult"": 2.9431213780569605, ""tsl_mult"": 0.5930950905868749, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11410077146039362}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.9868133272951, ""atr_max_pct"": 0.0579306685723025, ""atr_min_pct"": 0.018558398243243252, ""bb_std_mult"": 2.264100402213317, ""edge_cap"": 0.8617228123861633, ""edge_k"": 0.09380291892803183, ""ema1"": 26, ""ema2"": 11, ""p_adx"": 28, ""p_atr"": 15, ""p_sma"": 36, ""p_std"": 37, ""rsi_ob"": 55, ""rsi_os"": 54, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.03997018135596822, ""slip_spread_k"": 0.019667053422750325, ""spread_hl_frac"": 0.00016737232425543259, ""strategy"": ""mean_reversion"", ""time_stop"": 34, ""tp_mult"": 2.4011098517310656, ""tsl_mult"": 0.8784487130429711, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0011919820242726087}"
9,0.03508978596970036,-0.015585344474400306,0.03508978596970036,0.015585344474400306,0.03508978596970036,-0.015585344474400306,1000.0,mean_reversion,1,"{""adx_thresh"": 20.269421829194044, ""atr_max_pct"": 0.10634198124834587, ""atr_min_pct"": 0.010031074809454964, ""bb_std_mult"": 3.1161111723240755, ""edge_cap"": 0.9379253566194722, ""edge_k"": 1.183963163736715, ""ema1"": 22, ""ema2"": 56, ""p_adx"": 28, ""p_atr"": 29, ""p_sma"": 33, ""p_std"": 37, ""rsi_ob"": 60, ""rsi_os"": 32, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.058812646637259464, ""slip_spread_k"": 0.3578446418819833, ""spread_hl_frac"": 0.002669751443427815, ""strategy"": ""mean_reversion"", ""time_stop"": 17, ""tp_mult"": 2.0873867487236097, ""tsl_mult"": 0.7074796914326488, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2963404490291704}"
