number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.02242552484035054,-0.023272375359312442,-0.02242552484035054,0.023272375359312442,-0.02242552484035054,-0.023272375359312442,437.0,breakout,1,"{""adx_thresh"": 13.00800113919361, ""atr_max_pct"": 0.10716827297460871, ""atr_min_pct"": 0.0008663845748726484, ""bb_std_mult"": 2.027526256562307, ""edge_cap"": 0.24792410685573033, ""edge_k"": 0.7967009388431716, ""ema1"": 26, ""ema2"": 24, ""p_adx"": 12, ""p_atr"": 27, ""p_sma"": 20, ""p_std"": 47, ""rsi_ob"": 63, ""rsi_os"": 43, ""rsi_period"": 81, ""rsi_required"": false, ""slip_atr_k"": 0.053439272378236535, ""slip_spread_k"": 0.4859937378667617, ""spread_hl_frac"": 0.021335727113425903, ""strategy"": ""breakout"", ""time_stop"": 45, ""tp_mult"": 2.1694945576327207, ""tsl_mult"": 0.44267792593408883, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0860005009111714}"
1,-0.030950054974499985,-0.030747293697526584,-1000000000.0,0.030747293697526584,-0.030950054974499985,-0.030747293697526584,480.0,mean_reversion,1,"{""adx_thresh"": 26.115471321583424, ""atr_max_pct"": 0.058546479672750854, ""atr_min_pct"": 0.008161309696137172, ""bb_std_mult"": 2.4256111495483847, ""edge_cap"": 0.5024478525721495, ""edge_k"": 0.15203570203110517, ""ema1"": 23, ""ema2"": 21, ""p_adx"": 25, ""p_atr"": 18, ""p_sma"": 46, ""p_std"": 22, ""rsi_ob"": 81, ""rsi_os"": 39, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.09667575113557858, ""slip_spread_k"": 0.19034321556204503, ""spread_hl_frac"": 0.0230400056135965, ""strategy"": ""mean_reversion"", ""time_stop"": 66, ""tp_mult"": 1.3515542308813469, ""tsl_mult"": 0.35787889635679626, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05353881373776043}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 6.792752614259083, ""atr_max_pct"": 0.07533989626824515, ""atr_min_pct"": 0.002547288273467243, ""bb_std_mult"": 0.5115599267761186, ""edge_cap"": 0.6891512924285509, ""edge_k"": 0.27984951747952236, ""ema1"": 18, ""ema2"": 38, ""p_adx"": 27, ""p_atr"": 15, ""p_sma"": 59, ""p_std"": 26, ""rsi_ob"": 82, ""rsi_os"": 52, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.24704009838922175, ""slip_spread_k"": 0.7775058054565631, ""spread_hl_frac"": 0.030593569089626432, ""strategy"": ""mean_reversion"", ""time_stop"": 298, ""tp_mult"": 1.0840556460963218, ""tsl_mult"": 0.9537405229580331, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15572268350373106}"
3,-0.02298308855660003,-0.023952203244912214,-0.02298308855660003,0.023952203244912214,-0.02298308855660003,-0.023952203244912214,390.0,breakout,1,"{""adx_thresh"": 30.383070881156062, ""atr_max_pct"": 0.13608717163393685, ""atr_min_pct"": 0.011432794331682965, ""bb_std_mult"": 3.174875268052958, ""edge_cap"": 0.38914939773229795, ""edge_k"": 1.2733396525521412, ""ema1"": 26, ""ema2"": 45, ""p_adx"": 13, ""p_atr"": 19, ""p_sma"": 18, ""p_std"": 52, ""rsi_ob"": 54, ""rsi_os"": 42, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.03574594538213541, ""slip_spread_k"": 0.9227758788758971, ""spread_hl_frac"": 0.04548249829394685, ""strategy"": ""breakout"", ""time_stop"": 194, ""tp_mult"": 2.0423491355795016, ""tsl_mult"": 0.020606174981594005, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1935909865986404}"
4,-0.060105991085549815,-0.05959266254205048,-1000000000.0,0.05959266254205048,-0.060105991085549815,-0.05959266254205048,471.0,mean_reversion,1,"{""adx_thresh"": 20.697241334081593, ""atr_max_pct"": 0.06550289834025422, ""atr_min_pct"": 0.019101311060756347, ""bb_std_mult"": 1.4692259321959174, ""edge_cap"": 0.6354758730725859, ""edge_k"": 0.8406961898629353, ""ema1"": 28, ""ema2"": 47, ""p_adx"": 15, ""p_atr"": 12, ""p_sma"": 29, ""p_std"": 27, ""rsi_ob"": 92, ""rsi_os"": 41, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.13220875650049493, ""slip_spread_k"": 0.9614438040693217, ""spread_hl_frac"": 0.032914161560198274, ""strategy"": ""mean_reversion"", ""time_stop"": 255, ""tp_mult"": 1.054041332080358, ""tsl_mult"": 0.6224639823694219, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2465221549687132}"
5,-0.011248937447100427,-0.014915509323678003,-0.011248937447100427,0.014915509323678003,-0.011248937447100427,-0.014915509323678003,464.0,breakout,1,"{""adx_thresh"": 33.20587594231508, ""atr_max_pct"": 0.13009210459413542, ""atr_min_pct"": 0.015674283382579757, ""bb_std_mult"": 3.0101056205582455, ""edge_cap"": 0.5754454188029469, ""edge_k"": 0.2737095233653586, ""ema1"": 30, ""ema2"": 22, ""p_adx"": 18, ""p_atr"": 26, ""p_sma"": 16, ""p_std"": 38, ""rsi_ob"": 63, ""rsi_os"": 55, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.010491429081207593, ""slip_spread_k"": 0.23088334344158468, ""spread_hl_frac"": 0.04992597795823196, ""strategy"": ""breakout"", ""time_stop"": 119, ""tp_mult"": 2.9568102387112014, ""tsl_mult"": 0.9699269123845302, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2563539500170751}"
6,-0.08828471387490022,-0.08798455130049135,-1000000000.0,0.08798455130049135,-0.08828471387490022,-0.08798455130049135,492.0,breakout,1,"{""adx_thresh"": 29.32506207066874, ""atr_max_pct"": 0.03192528378262572, ""atr_min_pct"": 0.020320393228499878, ""bb_std_mult"": 2.1268981529656537, ""edge_cap"": 0.1575946411216799, ""edge_k"": 0.5175230587642805, ""ema1"": 20, ""ema2"": 11, ""p_adx"": 15, ""p_atr"": 19, ""p_sma"": 7, ""p_std"": 11, ""rsi_ob"": 52, ""rsi_os"": 29, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.19940298085228755, ""slip_spread_k"": 0.564461853709027, ""spread_hl_frac"": 0.044556680231947324, ""strategy"": ""breakout"", ""time_stop"": 257, ""tp_mult"": 2.2102615042983342, ""tsl_mult"": 0.608115333913702, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18439211265885172}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 31.454992637160114, ""atr_max_pct"": 0.07427683000748128, ""atr_min_pct"": 0.00027494376133314956, ""bb_std_mult"": 2.38700931612595, ""edge_cap"": 0.6877269375764772, ""edge_k"": 1.842639778227593, ""ema1"": 12, ""ema2"": 18, ""p_adx"": 14, ""p_atr"": 30, ""p_sma"": 22, ""p_std"": 10, ""rsi_ob"": 46, ""rsi_os"": 22, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.15673372207796532, ""slip_spread_k"": 0.23590721442538276, ""spread_hl_frac"": 0.035658354223266624, ""strategy"": ""mean_reversion"", ""time_stop"": 87, ""tp_mult"": 1.0747146793747644, ""tsl_mult"": 0.7624719539655866, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.04989280667302796}"
8,-0.038038195420450394,-0.037890588970265204,-1000000000.0,0.037890588970265204,-0.038038195420450394,-0.037890588970265204,366.0,breakout,1,"{""adx_thresh"": 8.98505701294066, ""atr_max_pct"": 0.14818325637854393, ""atr_min_pct"": 0.008390485050221077, ""bb_std_mult"": 1.346769890675412, ""edge_cap"": 0.6178565041636568, ""edge_k"": 1.1976747817910451, ""ema1"": 21, ""ema2"": 50, ""p_adx"": 13, ""p_atr"": 9, ""p_sma"": 46, ""p_std"": 60, ""rsi_ob"": 75, ""rsi_os"": 15, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.1561285543068843, ""slip_spread_k"": 0.5341292596385935, ""spread_hl_frac"": 0.010772303082535729, ""strategy"": ""breakout"", ""time_stop"": 43, ""tp_mult"": 1.1598327256014447, ""tsl_mult"": 0.3426287524938727, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1734136907345957}"
9,-0.053785496098750274,-0.05385303569932243,-1000000000.0,0.05385303569932243,-0.053785496098750274,-0.05385303569932243,392.0,breakout,1,"{""adx_thresh"": 6.724353854645818, ""atr_max_pct"": 0.026741967543783295, ""atr_min_pct"": 0.01350151536732575, ""bb_std_mult"": 3.5700306989446506, ""edge_cap"": 0.9894097844024422, ""edge_k"": 1.0293079264280605, ""ema1"": 19, ""ema2"": 17, ""p_adx"": 10, ""p_atr"": 23, ""p_sma"": 50, ""p_std"": 37, ""rsi_ob"": 50, ""rsi_os"": 11, ""rsi_period"": 75, ""rsi_required"": true, ""slip_atr_k"": 0.24978004610222157, ""slip_spread_k"": 0.14803803831062878, ""spread_hl_frac"": 0.019089851185487124, ""strategy"": ""breakout"", ""time_stop"": 141, ""tp_mult"": 1.3476987820330124, ""tsl_mult"": 0.881118742474915, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18915417308755647}"
