number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.01410718352870044,-0.02443464987666082,-0.01410718352870044,0.02443464987666082,-0.01410718352870044,-0.02443464987666082,455.0,breakout,1,"{""adx_thresh"": 28.109778644983777, ""atr_max_pct"": 0.04965749190320363, ""atr_min_pct"": 0.004563290258141466, ""bb_std_mult"": 3.5368873494665873, ""edge_cap"": 0.6565100303609153, ""edge_k"": 0.6845241019095825, ""ema1"": 27, ""ema2"": 46, ""p_adx"": 12, ""p_atr"": 10, ""p_sma"": 30, ""p_std"": 51, ""rsi_ob"": 60, ""rsi_os"": 26, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.1040598501086746, ""slip_spread_k"": 0.2784810269974911, ""spread_hl_frac"": 0.028145072669175042, ""strategy"": ""breakout"", ""time_stop"": 261, ""tp_mult"": 2.859218285004711, ""tsl_mult"": 0.46848536942345487, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.003476775357474715}"
1,-0.02063757394510124,-0.03058051901475579,-0.02063757394510124,0.03058051901475579,-0.02063757394510124,-0.03058051901475579,435.0,mean_reversion,1,"{""adx_thresh"": 30.88375959886843, ""atr_max_pct"": 0.1001381462737886, ""atr_min_pct"": 0.018244676852078555, ""bb_std_mult"": 1.476422357312171, ""edge_cap"": 0.35916819008360823, ""edge_k"": 0.37422821447167687, ""ema1"": 28, ""ema2"": 50, ""p_adx"": 24, ""p_atr"": 10, ""p_sma"": 22, ""p_std"": 57, ""rsi_ob"": 74, ""rsi_os"": 30, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.1424398283165966, ""slip_spread_k"": 0.8847451353218563, ""spread_hl_frac"": 0.006884642696466387, ""strategy"": ""mean_reversion"", ""time_stop"": 218, ""tp_mult"": 1.1485151867712915, ""tsl_mult"": 0.007283943877735677, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2191691909177939}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.74842487565353, ""atr_max_pct"": 0.11212157993688524, ""atr_min_pct"": 0.008679430553676561, ""bb_std_mult"": 2.8771818247137557, ""edge_cap"": 0.9481423239163552, ""edge_k"": 1.141402148307796, ""ema1"": 9, ""ema2"": 34, ""p_adx"": 18, ""p_atr"": 7, ""p_sma"": 30, ""p_std"": 47, ""rsi_ob"": 46, ""rsi_os"": 47, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.19566644300697292, ""slip_spread_k"": 0.9651272937329093, ""spread_hl_frac"": 0.0446750658097797, ""strategy"": ""mean_reversion"", ""time_stop"": 63, ""tp_mult"": 1.205971021676846, ""tsl_mult"": 0.1026093432371562, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17323308704452497}"
3,-0.028430522532449487,-0.031981585157674325,-0.028430522532449487,0.031981585157674325,-0.028430522532449487,-0.031981585157674325,524.0,mean_reversion,1,"{""adx_thresh"": 7.995792043395213, ""atr_max_pct"": 0.013776182828878802, ""atr_min_pct"": 0.010865080237371892, ""bb_std_mult"": 3.1653168841913537, ""edge_cap"": 0.7282676385838303, ""edge_k"": 0.014272775384067904, ""ema1"": 30, ""ema2"": 46, ""p_adx"": 22, ""p_atr"": 19, ""p_sma"": 60, ""p_std"": 24, ""rsi_ob"": 58, ""rsi_os"": 40, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.1290374255166453, ""slip_spread_k"": 0.009776051933097163, ""spread_hl_frac"": 0.032971795599637636, ""strategy"": ""mean_reversion"", ""time_stop"": 119, ""tp_mult"": 1.3967784698228622, ""tsl_mult"": 0.0892443642022368, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2111118407129089}"
4,0.03272713091945012,-0.007295595515149799,0.03272713091945012,0.007295595515149799,0.03272713091945012,-0.007295595515149799,492.0,mean_reversion,1,"{""adx_thresh"": 14.894386988739615, ""atr_max_pct"": 0.08580261027957224, ""atr_min_pct"": 0.01099124769230366, ""bb_std_mult"": 3.1876459639275407, ""edge_cap"": 0.6842821584614857, ""edge_k"": 0.3407544262167601, ""ema1"": 20, ""ema2"": 28, ""p_adx"": 15, ""p_atr"": 11, ""p_sma"": 34, ""p_std"": 56, ""rsi_ob"": 80, ""rsi_os"": 19, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.01599442483215635, ""slip_spread_k"": 0.2258733133865798, ""spread_hl_frac"": 0.02266523588112819, ""strategy"": ""mean_reversion"", ""time_stop"": 162, ""tp_mult"": 1.3818207838743872, ""tsl_mult"": 0.6911417617425444, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14248283642824364}"
5,-0.03909122276569976,-0.04227037749819685,-1000000000.0,0.04227037749819685,-0.03909122276569976,-0.04227037749819685,517.0,breakout,1,"{""adx_thresh"": 19.493197164680176, ""atr_max_pct"": 0.12789058886580887, ""atr_min_pct"": 0.002492521238745454, ""bb_std_mult"": 2.372776373499595, ""edge_cap"": 0.5728866180196295, ""edge_k"": 1.6724800556027966, ""ema1"": 8, ""ema2"": 19, ""p_adx"": 14, ""p_atr"": 28, ""p_sma"": 54, ""p_std"": 23, ""rsi_ob"": 76, ""rsi_os"": 35, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.14066968647894545, ""slip_spread_k"": 0.051400710557168994, ""spread_hl_frac"": 0.0025519899399679747, ""strategy"": ""breakout"", ""time_stop"": 63, ""tp_mult"": 2.9142876357067777, ""tsl_mult"": 0.4925383348258696, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02549211318862484}"
6,0.024300763807600045,-0.009291976087354869,0.024300763807600045,0.009291976087354869,0.024300763807600045,-0.009291976087354869,595.0,breakout,1,"{""adx_thresh"": 24.73736449511958, ""atr_max_pct"": 0.03526145997581914, ""atr_min_pct"": 0.011401678343704197, ""bb_std_mult"": 2.331105626420301, ""edge_cap"": 0.6502925333028522, ""edge_k"": 1.3464819210587018, ""ema1"": 22, ""ema2"": 16, ""p_adx"": 10, ""p_atr"": 26, ""p_sma"": 35, ""p_std"": 12, ""rsi_ob"": 68, ""rsi_os"": 5, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.0060888046962582765, ""slip_spread_k"": 0.35833834169019907, ""spread_hl_frac"": 0.013160688685773343, ""strategy"": ""breakout"", ""time_stop"": 33, ""tp_mult"": 2.2102010872131856, ""tsl_mult"": 0.4374937005140265, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.015265666284085854}"
7,0.01781264406325045,-0.013489712113553518,0.01781264406325045,0.013489712113553518,0.01781264406325045,-0.013489712113553518,522.0,breakout,1,"{""adx_thresh"": 34.26264709890022, ""atr_max_pct"": 0.06221838440770487, ""atr_min_pct"": 0.017923231309437803, ""bb_std_mult"": 1.5654342586785588, ""edge_cap"": 0.08265856694316571, ""edge_k"": 0.652168938842977, ""ema1"": 21, ""ema2"": 43, ""p_adx"": 15, ""p_atr"": 11, ""p_sma"": 28, ""p_std"": 38, ""rsi_ob"": 69, ""rsi_os"": 5, ""rsi_period"": 68, ""rsi_required"": true, ""slip_atr_k"": 0.030588815051352358, ""slip_spread_k"": 0.21762149742428405, ""spread_hl_frac"": 0.0010704911845788479, ""strategy"": ""breakout"", ""time_stop"": 226, ""tp_mult"": 1.0781213774446672, ""tsl_mult"": 0.7863830859637948, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09239771337064555}"
8,-0.006005697101649665,-0.02390626433467015,-0.006005697101649665,0.02390626433467015,-0.006005697101649665,-0.02390626433467015,540.0,mean_reversion,1,"{""adx_thresh"": 20.325691458217445, ""atr_max_pct"": 0.08227673611703142, ""atr_min_pct"": 0.02290708942712575, ""bb_std_mult"": 1.9988103262682422, ""edge_cap"": 0.6882091444077939, ""edge_k"": 0.2825613683113686, ""ema1"": 5, ""ema2"": 18, ""p_adx"": 20, ""p_atr"": 15, ""p_sma"": 48, ""p_std"": 35, ""rsi_ob"": 64, ""rsi_os"": 15, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.04969003232798824, ""slip_spread_k"": 0.5019663536183442, ""spread_hl_frac"": 0.043359893237917724, ""strategy"": ""mean_reversion"", ""time_stop"": 255, ""tp_mult"": 1.242461435426902, ""tsl_mult"": 0.1896768992712522, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21873959591031367}"
9,-0.008447626955849552,-0.01745928359988157,-0.008447626955849552,0.01745928359988157,-0.008447626955849552,-0.01745928359988157,455.0,breakout,1,"{""adx_thresh"": 9.282160450291817, ""atr_max_pct"": 0.09773482711492253, ""atr_min_pct"": 0.025249625253361913, ""bb_std_mult"": 3.306391252661484, ""edge_cap"": 0.10476601422679488, ""edge_k"": 1.869344552259018, ""ema1"": 27, ""ema2"": 53, ""p_adx"": 10, ""p_atr"": 15, ""p_sma"": 39, ""p_std"": 59, ""rsi_ob"": 45, ""rsi_os"": 36, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.0956197715036535, ""slip_spread_k"": 0.39001922545729695, ""spread_hl_frac"": 0.01865345457499126, ""strategy"": ""breakout"", ""time_stop"": 137, ""tp_mult"": 2.4406452586285243, ""tsl_mult"": 0.8784384274705578, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.01488705096656907}"
