month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,1,0,1,0.0,-2.3574507499999733,-2.3574507499999733,-2.3574507499999733,-2.3574507499999733
2020-01-31,5,0,5,0.0,-23.99853726000139,-4.799707452000279,-0.3982120799999953,-26.355988010001365
2020-02-29,9,2,7,22.22,-6.435391640000984,-0.7150435155556649,-0.3089306300009168,-32.79137965000235
2020-03-31,11,4,7,36.36,-6.557480670000819,-0.5961346063637109,-3.553485730000293,-39.34886032000317
2020-04-30,7,2,5,28.57,-25.259862520000176,-3.6085517885714538,-3.210416999999949,-64.60872284000334
2020-05-31,6,3,3,50.0,-9.363208070000253,-1.5605346783333756,-0.6153992300002366,-73.97193091000359
2020-06-30,10,1,9,10.0,-46.007570969998504,-4.600757096999851,-4.603231239999772,-119.97950188000209
2020-07-31,7,1,6,14.29,-29.122139249998657,-4.160305607142665,-3.830249670000388,-149.10164113000076
2020-08-31,6,1,5,16.67,-0.9940115500007736,-0.1656685916667956,-0.568969940000138,-150.09565268000154
2020-09-30,7,1,6,14.29,-13.002615959999288,-1.8575165657141839,-1.7516128499997994,-163.0982686400008
2020-10-31,9,2,7,22.22,-17.58872169999922,-1.9543024111110243,-1.492508500000204,-180.68699034000002
2020-11-30,2,0,2,0.0,-22.861289859999673,-11.430644929999836,-11.430644929999836,-203.54828019999968
