number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.03371125460445035,-0.03451324502514266,-1000000000.0,0.03451324502514266,-0.03371125460445035,-0.03451324502514266,264.0,breakout,1,"{""adx_thresh"": 5.198555650571276, ""atr_max_pct"": 0.1397049828554883, ""atr_min_pct"": 0.008678506020367691, ""bb_std_mult"": 1.510181614031147, ""bear_adx_thresh"": 30.58017766626077, ""bear_atr_max_pct"": 0.023491478325903658, ""bear_atr_min_pct"": 0.0005776530674708447, ""bear_bb_std_mult"": 1.3807274939268606, ""bear_rsi_ob"": 58, ""bear_rsi_os"": 53, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 72, ""bear_tp_mult"": 1.6162462347127196, ""bear_tsl_mult"": 0.3113621145944184, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 30.1454314495441, ""bull_atr_max_pct"": 0.08745937397766605, ""bull_atr_min_pct"": 0.029563395725021098, ""bull_bb_std_mult"": 2.043506248284426, ""bull_rsi_ob"": 73, ""bull_rsi_os"": 46, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 189, ""bull_tp_mult"": 2.7454313846648684, ""bull_tsl_mult"": 0.06087021714375118, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.18424143847577237, ""edge_k"": 1.5435326604936677, ""ema1"": 19, ""ema2"": 21, ""p_adx"": 20, ""p_atr"": 23, ""p_sma"": 6, ""p_std"": 45, ""rsi_ob"": 62, ""rsi_os"": 10, ""rsi_period"": 41, ""rsi_required"": true, ""sideways_adx_thresh"": 20.612060189890514, ""sideways_atr_max_pct"": 0.09327006189508125, ""sideways_atr_min_pct"": 0.00971531667107294, ""sideways_bb_std_mult"": 1.0647813817545084, ""sideways_rsi_ob"": 65, ""sideways_rsi_os"": 8, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 135, ""sideways_tp_mult"": 2.0156629841328564, ""sideways_tsl_mult"": 0.2709424623276613, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1639738331606759, ""slip_spread_k"": 0.9638085552773267, ""spread_hl_frac"": 0.026005596572889873, ""strategy"": ""breakout"", ""time_stop"": 45, ""tp_mult"": 2.7927213089958807, ""tsl_mult"": 0.5516210991479088, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.04806988227841375}"
1,-0.017633269129050277,-0.02152303602704991,-0.017633269129050277,0.02152303602704991,-0.017633269129050277,-0.02152303602704991,448.0,mean_reversion,1,"{""adx_thresh"": 20.333913714260255, ""atr_max_pct"": 0.11578073914090925, ""atr_min_pct"": 0.005319127458891028, ""bb_std_mult"": 3.4456918032970374, ""bear_adx_thresh"": 25.17842838383251, ""bear_atr_max_pct"": 0.10405735165959688, ""bear_atr_min_pct"": 0.0023683935937801035, ""bear_bb_std_mult"": 0.7659451160643593, ""bear_rsi_ob"": 87, ""bear_rsi_os"": 48, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 222, ""bear_tp_mult"": 1.363089078801768, ""bear_tsl_mult"": 0.7875165847759872, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 25.33194617422363, ""bull_atr_max_pct"": 0.11164354449803698, ""bull_atr_min_pct"": 0.01898074167831523, ""bull_bb_std_mult"": 1.9837726767450539, ""bull_rsi_ob"": 79, ""bull_rsi_os"": 41, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 277, ""bull_tp_mult"": 2.7162124971761896, ""bull_tsl_mult"": 0.11755818852931543, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.2611255553670406, ""edge_k"": 1.450171879871197, ""ema1"": 27, ""ema2"": 19, ""p_adx"": 12, ""p_atr"": 30, ""p_sma"": 20, ""p_std"": 49, ""rsi_ob"": 67, ""rsi_os"": 19, ""rsi_period"": 13, ""rsi_required"": true, ""sideways_adx_thresh"": 20.03206601491022, ""sideways_atr_max_pct"": 0.08554199153239377, ""sideways_atr_min_pct"": 0.014545968000248674, ""sideways_bb_std_mult"": 2.508073687478126, ""sideways_rsi_ob"": 74, ""sideways_rsi_os"": 44, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 245, ""sideways_tp_mult"": 1.0116682172878932, ""sideways_tsl_mult"": 0.8571538164127812, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.07736265215606519, ""slip_spread_k"": 0.11409200765024097, ""spread_hl_frac"": 0.04082851859967497, ""strategy"": ""mean_reversion"", ""time_stop"": 52, ""tp_mult"": 1.0321812888432895, ""tsl_mult"": 0.053367704706624, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.13776482640077292}"
2,-0.016178823297850253,-0.0274989288966909,-0.016178823297850253,0.0274989288966909,-0.016178823297850253,-0.0274989288966909,608.0,breakout,1,"{""adx_thresh"": 15.085165442337484, ""atr_max_pct"": 0.09508709316749135, ""atr_min_pct"": 0.019728489776592223, ""bb_std_mult"": 2.2557302086119586, ""bear_adx_thresh"": 33.14927261803714, ""bear_atr_max_pct"": 0.0466684160918788, ""bear_atr_min_pct"": 0.0044695845004786815, ""bear_bb_std_mult"": 2.8181547951172425, ""bear_rsi_ob"": 77, ""bear_rsi_os"": 28, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 289, ""bear_tp_mult"": 1.731786024267785, ""bear_tsl_mult"": 0.6990996243556388, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 15.861730493403826, ""bull_atr_max_pct"": 0.09177817137675136, ""bull_atr_min_pct"": 0.007808496344315381, ""bull_bb_std_mult"": 3.4207436620226557, ""bull_rsi_ob"": 51, ""bull_rsi_os"": 50, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 14, ""bull_tp_mult"": 1.83915311499401, ""bull_tsl_mult"": 0.632912431851034, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.12890827678378527, ""edge_k"": 1.041573861375117, ""ema1"": 26, ""ema2"": 44, ""p_adx"": 12, ""p_atr"": 30, ""p_sma"": 19, ""p_std"": 20, ""rsi_ob"": 46, ""rsi_os"": 21, ""rsi_period"": 26, ""rsi_required"": true, ""sideways_adx_thresh"": 32.70043068958017, ""sideways_atr_max_pct"": 0.020232193969685355, ""sideways_atr_min_pct"": 0.004954647496241518, ""sideways_bb_std_mult"": 0.7828719511206732, ""sideways_rsi_ob"": 88, ""sideways_rsi_os"": 19, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 194, ""sideways_tp_mult"": 2.8907859917874146, ""sideways_tsl_mult"": 0.026845924811093047, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.022391226644081857, ""slip_spread_k"": 0.19043408665499728, ""spread_hl_frac"": 0.02498089683218524, ""strategy"": ""breakout"", ""time_stop"": 51, ""tp_mult"": 1.9694687931959662, ""tsl_mult"": 0.7886889918713497, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17781643501031064}"
3,-0.021811044055199957,-0.02456502161684183,-0.021811044055199957,0.02456502161684183,-0.021811044055199957,-0.02456502161684183,524.0,breakout,1,"{""adx_thresh"": 10.281845110186376, ""atr_max_pct"": 0.07729615997337592, ""atr_min_pct"": 0.0069193610374897645, ""bb_std_mult"": 2.67032457769781, ""bear_adx_thresh"": 8.793007392071303, ""bear_atr_max_pct"": 0.13426259947373234, ""bear_atr_min_pct"": 0.017449068718189423, ""bear_bb_std_mult"": 3.323093366926515, ""bear_rsi_ob"": 70, ""bear_rsi_os"": 8, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 25, ""bear_tp_mult"": 2.6596804217145404, ""bear_tsl_mult"": 0.8570921778479935, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 12.853563002217548, ""bull_atr_max_pct"": 0.14602591536504672, ""bull_atr_min_pct"": 0.019585336941766566, ""bull_bb_std_mult"": 2.056732634807581, ""bull_rsi_ob"": 82, ""bull_rsi_os"": 17, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 112, ""bull_tp_mult"": 2.388230855433783, ""bull_tsl_mult"": 0.0180471143058909, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9594250781509372, ""edge_k"": 0.905714699703529, ""ema1"": 18, ""ema2"": 10, ""p_adx"": 8, ""p_atr"": 17, ""p_sma"": 36, ""p_std"": 34, ""rsi_ob"": 58, ""rsi_os"": 29, ""rsi_period"": 52, ""rsi_required"": true, ""sideways_adx_thresh"": 32.08754263933705, ""sideways_atr_max_pct"": 0.056502116405526874, ""sideways_atr_min_pct"": 0.004451200140401807, ""sideways_bb_std_mult"": 2.8151609832239872, ""sideways_rsi_ob"": 65, ""sideways_rsi_os"": 47, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 81, ""sideways_tp_mult"": 2.172014891608568, ""sideways_tsl_mult"": 0.22610042069241898, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.025869572682061803, ""slip_spread_k"": 0.06673121854084929, ""spread_hl_frac"": 0.015119483615269403, ""strategy"": ""breakout"", ""time_stop"": 120, ""tp_mult"": 2.587834745463956, ""tsl_mult"": 0.2088020107404268, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.029074971988882835}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 31.756205194559442, ""atr_max_pct"": 0.10979938687587136, ""atr_min_pct"": 0.029053765117870646, ""bb_std_mult"": 3.379619562134521, ""bear_adx_thresh"": 26.67063095078231, ""bear_atr_max_pct"": 0.09861292112074567, ""bear_atr_min_pct"": 0.017084763671112092, ""bear_bb_std_mult"": 1.0056327197119155, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 36, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 44, ""bear_tp_mult"": 2.155216859486726, ""bear_tsl_mult"": 0.7360814452498354, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 8.27632536406134, ""bull_atr_max_pct"": 0.05070905940163194, ""bull_atr_min_pct"": 0.009112836616892352, ""bull_bb_std_mult"": 1.9856660001160238, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 26, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 108, ""bull_tp_mult"": 1.2103112261979445, ""bull_tsl_mult"": 0.8792982702031547, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.3775703272654255, ""edge_k"": 0.9469405519816294, ""ema1"": 13, ""ema2"": 26, ""p_adx"": 27, ""p_atr"": 19, ""p_sma"": 20, ""p_std"": 17, ""rsi_ob"": 88, ""rsi_os"": 55, ""rsi_period"": 19, ""rsi_required"": false, ""sideways_adx_thresh"": 33.93214947507305, ""sideways_atr_max_pct"": 0.11343963517230449, ""sideways_atr_min_pct"": 0.02632889945473905, ""sideways_bb_std_mult"": 0.7264787534890575, ""sideways_rsi_ob"": 65, ""sideways_rsi_os"": 48, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 20, ""sideways_tp_mult"": 1.8880673265597265, ""sideways_tsl_mult"": 0.026772873021883914, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.025957628493949503, ""slip_spread_k"": 0.5415053427690572, ""spread_hl_frac"": 0.003991452800812245, ""strategy"": ""mean_reversion"", ""time_stop"": 244, ""tp_mult"": 1.6477801641082959, ""tsl_mult"": 0.39842518005676353, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05571339740973913}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.281092598735704, ""atr_max_pct"": 0.05962579906988826, ""atr_min_pct"": 0.023363361147418635, ""bb_std_mult"": 0.6754998412663038, ""bear_adx_thresh"": 6.813010653730012, ""bear_atr_max_pct"": 0.14519047802485627, ""bear_atr_min_pct"": 0.009208461819460431, ""bear_bb_std_mult"": 3.4984313885108573, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 33, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 63, ""bear_tp_mult"": 1.3861027564205923, ""bear_tsl_mult"": 0.7665140743669429, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 32.56228331471626, ""bull_atr_max_pct"": 0.09941245940598713, ""bull_atr_min_pct"": 0.00577448821385077, ""bull_bb_std_mult"": 1.682403978556223, ""bull_rsi_ob"": 62, ""bull_rsi_os"": 30, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 133, ""bull_tp_mult"": 2.6552766579815756, ""bull_tsl_mult"": 0.27754311546843113, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.10164311842554241, ""edge_k"": 0.9848333702110179, ""ema1"": 28, ""ema2"": 48, ""p_adx"": 7, ""p_atr"": 17, ""p_sma"": 21, ""p_std"": 38, ""rsi_ob"": 48, ""rsi_os"": 52, ""rsi_period"": 49, ""rsi_required"": true, ""sideways_adx_thresh"": 21.18070106588632, ""sideways_atr_max_pct"": 0.1002827682783633, ""sideways_atr_min_pct"": 0.022599220164953474, ""sideways_bb_std_mult"": 1.2208492933925779, ""sideways_rsi_ob"": 81, ""sideways_rsi_os"": 21, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 257, ""sideways_tp_mult"": 1.4466513741659, ""sideways_tsl_mult"": 0.3277559140685854, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.012241513233241436, ""slip_spread_k"": 0.8416410861705619, ""spread_hl_frac"": 0.00912773212553415, ""strategy"": ""mean_reversion"", ""time_stop"": 248, ""tp_mult"": 2.7982789696482406, ""tsl_mult"": 0.44925200635630713, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07185961361407432}"
6,-0.042174448477449555,-0.04188160940417799,-1000000000.0,0.04188160940417799,-0.042174448477449555,-0.04188160940417799,425.0,breakout,1,"{""adx_thresh"": 19.294513881424056, ""atr_max_pct"": 0.13476154078710606, ""atr_min_pct"": 0.004952255293363517, ""bb_std_mult"": 2.0382676699488393, ""bear_adx_thresh"": 24.88226315016242, ""bear_atr_max_pct"": 0.10778963368931331, ""bear_atr_min_pct"": 0.02680533694259198, ""bear_bb_std_mult"": 2.054686368531373, ""bear_rsi_ob"": 76, ""bear_rsi_os"": 45, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 272, ""bear_tp_mult"": 1.4321713328331842, ""bear_tsl_mult"": 0.11883886638083518, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 8.471836931418693, ""bull_atr_max_pct"": 0.05859570443095231, ""bull_atr_min_pct"": 0.001243811567048807, ""bull_bb_std_mult"": 2.2090318911897593, ""bull_rsi_ob"": 75, ""bull_rsi_os"": 25, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 226, ""bull_tp_mult"": 2.536574923229534, ""bull_tsl_mult"": 0.8733766514196721, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8472266959484339, ""edge_k"": 1.6074491151466772, ""ema1"": 24, ""ema2"": 55, ""p_adx"": 15, ""p_atr"": 30, ""p_sma"": 58, ""p_std"": 45, ""rsi_ob"": 87, ""rsi_os"": 38, ""rsi_period"": 47, ""rsi_required"": false, ""sideways_adx_thresh"": 24.692590329338874, ""sideways_atr_max_pct"": 0.013834830327891016, ""sideways_atr_min_pct"": 0.027290826498449876, ""sideways_bb_std_mult"": 2.2986141450020834, ""sideways_rsi_ob"": 95, ""sideways_rsi_os"": 27, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 88, ""sideways_tp_mult"": 1.0524798976385765, ""sideways_tsl_mult"": 0.7117397102132592, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1288501893182011, ""slip_spread_k"": 0.7831208124798748, ""spread_hl_frac"": 0.01758540340866028, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 2.02706453745634, ""tsl_mult"": 0.08867691334162864, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.22709769915113523}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 34.61414389921332, ""atr_max_pct"": 0.12477520677513652, ""atr_min_pct"": 0.026517721817913203, ""bb_std_mult"": 2.450641229796373, ""bear_adx_thresh"": 6.502374911274067, ""bear_atr_max_pct"": 0.06675268105457136, ""bear_atr_min_pct"": 0.0036526575599885734, ""bear_bb_std_mult"": 0.7966171724002579, ""bear_rsi_ob"": 89, ""bear_rsi_os"": 11, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 252, ""bear_tp_mult"": 1.3034457697531623, ""bear_tsl_mult"": 0.25508744418215024, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 32.71065940549956, ""bull_atr_max_pct"": 0.016089010112276637, ""bull_atr_min_pct"": 0.0008860973231254976, ""bull_bb_std_mult"": 0.8538962925007343, ""bull_rsi_ob"": 75, ""bull_rsi_os"": 43, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 213, ""bull_tp_mult"": 2.0680565451428885, ""bull_tsl_mult"": 0.17378935482327995, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.6499555547272884, ""edge_k"": 0.7204622623110217, ""ema1"": 22, ""ema2"": 57, ""p_adx"": 9, ""p_atr"": 21, ""p_sma"": 41, ""p_std"": 29, ""rsi_ob"": 48, ""rsi_os"": 15, ""rsi_period"": 38, ""rsi_required"": false, ""sideways_adx_thresh"": 6.344257724936427, ""sideways_atr_max_pct"": 0.12240907028004097, ""sideways_atr_min_pct"": 0.02148782322276144, ""sideways_bb_std_mult"": 0.8024811704996457, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 15, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 79, ""sideways_tp_mult"": 2.2423547901648764, ""sideways_tsl_mult"": 0.6219468758658827, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.2003294934466979, ""slip_spread_k"": 0.9521454036898644, ""spread_hl_frac"": 0.013881456377714941, ""strategy"": ""mean_reversion"", ""time_stop"": 45, ""tp_mult"": 2.583253291167641, ""tsl_mult"": 0.46044227378224944, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.10353509935870311}"
8,-0.03536730413365008,-0.03639468279188264,-1000000000.0,0.03639468279188264,-0.03536730413365008,-0.03639468279188264,405.0,breakout,1,"{""adx_thresh"": 7.619951722873871, ""atr_max_pct"": 0.024191185033592726, ""atr_min_pct"": 0.02182872017755477, ""bb_std_mult"": 3.1520652885778326, ""bear_adx_thresh"": 7.654640333628036, ""bear_atr_max_pct"": 0.14367016508682515, ""bear_atr_min_pct"": 0.0011824467714905294, ""bear_bb_std_mult"": 1.819795031395272, ""bear_rsi_ob"": 65, ""bear_rsi_os"": 41, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 123, ""bear_tp_mult"": 1.5507300743024461, ""bear_tsl_mult"": 0.2706511722144803, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 30.260771160622102, ""bull_atr_max_pct"": 0.031090491214270773, ""bull_atr_min_pct"": 0.007241373595742344, ""bull_bb_std_mult"": 3.289458475278249, ""bull_rsi_ob"": 85, ""bull_rsi_os"": 55, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 176, ""bull_tp_mult"": 1.5223962601769834, ""bull_tsl_mult"": 0.9860176749083953, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.871017583910224, ""edge_k"": 1.8628670571012877, ""ema1"": 12, ""ema2"": 31, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 33, ""p_std"": 60, ""rsi_ob"": 61, ""rsi_os"": 14, ""rsi_period"": 11, ""rsi_required"": true, ""sideways_adx_thresh"": 25.250453012584934, ""sideways_atr_max_pct"": 0.027535904880013586, ""sideways_atr_min_pct"": 0.021973980055216526, ""sideways_bb_std_mult"": 3.2071215433297686, ""sideways_rsi_ob"": 47, ""sideways_rsi_os"": 21, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 297, ""sideways_tp_mult"": 1.558983058332959, ""sideways_tsl_mult"": 0.9388489428567689, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.14252170842906714, ""slip_spread_k"": 0.506060813737311, ""spread_hl_frac"": 0.03221173884122964, ""strategy"": ""breakout"", ""time_stop"": 288, ""tp_mult"": 1.8631675305212787, ""tsl_mult"": 0.7736829845169457, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08477527732444613}"
9,0.0005214514381497448,-0.015302440549912841,0.0005214514381497448,0.015302440549912841,0.0005214514381497448,-0.015302440549912841,504.0,breakout,1,"{""adx_thresh"": 24.66776256714531, ""atr_max_pct"": 0.018064529520770752, ""atr_min_pct"": 0.00014081854166830387, ""bb_std_mult"": 1.5983871108005763, ""bear_adx_thresh"": 14.746310383592037, ""bear_atr_max_pct"": 0.11471470926294494, ""bear_atr_min_pct"": 0.020652733657116746, ""bear_bb_std_mult"": 0.6224162463056667, ""bear_rsi_ob"": 86, ""bear_rsi_os"": 24, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 39, ""bear_tp_mult"": 2.8008347268628806, ""bear_tsl_mult"": 0.24065073918181745, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.17048527993729, ""bull_atr_max_pct"": 0.010660265486061027, ""bull_atr_min_pct"": 0.012480799963306224, ""bull_bb_std_mult"": 1.3708527876116403, ""bull_rsi_ob"": 67, ""bull_rsi_os"": 14, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 30, ""bull_tp_mult"": 2.4070762641228445, ""bull_tsl_mult"": 0.8198047610825887, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.36255556576815684, ""edge_k"": 1.1792804142444397, ""ema1"": 24, ""ema2"": 29, ""p_adx"": 15, ""p_atr"": 24, ""p_sma"": 13, ""p_std"": 34, ""rsi_ob"": 92, ""rsi_os"": 38, ""rsi_period"": 30, ""rsi_required"": false, ""sideways_adx_thresh"": 19.848520117698925, ""sideways_atr_max_pct"": 0.07843287758002111, ""sideways_atr_min_pct"": 0.017828205890645238, ""sideways_bb_std_mult"": 1.3909614207208516, ""sideways_rsi_ob"": 72, ""sideways_rsi_os"": 12, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 39, ""sideways_tp_mult"": 2.8117967026532518, ""sideways_tsl_mult"": 0.42736863836461414, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.008935328059464731, ""slip_spread_k"": 0.3367362239892777, ""spread_hl_frac"": 0.0015512693361309227, ""strategy"": ""breakout"", ""time_stop"": 255, ""tp_mult"": 2.782455225687586, ""tsl_mult"": 0.9663536131425845, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12680159373783828}"
