month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,2,1,1,50.0,-3.8928437999991243,-1.9464218999995622,-1.9464218999995622,-3.8928437999991243
2020-01-31,12,2,10,16.67,-13.653599960000026,-1.1377999966666688,-0.4100478650000132,-17.54644375999915
2020-02-29,10,4,6,40.0,13.222614600002435,1.3222614600002436,-0.064880930000008,-4.3238291599967145
2020-03-31,21,9,12,42.86,69.25973513000056,3.298082625238122,-0.2693927400000115,64.93590597000384
2020-04-30,8,1,7,12.5,-4.2249310800008475,-0.5281163850001059,-0.6408668900000071,60.710974890002994
2020-05-31,8,3,5,37.5,64.78741227999919,8.098426534999899,-0.9507733799999795,125.49838717000219
2020-06-30,14,1,13,7.14,-42.44755772000023,-3.031968408571445,-1.9142846450002553,83.05082945000196
2020-07-31,9,3,6,33.33,-4.2302126100003985,-0.4700236233333776,-0.1765492700000117,78.82061684000156
2020-08-31,9,1,8,11.11,-25.255541680000118,-2.806171297777791,-2.186640959999885,53.56507516000144
2020-09-30,20,13,7,65.0,66.90768300999594,3.3453841504997968,1.626785999999646,120.47275816999738
2020-10-31,10,4,6,40.0,-6.591225360000184,-0.6591225360000184,-0.6937415099999776,113.8815328099972
2020-11-30,7,3,4,42.86,7.57224467000045,1.0817492385714929,-0.8568980099999028,121.45377747999764
