number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0006971920178493463,-0.014367503599290371,0.0006971920178493463,0.014367503599290371,0.0006971920178493463,-0.014367503599290371,490.0,mean_reversion,1,"{""adx_thresh"": 12.667384841771545, ""atr_max_pct"": 0.1282383654756274, ""atr_min_pct"": 0.027799588152692893, ""bb_std_mult"": 2.283672321375368, ""edge_cap"": 0.3967720211970144, ""edge_k"": 1.9884602125384903, ""ema1"": 27, ""ema2"": 47, ""p_adx"": 20, ""p_atr"": 16, ""p_sma"": 27, ""p_std"": 39, ""rsi_ob"": 82, ""rsi_os"": 15, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.08331826839970141, ""slip_spread_k"": 0.12396630773459805, ""spread_hl_frac"": 0.0465202294234712, ""strategy"": ""mean_reversion"", ""time_stop"": 217, ""tp_mult"": 2.0230179237714605, ""tsl_mult"": 0.049314696119276746, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.14115625515060842}"
1,-0.0701930723269999,-0.07042119605313243,-1000000000.0,0.07042119605313243,-0.0701930723269999,-0.07042119605313243,403.0,breakout,1,"{""adx_thresh"": 16.495610543948235, ""atr_max_pct"": 0.029272376275581484, ""atr_min_pct"": 0.008268836312257288, ""bb_std_mult"": 3.2072630235428945, ""edge_cap"": 0.8453440312897946, ""edge_k"": 0.7156520401326429, ""ema1"": 13, ""ema2"": 52, ""p_adx"": 27, ""p_atr"": 11, ""p_sma"": 28, ""p_std"": 54, ""rsi_ob"": 79, ""rsi_os"": 38, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.23919046895842752, ""slip_spread_k"": 0.5061806343014821, ""spread_hl_frac"": 0.0065648075338492545, ""strategy"": ""breakout"", ""time_stop"": 196, ""tp_mult"": 2.9975172517904074, ""tsl_mult"": 0.0016935808133410335, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03705972662313227}"
2,-0.05865737360345025,-0.06163396620231105,-1000000000.0,0.06163396620231105,-0.05865737360345025,-0.06163396620231105,531.0,breakout,1,"{""adx_thresh"": 8.126825772095202, ""atr_max_pct"": 0.03900557592008685, ""atr_min_pct"": 0.02537849553676267, ""bb_std_mult"": 3.595234630714036, ""edge_cap"": 0.861072908959271, ""edge_k"": 1.7842965021852004, ""ema1"": 14, ""ema2"": 47, ""p_adx"": 7, ""p_atr"": 9, ""p_sma"": 47, ""p_std"": 8, ""rsi_ob"": 75, ""rsi_os"": 30, ""rsi_period"": 62, ""rsi_required"": false, ""slip_atr_k"": 0.17296260471363276, ""slip_spread_k"": 0.8765605580540802, ""spread_hl_frac"": 0.021263724859553263, ""strategy"": ""breakout"", ""time_stop"": 186, ""tp_mult"": 1.2621067997249713, ""tsl_mult"": 0.057905121048359764, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1335249314938221}"
3,-0.013547323096950059,-0.021263215716410797,-0.013547323096950059,0.021263215716410797,-0.013547323096950059,-0.021263215716410797,471.0,breakout,1,"{""adx_thresh"": 23.7307503090317, ""atr_max_pct"": 0.07898045114026077, ""atr_min_pct"": 0.016372518249430486, ""bb_std_mult"": 3.3569397217068593, ""edge_cap"": 0.2939064637839075, ""edge_k"": 1.7128245682481211, ""ema1"": 14, ""ema2"": 32, ""p_adx"": 12, ""p_atr"": 15, ""p_sma"": 46, ""p_std"": 52, ""rsi_ob"": 68, ""rsi_os"": 37, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.11282571497154484, ""slip_spread_k"": 0.9667718115762354, ""spread_hl_frac"": 0.002602265119269426, ""strategy"": ""breakout"", ""time_stop"": 274, ""tp_mult"": 1.9066353226328094, ""tsl_mult"": 0.4169916192896346, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15768745439574738}"
4,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 18.522003454332577, ""atr_max_pct"": 0.02547156973523432, ""atr_min_pct"": 0.02659099931464671, ""bb_std_mult"": 2.069141902803323, ""edge_cap"": 0.5931424041493469, ""edge_k"": 1.135032123743795, ""ema1"": 30, ""ema2"": 34, ""p_adx"": 30, ""p_atr"": 9, ""p_sma"": 35, ""p_std"": 6, ""rsi_ob"": 70, ""rsi_os"": 39, ""rsi_period"": 62, ""rsi_required"": true, ""slip_atr_k"": 0.22310981116375656, ""slip_spread_k"": 0.7170995817384147, ""spread_hl_frac"": 0.04612590090997347, ""strategy"": ""breakout"", ""time_stop"": 93, ""tp_mult"": 1.56432406269795, ""tsl_mult"": 0.9263588387116463, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1417970206958349}"
5,-0.016806924274850088,-0.020388247312977816,-0.016806924274850088,0.020388247312977816,-0.016806924274850088,-0.020388247312977816,284.0,mean_reversion,1,"{""adx_thresh"": 28.69558421245658, ""atr_max_pct"": 0.1266714410790199, ""atr_min_pct"": 0.018214950650208193, ""bb_std_mult"": 2.9711447879228916, ""edge_cap"": 0.5651930916715554, ""edge_k"": 1.2122609928222643, ""ema1"": 17, ""ema2"": 45, ""p_adx"": 30, ""p_atr"": 16, ""p_sma"": 8, ""p_std"": 56, ""rsi_ob"": 81, ""rsi_os"": 38, ""rsi_period"": 28, ""rsi_required"": true, ""slip_atr_k"": 0.21305568598514818, ""slip_spread_k"": 0.11493828818702012, ""spread_hl_frac"": 0.02204984195479854, ""strategy"": ""mean_reversion"", ""time_stop"": 98, ""tp_mult"": 1.8098966000805488, ""tsl_mult"": 0.13887133556373177, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08044054395561075}"
6,-0.06083837037855011,-0.06371457407802629,-1000000000.0,0.06371457407802629,-0.06083837037855011,-0.06371457407802629,492.0,mean_reversion,1,"{""adx_thresh"": 18.567528863606487, ""atr_max_pct"": 0.13114257406034782, ""atr_min_pct"": 0.016640345335107956, ""bb_std_mult"": 2.0414379005306746, ""edge_cap"": 0.7785977907365464, ""edge_k"": 1.7753246690226205, ""ema1"": 16, ""ema2"": 27, ""p_adx"": 30, ""p_atr"": 11, ""p_sma"": 43, ""p_std"": 28, ""rsi_ob"": 90, ""rsi_os"": 12, ""rsi_period"": 52, ""rsi_required"": true, ""slip_atr_k"": 0.17651716807808943, ""slip_spread_k"": 0.6033615656664953, ""spread_hl_frac"": 0.03369881507188504, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 2.1345227476246165, ""tsl_mult"": 0.5817373401629541, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18015626877847352}"
7,-0.056802547874849396,-0.05948495850690076,-1000000000.0,0.05948495850690076,-0.056802547874849396,-0.05948495850690076,406.0,mean_reversion,1,"{""adx_thresh"": 21.972972336370493, ""atr_max_pct"": 0.10755236156026937, ""atr_min_pct"": 0.029169217319167447, ""bb_std_mult"": 3.370162186676921, ""edge_cap"": 0.16779107750341019, ""edge_k"": 0.6582899156174546, ""ema1"": 17, ""ema2"": 27, ""p_adx"": 11, ""p_atr"": 20, ""p_sma"": 24, ""p_std"": 52, ""rsi_ob"": 75, ""rsi_os"": 17, ""rsi_period"": 71, ""rsi_required"": false, ""slip_atr_k"": 0.231969328927625, ""slip_spread_k"": 0.923155062287295, ""spread_hl_frac"": 0.013151566161087869, ""strategy"": ""mean_reversion"", ""time_stop"": 261, ""tp_mult"": 2.1658882673682025, ""tsl_mult"": 0.6471909881203892, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2378446231062517}"
8,0.02399507769365017,-0.015069443407332982,0.02399507769365017,0.015069443407332982,0.02399507769365017,-0.015069443407332982,530.0,breakout,1,"{""adx_thresh"": 21.77511271334534, ""atr_max_pct"": 0.023512330816986195, ""atr_min_pct"": 0.006516634536167818, ""bb_std_mult"": 1.744567895867162, ""edge_cap"": 0.8183367413858008, ""edge_k"": 1.5449631648766264, ""ema1"": 14, ""ema2"": 54, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 38, ""p_std"": 35, ""rsi_ob"": 68, ""rsi_os"": 16, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.056326189289725465, ""slip_spread_k"": 0.3057392323070096, ""spread_hl_frac"": 0.016266819787203474, ""strategy"": ""breakout"", ""time_stop"": 71, ""tp_mult"": 2.308324734993378, ""tsl_mult"": 0.9042923911979582, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15886295738807132}"
9,-0.04388366586034953,-0.0505415030981248,-1000000000.0,0.0505415030981248,-0.04388366586034953,-0.0505415030981248,540.0,breakout,1,"{""adx_thresh"": 28.350408510583673, ""atr_max_pct"": 0.14283361939681538, ""atr_min_pct"": 0.02185192644374723, ""bb_std_mult"": 3.317350038410403, ""edge_cap"": 0.6285666914158073, ""edge_k"": 0.7990324173973464, ""ema1"": 18, ""ema2"": 11, ""p_adx"": 26, ""p_atr"": 25, ""p_sma"": 60, ""p_std"": 9, ""rsi_ob"": 48, ""rsi_os"": 15, ""rsi_period"": 51, ""rsi_required"": true, ""slip_atr_k"": 0.16009633092643016, ""slip_spread_k"": 0.8280485625304201, ""spread_hl_frac"": 0.01046274690783024, ""strategy"": ""breakout"", ""time_stop"": 273, ""tp_mult"": 1.97091469073865, ""tsl_mult"": 0.9120582238211349, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08318424568221167}"
