number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.05145736940529966,-0.05170438057839471,-1000000000.0,0.05170438057839471,-0.05145736940529966,-0.05170438057839471,526.0,breakout,1,"{""adx_thresh"": 15.400514928659849, ""atr_max_pct"": 0.12096198700254931, ""atr_min_pct"": 0.024444381304396464, ""bb_std_mult"": 2.6157914220695058, ""edge_cap"": 0.6419110448231015, ""edge_k"": 1.2453338187737355, ""ema1"": 6, ""ema2"": 15, ""p_adx"": 15, ""p_atr"": 20, ""p_sma"": 33, ""p_std"": 14, ""rsi_ob"": 61, ""rsi_os"": 42, ""rsi_period"": 31, ""rsi_required"": false, ""slip_atr_k"": 0.14063993948906275, ""slip_spread_k"": 0.39379158628618716, ""spread_hl_frac"": 0.04357373265966548, ""strategy"": ""breakout"", ""time_stop"": 104, ""tp_mult"": 2.929134871504498, ""tsl_mult"": 0.8647831335988111, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.011903667474642332}"
1,-0.0804085906973998,-0.08214976672435839,-1000000000.0,0.08214976672435839,-0.0804085906973998,-0.08214976672435839,508.0,mean_reversion,1,"{""adx_thresh"": 20.55273911653763, ""atr_max_pct"": 0.10817282221491378, ""atr_min_pct"": 0.0067640704001690685, ""bb_std_mult"": 2.562784902541741, ""edge_cap"": 0.4236463006185779, ""edge_k"": 0.07817218690283156, ""ema1"": 7, ""ema2"": 49, ""p_adx"": 18, ""p_atr"": 12, ""p_sma"": 32, ""p_std"": 11, ""rsi_ob"": 69, ""rsi_os"": 25, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.22178053362274924, ""slip_spread_k"": 0.6400659792260822, ""spread_hl_frac"": 0.04215050398635273, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 2.5489976673375723, ""tsl_mult"": 0.9062858375445926, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.059682037342635615}"
2,-0.05061301182950051,-0.052345936777604636,-1000000000.0,0.052345936777604636,-0.05061301182950051,-0.052345936777604636,509.0,breakout,1,"{""adx_thresh"": 33.936795091355236, ""atr_max_pct"": 0.08208204878676047, ""atr_min_pct"": 0.00928007087418593, ""bb_std_mult"": 0.8331830873424052, ""edge_cap"": 0.34193039390193997, ""edge_k"": 1.3620375476313875, ""ema1"": 10, ""ema2"": 57, ""p_adx"": 29, ""p_atr"": 15, ""p_sma"": 54, ""p_std"": 24, ""rsi_ob"": 92, ""rsi_os"": 36, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.16398602651299132, ""slip_spread_k"": 0.42002892748232457, ""spread_hl_frac"": 0.030266491481281063, ""strategy"": ""breakout"", ""time_stop"": 136, ""tp_mult"": 1.817109605421336, ""tsl_mult"": 0.18392524066109373, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20760619175899167}"
3,0.0239475269396503,-0.010232739869035067,0.0239475269396503,0.010232739869035067,0.0239475269396503,-0.010232739869035067,547.0,breakout,1,"{""adx_thresh"": 31.72671736734981, ""atr_max_pct"": 0.029211103597110887, ""atr_min_pct"": 0.028306212267496536, ""bb_std_mult"": 0.6618899021154072, ""edge_cap"": 0.4998463524356881, ""edge_k"": 0.36490633482951607, ""ema1"": 9, ""ema2"": 18, ""p_adx"": 14, ""p_atr"": 22, ""p_sma"": 40, ""p_std"": 37, ""rsi_ob"": 79, ""rsi_os"": 53, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.0015926727831733767, ""slip_spread_k"": 0.7118849301901453, ""spread_hl_frac"": 0.005191075171454219, ""strategy"": ""breakout"", ""time_stop"": 120, ""tp_mult"": 1.2699382846057274, ""tsl_mult"": 0.31975417920981086, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07538108039109698}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 24.69404599106475, ""atr_max_pct"": 0.03474089838512255, ""atr_min_pct"": 0.017775774076480837, ""bb_std_mult"": 1.3676103434761706, ""edge_cap"": 0.9757796860202458, ""edge_k"": 1.8457237729855926, ""ema1"": 27, ""ema2"": 47, ""p_adx"": 23, ""p_atr"": 29, ""p_sma"": 33, ""p_std"": 60, ""rsi_ob"": 77, ""rsi_os"": 53, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.050574105865759694, ""slip_spread_k"": 0.7227357080261148, ""spread_hl_frac"": 0.03027827574276781, ""strategy"": ""mean_reversion"", ""time_stop"": 132, ""tp_mult"": 1.8095784043913394, ""tsl_mult"": 0.7151305796141216, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.201954639342549}"
5,-0.0582119455596497,-0.05871756997857499,-1000000000.0,0.05871756997857499,-0.0582119455596497,-0.05871756997857499,414.0,mean_reversion,1,"{""adx_thresh"": 34.16737477607029, ""atr_max_pct"": 0.08450715788275569, ""atr_min_pct"": 0.014781497349402836, ""bb_std_mult"": 2.365485703785252, ""edge_cap"": 0.6941183647534552, ""edge_k"": 0.863301599914742, ""ema1"": 16, ""ema2"": 44, ""p_adx"": 25, ""p_atr"": 16, ""p_sma"": 43, ""p_std"": 60, ""rsi_ob"": 60, ""rsi_os"": 19, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.20416163874220947, ""slip_spread_k"": 0.8433319791350292, ""spread_hl_frac"": 0.013648559631259168, ""strategy"": ""mean_reversion"", ""time_stop"": 215, ""tp_mult"": 2.727171627179364, ""tsl_mult"": 0.2912952937430683, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.01992982770573175}"
6,-0.0342559220847497,-0.039687568402266594,-0.0342559220847497,0.039687568402266594,-0.0342559220847497,-0.039687568402266594,399.0,breakout,1,"{""adx_thresh"": 22.574286510820503, ""atr_max_pct"": 0.046333340519361735, ""atr_min_pct"": 0.01193560671019464, ""bb_std_mult"": 1.4008359255031901, ""edge_cap"": 0.0765541310347105, ""edge_k"": 1.7903593813880014, ""ema1"": 20, ""ema2"": 29, ""p_adx"": 20, ""p_atr"": 28, ""p_sma"": 14, ""p_std"": 51, ""rsi_ob"": 85, ""rsi_os"": 33, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.19707297661052064, ""slip_spread_k"": 0.8533314024789778, ""spread_hl_frac"": 0.011944127429904167, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 2.022157240963953, ""tsl_mult"": 0.43625653545561294, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08911801654039102}"
7,-0.09030556137449985,-0.0902655967898369,-1000000000.0,0.0902655967898369,-0.09030556137449985,-0.0902655967898369,539.0,breakout,1,"{""adx_thresh"": 32.411966370385656, ""atr_max_pct"": 0.12378405584457712, ""atr_min_pct"": 0.004658121242877181, ""bb_std_mult"": 0.723275779520991, ""edge_cap"": 0.9886748848183605, ""edge_k"": 1.7705729071214247, ""ema1"": 6, ""ema2"": 29, ""p_adx"": 29, ""p_atr"": 16, ""p_sma"": 17, ""p_std"": 11, ""rsi_ob"": 77, ""rsi_os"": 8, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.24716654416547082, ""slip_spread_k"": 0.5270431005789862, ""spread_hl_frac"": 0.008987761490634466, ""strategy"": ""breakout"", ""time_stop"": 282, ""tp_mult"": 1.697608083696974, ""tsl_mult"": 0.12074581357328973, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2551713051149954}"
8,-0.00021939969389950242,-0.01568835879645535,-0.00021939969389950242,0.01568835879645535,-0.00021939969389950242,-0.01568835879645535,582.0,breakout,1,"{""adx_thresh"": 31.84788030451938, ""atr_max_pct"": 0.0352148516973163, ""atr_min_pct"": 0.015809567698162066, ""bb_std_mult"": 2.7493950722308704, ""edge_cap"": 0.8655167562100003, ""edge_k"": 0.8220743616323156, ""ema1"": 11, ""ema2"": 19, ""p_adx"": 14, ""p_atr"": 17, ""p_sma"": 32, ""p_std"": 16, ""rsi_ob"": 85, ""rsi_os"": 45, ""rsi_period"": 69, ""rsi_required"": false, ""slip_atr_k"": 0.030254882249010406, ""slip_spread_k"": 0.6970796386384817, ""spread_hl_frac"": 0.028822800851713445, ""strategy"": ""breakout"", ""time_stop"": 255, ""tp_mult"": 1.2441181448710215, ""tsl_mult"": 0.8950507953791037, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17144615571629832}"
9,-0.05507185498190015,-0.05528342478699645,-1000000000.0,0.05528342478699645,-0.05507185498190015,-0.05528342478699645,495.0,mean_reversion,1,"{""adx_thresh"": 26.909752797981675, ""atr_max_pct"": 0.08396814269510032, ""atr_min_pct"": 0.018925358045207147, ""bb_std_mult"": 1.5318926223836462, ""edge_cap"": 0.3197114111931027, ""edge_k"": 0.0995476788712999, ""ema1"": 23, ""ema2"": 18, ""p_adx"": 22, ""p_atr"": 7, ""p_sma"": 46, ""p_std"": 13, ""rsi_ob"": 61, ""rsi_os"": 43, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.18397866068592097, ""slip_spread_k"": 0.14405030578143918, ""spread_hl_frac"": 0.04846068118860029, ""strategy"": ""mean_reversion"", ""time_stop"": 156, ""tp_mult"": 1.1378191497427075, ""tsl_mult"": 0.48669655288523617, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29531395913692066}"
