number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0582203430060495,-0.05762818536028786,-1000000000.0,0.05762818536028786,-0.0582203430060495,-0.05762818536028786,427.0,breakout,1,"{""adx_thresh"": 17.63042668996545, ""atr_max_pct"": 0.03166734162682727, ""atr_min_pct"": 0.011620857077667662, ""bb_std_mult"": 0.5969156613846549, ""edge_cap"": 0.33139547217387944, ""edge_k"": 0.5399717207994474, ""ema1"": 5, ""ema2"": 23, ""p_adx"": 9, ""p_atr"": 24, ""p_sma"": 13, ""p_std"": 41, ""rsi_ob"": 93, ""rsi_os"": 7, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.23434634512377342, ""slip_spread_k"": 0.7067279807404705, ""spread_hl_frac"": 0.04167482160007663, ""strategy"": ""breakout"", ""time_stop"": 49, ""tp_mult"": 2.5601656678395384, ""tsl_mult"": 0.7803267504604471, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10828767475508481}"
1,-0.06192629889530055,-0.062388368516222495,-1000000000.0,0.062388368516222495,-0.06192629889530055,-0.062388368516222495,470.0,breakout,1,"{""adx_thresh"": 20.438668548993466, ""atr_max_pct"": 0.09191425066278225, ""atr_min_pct"": 0.012071880000582333, ""bb_std_mult"": 2.1679149608596773, ""edge_cap"": 0.34667069415782065, ""edge_k"": 1.4745224495642035, ""ema1"": 26, ""ema2"": 21, ""p_adx"": 21, ""p_atr"": 30, ""p_sma"": 41, ""p_std"": 27, ""rsi_ob"": 52, ""rsi_os"": 49, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.22993053958117934, ""slip_spread_k"": 0.9702990989066957, ""spread_hl_frac"": 0.01734270542798297, ""strategy"": ""breakout"", ""time_stop"": 59, ""tp_mult"": 2.1643213824751406, ""tsl_mult"": 0.7989546380724856, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18397450837982673}"
2,-0.02826257894770079,-0.028286933932869237,-0.02826257894770079,0.028286933932869237,-0.02826257894770079,-0.028286933932869237,425.0,breakout,1,"{""adx_thresh"": 28.986765390450284, ""atr_max_pct"": 0.13765219159824305, ""atr_min_pct"": 0.013459296445204374, ""bb_std_mult"": 1.2880718186437234, ""edge_cap"": 0.4376788379596847, ""edge_k"": 0.9730256282152823, ""ema1"": 12, ""ema2"": 26, ""p_adx"": 12, ""p_atr"": 27, ""p_sma"": 29, ""p_std"": 54, ""rsi_ob"": 75, ""rsi_os"": 7, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.15323871218727686, ""slip_spread_k"": 0.048535200948964574, ""spread_hl_frac"": 0.0018764447343835756, ""strategy"": ""breakout"", ""time_stop"": 90, ""tp_mult"": 2.7926116828277405, ""tsl_mult"": 0.8774300277164083, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2921329266969837}"
3,-0.03756587871684991,-0.038077951189350506,-1000000000.0,0.038077951189350506,-0.03756587871684991,-0.038077951189350506,470.0,mean_reversion,1,"{""adx_thresh"": 11.309887556608974, ""atr_max_pct"": 0.051739878476019484, ""atr_min_pct"": 0.004299226244498046, ""bb_std_mult"": 2.71020344045285, ""edge_cap"": 0.6305658675825679, ""edge_k"": 1.5556872780552529, ""ema1"": 22, ""ema2"": 52, ""p_adx"": 29, ""p_atr"": 14, ""p_sma"": 42, ""p_std"": 41, ""rsi_ob"": 63, ""rsi_os"": 36, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.1375695559902667, ""slip_spread_k"": 0.9065799957059228, ""spread_hl_frac"": 0.028894164668965605, ""strategy"": ""mean_reversion"", ""time_stop"": 59, ""tp_mult"": 1.1519645256115978, ""tsl_mult"": 0.4781328328575766, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1949413663661204}"
4,-0.04386960905279991,-0.0433342534070665,-1000000000.0,0.0433342534070665,-0.04386960905279991,-0.0433342534070665,339.0,mean_reversion,1,"{""adx_thresh"": 34.57306402044805, ""atr_max_pct"": 0.051297386858165483, ""atr_min_pct"": 0.005870231599613007, ""bb_std_mult"": 1.2419563380352598, ""edge_cap"": 0.30198697519704587, ""edge_k"": 1.601344763701017, ""ema1"": 26, ""ema2"": 34, ""p_adx"": 21, ""p_atr"": 7, ""p_sma"": 11, ""p_std"": 51, ""rsi_ob"": 66, ""rsi_os"": 5, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.19538644931719842, ""slip_spread_k"": 0.6519885948964409, ""spread_hl_frac"": 0.034096899524160416, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 2.9955294573799898, ""tsl_mult"": 0.03434335512295705, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.28911190310611784}"
5,-0.05922182966380041,-0.05974491587446323,-1000000000.0,0.05974491587446323,-0.05922182966380041,-0.05974491587446323,564.0,mean_reversion,1,"{""adx_thresh"": 29.12683280289786, ""atr_max_pct"": 0.14361396515379235, ""atr_min_pct"": 0.012088327389591428, ""bb_std_mult"": 3.3170419777702973, ""edge_cap"": 0.355456563101843, ""edge_k"": 1.7126934253836146, ""ema1"": 17, ""ema2"": 20, ""p_adx"": 27, ""p_atr"": 20, ""p_sma"": 14, ""p_std"": 15, ""rsi_ob"": 61, ""rsi_os"": 36, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.16811091855535262, ""slip_spread_k"": 0.19384223994595107, ""spread_hl_frac"": 0.011959732470553425, ""strategy"": ""mean_reversion"", ""time_stop"": 143, ""tp_mult"": 2.0104937547223285, ""tsl_mult"": 0.42154221653219526, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21806241410360314}"
6,-0.06051003945784961,-0.05999442226240735,-1000000000.0,0.05999442226240735,-0.06051003945784961,-0.05999442226240735,536.0,mean_reversion,1,"{""adx_thresh"": 20.239425506228137, ""atr_max_pct"": 0.1176703609252715, ""atr_min_pct"": 0.017792853387463958, ""bb_std_mult"": 1.3765724340598549, ""edge_cap"": 0.7598598831187804, ""edge_k"": 1.5050611940661036, ""ema1"": 27, ""ema2"": 59, ""p_adx"": 9, ""p_atr"": 18, ""p_sma"": 27, ""p_std"": 13, ""rsi_ob"": 82, ""rsi_os"": 39, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.1847667704612802, ""slip_spread_k"": 0.8395988729061735, ""spread_hl_frac"": 0.02090328447573528, ""strategy"": ""mean_reversion"", ""time_stop"": 63, ""tp_mult"": 1.738916168546461, ""tsl_mult"": 0.23207998510795347, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0053008192112878215}"
7,-0.010447124082850534,-0.015879389017652182,-0.010447124082850534,0.015879389017652182,-0.010447124082850534,-0.015879389017652182,468.0,breakout,1,"{""adx_thresh"": 27.81934895608709, ""atr_max_pct"": 0.03880350428216893, ""atr_min_pct"": 0.009944975644578321, ""bb_std_mult"": 2.855145464418468, ""edge_cap"": 0.25294598212214037, ""edge_k"": 1.5358296659543254, ""ema1"": 23, ""ema2"": 34, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 22, ""p_std"": 49, ""rsi_ob"": 68, ""rsi_os"": 25, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.04106994600905234, ""slip_spread_k"": 0.2957430196301237, ""spread_hl_frac"": 0.033673593653169555, ""strategy"": ""breakout"", ""time_stop"": 16, ""tp_mult"": 1.5468409343529985, ""tsl_mult"": 0.016354279249962467, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.22116950918061928}"
8,-0.051230723442199255,-0.05170847143883627,-1000000000.0,0.05170847143883627,-0.051230723442199255,-0.05170847143883627,443.0,breakout,1,"{""adx_thresh"": 6.517670349243004, ""atr_max_pct"": 0.1079639879473823, ""atr_min_pct"": 0.01143718935627386, ""bb_std_mult"": 1.741033383928466, ""edge_cap"": 0.44697619479725204, ""edge_k"": 1.5812943414959506, ""ema1"": 5, ""ema2"": 52, ""p_adx"": 21, ""p_atr"": 22, ""p_sma"": 13, ""p_std"": 37, ""rsi_ob"": 93, ""rsi_os"": 39, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.18706901316157065, ""slip_spread_k"": 0.7347980087270407, ""spread_hl_frac"": 0.0326010562071928, ""strategy"": ""breakout"", ""time_stop"": 206, ""tp_mult"": 1.9506924616999868, ""tsl_mult"": 0.39608874678598793, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 4.3153449366162273e-05}"
9,-0.04307215684915011,-0.04425498903241366,-1000000000.0,0.04425498903241366,-0.04307215684915011,-0.04425498903241366,572.0,mean_reversion,1,"{""adx_thresh"": 14.819713488226828, ""atr_max_pct"": 0.0513440510323533, ""atr_min_pct"": 0.006044534592520665, ""bb_std_mult"": 1.6730013715462377, ""edge_cap"": 0.7936361209320671, ""edge_k"": 0.45278722571870733, ""ema1"": 24, ""ema2"": 14, ""p_adx"": 30, ""p_atr"": 14, ""p_sma"": 17, ""p_std"": 10, ""rsi_ob"": 60, ""rsi_os"": 26, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.10276914883214797, ""slip_spread_k"": 0.6976012730590981, ""spread_hl_frac"": 0.04003894351376694, ""strategy"": ""mean_reversion"", ""time_stop"": 39, ""tp_mult"": 2.9781580349550523, ""tsl_mult"": 0.5660476494117754, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.00485943220670465}"
10,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.03117873219904, ""atr_max_pct"": 0.02365788715518918, ""atr_min_pct"": 0.025754332475624142, ""bb_std_mult"": 2.433653673558418, ""edge_cap"": 0.1772201070429694, ""edge_k"": 1.0769975638099134, ""ema1"": 29, ""ema2"": 45, ""p_adx"": 17, ""p_atr"": 12, ""p_sma"": 43, ""p_std"": 30, ""rsi_ob"": 87, ""rsi_os"": 41, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.11861180912728825, ""slip_spread_k"": 0.9127372207132992, ""spread_hl_frac"": 0.0022429809146343295, ""strategy"": ""mean_reversion"", ""time_stop"": 94, ""tp_mult"": 1.2467605974173108, ""tsl_mult"": 0.3093275236116938, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21631301455319377}"
