number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.010973120375999512,-0.027497313061691793,-0.010973120375999512,0.027497313061691793,-0.010973120375999512,-0.027497313061691793,561.0,breakout,1,"{""adx_thresh"": 33.70707921312903, ""atr_max_pct"": 0.12515146646516445, ""atr_min_pct"": 0.029358125289266467, ""bb_std_mult"": 1.8574283427147027, ""edge_cap"": 0.6291334278371252, ""edge_k"": 1.6312088673121825, ""ema1"": 18, ""ema2"": 55, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 52, ""p_std"": 25, ""rsi_ob"": 85, ""rsi_os"": 38, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.06323531823248352, ""slip_spread_k"": 0.013850492067202125, ""spread_hl_frac"": 0.016642808803537818, ""strategy"": ""breakout"", ""time_stop"": 116, ""tp_mult"": 1.4267709715976868, ""tsl_mult"": 0.7390913048111123, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21427838853818174}"
1,-0.07835325005829963,-0.07973716331696477,-1000000000.0,0.07973716331696477,-0.07835325005829963,-0.07973716331696477,542.0,breakout,1,"{""adx_thresh"": 11.254835798561654, ""atr_max_pct"": 0.13241444341048245, ""atr_min_pct"": 0.012585161150200726, ""bb_std_mult"": 1.4482027636598847, ""edge_cap"": 0.7225702758609498, ""edge_k"": 1.4336592621275268, ""ema1"": 7, ""ema2"": 15, ""p_adx"": 10, ""p_atr"": 25, ""p_sma"": 57, ""p_std"": 6, ""rsi_ob"": 72, ""rsi_os"": 18, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.1864168567188017, ""slip_spread_k"": 0.04746152791858527, ""spread_hl_frac"": 0.023769782240291828, ""strategy"": ""breakout"", ""time_stop"": 125, ""tp_mult"": 1.146879866550369, ""tsl_mult"": 0.6557614590711786, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2435548787131817}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.843048051624573, ""atr_max_pct"": 0.010424546832369812, ""atr_min_pct"": 0.011063432380872136, ""bb_std_mult"": 1.8733805221137376, ""edge_cap"": 0.9225947006118567, ""edge_k"": 0.6899488374327727, ""ema1"": 15, ""ema2"": 48, ""p_adx"": 12, ""p_atr"": 27, ""p_sma"": 59, ""p_std"": 8, ""rsi_ob"": 71, ""rsi_os"": 55, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.08530449547190155, ""slip_spread_k"": 0.9835694291791686, ""spread_hl_frac"": 0.02416427358022439, ""strategy"": ""mean_reversion"", ""time_stop"": 177, ""tp_mult"": 1.310508273462609, ""tsl_mult"": 0.8492536050663371, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.28239063564491046}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 25.118673450692015, ""atr_max_pct"": 0.0771281497722999, ""atr_min_pct"": 0.02557168901292092, ""bb_std_mult"": 0.91596681201319, ""edge_cap"": 0.37117640508191524, ""edge_k"": 1.8963359543134812, ""ema1"": 14, ""ema2"": 58, ""p_adx"": 11, ""p_atr"": 16, ""p_sma"": 26, ""p_std"": 8, ""rsi_ob"": 74, ""rsi_os"": 51, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.23708242744814828, ""slip_spread_k"": 0.03864532329861836, ""spread_hl_frac"": 0.02094572891486984, ""strategy"": ""mean_reversion"", ""time_stop"": 298, ""tp_mult"": 1.1562105096649018, ""tsl_mult"": 0.08692386310956313, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.186656366871597}"
4,-0.010544834288098937,-0.021287189501499954,-0.010544834288098937,0.021287189501499954,-0.010544834288098937,-0.021287189501499954,464.0,mean_reversion,1,"{""adx_thresh"": 14.012559321181078, ""atr_max_pct"": 0.09628380006600135, ""atr_min_pct"": 0.01165220146415105, ""bb_std_mult"": 2.4094567323945375, ""edge_cap"": 0.7224001209048072, ""edge_k"": 1.098142707899926, ""ema1"": 18, ""ema2"": 26, ""p_adx"": 8, ""p_atr"": 23, ""p_sma"": 31, ""p_std"": 55, ""rsi_ob"": 88, ""rsi_os"": 40, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.0687171508666676, ""slip_spread_k"": 0.39258943266938184, ""spread_hl_frac"": 0.038046809421818276, ""strategy"": ""mean_reversion"", ""time_stop"": 31, ""tp_mult"": 1.9853778335537944, ""tsl_mult"": 0.2798012961051093, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19203337151739114}"
5,-0.007864161700449568,-0.020814160100975865,-0.007864161700449568,0.020814160100975865,-0.007864161700449568,-0.020814160100975865,584.0,breakout,1,"{""adx_thresh"": 30.509322795778463, ""atr_max_pct"": 0.02137245677267414, ""atr_min_pct"": 0.015129515254519919, ""bb_std_mult"": 1.3457338846682274, ""edge_cap"": 0.8085768151736661, ""edge_k"": 1.844872554943645, ""ema1"": 9, ""ema2"": 22, ""p_adx"": 26, ""p_atr"": 26, ""p_sma"": 33, ""p_std"": 12, ""rsi_ob"": 63, ""rsi_os"": 15, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.01978693266563944, ""slip_spread_k"": 0.6959396155174213, ""spread_hl_frac"": 0.043134243908598865, ""strategy"": ""breakout"", ""time_stop"": 139, ""tp_mult"": 2.9096204744822427, ""tsl_mult"": 0.9789891077810422, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1911427042675137}"
6,-0.0347335986672499,-0.061299342244646726,-1000000000.0,0.061299342244646726,-0.0347335986672499,-0.061299342244646726,608.0,mean_reversion,1,"{""adx_thresh"": 14.421094059969224, ""atr_max_pct"": 0.037944184838238734, ""atr_min_pct"": 0.00048114328103184944, ""bb_std_mult"": 1.4723500851631708, ""edge_cap"": 0.6380638541946345, ""edge_k"": 1.3632212851898655, ""ema1"": 25, ""ema2"": 36, ""p_adx"": 19, ""p_atr"": 10, ""p_sma"": 9, ""p_std"": 11, ""rsi_ob"": 89, ""rsi_os"": 46, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.1326210479375522, ""slip_spread_k"": 0.06401869878072808, ""spread_hl_frac"": 0.03373409577556112, ""strategy"": ""mean_reversion"", ""time_stop"": 106, ""tp_mult"": 2.841010555671743, ""tsl_mult"": 0.9378600037880274, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.036092065208936285}"
7,-0.05031795901584879,-0.05889561776718499,-1000000000.0,0.05889561776718499,-0.05031795901584879,-0.05889561776718499,506.0,mean_reversion,1,"{""adx_thresh"": 22.48069150268552, ""atr_max_pct"": 0.05621808365552177, ""atr_min_pct"": 0.019553248788140434, ""bb_std_mult"": 3.2265099141459874, ""edge_cap"": 0.7318610339357621, ""edge_k"": 0.4491375886688227, ""ema1"": 21, ""ema2"": 58, ""p_adx"": 21, ""p_atr"": 9, ""p_sma"": 51, ""p_std"": 39, ""rsi_ob"": 59, ""rsi_os"": 10, ""rsi_period"": 66, ""rsi_required"": true, ""slip_atr_k"": 0.1246388304948827, ""slip_spread_k"": 0.3121455792278248, ""spread_hl_frac"": 0.01614157479141833, ""strategy"": ""mean_reversion"", ""time_stop"": 139, ""tp_mult"": 2.409697344679154, ""tsl_mult"": 0.5682515561486846, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29115905232192785}"
8,-0.02725917102085018,-0.040677497202329764,-1000000000.0,0.040677497202329764,-0.02725917102085018,-0.040677497202329764,544.0,breakout,1,"{""adx_thresh"": 14.764914289346352, ""atr_max_pct"": 0.04079072732753465, ""atr_min_pct"": 0.021068597727861915, ""bb_std_mult"": 1.3646280611951804, ""edge_cap"": 0.9533962497503271, ""edge_k"": 1.3243641414959395, ""ema1"": 29, ""ema2"": 33, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 26, ""p_std"": 27, ""rsi_ob"": 55, ""rsi_os"": 23, ""rsi_period"": 17, ""rsi_required"": false, ""slip_atr_k"": 0.06961228713848333, ""slip_spread_k"": 0.7423974029501956, ""spread_hl_frac"": 0.01956737202352196, ""strategy"": ""breakout"", ""time_stop"": 259, ""tp_mult"": 2.1057374880598965, ""tsl_mult"": 0.1592511896987464, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1323169660744986}"
9,-0.05838575667595103,-0.06914353267703782,-1000000000.0,0.06914353267703782,-0.05838575667595103,-0.06914353267703782,531.0,mean_reversion,1,"{""adx_thresh"": 26.37671026359501, ""atr_max_pct"": 0.058365309775545916, ""atr_min_pct"": 0.02984668355445616, ""bb_std_mult"": 1.5958843356682084, ""edge_cap"": 0.6285402579327699, ""edge_k"": 1.3264513268500266, ""ema1"": 18, ""ema2"": 38, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 14, ""p_std"": 25, ""rsi_ob"": 54, ""rsi_os"": 38, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.16333466896140078, ""slip_spread_k"": 0.6499241845887591, ""spread_hl_frac"": 0.024444090063979098, ""strategy"": ""mean_reversion"", ""time_stop"": 166, ""tp_mult"": 1.2887531502006766, ""tsl_mult"": 0.5263476417312325, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29737781772632926}"
