number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.08199340784019982,-0.08406610637676262,-1000000000.0,0.08406610637676262,-0.08199340784019982,-0.08406610637676262,560.0,breakout,1,"{""adx_thresh"": 26.797032020907345, ""atr_max_pct"": 0.05928820796866881, ""atr_min_pct"": 0.018628021402921132, ""bb_std_mult"": 1.6151764270010558, ""edge_cap"": 0.7770110291405176, ""edge_k"": 0.7584273900736731, ""ema1"": 5, ""ema2"": 44, ""p_adx"": 22, ""p_atr"": 14, ""p_sma"": 9, ""p_std"": 12, ""rsi_ob"": 89, ""rsi_os"": 36, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.21755591834834082, ""slip_spread_k"": 0.8688020618714604, ""spread_hl_frac"": 0.011089873940013834, ""strategy"": ""breakout"", ""time_stop"": 230, ""tp_mult"": 2.206856298329167, ""tsl_mult"": 0.3160502664222574, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.27715762974585695}"
1,0.009798643158000386,-0.01387148139170688,0.009798643158000386,0.01387148139170688,0.009798643158000386,-0.01387148139170688,246.0,breakout,1,"{""adx_thresh"": 8.448144006669132, ""atr_max_pct"": 0.09142271907327258, ""atr_min_pct"": 0.011002763703101055, ""bb_std_mult"": 0.834103466405382, ""edge_cap"": 0.9586690457301864, ""edge_k"": 0.4185374873683503, ""ema1"": 19, ""ema2"": 45, ""p_adx"": 13, ""p_atr"": 16, ""p_sma"": 5, ""p_std"": 52, ""rsi_ob"": 77, ""rsi_os"": 5, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.11439181744304489, ""slip_spread_k"": 0.3912574081563762, ""spread_hl_frac"": 0.025011966183469892, ""strategy"": ""breakout"", ""time_stop"": 184, ""tp_mult"": 2.326076549681748, ""tsl_mult"": 0.018451209530668033, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1632228651376147}"
2,-0.05925799684514954,-0.06366019750445115,-1000000000.0,0.06366019750445115,-0.05925799684514954,-0.06366019750445115,469.0,mean_reversion,1,"{""adx_thresh"": 9.548443076383451, ""atr_max_pct"": 0.04618723534062074, ""atr_min_pct"": 0.010079612430502816, ""bb_std_mult"": 1.024196966670856, ""edge_cap"": 0.40978069433364606, ""edge_k"": 0.876370840112277, ""ema1"": 19, ""ema2"": 48, ""p_adx"": 8, ""p_atr"": 24, ""p_sma"": 30, ""p_std"": 44, ""rsi_ob"": 68, ""rsi_os"": 18, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.15235299074044792, ""slip_spread_k"": 0.7585042473261415, ""spread_hl_frac"": 0.03916907193706967, ""strategy"": ""mean_reversion"", ""time_stop"": 42, ""tp_mult"": 2.1506413859694486, ""tsl_mult"": 0.9413350225320753, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08666353953644958}"
3,-0.015869526769549558,-0.029831703931107168,-0.015869526769549558,0.029831703931107168,-0.015869526769549558,-0.029831703931107168,597.0,breakout,1,"{""adx_thresh"": 12.915778919953292, ""atr_max_pct"": 0.02258302145362943, ""atr_min_pct"": 0.013556850311712764, ""bb_std_mult"": 1.0216120914398452, ""edge_cap"": 0.14670460854702436, ""edge_k"": 1.1466752356063055, ""ema1"": 7, ""ema2"": 15, ""p_adx"": 27, ""p_atr"": 27, ""p_sma"": 33, ""p_std"": 9, ""rsi_ob"": 79, ""rsi_os"": 34, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.06807809490134892, ""slip_spread_k"": 0.4518888267675524, ""spread_hl_frac"": 0.002568869099909044, ""strategy"": ""breakout"", ""time_stop"": 206, ""tp_mult"": 1.8978135537749083, ""tsl_mult"": 0.26187403556292466, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03707551040043939}"
4,0.008645873435199292,-0.02003931717658376,0.008645873435199292,0.02003931717658376,0.008645873435199292,-0.02003931717658376,558.0,breakout,1,"{""adx_thresh"": 25.515321453615517, ""atr_max_pct"": 0.06168946037144993, ""atr_min_pct"": 0.015609689091068295, ""bb_std_mult"": 1.3555260558208477, ""edge_cap"": 0.27029954022618896, ""edge_k"": 1.5999675158873572, ""ema1"": 7, ""ema2"": 39, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 60, ""p_std"": 45, ""rsi_ob"": 78, ""rsi_os"": 28, ""rsi_period"": 67, ""rsi_required"": true, ""slip_atr_k"": 0.015233444121099116, ""slip_spread_k"": 0.3341463411696398, ""spread_hl_frac"": 0.027620376363076644, ""strategy"": ""breakout"", ""time_stop"": 140, ""tp_mult"": 1.8688594396907874, ""tsl_mult"": 0.7551835046761086, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11117529647937253}"
5,-0.07114847610074926,-0.07294554703316428,-1000000000.0,0.07294554703316428,-0.07114847610074926,-0.07294554703316428,526.0,breakout,1,"{""adx_thresh"": 32.938814085322704, ""atr_max_pct"": 0.11362321494558232, ""atr_min_pct"": 0.01175993041389706, ""bb_std_mult"": 1.1435695633103014, ""edge_cap"": 0.46111736811985177, ""edge_k"": 1.7810464953856626, ""ema1"": 18, ""ema2"": 12, ""p_adx"": 18, ""p_atr"": 24, ""p_sma"": 36, ""p_std"": 14, ""rsi_ob"": 45, ""rsi_os"": 41, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.2146296913882471, ""slip_spread_k"": 0.10682268401302264, ""spread_hl_frac"": 0.022578204297415517, ""strategy"": ""breakout"", ""time_stop"": 241, ""tp_mult"": 1.2095217651420205, ""tsl_mult"": 0.6825344950861842, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.17183827739707339}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 6.421432259457754, ""atr_max_pct"": 0.011280997687856908, ""atr_min_pct"": 0.00433295660802041, ""bb_std_mult"": 2.2774720168361786, ""edge_cap"": 0.07951029075521729, ""edge_k"": 0.7622595911046475, ""ema1"": 11, ""ema2"": 20, ""p_adx"": 26, ""p_atr"": 7, ""p_sma"": 51, ""p_std"": 23, ""rsi_ob"": 83, ""rsi_os"": 53, ""rsi_period"": 44, ""rsi_required"": false, ""slip_atr_k"": 0.17550865041517894, ""slip_spread_k"": 0.46040548183401186, ""spread_hl_frac"": 0.03258277674167222, ""strategy"": ""mean_reversion"", ""time_stop"": 289, ""tp_mult"": 2.5044596388580245, ""tsl_mult"": 0.23055872806481614, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24379533914240265}"
7,-0.07716245235965069,-0.07811422107757432,-1000000000.0,0.07811422107757432,-0.07716245235965069,-0.07811422107757432,541.0,breakout,1,"{""adx_thresh"": 11.036240846265619, ""atr_max_pct"": 0.0639908048933651, ""atr_min_pct"": 0.026057289647019508, ""bb_std_mult"": 3.2049402284510418, ""edge_cap"": 0.9224728679543904, ""edge_k"": 0.8395580510830458, ""ema1"": 10, ""ema2"": 17, ""p_adx"": 16, ""p_atr"": 25, ""p_sma"": 54, ""p_std"": 7, ""rsi_ob"": 63, ""rsi_os"": 36, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.17984747818043328, ""slip_spread_k"": 0.7900150948801852, ""spread_hl_frac"": 0.030345658028230627, ""strategy"": ""breakout"", ""time_stop"": 219, ""tp_mult"": 2.406261527219127, ""tsl_mult"": 0.8747577136047793, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24740780119623548}"
8,0.012441239865649933,-0.013280604471923776,0.012441239865649933,0.013280604471923776,0.012441239865649933,-0.013280604471923776,524.0,mean_reversion,1,"{""adx_thresh"": 11.599092871320304, ""atr_max_pct"": 0.14489811646373732, ""atr_min_pct"": 0.004813103605738115, ""bb_std_mult"": 0.6604719936311095, ""edge_cap"": 0.25882602642590335, ""edge_k"": 1.1181998916784437, ""ema1"": 25, ""ema2"": 42, ""p_adx"": 28, ""p_atr"": 8, ""p_sma"": 55, ""p_std"": 53, ""rsi_ob"": 84, ""rsi_os"": 11, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.045546794432098026, ""slip_spread_k"": 0.3435714043527126, ""spread_hl_frac"": 0.03429881323802568, ""strategy"": ""mean_reversion"", ""time_stop"": 212, ""tp_mult"": 2.0960325648186227, ""tsl_mult"": 0.5354119154887131, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17848018771199353}"
9,-0.037755444653100656,-0.04144475988505709,-1000000000.0,0.04144475988505709,-0.037755444653100656,-0.04144475988505709,571.0,mean_reversion,1,"{""adx_thresh"": 8.639501829881471, ""atr_max_pct"": 0.0191413556587885, ""atr_min_pct"": 0.008530912559953113, ""bb_std_mult"": 3.130099296617581, ""edge_cap"": 0.809951932714998, ""edge_k"": 1.6898014537236887, ""ema1"": 21, ""ema2"": 60, ""p_adx"": 29, ""p_atr"": 17, ""p_sma"": 57, ""p_std"": 5, ""rsi_ob"": 85, ""rsi_os"": 29, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.11638769830351803, ""slip_spread_k"": 0.2718642292028204, ""spread_hl_frac"": 0.006083854501950714, ""strategy"": ""mean_reversion"", ""time_stop"": 284, ""tp_mult"": 1.9773436224648626, ""tsl_mult"": 0.11910708428737116, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1972629294892044}"
