number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 17.286858820985593, ""atr_max_pct"": 0.06225979588860535, ""atr_min_pct"": 0.025919011622723278, ""bb_std_mult"": 3.4937123986472334, ""edge_cap"": 0.9527345529668496, ""edge_k"": 0.07595406830170082, ""ema1"": 28, ""ema2"": 30, ""p_adx"": 25, ""p_atr"": 20, ""p_sma"": 20, ""p_std"": 48, ""rsi_ob"": 94, ""rsi_os"": 53, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.16997094938702081, ""slip_spread_k"": 0.17344104066383315, ""spread_hl_frac"": 0.028983355703949422, ""strategy"": ""mean_reversion"", ""time_stop"": 291, ""tp_mult"": 1.3718245534877216, ""tsl_mult"": 0.03245569140393778, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11046319272157008}"
1,-0.07756632142805064,-0.08076130512927869,-1000000000.0,0.08076130512927869,-0.07756632142805064,-0.08076130512927869,480.0,mean_reversion,1,"{""adx_thresh"": 11.27264095470593, ""atr_max_pct"": 0.03050265113364135, ""atr_min_pct"": 0.010412533287109301, ""bb_std_mult"": 0.6285643188534392, ""edge_cap"": 0.14294692570008724, ""edge_k"": 1.1149239281946535, ""ema1"": 5, ""ema2"": 41, ""p_adx"": 24, ""p_atr"": 25, ""p_sma"": 13, ""p_std"": 26, ""rsi_ob"": 83, ""rsi_os"": 7, ""rsi_period"": 73, ""rsi_required"": false, ""slip_atr_k"": 0.23042581979673327, ""slip_spread_k"": 0.838431684890782, ""spread_hl_frac"": 0.0488242631683579, ""strategy"": ""mean_reversion"", ""time_stop"": 117, ""tp_mult"": 1.7897728108563395, ""tsl_mult"": 0.8925857832956028, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03162418231129017}"
2,-0.026870997894850035,-0.040411414543536334,-1000000000.0,0.040411414543536334,-0.026870997894850035,-0.040411414543536334,556.0,breakout,1,"{""adx_thresh"": 8.372934377090615, ""atr_max_pct"": 0.09141401279779172, ""atr_min_pct"": 0.012791049224346035, ""bb_std_mult"": 1.7353503830501342, ""edge_cap"": 0.8327998685971952, ""edge_k"": 1.8461420308578558, ""ema1"": 9, ""ema2"": 19, ""p_adx"": 9, ""p_atr"": 27, ""p_sma"": 22, ""p_std"": 13, ""rsi_ob"": 58, ""rsi_os"": 46, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.10868556602049792, ""slip_spread_k"": 0.5312774845716465, ""spread_hl_frac"": 0.033188767776821136, ""strategy"": ""breakout"", ""time_stop"": 130, ""tp_mult"": 2.5502402662751638, ""tsl_mult"": 0.13603927802369487, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.014409441877733442}"
3,0.002686029731500117,-0.02270849483072717,0.002686029731500117,0.02270849483072717,0.002686029731500117,-0.02270849483072717,607.0,breakout,1,"{""adx_thresh"": 13.741522274399994, ""atr_max_pct"": 0.06070778393377851, ""atr_min_pct"": 0.014401309043843518, ""bb_std_mult"": 0.8418316936134458, ""edge_cap"": 0.2543760914360552, ""edge_k"": 1.9911807027873536, ""ema1"": 24, ""ema2"": 49, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 24, ""p_std"": 7, ""rsi_ob"": 79, ""rsi_os"": 54, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.06177064178554198, ""slip_spread_k"": 0.5187719135434402, ""spread_hl_frac"": 0.01894846145026422, ""strategy"": ""breakout"", ""time_stop"": 247, ""tp_mult"": 1.5012666330101343, ""tsl_mult"": 0.5556839108944517, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.246599446699488}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 24.49409342628329, ""atr_max_pct"": 0.010747447691911586, ""atr_min_pct"": 0.009923172208466313, ""bb_std_mult"": 2.2370308252296516, ""edge_cap"": 0.6852008500057162, ""edge_k"": 0.7700542780881852, ""ema1"": 16, ""ema2"": 48, ""p_adx"": 29, ""p_atr"": 20, ""p_sma"": 37, ""p_std"": 34, ""rsi_ob"": 86, ""rsi_os"": 54, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.02784071239361538, ""slip_spread_k"": 0.7693319147640519, ""spread_hl_frac"": 0.0017789991117223515, ""strategy"": ""mean_reversion"", ""time_stop"": 236, ""tp_mult"": 2.0566032544622352, ""tsl_mult"": 0.5291138814531607, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1319594102956962}"
5,-0.014884396031950575,-0.020636367920765907,-0.014884396031950575,0.020636367920765907,-0.014884396031950575,-0.020636367920765907,446.0,mean_reversion,1,"{""adx_thresh"": 24.911724948731482, ""atr_max_pct"": 0.07287167602777633, ""atr_min_pct"": 0.013657257787538932, ""bb_std_mult"": 3.2858116354148215, ""edge_cap"": 0.8492533678841835, ""edge_k"": 0.8993807661933717, ""ema1"": 5, ""ema2"": 38, ""p_adx"": 19, ""p_atr"": 7, ""p_sma"": 11, ""p_std"": 33, ""rsi_ob"": 75, ""rsi_os"": 28, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.1123598306546601, ""slip_spread_k"": 0.4177309256176748, ""spread_hl_frac"": 0.023581685235325795, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 2.6772911821583447, ""tsl_mult"": 0.5168313243914187, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20416435894737195}"
6,-0.05309067483349994,-0.0534598487019803,-1000000000.0,0.0534598487019803,-0.05309067483349994,-0.0534598487019803,408.0,mean_reversion,1,"{""adx_thresh"": 21.56406389265839, ""atr_max_pct"": 0.023087595735480873, ""atr_min_pct"": 0.018537448559756167, ""bb_std_mult"": 1.7157223403335942, ""edge_cap"": 0.9108612787921205, ""edge_k"": 0.42439277540907416, ""ema1"": 28, ""ema2"": 37, ""p_adx"": 8, ""p_atr"": 8, ""p_sma"": 18, ""p_std"": 47, ""rsi_ob"": 91, ""rsi_os"": 25, ""rsi_period"": 58, ""rsi_required"": false, ""slip_atr_k"": 0.20772341195419286, ""slip_spread_k"": 0.8507559691008392, ""spread_hl_frac"": 0.027549455322235874, ""strategy"": ""mean_reversion"", ""time_stop"": 205, ""tp_mult"": 2.426972548346217, ""tsl_mult"": 0.11979102232954042, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20503604503312536}"
7,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 6.182442801488276, ""atr_max_pct"": 0.02462078678866288, ""atr_min_pct"": 0.026616009989580032, ""bb_std_mult"": 0.8849092042960218, ""edge_cap"": 0.6373983828283885, ""edge_k"": 0.6709955921177861, ""ema1"": 23, ""ema2"": 56, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 56, ""p_std"": 50, ""rsi_ob"": 49, ""rsi_os"": 24, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.10842497800252784, ""slip_spread_k"": 0.6558644821184736, ""spread_hl_frac"": 0.01586262093241328, ""strategy"": ""breakout"", ""time_stop"": 37, ""tp_mult"": 1.3742858829709763, ""tsl_mult"": 0.9444820306348558, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25968619714000074}"
8,0.011175802066050622,-0.01523007730874536,0.011175802066050622,0.01523007730874536,0.011175802066050622,-0.01523007730874536,470.0,mean_reversion,1,"{""adx_thresh"": 15.297141950545866, ""atr_max_pct"": 0.07185468671031692, ""atr_min_pct"": 0.022097888735464487, ""bb_std_mult"": 0.6881543842729663, ""edge_cap"": 0.7343607180206642, ""edge_k"": 0.5903922551986105, ""ema1"": 6, ""ema2"": 33, ""p_adx"": 18, ""p_atr"": 13, ""p_sma"": 20, ""p_std"": 42, ""rsi_ob"": 81, ""rsi_os"": 23, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.047007603929668046, ""slip_spread_k"": 0.2826962544818661, ""spread_hl_frac"": 0.04209447157872795, ""strategy"": ""mean_reversion"", ""time_stop"": 173, ""tp_mult"": 1.7489752291764709, ""tsl_mult"": 0.2009109150699685, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12698123865055555}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 11.99078072551336, ""atr_max_pct"": 0.017462767050374944, ""atr_min_pct"": 0.026770413145840784, ""bb_std_mult"": 2.4594446079340138, ""edge_cap"": 0.6713531964175294, ""edge_k"": 1.9033145548396515, ""ema1"": 25, ""ema2"": 38, ""p_adx"": 28, ""p_atr"": 22, ""p_sma"": 18, ""p_std"": 28, ""rsi_ob"": 67, ""rsi_os"": 25, ""rsi_period"": 53, ""rsi_required"": true, ""slip_atr_k"": 0.090945856683986, ""slip_spread_k"": 0.02262767003773114, ""spread_hl_frac"": 0.0035878770751239745, ""strategy"": ""mean_reversion"", ""time_stop"": 224, ""tp_mult"": 2.8605904797559636, ""tsl_mult"": 0.5430739384781439, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25501846108411963}"
