number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.841352795862196, ""atr_max_pct"": 0.09806534957605441, ""atr_min_pct"": 0.00892506000298918, ""bb_std_mult"": 1.0751174934991428, ""edge_cap"": 0.8310258413733677, ""edge_k"": 0.15537358020146597, ""ema1"": 19, ""ema2"": 23, ""p_adx"": 10, ""p_atr"": 7, ""p_sma"": 32, ""p_std"": 43, ""rsi_ob"": 46, ""rsi_os"": 29, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.12487721516297848, ""slip_spread_k"": 0.15146298993031249, ""spread_hl_frac"": 0.035785569529088554, ""strategy"": ""mean_reversion"", ""time_stop"": 97, ""tp_mult"": 1.7175087306698162, ""tsl_mult"": 0.3007004613842239, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1309034389410826}"
1,-0.04075524733499969,-0.047544566438145405,-1000000000.0,0.047544566438145405,-0.04075524733499969,-0.047544566438145405,476.0,breakout,1,"{""adx_thresh"": 20.63409519476264, ""atr_max_pct"": 0.07660524197920082, ""atr_min_pct"": 0.013808798806431825, ""bb_std_mult"": 0.7894762187391761, ""edge_cap"": 0.9758822779667952, ""edge_k"": 1.9434059076022607, ""ema1"": 11, ""ema2"": 10, ""p_adx"": 7, ""p_atr"": 27, ""p_sma"": 20, ""p_std"": 38, ""rsi_ob"": 77, ""rsi_os"": 33, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.1748500608816858, ""slip_spread_k"": 0.21756343099292086, ""spread_hl_frac"": 0.02012666256700195, ""strategy"": ""breakout"", ""time_stop"": 254, ""tp_mult"": 2.0646991445857408, ""tsl_mult"": 0.27006163851103415, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16302512492548224}"
2,-0.04463671349475007,-0.04799171400327339,-1000000000.0,0.04799171400327339,-0.04463671349475007,-0.04799171400327339,562.0,mean_reversion,1,"{""adx_thresh"": 5.843368678327893, ""atr_max_pct"": 0.03892789762986519, ""atr_min_pct"": 0.027467433613640437, ""bb_std_mult"": 0.5118153251595257, ""edge_cap"": 0.10729792887311525, ""edge_k"": 1.5109591849202049, ""ema1"": 15, ""ema2"": 45, ""p_adx"": 20, ""p_atr"": 9, ""p_sma"": 17, ""p_std"": 18, ""rsi_ob"": 56, ""rsi_os"": 32, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.14655866225645464, ""slip_spread_k"": 0.32384712551790995, ""spread_hl_frac"": 0.021454945807051953, ""strategy"": ""mean_reversion"", ""time_stop"": 43, ""tp_mult"": 2.155371363474682, ""tsl_mult"": 0.4213605894167034, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1903086721942424}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.646165154136343, ""atr_max_pct"": 0.01685939895922483, ""atr_min_pct"": 0.024185304942557623, ""bb_std_mult"": 3.5761244407937913, ""edge_cap"": 0.20438774779298657, ""edge_k"": 1.0654932037235894, ""ema1"": 25, ""ema2"": 34, ""p_adx"": 17, ""p_atr"": 15, ""p_sma"": 34, ""p_std"": 29, ""rsi_ob"": 88, ""rsi_os"": 46, ""rsi_period"": 62, ""rsi_required"": false, ""slip_atr_k"": 0.1541075793249737, ""slip_spread_k"": 0.19684438076769062, ""spread_hl_frac"": 0.02138781378121965, ""strategy"": ""mean_reversion"", ""time_stop"": 165, ""tp_mult"": 1.0943912551570814, ""tsl_mult"": 0.4848652351378331, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.000731550554410787}"
4,-0.051663747832700224,-0.057290124804459,-1000000000.0,0.057290124804459,-0.051663747832700224,-0.057290124804459,567.0,mean_reversion,1,"{""adx_thresh"": 34.56437453381893, ""atr_max_pct"": 0.09187411720246415, ""atr_min_pct"": 0.0118168811509442, ""bb_std_mult"": 3.495541659578295, ""edge_cap"": 0.3582166920077382, ""edge_k"": 0.12217063793273386, ""ema1"": 21, ""ema2"": 53, ""p_adx"": 18, ""p_atr"": 30, ""p_sma"": 14, ""p_std"": 16, ""rsi_ob"": 84, ""rsi_os"": 8, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.1700432109705415, ""slip_spread_k"": 0.8341094805989256, ""spread_hl_frac"": 0.022646184376154645, ""strategy"": ""mean_reversion"", ""time_stop"": 286, ""tp_mult"": 2.0357582543043615, ""tsl_mult"": 0.43773725654836837, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2740172027458737}"
5,-0.0008934911929505684,-0.012224077653091713,-0.0008934911929505684,0.012224077653091713,-0.0008934911929505684,-0.012224077653091713,482.0,breakout,1,"{""adx_thresh"": 6.45446875626948, ""atr_max_pct"": 0.09000805515624319, ""atr_min_pct"": 0.0025225340545870787, ""bb_std_mult"": 2.828245077579443, ""edge_cap"": 0.5142976987445079, ""edge_k"": 0.09574409057114153, ""ema1"": 13, ""ema2"": 40, ""p_adx"": 22, ""p_atr"": 13, ""p_sma"": 34, ""p_std"": 52, ""rsi_ob"": 46, ""rsi_os"": 26, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.05079276036623798, ""slip_spread_k"": 0.8199752003580214, ""spread_hl_frac"": 0.040509375959974385, ""strategy"": ""breakout"", ""time_stop"": 202, ""tp_mult"": 2.9608338421172675, ""tsl_mult"": 0.5133984315020177, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0357217594078621}"
6,-0.0282273115256505,-0.03661505197526939,-0.0282273115256505,0.03661505197526939,-0.0282273115256505,-0.03661505197526939,357.0,mean_reversion,1,"{""adx_thresh"": 9.634489185135738, ""atr_max_pct"": 0.10444255805865704, ""atr_min_pct"": 0.012466115505152305, ""bb_std_mult"": 1.6902941019094364, ""edge_cap"": 0.4574185041204396, ""edge_k"": 1.0390132810960142, ""ema1"": 28, ""ema2"": 18, ""p_adx"": 16, ""p_atr"": 18, ""p_sma"": 13, ""p_std"": 59, ""rsi_ob"": 57, ""rsi_os"": 37, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.1558847107872161, ""slip_spread_k"": 0.9863966351334704, ""spread_hl_frac"": 0.03174001015976615, ""strategy"": ""mean_reversion"", ""time_stop"": 115, ""tp_mult"": 2.0727254800911705, ""tsl_mult"": 0.04418790443432896, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25266806705677375}"
7,-0.0577950601067001,-0.05774127933114046,-1000000000.0,0.05774127933114046,-0.0577950601067001,-0.05774127933114046,487.0,breakout,1,"{""adx_thresh"": 25.01116914122058, ""atr_max_pct"": 0.04557348907474443, ""atr_min_pct"": 0.011797032913649905, ""bb_std_mult"": 0.858791833840995, ""edge_cap"": 0.549792773581614, ""edge_k"": 0.2216033016438772, ""ema1"": 17, ""ema2"": 13, ""p_adx"": 22, ""p_atr"": 12, ""p_sma"": 60, ""p_std"": 37, ""rsi_ob"": 95, ""rsi_os"": 11, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.19776450996993492, ""slip_spread_k"": 0.2246635886602396, ""spread_hl_frac"": 0.006090633039661892, ""strategy"": ""breakout"", ""time_stop"": 96, ""tp_mult"": 1.1254468358587049, ""tsl_mult"": 0.5963886572029632, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.019143628296001303}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.571968924779547, ""atr_max_pct"": 0.024053206962949398, ""atr_min_pct"": 0.02499140583520479, ""bb_std_mult"": 3.113475615678087, ""edge_cap"": 0.14455248005118948, ""edge_k"": 0.04702328846756787, ""ema1"": 28, ""ema2"": 39, ""p_adx"": 26, ""p_atr"": 14, ""p_sma"": 40, ""p_std"": 56, ""rsi_ob"": 66, ""rsi_os"": 27, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.07401631319067387, ""slip_spread_k"": 0.5987151328734943, ""spread_hl_frac"": 0.005312919010587797, ""strategy"": ""mean_reversion"", ""time_stop"": 102, ""tp_mult"": 1.7168486282594884, ""tsl_mult"": 0.8870150455604592, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10246967344601525}"
9,-0.03607467582820012,-0.04473292711611964,-1000000000.0,0.04473292711611964,-0.03607467582820012,-0.04473292711611964,494.0,breakout,1,"{""adx_thresh"": 34.92092712454927, ""atr_max_pct"": 0.054178067764033604, ""atr_min_pct"": 0.021840493030204855, ""bb_std_mult"": 0.6570404228879683, ""edge_cap"": 0.8031332659937612, ""edge_k"": 0.24318694736492796, ""ema1"": 8, ""ema2"": 51, ""p_adx"": 11, ""p_atr"": 21, ""p_sma"": 20, ""p_std"": 34, ""rsi_ob"": 77, ""rsi_os"": 23, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.14444447298542432, ""slip_spread_k"": 0.4492396048171797, ""spread_hl_frac"": 0.03051474910025946, ""strategy"": ""breakout"", ""time_stop"": 140, ""tp_mult"": 1.5126740834991252, ""tsl_mult"": 0.06751872989066732, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24695883138200198}"
