number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.006523726636749494,-0.012291534902111762,0.006523726636749494,0.012291534902111762,0.006523726636749494,-0.012291534902111762,484.0,mean_reversion,1,"{""adx_thresh"": 24.524038870920776, ""atr_max_pct"": 0.030231665064142637, ""atr_min_pct"": 0.008861473722760641, ""bb_std_mult"": 3.044615711143264, ""edge_cap"": 0.174805449341856, ""edge_k"": 1.5488620538170133, ""ema1"": 16, ""ema2"": 20, ""p_adx"": 21, ""p_atr"": 24, ""p_sma"": 54, ""p_std"": 58, ""rsi_ob"": 68, ""rsi_os"": 42, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.06771663316997467, ""slip_spread_k"": 0.113398251340867, ""spread_hl_frac"": 0.016120390401317387, ""strategy"": ""mean_reversion"", ""time_stop"": 41, ""tp_mult"": 1.010326215318848, ""tsl_mult"": 0.026815955727994112, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25664637211906527}"
1,-0.02154157455499839,-0.02635190899543007,-0.02154157455499839,0.02635190899543007,-0.02154157455499839,-0.02635190899543007,444.0,breakout,1,"{""adx_thresh"": 22.01085204913279, ""atr_max_pct"": 0.08440149195084364, ""atr_min_pct"": 0.004643689046710677, ""bb_std_mult"": 1.4254519839247966, ""edge_cap"": 0.2946691357467207, ""edge_k"": 0.5434006800609907, ""ema1"": 9, ""ema2"": 10, ""p_adx"": 10, ""p_atr"": 21, ""p_sma"": 38, ""p_std"": 56, ""rsi_ob"": 46, ""rsi_os"": 16, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.1397315798230539, ""slip_spread_k"": 0.06965587837378273, ""spread_hl_frac"": 0.018925416230211746, ""strategy"": ""breakout"", ""time_stop"": 154, ""tp_mult"": 1.2514791628861355, ""tsl_mult"": 0.5351452643543876, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23420860115789066}"
2,0.02616454429549897,-0.007922226521441453,0.02616454429549897,0.007922226521441453,0.02616454429549897,-0.007922226521441453,491.0,breakout,1,"{""adx_thresh"": 34.50950425790776, ""atr_max_pct"": 0.12060197147340357, ""atr_min_pct"": 0.009134382625567256, ""bb_std_mult"": 3.4511197044330997, ""edge_cap"": 0.28014384424038713, ""edge_k"": 1.4649556098037635, ""ema1"": 19, ""ema2"": 38, ""p_adx"": 28, ""p_atr"": 16, ""p_sma"": 39, ""p_std"": 59, ""rsi_ob"": 79, ""rsi_os"": 47, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.03220646209030226, ""slip_spread_k"": 0.015164706778650783, ""spread_hl_frac"": 0.019640668574145027, ""strategy"": ""breakout"", ""time_stop"": 217, ""tp_mult"": 2.7713090348206677, ""tsl_mult"": 0.6650764518781164, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14165074628718283}"
3,-0.037396504097950256,-0.045354260660907926,-1000000000.0,0.045354260660907926,-0.037396504097950256,-0.045354260660907926,598.0,breakout,1,"{""adx_thresh"": 34.54011304488294, ""atr_max_pct"": 0.08208747835587314, ""atr_min_pct"": 0.015363432289937785, ""bb_std_mult"": 0.5891960014914684, ""edge_cap"": 0.4062623724831867, ""edge_k"": 0.2284512974351267, ""ema1"": 25, ""ema2"": 30, ""p_adx"": 14, ""p_atr"": 21, ""p_sma"": 17, ""p_std"": 6, ""rsi_ob"": 45, ""rsi_os"": 49, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.1134066478511801, ""slip_spread_k"": 0.05613356028289984, ""spread_hl_frac"": 0.009778274636819224, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 1.3719095831775603, ""tsl_mult"": 0.7381288990123666, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29841793496463603}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.451404403370535, ""atr_max_pct"": 0.08877163016451496, ""atr_min_pct"": 6.0913918843317206e-05, ""bb_std_mult"": 2.2749432335421353, ""edge_cap"": 0.3001034830047316, ""edge_k"": 0.3847240488449448, ""ema1"": 22, ""ema2"": 50, ""p_adx"": 8, ""p_atr"": 11, ""p_sma"": 58, ""p_std"": 23, ""rsi_ob"": 46, ""rsi_os"": 55, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.047194007226915, ""slip_spread_k"": 0.5680571663654086, ""spread_hl_frac"": 0.019734099518777994, ""strategy"": ""mean_reversion"", ""time_stop"": 118, ""tp_mult"": 1.598876609151821, ""tsl_mult"": 0.35145692727034705, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18130180664270004}"
5,-0.06801469305665009,-0.07011851552606556,-1000000000.0,0.07011851552606556,-0.06801469305665009,-0.07011851552606556,512.0,mean_reversion,1,"{""adx_thresh"": 30.666204630884536, ""atr_max_pct"": 0.11324540498991789, ""atr_min_pct"": 0.01114254795976108, ""bb_std_mult"": 2.4483269588924714, ""edge_cap"": 0.3927679718258446, ""edge_k"": 1.6915551589912718, ""ema1"": 11, ""ema2"": 48, ""p_adx"": 8, ""p_atr"": 27, ""p_sma"": 36, ""p_std"": 18, ""rsi_ob"": 52, ""rsi_os"": 46, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.2061088140755322, ""slip_spread_k"": 0.27218909261337654, ""spread_hl_frac"": 0.03039316097867469, ""strategy"": ""mean_reversion"", ""time_stop"": 18, ""tp_mult"": 2.30932412368794, ""tsl_mult"": 0.043015670606158185, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12213747843026118}"
6,-0.042728569763550106,-0.046038833154588794,-1000000000.0,0.046038833154588794,-0.042728569763550106,-0.046038833154588794,535.0,mean_reversion,1,"{""adx_thresh"": 31.579160222992407, ""atr_max_pct"": 0.040001000616802215, ""atr_min_pct"": 0.02876904062909717, ""bb_std_mult"": 2.436970999025475, ""edge_cap"": 0.828573033546628, ""edge_k"": 1.1146255033263932, ""ema1"": 28, ""ema2"": 35, ""p_adx"": 10, ""p_atr"": 27, ""p_sma"": 60, ""p_std"": 16, ""rsi_ob"": 91, ""rsi_os"": 48, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.12710913192869844, ""slip_spread_k"": 0.5562458312352226, ""spread_hl_frac"": 0.01798098635288123, ""strategy"": ""mean_reversion"", ""time_stop"": 125, ""tp_mult"": 1.070664678112532, ""tsl_mult"": 0.8124144380571068, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2649138854724953}"
7,-0.0179176821014011,-0.030374991460656427,-0.0179176821014011,0.030374991460656427,-0.0179176821014011,-0.030374991460656427,582.0,breakout,1,"{""adx_thresh"": 16.003972605143282, ""atr_max_pct"": 0.14973968541886376, ""atr_min_pct"": 0.009448292751541564, ""bb_std_mult"": 1.268020091889133, ""edge_cap"": 0.851028930236931, ""edge_k"": 1.317193325155355, ""ema1"": 19, ""ema2"": 55, ""p_adx"": 14, ""p_atr"": 25, ""p_sma"": 25, ""p_std"": 12, ""rsi_ob"": 63, ""rsi_os"": 53, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.06549407219501702, ""slip_spread_k"": 0.07998408246122557, ""spread_hl_frac"": 0.025128711043453263, ""strategy"": ""breakout"", ""time_stop"": 292, ""tp_mult"": 1.5256880588658768, ""tsl_mult"": 0.7290228387355321, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18637281540101644}"
8,-0.07260865853284926,-0.07425263026116218,-1000000000.0,0.07425263026116218,-0.07260865853284926,-0.07425263026116218,511.0,mean_reversion,1,"{""adx_thresh"": 27.958257402296113, ""atr_max_pct"": 0.03438082709028629, ""atr_min_pct"": 0.020225477412001876, ""bb_std_mult"": 2.6242112401307693, ""edge_cap"": 0.7841103976630558, ""edge_k"": 1.9390184139088373, ""ema1"": 14, ""ema2"": 36, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 40, ""p_std"": 6, ""rsi_ob"": 94, ""rsi_os"": 41, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.2415635280941592, ""slip_spread_k"": 0.3296631520183648, ""spread_hl_frac"": 0.03535576038867401, ""strategy"": ""mean_reversion"", ""time_stop"": 289, ""tp_mult"": 1.742271832475043, ""tsl_mult"": 0.6875722000328034, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.23894279045633185}"
9,-0.05486344892469952,-0.05738677462229791,-1000000000.0,0.05738677462229791,-0.05486344892469952,-0.05738677462229791,443.0,breakout,1,"{""adx_thresh"": 22.60131615378536, ""atr_max_pct"": 0.11614912013142877, ""atr_min_pct"": 0.02379536272340359, ""bb_std_mult"": 0.6930899675870409, ""edge_cap"": 0.05636338961649839, ""edge_k"": 0.057873919737991164, ""ema1"": 18, ""ema2"": 42, ""p_adx"": 26, ""p_atr"": 12, ""p_sma"": 44, ""p_std"": 51, ""rsi_ob"": 85, ""rsi_os"": 34, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.19699121982232687, ""slip_spread_k"": 0.7835058691461125, ""spread_hl_frac"": 0.0016315771097960786, ""strategy"": ""breakout"", ""time_stop"": 248, ""tp_mult"": 2.9660140590921813, ""tsl_mult"": 0.026386132818767005, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13043089215609813}"
