number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.05240353399360065,-0.054927763488824444,-1000000000.0,0.054927763488824444,-0.05240353399360065,-0.054927763488824444,437.0,breakout,1,"{""adx_thresh"": 29.786346856633262, ""atr_max_pct"": 0.032584358853236496, ""atr_min_pct"": 0.020699013509062742, ""bb_std_mult"": 0.9840480926275468, ""edge_cap"": 0.9321261026474247, ""edge_k"": 0.011674658163452367, ""ema1"": 7, ""ema2"": 37, ""p_adx"": 25, ""p_atr"": 18, ""p_sma"": 48, ""p_std"": 55, ""rsi_ob"": 86, ""rsi_os"": 27, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.16727900911520108, ""slip_spread_k"": 0.9696301401829948, ""spread_hl_frac"": 0.02449687972141113, ""strategy"": ""breakout"", ""time_stop"": 215, ""tp_mult"": 2.169337213329715, ""tsl_mult"": 0.6475363121140854, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29345416809235864}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 26.485732414101978, ""atr_max_pct"": 0.08737940015476924, ""atr_min_pct"": 0.027905953083163834, ""bb_std_mult"": 3.4723502348714246, ""edge_cap"": 0.9866220928482553, ""edge_k"": 0.8687147083399402, ""ema1"": 30, ""ema2"": 11, ""p_adx"": 11, ""p_atr"": 17, ""p_sma"": 29, ""p_std"": 51, ""rsi_ob"": 50, ""rsi_os"": 52, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.09085456312328216, ""slip_spread_k"": 0.8337798455169514, ""spread_hl_frac"": 0.028335685036349097, ""strategy"": ""mean_reversion"", ""time_stop"": 201, ""tp_mult"": 2.1198163633236358, ""tsl_mult"": 0.11945760588958354, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.006750771845898251}"
2,-0.00916804445894992,-0.022966628893065385,-0.00916804445894992,0.022966628893065385,-0.00916804445894992,-0.022966628893065385,628.0,mean_reversion,1,"{""adx_thresh"": 17.838961444103752, ""atr_max_pct"": 0.0964818853537983, ""atr_min_pct"": 0.006933474521814821, ""bb_std_mult"": 1.5071565135160823, ""edge_cap"": 0.30725560897318255, ""edge_k"": 0.9225925190570121, ""ema1"": 12, ""ema2"": 57, ""p_adx"": 7, ""p_atr"": 23, ""p_sma"": 14, ""p_std"": 8, ""rsi_ob"": 93, ""rsi_os"": 38, ""rsi_period"": 82, ""rsi_required"": false, ""slip_atr_k"": 0.042669331969882845, ""slip_spread_k"": 0.41087166718097823, ""spread_hl_frac"": 0.041304505518564974, ""strategy"": ""mean_reversion"", ""time_stop"": 84, ""tp_mult"": 1.8605178786144383, ""tsl_mult"": 0.2642104665099895, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16487843121064558}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.270950785008662, ""atr_max_pct"": 0.10459588641852557, ""atr_min_pct"": 0.018093002630745154, ""bb_std_mult"": 2.413390673301558, ""edge_cap"": 0.1337258048456762, ""edge_k"": 0.22544471354387152, ""ema1"": 11, ""ema2"": 26, ""p_adx"": 28, ""p_atr"": 7, ""p_sma"": 7, ""p_std"": 38, ""rsi_ob"": 75, ""rsi_os"": 51, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.03857463085281543, ""slip_spread_k"": 0.48549538241635704, ""spread_hl_frac"": 0.045287695795617644, ""strategy"": ""mean_reversion"", ""time_stop"": 69, ""tp_mult"": 1.709854504460103, ""tsl_mult"": 0.05771525767134966, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26128383281045175}"
4,-0.00790017626314965,-0.020334635866832526,-0.00790017626314965,0.020334635866832526,-0.00790017626314965,-0.020334635866832526,560.0,breakout,1,"{""adx_thresh"": 31.60868853896561, ""atr_max_pct"": 0.12564483316477396, ""atr_min_pct"": 0.00820931050248416, ""bb_std_mult"": 2.7092343672346133, ""edge_cap"": 0.22318994199330275, ""edge_k"": 1.7032924799753657, ""ema1"": 18, ""ema2"": 19, ""p_adx"": 19, ""p_atr"": 15, ""p_sma"": 41, ""p_std"": 11, ""rsi_ob"": 74, ""rsi_os"": 21, ""rsi_period"": 40, ""rsi_required"": false, ""slip_atr_k"": 0.06535894362844552, ""slip_spread_k"": 0.8092849222053691, ""spread_hl_frac"": 0.021937716135253173, ""strategy"": ""breakout"", ""time_stop"": 238, ""tp_mult"": 2.7145317979226897, ""tsl_mult"": 0.1205038320781987, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16692481271520684}"
5,-0.06797739275364945,-0.06918055910987689,-1000000000.0,0.06918055910987689,-0.06797739275364945,-0.06918055910987689,507.0,breakout,1,"{""adx_thresh"": 13.599131207283493, ""atr_max_pct"": 0.1091869544835457, ""atr_min_pct"": 0.01934561418724077, ""bb_std_mult"": 1.0804463994892428, ""edge_cap"": 0.38786646683132137, ""edge_k"": 0.8453175406000064, ""ema1"": 26, ""ema2"": 45, ""p_adx"": 18, ""p_atr"": 13, ""p_sma"": 51, ""p_std"": 12, ""rsi_ob"": 78, ""rsi_os"": 38, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.17398723416603307, ""slip_spread_k"": 0.4454387106203538, ""spread_hl_frac"": 0.042229978916109696, ""strategy"": ""breakout"", ""time_stop"": 41, ""tp_mult"": 1.6904590408385467, ""tsl_mult"": 0.42658295379032984, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24071194247590838}"
6,-0.0462739888616992,-0.05519484791496004,-1000000000.0,0.05519484791496004,-0.0462739888616992,-0.05519484791496004,412.0,mean_reversion,1,"{""adx_thresh"": 34.62798475761202, ""atr_max_pct"": 0.08601267434544395, ""atr_min_pct"": 0.025138450771026825, ""bb_std_mult"": 1.801799170508524, ""edge_cap"": 0.3465118678730774, ""edge_k"": 0.5401336921824407, ""ema1"": 9, ""ema2"": 60, ""p_adx"": 7, ""p_atr"": 25, ""p_sma"": 10, ""p_std"": 41, ""rsi_ob"": 75, ""rsi_os"": 20, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.19406149630531988, ""slip_spread_k"": 0.6438754664319257, ""spread_hl_frac"": 0.048020809905047215, ""strategy"": ""mean_reversion"", ""time_stop"": 90, ""tp_mult"": 1.7033764659935364, ""tsl_mult"": 0.4715223894892555, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10758690172085886}"
7,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 13.498859073675883, ""atr_max_pct"": 0.016238957993874075, ""atr_min_pct"": 0.020178983800796427, ""bb_std_mult"": 0.5936403479324734, ""edge_cap"": 0.7834257086859677, ""edge_k"": 1.0510527727660215, ""ema1"": 8, ""ema2"": 38, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 51, ""p_std"": 38, ""rsi_ob"": 59, ""rsi_os"": 6, ""rsi_period"": 43, ""rsi_required"": false, ""slip_atr_k"": 0.04925584512487033, ""slip_spread_k"": 0.6215500148353672, ""spread_hl_frac"": 0.035366365840042525, ""strategy"": ""breakout"", ""time_stop"": 62, ""tp_mult"": 1.4526844654632525, ""tsl_mult"": 0.566629585704811, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2171073827688089}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.867627514626456, ""atr_max_pct"": 0.08954491356970966, ""atr_min_pct"": 0.009977775314287231, ""bb_std_mult"": 2.4229291867336085, ""edge_cap"": 0.8186682757924447, ""edge_k"": 0.6536007804480692, ""ema1"": 16, ""ema2"": 28, ""p_adx"": 11, ""p_atr"": 18, ""p_sma"": 59, ""p_std"": 11, ""rsi_ob"": 49, ""rsi_os"": 31, ""rsi_period"": 28, ""rsi_required"": true, ""slip_atr_k"": 0.14159191289434694, ""slip_spread_k"": 0.6506147155804285, ""spread_hl_frac"": 0.004210777803478299, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 1.970141195354739, ""tsl_mult"": 0.1516841674551962, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05462568620358147}"
9,-0.02959621693835013,-0.03627435861028696,-0.02959621693835013,0.03627435861028696,-0.02959621693835013,-0.03627435861028696,528.0,breakout,1,"{""adx_thresh"": 14.075084854526395, ""atr_max_pct"": 0.08457890550765759, ""atr_min_pct"": 0.005457141678690658, ""bb_std_mult"": 1.0190690924335362, ""edge_cap"": 0.5809156945061732, ""edge_k"": 1.171148409218092, ""ema1"": 11, ""ema2"": 38, ""p_adx"": 15, ""p_atr"": 20, ""p_sma"": 39, ""p_std"": 19, ""rsi_ob"": 93, ""rsi_os"": 55, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.13566063013532473, ""slip_spread_k"": 0.15973497006731707, ""spread_hl_frac"": 0.046613138084521305, ""strategy"": ""breakout"", ""time_stop"": 105, ""tp_mult"": 2.214076406518658, ""tsl_mult"": 0.779425215100089, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17331776301756205}"
