month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,3,1,2,33.33,2.114813279999139,0.704937759999713,-0.3904399999999546,2.114813279999139
2020-01-31,14,6,8,42.86,201.98268552000158,14.427334680000113,-0.0088551499999791,204.09749880000072
2020-02-29,10,2,8,20.0,-24.78193180000158,-2.478193180000158,-1.3825401199998997,179.31556699999913
2020-03-31,18,12,6,66.67,297.71097760000293,16.53949875555572,1.0837621000002144,477.02654460000207
2020-04-30,18,11,7,61.11,51.65330184000126,2.86962788000007,0.536569284999914,528.6798464400033
2020-05-31,11,6,5,54.55,-8.694602029998293,-0.7904183663634812,0.0389312000002864,519.985244410005
2020-06-30,13,1,12,7.69,-23.4323025199967,-1.8024848092305155,-7.136667839998743,496.55294189000824
2020-07-31,6,0,6,0.0,-17.75647932999975,-2.9594132216666247,-1.9883185099998602,478.7964625600085
2020-08-31,9,2,7,22.22,54.32783621000019,6.036426245555577,-2.4334485599995017,533.1242987700086
2020-09-30,27,11,16,40.74,211.55189219000488,7.835255266296477,-0.5272507399999072,744.6761909600135
2020-10-31,9,3,6,33.33,33.234594060000234,3.692732673333359,-0.0462105700000009,777.9107850200137
2020-11-30,8,3,5,37.5,-5.273241989999873,-0.6591552487499841,-1.6548237900001865,772.6375430300138
