number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.01975525772639919,-0.031786584625259,-0.01975525772639919,0.031786584625259,-0.01975525772639919,-0.031786584625259,559.0,breakout,1,"{""adx_thresh"": 8.456575509585111, ""atr_max_pct"": 0.08764675001782041, ""atr_min_pct"": 0.0048816372663759945, ""bb_std_mult"": 2.928613330832758, ""edge_cap"": 0.9545342694834892, ""edge_k"": 0.9952334521350088, ""ema1"": 11, ""ema2"": 15, ""p_adx"": 26, ""p_atr"": 22, ""p_sma"": 30, ""p_std"": 22, ""rsi_ob"": 51, ""rsi_os"": 49, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.09257052346451392, ""slip_spread_k"": 0.042257441095787884, ""spread_hl_frac"": 0.02363095932811723, ""strategy"": ""breakout"", ""time_stop"": 237, ""tp_mult"": 2.2273122990442724, ""tsl_mult"": 0.11486493677634169, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08420864897300853}"
1,-0.014013758521799535,-0.026586098710834456,-0.014013758521799535,0.026586098710834456,-0.014013758521799535,-0.026586098710834456,556.0,mean_reversion,1,"{""adx_thresh"": 22.11812583441992, ""atr_max_pct"": 0.0908559609952501, ""atr_min_pct"": 0.017466977108367112, ""bb_std_mult"": 1.8735094245001291, ""edge_cap"": 0.8973090753954361, ""edge_k"": 0.39384004062284195, ""ema1"": 22, ""ema2"": 18, ""p_adx"": 11, ""p_atr"": 9, ""p_sma"": 59, ""p_std"": 21, ""rsi_ob"": 55, ""rsi_os"": 29, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.06352290917747724, ""slip_spread_k"": 0.22952248264313657, ""spread_hl_frac"": 0.033786170536173527, ""strategy"": ""mean_reversion"", ""time_stop"": 27, ""tp_mult"": 1.3545142368026535, ""tsl_mult"": 0.2045957179585538, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23681215706322853}"
2,-0.009847707941900485,-0.023279023684149115,-0.009847707941900485,0.023279023684149115,-0.009847707941900485,-0.023279023684149115,598.0,breakout,1,"{""adx_thresh"": 13.932374814205405, ""atr_max_pct"": 0.04812759266331461, ""atr_min_pct"": 0.012302906305594096, ""bb_std_mult"": 1.0979231929992566, ""edge_cap"": 0.0846354518601769, ""edge_k"": 0.9234326644371438, ""ema1"": 6, ""ema2"": 47, ""p_adx"": 25, ""p_atr"": 16, ""p_sma"": 59, ""p_std"": 11, ""rsi_ob"": 70, ""rsi_os"": 24, ""rsi_period"": 44, ""rsi_required"": true, ""slip_atr_k"": 0.014591812630588535, ""slip_spread_k"": 0.5721954160524324, ""spread_hl_frac"": 0.0424262174392609, ""strategy"": ""breakout"", ""time_stop"": 211, ""tp_mult"": 1.7095784167853572, ""tsl_mult"": 0.7624486688220836, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07075044264629948}"
3,0.016937540876500456,-0.009969521935105103,0.016937540876500456,0.009969521935105103,0.016937540876500456,-0.009969521935105103,384.0,mean_reversion,1,"{""adx_thresh"": 23.552411784355872, ""atr_max_pct"": 0.0677045699244518, ""atr_min_pct"": 0.024860406565544634, ""bb_std_mult"": 2.4096936782747402, ""edge_cap"": 0.165766987335371, ""edge_k"": 0.42036791182626865, ""ema1"": 13, ""ema2"": 53, ""p_adx"": 28, ""p_atr"": 20, ""p_sma"": 5, ""p_std"": 30, ""rsi_ob"": 94, ""rsi_os"": 11, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.05360904893802432, ""slip_spread_k"": 0.11921747721037346, ""spread_hl_frac"": 0.04626987860110551, ""strategy"": ""mean_reversion"", ""time_stop"": 164, ""tp_mult"": 1.5119334698670674, ""tsl_mult"": 0.36777547963035795, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.15148392798787835}"
4,-0.05115018555575024,-0.0550360263160913,-1000000000.0,0.0550360263160913,-0.05115018555575024,-0.0550360263160913,469.0,breakout,1,"{""adx_thresh"": 13.932999734264389, ""atr_max_pct"": 0.1357424293856099, ""atr_min_pct"": 0.02384426933374657, ""bb_std_mult"": 0.6723492627347529, ""edge_cap"": 0.6353926727051189, ""edge_k"": 0.9962229824700584, ""ema1"": 12, ""ema2"": 54, ""p_adx"": 8, ""p_atr"": 28, ""p_sma"": 60, ""p_std"": 49, ""rsi_ob"": 65, ""rsi_os"": 21, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.17293555895047474, ""slip_spread_k"": 0.24403760893229365, ""spread_hl_frac"": 0.04703618719245999, ""strategy"": ""breakout"", ""time_stop"": 74, ""tp_mult"": 2.8385210187181578, ""tsl_mult"": 0.44033969592144606, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07329522679433323}"
5,-0.07580782050004986,-0.07573051190655952,-1000000000.0,0.07573051190655952,-0.07580782050004986,-0.07573051190655952,506.0,mean_reversion,1,"{""adx_thresh"": 5.959353185664206, ""atr_max_pct"": 0.14056365089597606, ""atr_min_pct"": 0.009607259977391699, ""bb_std_mult"": 1.0637796676116915, ""edge_cap"": 0.6767809176520239, ""edge_k"": 1.3994940973722103, ""ema1"": 27, ""ema2"": 40, ""p_adx"": 11, ""p_atr"": 8, ""p_sma"": 46, ""p_std"": 7, ""rsi_ob"": 93, ""rsi_os"": 35, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.21136003491621957, ""slip_spread_k"": 0.4974741086426875, ""spread_hl_frac"": 0.044605905739561746, ""strategy"": ""mean_reversion"", ""time_stop"": 294, ""tp_mult"": 2.7544374117776456, ""tsl_mult"": 0.9169841536946493, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12295065650014962}"
6,-0.024510540930499536,-0.032427362581076966,-0.024510540930499536,0.032427362581076966,-0.024510540930499536,-0.032427362581076966,461.0,breakout,1,"{""adx_thresh"": 30.716778684049338, ""atr_max_pct"": 0.07173730225329451, ""atr_min_pct"": 0.020826323533070085, ""bb_std_mult"": 0.5828000074924718, ""edge_cap"": 0.31392266082903547, ""edge_k"": 1.9492910771301613, ""ema1"": 16, ""ema2"": 25, ""p_adx"": 9, ""p_atr"": 18, ""p_sma"": 52, ""p_std"": 55, ""rsi_ob"": 69, ""rsi_os"": 29, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.0912683795254492, ""slip_spread_k"": 0.3983867144873572, ""spread_hl_frac"": 0.04639513777652794, ""strategy"": ""breakout"", ""time_stop"": 72, ""tp_mult"": 2.535343038491658, ""tsl_mult"": 0.10402030648599281, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2944311083926817}"
7,-0.01216247020519945,-0.020872163988279326,-0.01216247020519945,0.020872163988279326,-0.01216247020519945,-0.020872163988279326,558.0,breakout,1,"{""adx_thresh"": 19.85845864366899, ""atr_max_pct"": 0.09390119568325192, ""atr_min_pct"": 0.011537079810455679, ""bb_std_mult"": 3.4477894733727954, ""edge_cap"": 0.29422954168222765, ""edge_k"": 0.7788507048790851, ""ema1"": 28, ""ema2"": 28, ""p_adx"": 27, ""p_atr"": 30, ""p_sma"": 46, ""p_std"": 11, ""rsi_ob"": 80, ""rsi_os"": 49, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.07384424319931526, ""slip_spread_k"": 0.06174612667449764, ""spread_hl_frac"": 0.03806217449746335, ""strategy"": ""breakout"", ""time_stop"": 258, ""tp_mult"": 2.4842838833241316, ""tsl_mult"": 0.6224777028962345, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05329976535612206}"
8,-0.051810867717850484,-0.05782400333972398,-1000000000.0,0.05782400333972398,-0.051810867717850484,-0.05782400333972398,478.0,breakout,1,"{""adx_thresh"": 10.604981020631023, ""atr_max_pct"": 0.1320978781870856, ""atr_min_pct"": 0.01867473523122953, ""bb_std_mult"": 1.6765292537855296, ""edge_cap"": 0.43162253311900195, ""edge_k"": 0.7988702160325376, ""ema1"": 8, ""ema2"": 10, ""p_adx"": 21, ""p_atr"": 29, ""p_sma"": 19, ""p_std"": 36, ""rsi_ob"": 90, ""rsi_os"": 53, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.2006719409768492, ""slip_spread_k"": 0.30253876720165196, ""spread_hl_frac"": 0.03280086065743476, ""strategy"": ""breakout"", ""time_stop"": 48, ""tp_mult"": 2.3645671009301616, ""tsl_mult"": 0.01672832790759471, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15407499386680346}"
9,-0.052126372818700806,-0.05397579003978813,-1000000000.0,0.05397579003978813,-0.052126372818700806,-0.05397579003978813,446.0,breakout,1,"{""adx_thresh"": 14.825371638553168, ""atr_max_pct"": 0.0919683299718667, ""atr_min_pct"": 0.01700422113349955, ""bb_std_mult"": 0.6832209135170878, ""edge_cap"": 0.5598310345863121, ""edge_k"": 0.34061152499930847, ""ema1"": 22, ""ema2"": 47, ""p_adx"": 14, ""p_atr"": 22, ""p_sma"": 42, ""p_std"": 50, ""rsi_ob"": 72, ""rsi_os"": 35, ""rsi_period"": 43, ""rsi_required"": true, ""slip_atr_k"": 0.2015756880120594, ""slip_spread_k"": 0.15642138552263463, ""spread_hl_frac"": 0.037708869110886965, ""strategy"": ""breakout"", ""time_stop"": 55, ""tp_mult"": 1.5166152637737111, ""tsl_mult"": 0.6467982489495557, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.011338635093447203}"
10,0.011885668106601077,-0.01256750825548533,0.011885668106601077,0.01256750825548533,0.011885668106601077,-0.01256750825548533,482.0,breakout,1,"{""adx_thresh"": 15.89423360499156, ""atr_max_pct"": 0.11155919615706875, ""atr_min_pct"": 0.005115960145553772, ""bb_std_mult"": 0.9139489022598548, ""edge_cap"": 0.09763486475132575, ""edge_k"": 0.8194930329907208, ""ema1"": 29, ""ema2"": 39, ""p_adx"": 16, ""p_atr"": 20, ""p_sma"": 13, ""p_std"": 38, ""rsi_ob"": 51, ""rsi_os"": 30, ""rsi_period"": 35, ""rsi_required"": true, ""slip_atr_k"": 0.04771698841300806, ""slip_spread_k"": 0.6979296264039047, ""spread_hl_frac"": 0.010910015581877064, ""strategy"": ""breakout"", ""time_stop"": 8, ""tp_mult"": 1.6854731619962489, ""tsl_mult"": 0.6539697256380217, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.022569391819668348}"
11,-0.04329639791884987,-0.04770183873009785,-1000000000.0,0.04770183873009785,-0.04329639791884987,-0.04770183873009785,468.0,breakout,1,"{""adx_thresh"": 22.083867284392213, ""atr_max_pct"": 0.0960698430875533, ""atr_min_pct"": 0.019373841293051933, ""bb_std_mult"": 1.0303856042971697, ""edge_cap"": 0.955800014275392, ""edge_k"": 1.5428902945295666, ""ema1"": 27, ""ema2"": 15, ""p_adx"": 20, ""p_atr"": 28, ""p_sma"": 54, ""p_std"": 48, ""rsi_ob"": 73, ""rsi_os"": 29, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.12748581806910084, ""slip_spread_k"": 0.9453760175176905, ""spread_hl_frac"": 0.029642076898230882, ""strategy"": ""breakout"", ""time_stop"": 8, ""tp_mult"": 1.326971189005112, ""tsl_mult"": 0.5099805275830436, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2547913918376116}"
