number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 17.909636363730794, ""atr_max_pct"": 0.07911433798947791, ""atr_min_pct"": 0.028506946193732088, ""bb_std_mult"": 1.4018734235480725, ""edge_cap"": 0.43525663417032756, ""edge_k"": 0.024239088917424434, ""ema1"": 19, ""ema2"": 32, ""p_adx"": 28, ""p_atr"": 13, ""p_sma"": 31, ""p_std"": 9, ""rsi_ob"": 50, ""rsi_os"": 14, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.045058728821608995, ""slip_spread_k"": 0.6180714678079489, ""spread_hl_frac"": 0.003046657406887027, ""strategy"": ""mean_reversion"", ""time_stop"": 171, ""tp_mult"": 1.1048314364703455, ""tsl_mult"": 0.0023628852383555943, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.265303354024885}"
1,0.01289932559214968,-0.012803980233335557,0.01289932559214968,0.012803980233335557,0.01289932559214968,-0.012803980233335557,494.0,breakout,1,"{""adx_thresh"": 19.310227639165472, ""atr_max_pct"": 0.05478759251042825, ""atr_min_pct"": 0.010944698871708538, ""bb_std_mult"": 1.060319814548969, ""edge_cap"": 0.9142467887356938, ""edge_k"": 0.3849539223761269, ""ema1"": 16, ""ema2"": 33, ""p_adx"": 19, ""p_atr"": 25, ""p_sma"": 42, ""p_std"": 53, ""rsi_ob"": 72, ""rsi_os"": 17, ""rsi_period"": 70, ""rsi_required"": true, ""slip_atr_k"": 0.06465941635941319, ""slip_spread_k"": 0.2635409595778948, ""spread_hl_frac"": 0.03831273128085441, ""strategy"": ""breakout"", ""time_stop"": 280, ""tp_mult"": 2.7861520563077025, ""tsl_mult"": 0.25546564008418604, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21259243089356292}"
2,0.01019782811414971,-0.01800119181459129,0.01019782811414971,0.01800119181459129,0.01019782811414971,-0.01800119181459129,508.0,mean_reversion,1,"{""adx_thresh"": 10.215231794661463, ""atr_max_pct"": 0.04230384810096793, ""atr_min_pct"": 0.002848432564362575, ""bb_std_mult"": 3.320350321346854, ""edge_cap"": 0.4657007484880065, ""edge_k"": 1.6699251294717834, ""ema1"": 24, ""ema2"": 26, ""p_adx"": 17, ""p_atr"": 20, ""p_sma"": 14, ""p_std"": 35, ""rsi_ob"": 62, ""rsi_os"": 48, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.044991233237376804, ""slip_spread_k"": 0.5705094488195444, ""spread_hl_frac"": 0.02388887233343159, ""strategy"": ""mean_reversion"", ""time_stop"": 101, ""tp_mult"": 1.4285438627330482, ""tsl_mult"": 0.358912224239482, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.28789280405489714}"
3,0.01787106611374978,-0.014272731518329558,0.01787106611374978,0.014272731518329558,0.01787106611374978,-0.014272731518329558,614.0,mean_reversion,1,"{""adx_thresh"": 26.160748491112198, ""atr_max_pct"": 0.030961165986709373, ""atr_min_pct"": 0.003144894956543207, ""bb_std_mult"": 1.7078068451632886, ""edge_cap"": 0.3200030610470742, ""edge_k"": 0.13637732247941492, ""ema1"": 11, ""ema2"": 34, ""p_adx"": 16, ""p_atr"": 8, ""p_sma"": 24, ""p_std"": 17, ""rsi_ob"": 55, ""rsi_os"": 29, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.0005431762018312525, ""slip_spread_k"": 0.5881094382869547, ""spread_hl_frac"": 0.01166249519944434, ""strategy"": ""mean_reversion"", ""time_stop"": 25, ""tp_mult"": 2.12369294694325, ""tsl_mult"": 0.5516912408657937, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08009129985341996}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 32.866745137738576, ""atr_max_pct"": 0.03596117378652948, ""atr_min_pct"": 0.0024135022081708834, ""bb_std_mult"": 0.8988070360721773, ""edge_cap"": 0.5144892347717386, ""edge_k"": 0.6624666590784436, ""ema1"": 15, ""ema2"": 30, ""p_adx"": 24, ""p_atr"": 15, ""p_sma"": 21, ""p_std"": 31, ""rsi_ob"": 80, ""rsi_os"": 51, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.009162473258587878, ""slip_spread_k"": 0.5482612761815531, ""spread_hl_frac"": 0.04240501834590889, ""strategy"": ""mean_reversion"", ""time_stop"": 195, ""tp_mult"": 1.8304661793505914, ""tsl_mult"": 0.9561073384182883, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07025072194769758}"
5,-0.034739381712950435,-0.04206501120210062,-1000000000.0,0.04206501120210062,-0.034739381712950435,-0.04206501120210062,413.0,mean_reversion,1,"{""adx_thresh"": 18.12087330841324, ""atr_max_pct"": 0.058707303561338776, ""atr_min_pct"": 0.009691036996339473, ""bb_std_mult"": 2.540144519054988, ""edge_cap"": 0.4800483904320355, ""edge_k"": 0.023457152618220345, ""ema1"": 23, ""ema2"": 56, ""p_adx"": 9, ""p_atr"": 8, ""p_sma"": 13, ""p_std"": 47, ""rsi_ob"": 66, ""rsi_os"": 13, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.1617507555701073, ""slip_spread_k"": 0.552760469810555, ""spread_hl_frac"": 0.04234932632586805, ""strategy"": ""mean_reversion"", ""time_stop"": 20, ""tp_mult"": 1.6978236732849992, ""tsl_mult"": 0.5012373612505655, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.04040362059007779}"
6,0.05636591134765001,-0.009639532072589248,0.05636591134765001,0.009639532072589248,0.05636591134765001,-0.009639532072589248,444.0,mean_reversion,1,"{""adx_thresh"": 31.27479112939378, ""atr_max_pct"": 0.11478763148168025, ""atr_min_pct"": 0.024060949908753338, ""bb_std_mult"": 3.1355721859252483, ""edge_cap"": 0.5196389284453536, ""edge_k"": 0.809187615636739, ""ema1"": 22, ""ema2"": 20, ""p_adx"": 26, ""p_atr"": 30, ""p_sma"": 10, ""p_std"": 43, ""rsi_ob"": 76, ""rsi_os"": 31, ""rsi_period"": 27, ""rsi_required"": true, ""slip_atr_k"": 0.0022717532649136063, ""slip_spread_k"": 0.5919504286718007, ""spread_hl_frac"": 0.016934930450731005, ""strategy"": ""mean_reversion"", ""time_stop"": 269, ""tp_mult"": 1.8546888421717942, ""tsl_mult"": 0.6724872596377827, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.040322880572645936}"
7,-0.003452840051499928,-0.021142780170256534,-0.003452840051499928,0.021142780170256534,-0.003452840051499928,-0.021142780170256534,559.0,breakout,1,"{""adx_thresh"": 5.718599607580971, ""atr_max_pct"": 0.0411552207379543, ""atr_min_pct"": 0.023000470205289423, ""bb_std_mult"": 2.7121568478387545, ""edge_cap"": 0.5369551518606439, ""edge_k"": 0.01756515599040198, ""ema1"": 6, ""ema2"": 10, ""p_adx"": 22, ""p_atr"": 22, ""p_sma"": 50, ""p_std"": 27, ""rsi_ob"": 52, ""rsi_os"": 10, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.03429711687700518, ""slip_spread_k"": 0.4930300810073798, ""spread_hl_frac"": 0.031088815441506754, ""strategy"": ""breakout"", ""time_stop"": 17, ""tp_mult"": 2.5458813867313217, ""tsl_mult"": 0.494240805329455, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07084408877262113}"
8,-0.030925344084199446,-0.03758757364740812,-0.030925344084199446,0.03758757364740812,-0.030925344084199446,-0.03758757364740812,439.0,breakout,1,"{""adx_thresh"": 32.551776019812564, ""atr_max_pct"": 0.10271344323114857, ""atr_min_pct"": 0.02896295793542105, ""bb_std_mult"": 3.2686540692964288, ""edge_cap"": 0.18957778449906545, ""edge_k"": 0.1519163011287612, ""ema1"": 26, ""ema2"": 13, ""p_adx"": 29, ""p_atr"": 23, ""p_sma"": 17, ""p_std"": 47, ""rsi_ob"": 89, ""rsi_os"": 55, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.21205940112067823, ""slip_spread_k"": 0.341008751906279, ""spread_hl_frac"": 0.0055093302118421564, ""strategy"": ""breakout"", ""time_stop"": 203, ""tp_mult"": 2.3225858641001396, ""tsl_mult"": 0.9928761733001843, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11072185904465348}"
9,-0.07233072272184982,-0.0722837252022069,-1000000000.0,0.0722837252022069,-0.07233072272184982,-0.0722837252022069,524.0,mean_reversion,1,"{""adx_thresh"": 33.23880270452568, ""atr_max_pct"": 0.1319795497914564, ""atr_min_pct"": 0.01805029561860372, ""bb_std_mult"": 3.5866595961096563, ""edge_cap"": 0.7378357802292203, ""edge_k"": 0.22691674816899132, ""ema1"": 30, ""ema2"": 34, ""p_adx"": 26, ""p_atr"": 13, ""p_sma"": 25, ""p_std"": 18, ""rsi_ob"": 69, ""rsi_os"": 16, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.20222244850006044, ""slip_spread_k"": 0.29304594756086566, ""spread_hl_frac"": 0.025329287965542426, ""strategy"": ""mean_reversion"", ""time_stop"": 124, ""tp_mult"": 1.8949494535613047, ""tsl_mult"": 0.4681778477776908, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.006759447301694665}"
