month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,5,2,3,40.0,-2.3838827099988316,-0.4767765419997663,-0.5867815200000717,-2.3838827099988316
2020-01-31,25,8,17,32.0,227.39278705999934,9.095711482399974,-0.3587633099999796,225.0089043500005
2020-02-29,21,8,13,38.1,8.340958600002779,0.3971885047620371,-0.1805522399999938,233.34986295000328
2020-03-31,32,18,14,56.25,421.3869457699993,13.168342055312477,0.6788852300003725,654.7368087200025
2020-04-30,24,11,13,45.83,129.3166919699995,5.38819549874998,-0.45601071500000856,784.053500690002
2020-05-31,19,9,10,47.37,56.09198701000331,2.952209842631753,-2.164308879999737,840.1454877000053
2020-06-30,27,2,25,7.41,-70.59528066000117,-2.6146400244444874,-1.8061244599999895,769.5502070400041
2020-07-31,15,3,12,20.0,-33.118733560000656,-2.2079155706667106,-1.0338038199998505,736.4314734800034
2020-08-31,17,3,14,17.65,42.41093048999761,2.494760617058683,-2.93416288000044,778.842403970001
2020-09-30,39,19,20,48.72,320.5636491100056,8.2195807464104,-0.5047766100000645,1099.4060530800066
2020-10-31,16,6,10,37.5,15.141278649993005,0.9463299156245628,-0.1580194300000361,1114.5473317299995
2020-11-30,13,4,9,30.77,-11.464725890000159,-0.8819019915384737,-3.420759720001191,1103.0826058399994
