number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.07057189932760066,-0.08086337113972404,-1000000000.0,0.08086337113972404,-0.07057189932760066,-0.08086337113972404,979.0,mean_reversion,1,"{""adx_thresh"": 34.942695161551676, ""atr_max_pct"": 0.12175291896417711, ""atr_min_pct"": 0.026389113305179755, ""bb_std_mult"": 1.0228885717792087, ""edge_cap"": 0.7912118327010393, ""edge_k"": 0.6760605722319513, ""ema1"": 12, ""ema2"": 45, ""p_adx"": 10, ""p_atr"": 13, ""p_sma"": 37, ""p_std"": 38, ""rsi_ob"": 59, ""rsi_os"": 34, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.1243915990430472, ""slip_spread_k"": 0.9528844601059424, ""spread_hl_frac"": 0.00660631831285044, ""strategy"": ""mean_reversion"", ""time_stop"": 139, ""tp_mult"": 1.6938978444170445, ""tsl_mult"": 0.31818936682051413, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2899247326877631}"
1,0.03341825999910042,-0.024290252466614516,0.03341825999910042,0.024290252466614516,0.03341825999910042,-0.024290252466614516,1062.0,mean_reversion,1,"{""adx_thresh"": 25.576955158131966, ""atr_max_pct"": 0.13192542366985163, ""atr_min_pct"": 0.018874633934200507, ""bb_std_mult"": 2.23682957935023, ""edge_cap"": 0.8872799398134757, ""edge_k"": 0.5976632233194688, ""ema1"": 24, ""ema2"": 28, ""p_adx"": 14, ""p_atr"": 26, ""p_sma"": 26, ""p_std"": 33, ""rsi_ob"": 66, ""rsi_os"": 30, ""rsi_period"": 55, ""rsi_required"": false, ""slip_atr_k"": 0.014192984778886975, ""slip_spread_k"": 0.8924649004772679, ""spread_hl_frac"": 0.03813394310710813, ""strategy"": ""mean_reversion"", ""time_stop"": 58, ""tp_mult"": 2.8831960858151287, ""tsl_mult"": 0.3315002878843546, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.006817667762656998}"
2,0.07373927571585037,-0.03050476719308914,0.07373927571585037,0.03050476719308914,0.07373927571585037,-0.03050476719308914,1136.0,breakout,1,"{""adx_thresh"": 23.499015879512182, ""atr_max_pct"": 0.11540480848161755, ""atr_min_pct"": 0.001862421299815915, ""bb_std_mult"": 0.5363757117021135, ""edge_cap"": 0.40461642698441536, ""edge_k"": 1.0225707426191195, ""ema1"": 19, ""ema2"": 14, ""p_adx"": 19, ""p_atr"": 11, ""p_sma"": 60, ""p_std"": 41, ""rsi_ob"": 88, ""rsi_os"": 47, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.007927038335860476, ""slip_spread_k"": 0.3302016392328787, ""spread_hl_frac"": 0.04089536059557688, ""strategy"": ""breakout"", ""time_stop"": 163, ""tp_mult"": 1.1423252401972235, ""tsl_mult"": 0.17055462699541712, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.019636687221933534}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 30.595565578364326, ""atr_max_pct"": 0.0960821319471472, ""atr_min_pct"": 0.009167964325169742, ""bb_std_mult"": 1.708923462772272, ""edge_cap"": 0.9554361449040562, ""edge_k"": 1.5199361427704818, ""ema1"": 29, ""ema2"": 56, ""p_adx"": 8, ""p_atr"": 7, ""p_sma"": 53, ""p_std"": 5, ""rsi_ob"": 48, ""rsi_os"": 16, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.07247294718388905, ""slip_spread_k"": 0.5399820900808829, ""spread_hl_frac"": 0.03369585090467835, ""strategy"": ""mean_reversion"", ""time_stop"": 254, ""tp_mult"": 2.707268093311248, ""tsl_mult"": 0.8531568615052844, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18382200831888812}"
4,-0.22636991828514963,-0.23056454030020682,-1000000000.0,0.23056454030020682,-0.22636991828514963,-0.23056454030020682,1020.0,breakout,1,"{""adx_thresh"": 13.689789830926438, ""atr_max_pct"": 0.0796468794952078, ""atr_min_pct"": 0.02611766054282645, ""bb_std_mult"": 3.4492540225885677, ""edge_cap"": 0.1729300737199549, ""edge_k"": 1.355330773750808, ""ema1"": 6, ""ema2"": 15, ""p_adx"": 23, ""p_atr"": 23, ""p_sma"": 29, ""p_std"": 13, ""rsi_ob"": 72, ""rsi_os"": 26, ""rsi_period"": 75, ""rsi_required"": true, ""slip_atr_k"": 0.2431726419717928, ""slip_spread_k"": 0.7374967292228234, ""spread_hl_frac"": 0.03816548674751363, ""strategy"": ""breakout"", ""time_stop"": 219, ""tp_mult"": 1.737542131865031, ""tsl_mult"": 0.9178553189782299, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1662965784324499}"
5,-0.12018842819744935,-0.13486054246812498,-1000000000.0,0.13486054246812498,-0.12018842819744935,-0.13486054246812498,1136.0,mean_reversion,1,"{""adx_thresh"": 9.436464077559245, ""atr_max_pct"": 0.02632147746567089, ""atr_min_pct"": 0.022819299534924776, ""bb_std_mult"": 1.1213099965344617, ""edge_cap"": 0.7332615245151679, ""edge_k"": 1.6732128406891522, ""ema1"": 7, ""ema2"": 25, ""p_adx"": 9, ""p_atr"": 27, ""p_sma"": 28, ""p_std"": 5, ""rsi_ob"": 72, ""rsi_os"": 37, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.18198289038489338, ""slip_spread_k"": 0.007001559073721908, ""spread_hl_frac"": 0.04374882102696001, ""strategy"": ""mean_reversion"", ""time_stop"": 72, ""tp_mult"": 1.4594833883373495, ""tsl_mult"": 0.6970449283187249, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20213138460453475}"
6,-0.1620298105595499,-0.16188482006634114,-1000000000.0,0.16188482006634114,-0.1620298105595499,-0.16188482006634114,770.0,breakout,1,"{""adx_thresh"": 13.359764508416133, ""atr_max_pct"": 0.14631314121151803, ""atr_min_pct"": 0.029813307544900244, ""bb_std_mult"": 2.276912361281455, ""edge_cap"": 0.067396903207492, ""edge_k"": 1.574384379110766, ""ema1"": 14, ""ema2"": 40, ""p_adx"": 17, ""p_atr"": 17, ""p_sma"": 17, ""p_std"": 54, ""rsi_ob"": 49, ""rsi_os"": 47, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.20369102937094927, ""slip_spread_k"": 0.9250769127023083, ""spread_hl_frac"": 0.04326145705806003, ""strategy"": ""breakout"", ""time_stop"": 154, ""tp_mult"": 1.4167086202027683, ""tsl_mult"": 0.3715398982595388, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18847572873288496}"
7,-0.15498027765140032,-0.15804016670017199,-1000000000.0,0.15804016670017199,-0.15498027765140032,-0.15804016670017199,801.0,mean_reversion,1,"{""adx_thresh"": 18.840556355451174, ""atr_max_pct"": 0.09979343777436481, ""atr_min_pct"": 0.015013810107126626, ""bb_std_mult"": 2.2342001754385543, ""edge_cap"": 0.7836930522001253, ""edge_k"": 1.684918703812116, ""ema1"": 19, ""ema2"": 15, ""p_adx"": 8, ""p_atr"": 24, ""p_sma"": 10, ""p_std"": 38, ""rsi_ob"": 94, ""rsi_os"": 48, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.2398225723936263, ""slip_spread_k"": 0.808973380182746, ""spread_hl_frac"": 0.027959393675139877, ""strategy"": ""mean_reversion"", ""time_stop"": 110, ""tp_mult"": 2.4873564252983202, ""tsl_mult"": 0.27658179792934057, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14687585768017766}"
8,0.03611164020850022,-0.03309444370337922,0.03611164020850022,0.03309444370337922,0.03611164020850022,-0.03309444370337922,1146.0,breakout,1,"{""adx_thresh"": 19.080997565472764, ""atr_max_pct"": 0.07772013194092195, ""atr_min_pct"": 0.016775226275530575, ""bb_std_mult"": 3.4748479937912435, ""edge_cap"": 0.45441678193058965, ""edge_k"": 0.6719047234301376, ""ema1"": 27, ""ema2"": 23, ""p_adx"": 12, ""p_atr"": 15, ""p_sma"": 42, ""p_std"": 23, ""rsi_ob"": 54, ""rsi_os"": 6, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.023278884408446693, ""slip_spread_k"": 0.9640673113885048, ""spread_hl_frac"": 0.026593937851165445, ""strategy"": ""breakout"", ""time_stop"": 296, ""tp_mult"": 1.0618237500175012, ""tsl_mult"": 0.16668225245903368, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18228041959647984}"
9,-0.040309746561699056,-0.055669157056205155,-1000000000.0,0.055669157056205155,-0.040309746561699056,-0.055669157056205155,929.0,breakout,1,"{""adx_thresh"": 13.007108739736966, ""atr_max_pct"": 0.14999692923471256, ""atr_min_pct"": 0.0025120341124515865, ""bb_std_mult"": 1.3861921054789508, ""edge_cap"": 0.35711075127391234, ""edge_k"": 1.3377262490337212, ""ema1"": 24, ""ema2"": 11, ""p_adx"": 12, ""p_atr"": 23, ""p_sma"": 35, ""p_std"": 47, ""rsi_ob"": 45, ""rsi_os"": 37, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.11000041926265089, ""slip_spread_k"": 0.5954881507764058, ""spread_hl_frac"": 0.021481841760291626, ""strategy"": ""breakout"", ""time_stop"": 26, ""tp_mult"": 1.085409529660153, ""tsl_mult"": 0.1634479143118287, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0620228657886706}"
