month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,3,1,2,33.33,1.7485011000005177,0.5828337000001725,-0.5883643799998678,1.7485011000005177
2020-01-31,14,6,8,42.86,195.30786233999962,13.950561595714259,-0.0950613199999956,197.05636344000013
2020-02-29,11,4,7,36.36,-9.839574189999702,-0.8945067445454274,-1.9545662399999024,187.21678925000043
2020-03-31,13,8,5,61.54,220.75164952000037,16.980896116923105,0.3836044800002302,407.96843877000083
2020-04-30,18,10,8,55.56,98.33313517999757,5.46295195444431,0.6921351750000329,506.3015739499984
2020-05-31,11,6,5,54.55,-11.735336520001992,-1.0668487745456356,0.0048611199997845,494.5662374299964
2020-06-30,13,1,12,7.69,-25.203730640000806,-1.9387485107692928,-7.150769660000352,469.3625067899956
2020-07-31,6,0,6,0.0,-18.48166045000012,-3.0802767416666867,-2.020736044999927,450.8808463399955
2020-08-31,9,2,7,22.22,49.72131309999796,5.524590344444217,-2.494639909999863,500.60215943999344
2020-09-30,25,10,15,40.0,197.3019840300061,7.892079361200245,-0.8099001600002462,697.9041434699996
2020-10-31,8,3,5,37.5,31.381519770000292,3.9226899712500365,-0.801552184999898,729.2856632399998
2020-11-30,8,3,5,37.5,-6.123308570002162,-0.7654135712502702,-2.629884080000353,723.1623546699977
