number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.07889868885204998,-0.08071291232255588,-1000000000.0,0.08071291232255588,-0.07889868885204998,-0.08071291232255588,507.0,breakout,1,"{""adx_thresh"": 9.319866460651754, ""atr_max_pct"": 0.04175233351699677, ""atr_min_pct"": 0.0287952068476543, ""bb_std_mult"": 1.8623674368124217, ""edge_cap"": 0.26254591316538173, ""edge_k"": 1.538886049533411, ""ema1"": 8, ""ema2"": 51, ""p_adx"": 15, ""p_atr"": 27, ""p_sma"": 32, ""p_std"": 23, ""rsi_ob"": 57, ""rsi_os"": 22, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.1922132625340811, ""slip_spread_k"": 0.40275782297405616, ""spread_hl_frac"": 0.026648877346899077, ""strategy"": ""breakout"", ""time_stop"": 87, ""tp_mult"": 2.3224077356089214, ""tsl_mult"": 0.9549299863077522, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.25405629974748994}"
1,-0.01423687641690008,-0.029370095935898843,-0.01423687641690008,0.029370095935898843,-0.01423687641690008,-0.029370095935898843,515.0,breakout,1,"{""adx_thresh"": 27.896366295429573, ""atr_max_pct"": 0.10834070310147094, ""atr_min_pct"": 0.018975952077286046, ""bb_std_mult"": 2.700776350833041, ""edge_cap"": 0.6104885338584366, ""edge_k"": 0.6012497206564564, ""ema1"": 28, ""ema2"": 19, ""p_adx"": 12, ""p_atr"": 25, ""p_sma"": 40, ""p_std"": 38, ""rsi_ob"": 81, ""rsi_os"": 40, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.05296277856419429, ""slip_spread_k"": 0.38387569059211457, ""spread_hl_frac"": 0.031209627425895392, ""strategy"": ""breakout"", ""time_stop"": 110, ""tp_mult"": 2.9058983605642332, ""tsl_mult"": 0.6341203548331564, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16040852350659524}"
2,-0.06082215948260017,-0.06333355525528121,-1000000000.0,0.06333355525528121,-0.06082215948260017,-0.06333355525528121,483.0,breakout,1,"{""adx_thresh"": 20.569972150747727, ""atr_max_pct"": 0.06844995506671732, ""atr_min_pct"": 0.022550600250923793, ""bb_std_mult"": 2.932116214711959, ""edge_cap"": 0.7565765650848929, ""edge_k"": 1.2246133789664668, ""ema1"": 17, ""ema2"": 19, ""p_adx"": 22, ""p_atr"": 8, ""p_sma"": 53, ""p_std"": 38, ""rsi_ob"": 66, ""rsi_os"": 24, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.15145179587428353, ""slip_spread_k"": 0.32316029923432343, ""spread_hl_frac"": 0.036978326737026994, ""strategy"": ""breakout"", ""time_stop"": 17, ""tp_mult"": 1.3478631882959817, ""tsl_mult"": 0.7518089523178696, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2779975295184635}"
3,-0.059827151166599646,-0.06177676873324162,-1000000000.0,0.06177676873324162,-0.059827151166599646,-0.06177676873324162,535.0,breakout,1,"{""adx_thresh"": 12.216504260975194, ""atr_max_pct"": 0.13968557871995407, ""atr_min_pct"": 0.010944811586678621, ""bb_std_mult"": 3.365252101063168, ""edge_cap"": 0.31399308823662125, ""edge_k"": 1.9605974086618536, ""ema1"": 20, ""ema2"": 25, ""p_adx"": 28, ""p_atr"": 28, ""p_sma"": 50, ""p_std"": 5, ""rsi_ob"": 64, ""rsi_os"": 28, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.1324616045882631, ""slip_spread_k"": 0.6015936926414909, ""spread_hl_frac"": 0.014072318718640809, ""strategy"": ""breakout"", ""time_stop"": 60, ""tp_mult"": 2.5399625319373973, ""tsl_mult"": 0.7816076003862091, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.038349253771608895}"
4,-0.01843174742000042,-0.019995772752577454,-0.01843174742000042,0.019995772752577454,-0.01843174742000042,-0.019995772752577454,465.0,breakout,1,"{""adx_thresh"": 23.89486960860606, ""atr_max_pct"": 0.07454713420187783, ""atr_min_pct"": 0.023197236884373886, ""bb_std_mult"": 3.4283695725909933, ""edge_cap"": 0.7737985608104383, ""edge_k"": 0.2133707956654649, ""ema1"": 11, ""ema2"": 12, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 35, ""p_std"": 50, ""rsi_ob"": 66, ""rsi_os"": 48, ""rsi_period"": 52, ""rsi_required"": true, ""slip_atr_k"": 0.08451785859944105, ""slip_spread_k"": 0.8744443605219399, ""spread_hl_frac"": 0.029088330503431084, ""strategy"": ""breakout"", ""time_stop"": 244, ""tp_mult"": 1.1604833586884833, ""tsl_mult"": 0.881089885559259, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23931847680943433}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.134774646217336, ""atr_max_pct"": 0.017084143314924586, ""atr_min_pct"": 0.01374964645513498, ""bb_std_mult"": 1.6600413160223868, ""edge_cap"": 0.7664027681999394, ""edge_k"": 1.2562976033840199, ""ema1"": 27, ""ema2"": 46, ""p_adx"": 13, ""p_atr"": 29, ""p_sma"": 41, ""p_std"": 38, ""rsi_ob"": 48, ""rsi_os"": 51, ""rsi_period"": 48, ""rsi_required"": false, ""slip_atr_k"": 0.10060865728426949, ""slip_spread_k"": 0.4711708985686758, ""spread_hl_frac"": 0.0018307326007847514, ""strategy"": ""mean_reversion"", ""time_stop"": 253, ""tp_mult"": 1.2872930888911278, ""tsl_mult"": 0.018421315944053274, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1608937310812802}"
6,-0.05352979137964953,-0.05850027045750268,-1000000000.0,0.05850027045750268,-0.05352979137964953,-0.05850027045750268,518.0,breakout,1,"{""adx_thresh"": 19.279009270812118, ""atr_max_pct"": 0.06037258111201284, ""atr_min_pct"": 0.019897670328240462, ""bb_std_mult"": 3.301385404792289, ""edge_cap"": 0.7329148493312806, ""edge_k"": 1.3321876684270955, ""ema1"": 27, ""ema2"": 46, ""p_adx"": 28, ""p_atr"": 11, ""p_sma"": 40, ""p_std"": 19, ""rsi_ob"": 72, ""rsi_os"": 11, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.16312618185135302, ""slip_spread_k"": 0.28857747908790654, ""spread_hl_frac"": 0.03271182830622565, ""strategy"": ""breakout"", ""time_stop"": 154, ""tp_mult"": 2.6174069517232703, ""tsl_mult"": 0.9813942274495642, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17693633304270395}"
7,-0.05565670033509995,-0.0575711023671961,-1000000000.0,0.0575711023671961,-0.05565670033509995,-0.0575711023671961,459.0,breakout,1,"{""adx_thresh"": 15.28200632149197, ""atr_max_pct"": 0.11042367357125565, ""atr_min_pct"": 0.02150356074158987, ""bb_std_mult"": 3.180280799110853, ""edge_cap"": 0.2353544022501601, ""edge_k"": 1.5172054903902652, ""ema1"": 11, ""ema2"": 27, ""p_adx"": 27, ""p_atr"": 8, ""p_sma"": 60, ""p_std"": 56, ""rsi_ob"": 52, ""rsi_os"": 47, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.15265965911749538, ""slip_spread_k"": 0.13154222742564614, ""spread_hl_frac"": 0.037808304497168016, ""strategy"": ""breakout"", ""time_stop"": 26, ""tp_mult"": 1.2238758850567588, ""tsl_mult"": 0.9033860240545315, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.00678267688906583}"
8,-0.03210091464830056,-0.039263415646257745,-0.03210091464830056,0.039263415646257745,-0.03210091464830056,-0.039263415646257745,472.0,mean_reversion,1,"{""adx_thresh"": 20.82018483573745, ""atr_max_pct"": 0.027920809027078077, ""atr_min_pct"": 0.019823178590206054, ""bb_std_mult"": 1.1825101275908658, ""edge_cap"": 0.4222520742451332, ""edge_k"": 1.269503304821256, ""ema1"": 13, ""ema2"": 59, ""p_adx"": 22, ""p_atr"": 10, ""p_sma"": 41, ""p_std"": 47, ""rsi_ob"": 58, ""rsi_os"": 30, ""rsi_period"": 25, ""rsi_required"": true, ""slip_atr_k"": 0.08147845214836313, ""slip_spread_k"": 0.947942453591353, ""spread_hl_frac"": 0.037654605010837124, ""strategy"": ""mean_reversion"", ""time_stop"": 109, ""tp_mult"": 2.175381350130381, ""tsl_mult"": 0.11945954636880718, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25541928829758875}"
9,-0.018388539461200115,-0.026026566608471267,-0.018388539461200115,0.026026566608471267,-0.018388539461200115,-0.026026566608471267,396.0,breakout,1,"{""adx_thresh"": 9.496261317506624, ""atr_max_pct"": 0.02143022709205496, ""atr_min_pct"": 0.014526907240569927, ""bb_std_mult"": 1.4960318197095754, ""edge_cap"": 0.2726753943877758, ""edge_k"": 0.18988327665262728, ""ema1"": 30, ""ema2"": 26, ""p_adx"": 15, ""p_atr"": 19, ""p_sma"": 16, ""p_std"": 60, ""rsi_ob"": 72, ""rsi_os"": 43, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.06494844545095671, ""slip_spread_k"": 0.9410169120417295, ""spread_hl_frac"": 0.04269463053251853, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 2.8140485821949914, ""tsl_mult"": 0.7961541394420666, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12324790014036091}"
