number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.07300332875040005,-0.07645066559743827,-1000000000.0,0.07645066559743827,-0.07300332875040005,-0.07645066559743827,489.0,mean_reversion,1,"{""adx_thresh"": 10.730949667462253, ""atr_max_pct"": 0.1449436712809416, ""atr_min_pct"": 0.015009593548742317, ""bb_std_mult"": 3.5162925293551246, ""edge_cap"": 0.2765607198312521, ""edge_k"": 0.45200052295393367, ""ema1"": 21, ""ema2"": 54, ""p_adx"": 21, ""p_atr"": 23, ""p_sma"": 11, ""p_std"": 27, ""rsi_ob"": 80, ""rsi_os"": 21, ""rsi_period"": 10, ""rsi_required"": false, ""slip_atr_k"": 0.24770593217352824, ""slip_spread_k"": 0.486845195208648, ""spread_hl_frac"": 0.0026419647862832353, ""strategy"": ""mean_reversion"", ""time_stop"": 142, ""tp_mult"": 2.1036883307225795, ""tsl_mult"": 0.6989403776829325, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.015118759815805826}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.895658401419062, ""atr_max_pct"": 0.014826585178262266, ""atr_min_pct"": 0.021269542144166338, ""bb_std_mult"": 2.6487634361704493, ""edge_cap"": 0.2988669143957013, ""edge_k"": 0.6891953781457731, ""ema1"": 5, ""ema2"": 21, ""p_adx"": 22, ""p_atr"": 21, ""p_sma"": 5, ""p_std"": 33, ""rsi_ob"": 91, ""rsi_os"": 31, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.11920071936223942, ""slip_spread_k"": 0.09663807766388854, ""spread_hl_frac"": 0.031247816071871395, ""strategy"": ""mean_reversion"", ""time_stop"": 150, ""tp_mult"": 1.7393237857164419, ""tsl_mult"": 0.14530436671566516, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.020697236925720442}"
2,0.000586598598049104,-0.0167061879406305,0.000586598598049104,0.0167061879406305,0.000586598598049104,-0.0167061879406305,547.0,mean_reversion,1,"{""adx_thresh"": 7.359839096793934, ""atr_max_pct"": 0.0775256997129336, ""atr_min_pct"": 0.01341353259215926, ""bb_std_mult"": 1.2998270809625199, ""edge_cap"": 0.05978916321051514, ""edge_k"": 0.9635763225432079, ""ema1"": 10, ""ema2"": 49, ""p_adx"": 9, ""p_atr"": 24, ""p_sma"": 38, ""p_std"": 29, ""rsi_ob"": 52, ""rsi_os"": 17, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.07019361047737746, ""slip_spread_k"": 0.021837737887889452, ""spread_hl_frac"": 0.03352803624696069, ""strategy"": ""mean_reversion"", ""time_stop"": 140, ""tp_mult"": 1.2511579667189412, ""tsl_mult"": 0.9421689261264574, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24547154544076055}"
3,-0.02328554024930074,-0.0324284634608221,-0.02328554024930074,0.0324284634608221,-0.02328554024930074,-0.0324284634608221,576.0,breakout,1,"{""adx_thresh"": 14.831721594028563, ""atr_max_pct"": 0.06677038843581477, ""atr_min_pct"": 0.01775116190527889, ""bb_std_mult"": 3.4127123958512806, ""edge_cap"": 0.9006837315436581, ""edge_k"": 1.7255443867260205, ""ema1"": 22, ""ema2"": 30, ""p_adx"": 14, ""p_atr"": 21, ""p_sma"": 23, ""p_std"": 20, ""rsi_ob"": 71, ""rsi_os"": 35, ""rsi_period"": 50, ""rsi_required"": false, ""slip_atr_k"": 0.08615354706505024, ""slip_spread_k"": 0.1578936597877041, ""spread_hl_frac"": 0.008972975886842422, ""strategy"": ""breakout"", ""time_stop"": 267, ""tp_mult"": 2.694411007231073, ""tsl_mult"": 0.6428898649112559, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08538456694738339}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.712925795815757, ""atr_max_pct"": 0.057406311826790624, ""atr_min_pct"": 0.01269455288742749, ""bb_std_mult"": 2.8433003858410584, ""edge_cap"": 0.2368897465650785, ""edge_k"": 0.42855762403124986, ""ema1"": 29, ""ema2"": 32, ""p_adx"": 8, ""p_atr"": 18, ""p_sma"": 24, ""p_std"": 14, ""rsi_ob"": 46, ""rsi_os"": 28, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.01790627517197474, ""slip_spread_k"": 0.3524494193136468, ""spread_hl_frac"": 0.03814980607260368, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 2.29490509954588, ""tsl_mult"": 0.717387885655301, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20825524222981234}"
5,0.002805892610499461,-0.013445348432794848,0.002805892610499461,0.013445348432794848,0.002805892610499461,-0.013445348432794848,484.0,mean_reversion,1,"{""adx_thresh"": 24.647587445587696, ""atr_max_pct"": 0.02116638207150937, ""atr_min_pct"": 0.005660566811884478, ""bb_std_mult"": 2.813741751129002, ""edge_cap"": 0.060722339975437994, ""edge_k"": 1.1314457625616643, ""ema1"": 8, ""ema2"": 30, ""p_adx"": 18, ""p_atr"": 11, ""p_sma"": 29, ""p_std"": 45, ""rsi_ob"": 69, ""rsi_os"": 11, ""rsi_period"": 22, ""rsi_required"": false, ""slip_atr_k"": 0.024789715771321108, ""slip_spread_k"": 0.6395819414316084, ""spread_hl_frac"": 0.045998477335655895, ""strategy"": ""mean_reversion"", ""time_stop"": 278, ""tp_mult"": 1.7537108608075858, ""tsl_mult"": 0.22183244528794976, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2792359189233192}"
6,-0.022660396980550113,-0.03087660876883582,-0.022660396980550113,0.03087660876883582,-0.022660396980550113,-0.03087660876883582,523.0,breakout,1,"{""adx_thresh"": 24.96181536096496, ""atr_max_pct"": 0.059195501048261545, ""atr_min_pct"": 0.028574566832251364, ""bb_std_mult"": 1.3148525089623042, ""edge_cap"": 0.8065121473057754, ""edge_k"": 1.1495702573243094, ""ema1"": 16, ""ema2"": 36, ""p_adx"": 8, ""p_atr"": 20, ""p_sma"": 45, ""p_std"": 34, ""rsi_ob"": 46, ""rsi_os"": 47, ""rsi_period"": 67, ""rsi_required"": true, ""slip_atr_k"": 0.08513376470993009, ""slip_spread_k"": 0.4578720218432689, ""spread_hl_frac"": 0.04052118846455416, ""strategy"": ""breakout"", ""time_stop"": 15, ""tp_mult"": 1.7822148435650842, ""tsl_mult"": 0.1696750111669525, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2535861479830466}"
7,-0.04357413828385048,-0.04903028333008009,-1000000000.0,0.04903028333008009,-0.04357413828385048,-0.04903028333008009,451.0,breakout,1,"{""adx_thresh"": 15.9784043867516, ""atr_max_pct"": 0.04759113745003299, ""atr_min_pct"": 0.005901793734481454, ""bb_std_mult"": 2.8632776137140152, ""edge_cap"": 0.12139069245221464, ""edge_k"": 1.4474428014874534, ""ema1"": 21, ""ema2"": 28, ""p_adx"": 13, ""p_atr"": 13, ""p_sma"": 46, ""p_std"": 52, ""rsi_ob"": 77, ""rsi_os"": 18, ""rsi_period"": 75, ""rsi_required"": false, ""slip_atr_k"": 0.13943077752398994, ""slip_spread_k"": 0.46573980825698, ""spread_hl_frac"": 0.04301005337796643, ""strategy"": ""breakout"", ""time_stop"": 158, ""tp_mult"": 2.6016795749292467, ""tsl_mult"": 0.6012843266676963, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06672973455087809}"
8,-0.04543479106920045,-0.04999849939966792,-1000000000.0,0.04999849939966792,-0.04543479106920045,-0.04999849939966792,468.0,breakout,1,"{""adx_thresh"": 12.188087460186534, ""atr_max_pct"": 0.038624861826530375, ""atr_min_pct"": 0.020951303866282932, ""bb_std_mult"": 3.061556874297185, ""edge_cap"": 0.8883072185509376, ""edge_k"": 0.27922083402405096, ""ema1"": 29, ""ema2"": 26, ""p_adx"": 25, ""p_atr"": 26, ""p_sma"": 14, ""p_std"": 37, ""rsi_ob"": 61, ""rsi_os"": 15, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.18101399348895889, ""slip_spread_k"": 0.8953577945792709, ""spread_hl_frac"": 0.023830342450568955, ""strategy"": ""breakout"", ""time_stop"": 70, ""tp_mult"": 2.2214444057781733, ""tsl_mult"": 0.7481046032702235, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.012425517945311703}"
9,-0.0734619478969496,-0.07476545433288587,-1000000000.0,0.07476545433288587,-0.0734619478969496,-0.07476545433288587,543.0,mean_reversion,1,"{""adx_thresh"": 26.23577369837254, ""atr_max_pct"": 0.027946257719826853, ""atr_min_pct"": 0.021538701227296446, ""bb_std_mult"": 2.869941912539718, ""edge_cap"": 0.902951176694439, ""edge_k"": 0.28996991152371154, ""ema1"": 13, ""ema2"": 58, ""p_adx"": 18, ""p_atr"": 16, ""p_sma"": 12, ""p_std"": 15, ""rsi_ob"": 76, ""rsi_os"": 42, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.22610867098083234, ""slip_spread_k"": 0.0961134922890502, ""spread_hl_frac"": 0.03924765371995364, ""strategy"": ""mean_reversion"", ""time_stop"": 261, ""tp_mult"": 2.799622393911389, ""tsl_mult"": 0.5224586063458083, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.20908956029937334}"
