month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,3,1,2,33.33,1.9988209999987916,0.6662736666662639,-0.4005641999999939,1.9988209999987916
2020-01-31,13,6,7,46.15,218.8840289099998,16.83723299307691,-0.0157239099999972,220.8828499099986
2020-02-29,12,4,8,33.33,-10.425044050000954,-0.8687536708334128,-1.421751440000034,210.45780585999765
2020-03-31,13,8,5,61.54,224.3769541799996,17.259765706153814,0.2131059000001132,434.83476003999726
2020-04-30,17,10,7,58.82,112.47782764000121,6.616342802353012,0.8284279500000226,547.3125876799985
2020-05-31,10,4,6,40.0,-5.9389084500011675,-0.5938908450001168,-0.10616890500033165,541.3736792299974
2020-06-30,13,1,12,7.69,-28.53993653999326,-2.1953797338456353,-8.726068260000762,512.8337426900041
2020-07-31,6,0,6,0.0,-18.171280639998805,-3.0285467733331344,-1.3527060750000466,494.6624620500053
2020-08-31,8,2,6,25.0,76.08633782000008,9.51079222750001,-2.1008118850005895,570.7487998700053
2020-09-30,25,10,15,40.0,216.09250807000035,8.643700322800013,-0.5418564399997878,786.8413079400057
2020-10-31,8,3,5,37.5,38.44905396000211,4.806131745000264,-0.5381584299999514,825.2903619000077
2020-11-30,7,1,6,14.29,-28.857080900000778,-4.122440128571539,-4.685215920000837,796.4332810000069
