number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.05741981789000039,-0.06136678962541781,-1000000000.0,0.06136678962541781,-0.05741981789000039,-0.06136678962541781,489.0,breakout,1,"{""adx_thresh"": 19.978696287399792, ""atr_max_pct"": 0.14096723319802923, ""atr_min_pct"": 0.016258827605897527, ""bb_std_mult"": 2.848655676120144, ""edge_cap"": 0.9663665563607645, ""edge_k"": 0.14570875771015657, ""ema1"": 23, ""ema2"": 24, ""p_adx"": 10, ""p_atr"": 14, ""p_sma"": 29, ""p_std"": 31, ""rsi_ob"": 71, ""rsi_os"": 49, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.15709698529991967, ""slip_spread_k"": 0.47143296810067703, ""spread_hl_frac"": 0.033424905741348175, ""strategy"": ""breakout"", ""time_stop"": 181, ""tp_mult"": 2.511871181109513, ""tsl_mult"": 0.15484499285092357, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.16794959488608938}"
1,-0.09240064118585056,-0.09400875693678486,-1000000000.0,0.09400875693678486,-0.09240064118585056,-0.09400875693678486,518.0,mean_reversion,1,"{""adx_thresh"": 34.801391332437134, ""atr_max_pct"": 0.011702192638876785, ""atr_min_pct"": 0.00307193367859076, ""bb_std_mult"": 3.3025050944684438, ""edge_cap"": 0.7703188355162516, ""edge_k"": 0.13373894460939506, ""ema1"": 21, ""ema2"": 43, ""p_adx"": 23, ""p_atr"": 17, ""p_sma"": 28, ""p_std"": 13, ""rsi_ob"": 59, ""rsi_os"": 35, ""rsi_period"": 44, ""rsi_required"": false, ""slip_atr_k"": 0.22687735376440016, ""slip_spread_k"": 0.7959564456145991, ""spread_hl_frac"": 0.045136635970407686, ""strategy"": ""mean_reversion"", ""time_stop"": 195, ""tp_mult"": 1.9251916436496714, ""tsl_mult"": 0.33899997897060696, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.21388776714535798}"
2,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 32.73545192645452, ""atr_max_pct"": 0.014116044107703025, ""atr_min_pct"": 0.024022555096535704, ""bb_std_mult"": 2.992413537758252, ""edge_cap"": 0.1887309527087929, ""edge_k"": 1.3041946964070508, ""ema1"": 9, ""ema2"": 15, ""p_adx"": 23, ""p_atr"": 26, ""p_sma"": 15, ""p_std"": 57, ""rsi_ob"": 77, ""rsi_os"": 25, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.018818472756045257, ""slip_spread_k"": 0.8078553880478734, ""spread_hl_frac"": 0.024195716659098282, ""strategy"": ""breakout"", ""time_stop"": 62, ""tp_mult"": 1.691288325669816, ""tsl_mult"": 0.7312116439396926, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28840935552330277}"
3,-0.030211627453550327,-0.03150616811700791,-0.030211627453550327,0.03150616811700791,-0.030211627453550327,-0.03150616811700791,530.0,mean_reversion,1,"{""adx_thresh"": 10.58987349983536, ""atr_max_pct"": 0.013858883353317015, ""atr_min_pct"": 0.007364213605638788, ""bb_std_mult"": 2.7309167185383223, ""edge_cap"": 0.3721724669060066, ""edge_k"": 0.2814971949824445, ""ema1"": 24, ""ema2"": 54, ""p_adx"": 8, ""p_atr"": 28, ""p_sma"": 44, ""p_std"": 13, ""rsi_ob"": 84, ""rsi_os"": 24, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.09130227620432904, ""slip_spread_k"": 0.7736793063070873, ""spread_hl_frac"": 0.029534227886218952, ""strategy"": ""mean_reversion"", ""time_stop"": 253, ""tp_mult"": 1.8441435638465427, ""tsl_mult"": 0.053611673122489045, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.29655214217226544}"
4,-0.013331911973299637,-0.018878097395721938,-0.013331911973299637,0.018878097395721938,-0.013331911973299637,-0.018878097395721938,229.0,breakout,1,"{""adx_thresh"": 28.700742831658587, ""atr_max_pct"": 0.12856465379256923, ""atr_min_pct"": 0.012503862443688613, ""bb_std_mult"": 2.662473366791313, ""edge_cap"": 0.49695649720663, ""edge_k"": 0.8036352909512798, ""ema1"": 22, ""ema2"": 50, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 6, ""p_std"": 59, ""rsi_ob"": 65, ""rsi_os"": 11, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.20643276878249803, ""slip_spread_k"": 0.1412163261838466, ""spread_hl_frac"": 0.018957684286821364, ""strategy"": ""breakout"", ""time_stop"": 98, ""tp_mult"": 2.606041050950969, ""tsl_mult"": 0.24823830570219962, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06266782476998185}"
5,-0.08063119198200042,-0.08215578115545387,-1000000000.0,0.08215578115545387,-0.08063119198200042,-0.08215578115545387,452.0,mean_reversion,1,"{""adx_thresh"": 12.428486850060388, ""atr_max_pct"": 0.10764556124142395, ""atr_min_pct"": 0.003773416288018081, ""bb_std_mult"": 0.7013739954893194, ""edge_cap"": 0.8326924156479097, ""edge_k"": 0.7764108259819646, ""ema1"": 6, ""ema2"": 40, ""p_adx"": 24, ""p_atr"": 15, ""p_sma"": 37, ""p_std"": 40, ""rsi_ob"": 80, ""rsi_os"": 21, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.23840015088518315, ""slip_spread_k"": 0.6699065004793231, ""spread_hl_frac"": 0.03946112174311219, ""strategy"": ""mean_reversion"", ""time_stop"": 132, ""tp_mult"": 1.4189493506918114, ""tsl_mult"": 0.30398050547611066, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12609326184542988}"
6,0.011814372362999759,-0.017555242541229147,0.011814372362999759,0.017555242541229147,0.011814372362999759,-0.017555242541229147,609.0,mean_reversion,1,"{""adx_thresh"": 15.190571210341822, ""atr_max_pct"": 0.033880167265377424, ""atr_min_pct"": 0.012170128557957115, ""bb_std_mult"": 1.6477831980300064, ""edge_cap"": 0.9300964107210048, ""edge_k"": 0.7888314909447995, ""ema1"": 26, ""ema2"": 43, ""p_adx"": 11, ""p_atr"": 15, ""p_sma"": 23, ""p_std"": 11, ""rsi_ob"": 93, ""rsi_os"": 27, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.004049637065111911, ""slip_spread_k"": 0.35364078872829086, ""spread_hl_frac"": 0.03799396565312596, ""strategy"": ""mean_reversion"", ""time_stop"": 143, ""tp_mult"": 1.7436608222151038, ""tsl_mult"": 0.044526158906975866, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08377023009737439}"
7,-0.06195014930095,-0.06579383683292496,-1000000000.0,0.06579383683292496,-0.06195014930095,-0.06579383683292496,425.0,mean_reversion,1,"{""adx_thresh"": 20.817409116869836, ""atr_max_pct"": 0.10338007926093053, ""atr_min_pct"": 0.007840276580247484, ""bb_std_mult"": 2.5223777901208164, ""edge_cap"": 0.2652780078904537, ""edge_k"": 0.7968217261008685, ""ema1"": 28, ""ema2"": 23, ""p_adx"": 20, ""p_atr"": 13, ""p_sma"": 24, ""p_std"": 47, ""rsi_ob"": 83, ""rsi_os"": 36, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.23803599861510805, ""slip_spread_k"": 0.5675217559688133, ""spread_hl_frac"": 0.01728970279586703, ""strategy"": ""mean_reversion"", ""time_stop"": 147, ""tp_mult"": 1.5049755768503128, ""tsl_mult"": 0.8945177205777767, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11727396487793867}"
8,-0.008196772148049036,-0.0245673338139952,-0.008196772148049036,0.0245673338139952,-0.008196772148049036,-0.0245673338139952,528.0,breakout,1,"{""adx_thresh"": 13.594230584257755, ""atr_max_pct"": 0.08756955995269988, ""atr_min_pct"": 0.009773164805984981, ""bb_std_mult"": 1.5689782157700585, ""edge_cap"": 0.3723081052670303, ""edge_k"": 1.6583165946464338, ""ema1"": 13, ""ema2"": 46, ""p_adx"": 29, ""p_atr"": 12, ""p_sma"": 43, ""p_std"": 36, ""rsi_ob"": 62, ""rsi_os"": 27, ""rsi_period"": 53, ""rsi_required"": true, ""slip_atr_k"": 0.057362034374374316, ""slip_spread_k"": 0.49610817763070525, ""spread_hl_frac"": 0.034262976288414064, ""strategy"": ""breakout"", ""time_stop"": 47, ""tp_mult"": 1.4664711964713826, ""tsl_mult"": 0.9826062692764587, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1943128982209243}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 32.46825078900901, ""atr_max_pct"": 0.1497234036737791, ""atr_min_pct"": 0.002030716515875941, ""bb_std_mult"": 1.7449297853954242, ""edge_cap"": 0.843559610958131, ""edge_k"": 0.6914962716113853, ""ema1"": 29, ""ema2"": 44, ""p_adx"": 10, ""p_atr"": 10, ""p_sma"": 56, ""p_std"": 5, ""rsi_ob"": 72, ""rsi_os"": 53, ""rsi_period"": 44, ""rsi_required"": true, ""slip_atr_k"": 0.23452453662150505, ""slip_spread_k"": 0.972490780009465, ""spread_hl_frac"": 0.031585032003498846, ""strategy"": ""mean_reversion"", ""time_stop"": 159, ""tp_mult"": 2.972207200168465, ""tsl_mult"": 0.9693460856653907, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22251046577073638}"
