number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 6.097620948274188, ""atr_max_pct"": 0.010266633213028939, ""atr_min_pct"": 0.02901357559863256, ""bb_std_mult"": 1.44850348491545, ""edge_cap"": 0.08354919808545584, ""edge_k"": 1.4864870841003226, ""ema1"": 28, ""ema2"": 41, ""p_adx"": 9, ""p_atr"": 19, ""p_sma"": 13, ""p_std"": 14, ""rsi_ob"": 75, ""rsi_os"": 37, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.08945082521289921, ""slip_spread_k"": 0.40320591882081036, ""spread_hl_frac"": 0.027957658231512618, ""strategy"": ""mean_reversion"", ""time_stop"": 31, ""tp_mult"": 2.141384201505423, ""tsl_mult"": 0.9704546923652009, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.049196651648651425}"
1,-0.07294777490150028,-0.0755395381589131,-1000000000.0,0.0755395381589131,-0.07294777490150028,-0.0755395381589131,469.0,breakout,1,"{""adx_thresh"": 11.846342045996419, ""atr_max_pct"": 0.13896903934455251, ""atr_min_pct"": 0.007943379584228374, ""bb_std_mult"": 2.4091577473237398, ""edge_cap"": 0.9461728103399798, ""edge_k"": 0.173039324223627, ""ema1"": 8, ""ema2"": 29, ""p_adx"": 27, ""p_atr"": 26, ""p_sma"": 40, ""p_std"": 33, ""rsi_ob"": 83, ""rsi_os"": 24, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.22621411509122802, ""slip_spread_k"": 0.5302732532550597, ""spread_hl_frac"": 0.03842622072334936, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 1.30485642297834, ""tsl_mult"": 0.017171000746962206, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28354495228154925}"
2,-0.03319783603809923,-0.0389645961074228,-0.03319783603809923,0.0389645961074228,-0.03319783603809923,-0.0389645961074228,550.0,breakout,1,"{""adx_thresh"": 22.654415908272448, ""atr_max_pct"": 0.05375790735373203, ""atr_min_pct"": 0.0037609843014037355, ""bb_std_mult"": 0.9549676153825345, ""edge_cap"": 0.2967491285618115, ""edge_k"": 0.03777754047150128, ""ema1"": 23, ""ema2"": 40, ""p_adx"": 29, ""p_atr"": 16, ""p_sma"": 31, ""p_std"": 17, ""rsi_ob"": 80, ""rsi_os"": 13, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.08138894505915847, ""slip_spread_k"": 0.5956374183296782, ""spread_hl_frac"": 0.04268826264252338, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 2.1876345856218924, ""tsl_mult"": 0.8666055557687234, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11796948041269398}"
3,0.011713393552999385,-0.012670799330018094,0.011713393552999385,0.012670799330018094,0.011713393552999385,-0.012670799330018094,586.0,mean_reversion,1,"{""adx_thresh"": 25.02450042325832, ""atr_max_pct"": 0.10453427134279705, ""atr_min_pct"": 0.02650306572350185, ""bb_std_mult"": 1.5209153609524464, ""edge_cap"": 0.17201824575569571, ""edge_k"": 1.5066959930987964, ""ema1"": 21, ""ema2"": 42, ""p_adx"": 9, ""p_atr"": 21, ""p_sma"": 21, ""p_std"": 23, ""rsi_ob"": 76, ""rsi_os"": 43, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.014366788311942935, ""slip_spread_k"": 0.2089372408221174, ""spread_hl_frac"": 0.012463383393391508, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 1.6397480272628693, ""tsl_mult"": 0.3090861776362718, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08463159994772501}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.058424631958621, ""atr_max_pct"": 0.0258487086648474, ""atr_min_pct"": 0.013888512137424197, ""bb_std_mult"": 3.3396688898571445, ""edge_cap"": 0.5900442506412994, ""edge_k"": 0.40086784029678, ""ema1"": 29, ""ema2"": 20, ""p_adx"": 16, ""p_atr"": 27, ""p_sma"": 22, ""p_std"": 44, ""rsi_ob"": 77, ""rsi_os"": 52, ""rsi_period"": 72, ""rsi_required"": true, ""slip_atr_k"": 0.1853733255768256, ""slip_spread_k"": 0.8550222503873813, ""spread_hl_frac"": 0.010669985046644116, ""strategy"": ""mean_reversion"", ""time_stop"": 53, ""tp_mult"": 1.08755779093287, ""tsl_mult"": 0.8303597384988238, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.02533574661227751}"
5,-0.07468144598780013,-0.07462222996402133,-1000000000.0,0.07462222996402133,-0.07468144598780013,-0.07462222996402133,455.0,mean_reversion,1,"{""adx_thresh"": 34.08796650240895, ""atr_max_pct"": 0.06721605137407906, ""atr_min_pct"": 0.00638269301486976, ""bb_std_mult"": 2.267880149267141, ""edge_cap"": 0.7005993121605679, ""edge_k"": 0.4147207901128902, ""ema1"": 10, ""ema2"": 13, ""p_adx"": 29, ""p_atr"": 20, ""p_sma"": 52, ""p_std"": 45, ""rsi_ob"": 80, ""rsi_os"": 26, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.22313188860593192, ""slip_spread_k"": 0.8203015657977281, ""spread_hl_frac"": 0.007657576647355752, ""strategy"": ""mean_reversion"", ""time_stop"": 33, ""tp_mult"": 2.0196700173273636, ""tsl_mult"": 0.8690186455738117, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.01703258267706187}"
6,-0.06575676865520053,-0.06701748870601519,-1000000000.0,0.06701748870601519,-0.06575676865520053,-0.06701748870601519,514.0,breakout,1,"{""adx_thresh"": 24.774761022124835, ""atr_max_pct"": 0.12626322336001913, ""atr_min_pct"": 0.029808436858232767, ""bb_std_mult"": 2.808442057904854, ""edge_cap"": 0.9997834027789482, ""edge_k"": 1.4167627102018856, ""ema1"": 12, ""ema2"": 47, ""p_adx"": 20, ""p_atr"": 12, ""p_sma"": 55, ""p_std"": 14, ""rsi_ob"": 73, ""rsi_os"": 10, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.1865425826176831, ""slip_spread_k"": 0.2767651627118608, ""spread_hl_frac"": 0.024711685520249594, ""strategy"": ""breakout"", ""time_stop"": 111, ""tp_mult"": 1.8613538884170069, ""tsl_mult"": 0.18538874027815644, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03550609397127182}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.414679576222206, ""atr_max_pct"": 0.10273157749472048, ""atr_min_pct"": 0.019951394642109377, ""bb_std_mult"": 1.2023611910453376, ""edge_cap"": 0.7694711847592116, ""edge_k"": 1.5901708472086724, ""ema1"": 5, ""ema2"": 15, ""p_adx"": 28, ""p_atr"": 11, ""p_sma"": 53, ""p_std"": 20, ""rsi_ob"": 89, ""rsi_os"": 53, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.14538108870428618, ""slip_spread_k"": 0.5406777830019344, ""spread_hl_frac"": 0.049809443304982534, ""strategy"": ""mean_reversion"", ""time_stop"": 56, ""tp_mult"": 2.5358758306572087, ""tsl_mult"": 0.040984675492529155, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15761957878424898}"
8,-0.01881918986815001,-0.02576774699861262,-0.01881918986815001,0.02576774699861262,-0.01881918986815001,-0.02576774699861262,479.0,mean_reversion,1,"{""adx_thresh"": 5.888900045952839, ""atr_max_pct"": 0.12238765602916318, ""atr_min_pct"": 0.005430982910427124, ""bb_std_mult"": 1.9524793149224042, ""edge_cap"": 0.1307077255892969, ""edge_k"": 1.7995214853664783, ""ema1"": 15, ""ema2"": 28, ""p_adx"": 12, ""p_atr"": 20, ""p_sma"": 39, ""p_std"": 46, ""rsi_ob"": 82, ""rsi_os"": 19, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.1052090490240824, ""slip_spread_k"": 0.3571663085866964, ""spread_hl_frac"": 0.00030565206168434725, ""strategy"": ""mean_reversion"", ""time_stop"": 218, ""tp_mult"": 1.1106578038659438, ""tsl_mult"": 0.981214849354203, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16542989125183216}"
9,0.014090502709599884,-0.010681596976148433,0.014090502709599884,0.010681596976148433,0.014090502709599884,-0.010681596976148433,595.0,breakout,1,"{""adx_thresh"": 30.795820223384474, ""atr_max_pct"": 0.033317942650172926, ""atr_min_pct"": 0.021609766809462916, ""bb_std_mult"": 2.9071948525666054, ""edge_cap"": 0.8379382441969822, ""edge_k"": 1.8689980830948705, ""ema1"": 16, ""ema2"": 15, ""p_adx"": 23, ""p_atr"": 30, ""p_sma"": 30, ""p_std"": 16, ""rsi_ob"": 71, ""rsi_os"": 32, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.021640296606078885, ""slip_spread_k"": 0.9758988732738246, ""spread_hl_frac"": 0.001815505284656771, ""strategy"": ""breakout"", ""time_stop"": 88, ""tp_mult"": 2.565557249668418, ""tsl_mult"": 0.48007535705101934, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0016557157300264634}"
