number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.056286545915000485,-0.059472836354549974,-1000000000.0,0.059472836354549974,-0.056286545915000485,-0.059472836354549974,590.0,breakout,1,"{""adx_thresh"": 5.19776549343303, ""atr_max_pct"": 0.07687789616021506, ""atr_min_pct"": 0.012711845663948985, ""bb_std_mult"": 3.230013089975268, ""edge_cap"": 0.1013271622302343, ""edge_k"": 0.32614951621593624, ""ema1"": 22, ""ema2"": 60, ""p_adx"": 15, ""p_atr"": 17, ""p_sma"": 19, ""p_std"": 5, ""rsi_ob"": 54, ""rsi_os"": 31, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.13135072079856397, ""slip_spread_k"": 0.9714127223530973, ""spread_hl_frac"": 0.013473378519560026, ""strategy"": ""breakout"", ""time_stop"": 265, ""tp_mult"": 1.3977532243121942, ""tsl_mult"": 0.28067084747990156, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2588214846219333}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 15.646809385176574, ""atr_max_pct"": 0.019132483421628658, ""atr_min_pct"": 0.02187234532755068, ""bb_std_mult"": 2.6708978189452495, ""edge_cap"": 0.9532405872147859, ""edge_k"": 1.8631165162851007, ""ema1"": 11, ""ema2"": 52, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 48, ""p_std"": 31, ""rsi_ob"": 65, ""rsi_os"": 44, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.21456723999619048, ""slip_spread_k"": 0.6283795988082767, ""spread_hl_frac"": 0.013022605016020546, ""strategy"": ""mean_reversion"", ""time_stop"": 128, ""tp_mult"": 2.9496645850156735, ""tsl_mult"": 0.07654875082879264, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19772475892796842}"
2,-0.03990349269790017,-0.04598764359893281,-1000000000.0,0.04598764359893281,-0.03990349269790017,-0.04598764359893281,516.0,mean_reversion,1,"{""adx_thresh"": 34.744173826155254, ""atr_max_pct"": 0.14329732336427714, ""atr_min_pct"": 0.024094208031824625, ""bb_std_mult"": 1.981622445744542, ""edge_cap"": 0.4299941809367653, ""edge_k"": 1.5839794417001432, ""ema1"": 28, ""ema2"": 31, ""p_adx"": 24, ""p_atr"": 17, ""p_sma"": 33, ""p_std"": 30, ""rsi_ob"": 86, ""rsi_os"": 5, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.1441402476494915, ""slip_spread_k"": 0.3472957928833885, ""spread_hl_frac"": 0.004820131179643444, ""strategy"": ""mean_reversion"", ""time_stop"": 208, ""tp_mult"": 1.9764954778158854, ""tsl_mult"": 0.8927087079245418, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.15377112611477814}"
3,-0.050769373596650125,-0.05202321721533264,-1000000000.0,0.05202321721533264,-0.050769373596650125,-0.05202321721533264,367.0,mean_reversion,1,"{""adx_thresh"": 18.62030825283518, ""atr_max_pct"": 0.11753885953813459, ""atr_min_pct"": 0.02443884680335675, ""bb_std_mult"": 0.9628439143305221, ""edge_cap"": 0.3327367101943693, ""edge_k"": 1.243694701768413, ""ema1"": 24, ""ema2"": 47, ""p_adx"": 29, ""p_atr"": 13, ""p_sma"": 13, ""p_std"": 54, ""rsi_ob"": 55, ""rsi_os"": 49, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.1817177812876822, ""slip_spread_k"": 0.8873818273846394, ""spread_hl_frac"": 0.04515745478142886, ""strategy"": ""mean_reversion"", ""time_stop"": 232, ""tp_mult"": 1.3643400482151713, ""tsl_mult"": 0.5816551392202374, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.02936764772741518}"
4,-0.030232538701699063,-0.038258732378172115,-0.030232538701699063,0.038258732378172115,-0.030232538701699063,-0.038258732378172115,537.0,breakout,1,"{""adx_thresh"": 27.083634819498286, ""atr_max_pct"": 0.08306146879618126, ""atr_min_pct"": 0.028977047736619313, ""bb_std_mult"": 2.48493211804881, ""edge_cap"": 0.8841585814670347, ""edge_k"": 1.4611734663892209, ""ema1"": 16, ""ema2"": 10, ""p_adx"": 23, ""p_atr"": 22, ""p_sma"": 27, ""p_std"": 26, ""rsi_ob"": 91, ""rsi_os"": 52, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.10017055861611054, ""slip_spread_k"": 0.14157154603999278, ""spread_hl_frac"": 0.03573032181469475, ""strategy"": ""breakout"", ""time_stop"": 135, ""tp_mult"": 1.6201966080381194, ""tsl_mult"": 0.3749558875373442, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1353823180324813}"
5,-0.061314141262600264,-0.061242482517062866,-1000000000.0,0.061242482517062866,-0.061314141262600264,-0.061242482517062866,495.0,breakout,1,"{""adx_thresh"": 24.977686674771967, ""atr_max_pct"": 0.03698365204978643, ""atr_min_pct"": 0.01729689486981254, ""bb_std_mult"": 2.1739427879759603, ""edge_cap"": 0.0818060426073842, ""edge_k"": 1.140205126389091, ""ema1"": 20, ""ema2"": 14, ""p_adx"": 27, ""p_atr"": 7, ""p_sma"": 53, ""p_std"": 23, ""rsi_ob"": 91, ""rsi_os"": 35, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.19237287767304243, ""slip_spread_k"": 0.7659519382801043, ""spread_hl_frac"": 0.012392119416649345, ""strategy"": ""breakout"", ""time_stop"": 279, ""tp_mult"": 1.0881119543121331, ""tsl_mult"": 0.5217286008646786, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10211366860354779}"
6,-0.03491687604660032,-0.03611969182832419,-0.03491687604660032,0.03611969182832419,-0.03491687604660032,-0.03611969182832419,421.0,breakout,1,"{""adx_thresh"": 22.49722915999143, ""atr_max_pct"": 0.08397504801042432, ""atr_min_pct"": 0.006966009453955377, ""bb_std_mult"": 3.1490105344244426, ""edge_cap"": 0.6992037681078016, ""edge_k"": 0.10630702048663987, ""ema1"": 5, ""ema2"": 16, ""p_adx"": 13, ""p_atr"": 26, ""p_sma"": 37, ""p_std"": 60, ""rsi_ob"": 92, ""rsi_os"": 50, ""rsi_period"": 41, ""rsi_required"": true, ""slip_atr_k"": 0.17955132605775836, ""slip_spread_k"": 0.61098143084031, ""spread_hl_frac"": 0.006139391064560612, ""strategy"": ""breakout"", ""time_stop"": 198, ""tp_mult"": 2.554044013316819, ""tsl_mult"": 0.5000087587204433, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.13756888397403957}"
7,0.010256877874350145,-0.011063487229277752,0.010256877874350145,0.011063487229277752,0.010256877874350145,-0.011063487229277752,344.0,breakout,1,"{""adx_thresh"": 15.967795340655153, ""atr_max_pct"": 0.14944197929985684, ""atr_min_pct"": 0.02138544075671337, ""bb_std_mult"": 1.9443059979551776, ""edge_cap"": 0.6258914036021413, ""edge_k"": 0.0333679904267854, ""ema1"": 26, ""ema2"": 16, ""p_adx"": 15, ""p_atr"": 16, ""p_sma"": 5, ""p_std"": 34, ""rsi_ob"": 67, ""rsi_os"": 27, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.10674053969130459, ""slip_spread_k"": 0.04764647812672973, ""spread_hl_frac"": 0.011907218382947539, ""strategy"": ""breakout"", ""time_stop"": 75, ""tp_mult"": 1.5913465022526072, ""tsl_mult"": 0.10042596806157711, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22187254617261784}"
8,0.018912655659449662,-0.008138575001507132,0.018912655659449662,0.008138575001507132,0.018912655659449662,-0.008138575001507132,500.0,mean_reversion,1,"{""adx_thresh"": 12.929087807803182, ""atr_max_pct"": 0.04680329500048185, ""atr_min_pct"": 0.011634321607118343, ""bb_std_mult"": 1.6904708873397314, ""edge_cap"": 0.24383829744864932, ""edge_k"": 1.2685531777792314, ""ema1"": 7, ""ema2"": 60, ""p_adx"": 12, ""p_atr"": 10, ""p_sma"": 35, ""p_std"": 48, ""rsi_ob"": 77, ""rsi_os"": 44, ""rsi_period"": 10, ""rsi_required"": false, ""slip_atr_k"": 0.021951859200908058, ""slip_spread_k"": 0.26559473042848947, ""spread_hl_frac"": 0.02378419647942165, ""strategy"": ""mean_reversion"", ""time_stop"": 56, ""tp_mult"": 2.288799563269716, ""tsl_mult"": 0.9326596198097297, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.212473116224038}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 18.337150647514044, ""atr_max_pct"": 0.025043149716671327, ""atr_min_pct"": 0.026683243326199552, ""bb_std_mult"": 2.044820093284711, ""edge_cap"": 0.977795536784104, ""edge_k"": 1.4573206912473207, ""ema1"": 28, ""ema2"": 37, ""p_adx"": 26, ""p_atr"": 22, ""p_sma"": 22, ""p_std"": 34, ""rsi_ob"": 69, ""rsi_os"": 23, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.21746704318717908, ""slip_spread_k"": 0.14548721898811534, ""spread_hl_frac"": 0.011576856848043694, ""strategy"": ""breakout"", ""time_stop"": 208, ""tp_mult"": 1.2886035950026282, ""tsl_mult"": 0.31494094076698487, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.00685519592320587}"
