month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,2,1,1,50.0,0.26413504000004656,0.13206752000002328,0.13206752000002328,0.26413504000004656
2020-01-31,19,7,12,36.84,185.5470816600019,9.765635876842206,-0.1555137900000056,185.81121670000195
2020-02-29,13,3,10,23.08,-45.09942025999985,-3.4691861738461425,-1.756591200000095,140.7117964400021
2020-03-31,21,14,7,66.67,287.19328670999977,13.675870795714275,0.5864234999999827,427.9050831500019
2020-04-30,20,11,9,55.0,85.29993250999914,4.264996625499957,0.11992975499998265,513.205015660001
2020-05-31,13,4,9,30.77,-24.9312523200036,-1.917788640000277,-1.9843391499995204,488.2737633399974
2020-06-30,14,2,12,14.29,-23.770503469998545,-1.697893104999896,-4.2261920850006724,464.50325986999883
2020-07-31,6,1,5,16.67,-15.86610994000058,-2.6443516566667635,-1.350511455000108,448.63714992999826
2020-08-31,10,2,8,20.0,-29.925537450002302,-2.9925537450002304,-1.8260980800006879,418.71161247999595
2020-09-30,28,11,17,39.29,209.86718476999775,7.495256598928491,-0.5694971850000974,628.5787972499937
2020-10-31,9,3,6,33.33,2.729674520002092,0.30329716888912134,-0.0470614700000036,631.3084717699958
2020-11-30,9,3,6,33.33,-27.672276039998934,-3.074697337777659,-2.80514807999985,603.6361957299969
