month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,5,2,3,40.0,5.393778789999542,1.0787557579999085,-0.0299110000000009,5.393778789999542
2020-01-31,35,6,29,17.14,111.24013050999785,3.1782894431427957,-0.239125320000037,116.6339092999974
2020-02-29,33,12,21,36.36,13.633301470007911,0.4131303475759973,-0.474677559999939,130.2672107700053
2020-03-31,53,27,26,50.94,534.2851554499945,10.080851989622538,0.15663220000003,664.5523662199998
2020-04-30,39,19,20,48.72,182.20738007000327,4.671984104359058,-0.0149523500000002,846.7597462900031
2020-05-31,34,11,23,32.35,69.55229208000372,2.045655649411874,-2.2755713800006276,916.3120383700068
2020-06-30,34,7,27,20.59,-30.16893246000476,-0.8873215429413165,-1.2086839650002292,886.1431059100021
2020-07-31,21,4,17,19.05,-10.162274570004307,-0.48391783666687177,-0.6792838200001293,875.9808313399977
2020-08-31,25,2,23,8.0,-115.87804766000357,-4.635121906400143,-2.7574652199999647,760.1027836799942
2020-09-30,49,19,30,38.78,63.06884141000637,1.2871192124491095,-0.9773979600000116,823.1716250900006
2020-10-31,21,5,16,23.81,0.803948520000958,0.03828326285718847,-1.0519451900000027,823.9755736100016
2020-11-30,20,4,16,20.0,-54.54012561000228,-2.727006280500114,-3.393078095000612,769.4354479999993
