month,trades,wins,losses,win_rate,pnl_sum,pnl_mean,pnl_median,cum_pnl
2019-12-31,3,1,2,33.33,0.6645784899993175,0.22152616333310582,-0.4327641500000918,0.6645784899993175
2020-01-31,14,6,8,42.86,210.51988688000054,15.037134777142896,-0.01869423000001315,211.18446536999986
2020-02-29,10,2,8,20.0,-32.80205106000009,-3.280205106000009,-1.527543350000275,178.38241430999977
2020-03-31,17,11,6,64.71,284.7349255899955,16.749113269999736,1.3411131700003605,463.1173398999953
2020-04-30,18,11,7,61.11,41.263955400000505,2.292441966666695,0.40332012499993414,504.38129529999577
2020-05-31,10,4,6,40.0,-11.942403159995603,-1.1942403159995603,-0.6395942449996032,492.4388921400002
2020-06-30,13,1,12,7.69,-32.65131160999982,-2.511639354615371,-9.206766929999958,459.78758053000035
2020-07-31,6,0,6,0.0,-20.425539439999657,-3.404256573333276,-2.05781088000033,439.3620410900007
2020-08-31,9,2,7,22.22,64.3388403099991,7.1487600344443445,-3.7012710000000593,503.7008813999998
2020-09-30,27,11,16,40.74,217.5712216299971,8.058193393703597,-0.7784825900000476,721.2721030299969
2020-10-31,9,3,6,33.33,36.34087504999854,4.037875005555393,-0.0491572299999894,757.6129780799954
2020-11-30,8,3,5,37.5,-11.453169659998679,-1.4316462074998348,-2.3580149850000556,746.1598084199967
